epoch,local_time_s,peak_vram_mb
0,95.63,3277.37
1,95.74,3273.74
2,95.31,3282.62
3,95.05,3282.87
4,94.92,3280.87
5,95.38,3275.49
6,95.26,3282.24
7,94.97,3277.49
8,96.12,3268.49
9,94.8,3272.87
10,94.61,3271.99
11,95.38,3275.24
12,95.45,3271.12
13,95.04,3269.49
14,94.92,3271.12
15,94.97,3274.12
16,94.16,3269.74
17,91.01,3272.24
18,94.06,3274.24
19,94.39,3274.87
20,95.25,3274.12
21,94.95,3276.24
22,95.48,3273.87
23,94.95,3274.12
24,94.92,3268.62
25,95.53,3267.49
26,95.78,3269.99
27,95.03,3271.87
28,94.72,3271.24
29,94.83,3267.74
30,96.1,3275.37
31,94.5,3273.62
32,94.81,3270.99
33,94.9,3272.87
34,94.41,3271.24
35,95.85,3277.24
36,95.68,3275.99
37,94.88,3275.37
38,94.95,3269.24
39,95.41,3274.74
40,93.64,3271.37
41,95.41,3275.99
42,94.68,3272.12
43,92.25,3273.74
44,94.82,3275.37
45,94.76,3271.12
46,94.16,3266.24
47,95.58,3268.24
48,94.94,3267.99
49,94.67,3269.49
50,95.35,3267.74
51,94.25,3266.37
52,94.71,3263.99
53,95.81,3269.12
54,94.32,3270.74
55,95.39,3270.87
56,95.74,3268.62
57,95.0,3271.62
58,94.76,3269.99
59,95.48,3268.49
60,93.8,3267.62
61,95.22,3268.24
62,96.54,3267.62
63,94.84,3266.62
64,94.25,3266.24
65,95.03,3266.99
66,93.95,3267.74
67,94.03,3268.24
68,94.36,3266.37
69,93.92,3268.74
70,93.12,3263.87
71,93.16,3263.74
72,93.47,3266.12
73,93.88,3264.87
74,94.19,3270.99
75,90.77,3267.87
76,91.88,3274.37
77,93.05,3271.74
78,91.98,3273.37
79,94.07,3268.24
80,93.79,3273.12
81,93.1,3269.87
82,93.43,3267.24
83,92.93,3269.12
84,93.82,3267.74
85,94.1,3267.74
86,94.3,3266.37
87,93.9,3263.24
88,92.54,3264.49
89,94.11,3271.99
90,94.32,3267.37
91,93.4,3268.12
92,94.9,3266.62
93,94.22,3265.87
94,93.16,3267.37
95,94.3,3266.49
96,94.93,3263.87
97,93.62,3266.62
98,93.52,3263.99
99,93.8,3268.62
100,93.18,3262.12
101,94.28,3265.37
102,93.97,3267.24
103,93.7,3268.62
104,93.88,3271.12
105,93.57,3265.12
106,94.08,3269.62
107,93.15,3269.49
108,93.24,3268.87
109,93.55,3271.24
110,94.7,3265.74
111,94.17,3269.99
112,93.82,3270.12
113,94.1,3269.24
114,94.09,3272.62
115,93.6,3268.49
116,93.23,3267.49
117,93.31,3268.99
118,94.15,3266.24
119,94.53,3268.12
120,93.45,3267.74
121,95.1,3263.74
122,92.54,3263.24
123,93.24,3265.24
124,94.53,3266.62
125,93.94,3262.74
126,94.46,3263.99
127,95.26,3264.99
128,94.15,3266.24
129,94.53,3266.49
130,94.71,3266.87
131,94.16,3265.62
132,94.26,3267.74
133,94.35,3267.74
134,93.28,3268.62
135,94.18,3272.24
136,94.12,3267.49
137,92.75,3269.87
138,94.89,3271.12
139,94.11,3265.12
140,93.35,3266.49
141,95.08,3269.49
142,92.84,3263.37
143,93.58,3268.49
144,94.24,3261.87
145,93.11,3267.74
146,94.02,3267.37
147,94.03,3268.37
148,93.42,3263.74
149,93.62,3263.99
150,93.92,3263.37
151,93.21,3264.99
152,93.91,3265.74
153,95.7,3263.12
154,93.51,3267.24
155,94.52,3265.99
156,95.16,3264.12
157,93.64,3269.74
158,94.44,3266.24
159,94.67,3266.62
160,93.75,3260.37
161,94.1,3266.37
162,94.53,3267.24
163,93.8,3266.99
164,94.58,3265.24
165,94.28,3267.49
166,93.26,3264.74
167,93.88,3269.24
168,94.73,3266.99
169,95.07,3270.24
170,94.2,3264.99
171,95.03,3265.74
172,94.33,3266.24
173,93.63,3267.74
174,94.48,3263.99
175,94.63,3267.49
176,93.29,3265.87
177,95.01,3269.74
178,94.46,3267.87
179,93.78,3265.99
180,94.39,3264.99
181,93.13,3264.62
182,93.58,3268.74
183,94.75,3269.37
184,92.88,3266.87
185,94.15,3267.62
186,91.15,3266.62
187,91.52,3267.62
188,94.14,3268.99
189,94.37,3268.49
190,94.23,3267.99
191,94.5,3269.74
192,93.98,3266.99
193,93.61,3269.12
194,94.06,3267.62
195,93.61,3265.87
196,94.31,3267.24
197,94.78,3268.49
198,93.63,3268.99
199,93.25,3273.62
