epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,34.23,17.84,18.49,9.8,20.089999999999996,10.22164696448995
1,42.24,42.6,15.65,11.89,28.095000000000002,16.61280730841921
2,62.69,30.94,21.07,13.28,31.994999999999997,21.701788712761292
3,67.87,54.86,29.71,14.33,41.6925,24.158720130282845
4,71.3,57.55,33.95,15.27,44.517500000000005,24.86119248279669
5,71.74,60.09,40.83,15.52,47.044999999999995,24.579577566209988
6,71.77,60.84,44.49,16.82,48.480000000000004,23.898880029546714
7,74.68,64.97,50.05,17.76,51.864999999999995,24.89116643845094
8,76.5,69.06,54.1,18.21,54.4675,25.90439779265289
9,81.08,73.69,58.16,19.9,58.207499999999996,27.266132075036484
10,83.78,75.64,62.05,21.49,60.74000000000001,27.659417925907263
11,85.42,76.23,63.81,23.53,62.2475,27.288344734214522
12,87.49,79.47,67.1,24.23,64.57249999999999,28.172403015480707
13,88.84,81.46,69.34,25.27,66.2275,28.463770393256056
14,89.62,82.96,71.45,26.97,67.75,28.20366051892319
15,89.55,81.96,72.75,28.11,68.0925,27.525893718460804
16,91.04,84.7,74.52,29.2,69.865,27.950963608910993
17,91.79,85.25,74.85,30.85,70.685,27.457450112249436
18,92.63,85.35,76.78,31.44,71.55,27.513459736402957
19,92.89,85.45,77.09,32.24,71.9175,27.227639602678256
20,93.84,86.35,78.33,33.43,72.9875,27.12146305665189
21,94.33,87.34,79.31,33.98,73.74000000000001,27.207784425295152
22,94.76,87.05,79.38,34.13,73.83,27.201261000181592
23,95.23,87.34,80.16,34.78,74.3775,27.106287554735342
24,94.89,87.19,80.46,34.13,74.16749999999999,27.334986586180477
25,94.98,87.05,80.6,34.43,74.265,27.200042279378902
26,95.38,87.49,81.16,35.22,74.8125,27.02836704279413
27,95.72,87.84,81.01,35.82,75.0975,26.865954136539926
28,95.81,88.24,81.4,36.27,75.43,26.76183227409264
29,95.56,88.14,81.74,36.62,75.515,26.537798828589132
30,96.18,88.64,81.46,36.57,75.71249999999999,26.778149519088633
31,95.76,88.29,82.37,37.21,75.9075,26.373651466315142
32,95.67,88.19,82.35,37.91,76.03,25.991485785413143
33,95.99,88.79,82.17,37.71,76.16499999999999,26.250513010860058
34,95.97,88.49,82.52,37.91,76.2225,26.127644842197316
35,96.16,88.14,82.39,38.01,76.175,26.062456394847615
36,96.3,88.39,82.36,38.26,76.3275,26.01237061476712
37,96.59,88.94,82.82,38.81,76.79,25.939055495526432
38,96.45,88.04,82.19,39.0,76.42,25.624042095917133
39,96.12,87.99,82.81,37.71,76.1575,26.21052889584642
40,96.52,88.89,82.45,39.3,76.79,25.646433150310266
41,96.39,89.04,82.41,38.91,76.6875,25.82414422589837
42,96.82,88.89,83.05,38.91,76.91749999999999,25.959120908330725
43,96.94,89.14,82.88,39.35,77.0775,25.80087902249327
44,97.06,89.14,82.68,38.81,76.9225,26.079990254343784
45,97.0,89.14,82.95,39.5,77.1475,25.748430858339052
46,96.87,89.29,83.27,39.2,77.1575,25.90955213172676
47,97.02,88.49,82.53,39.5,76.88499999999999,25.622896661644898
48,97.18,88.89,82.81,40.3,77.295,25.356803820671093
49,96.96,89.04,83.2,40.25,77.3625,25.37610473785657
50,97.21,89.34,83.09,40.45,77.5225,25.381215330765123
51,97.21,89.29,82.91,40.75,77.53999999999999,25.21449583077163
52,97.34,88.94,83.21,40.5,77.4975,25.338398232721815
53,97.0,88.84,83.28,40.2,77.33,25.386534488451417
54,97.04,89.04,83.34,41.14,77.64,24.97371952006082
55,97.4,89.44,83.07,41.19,77.77499999999999,25.084604176001395
56,97.34,89.54,83.21,41.24,77.8325,25.070146090519696
57,97.46,89.69,83.28,41.69,78.02999999999999,24.91076474137235
58,97.38,88.94,83.13,41.64,77.7725,24.788622894384428
59,97.3,89.24,83.78,41.54,77.965,24.91025692360478
60,97.34,89.39,83.58,42.19,78.125,24.6116347824899
61,97.42,89.69,83.34,42.69,78.28500000000001,24.41843088051865
62,97.48,89.14,83.15,42.84,78.1525,24.26399991070447
63,97.18,89.49,83.16,41.89,77.93,24.701083646944184
64,97.28,89.34,83.15,42.34,78.0275,24.48447858678364
65,97.64,90.23,83.29,43.13,78.5725,24.344010043540486
66,97.57,90.38,83.33,42.69,78.49249999999999,24.566128951600547
67,97.11,89.84,83.92,42.89,78.44,24.306115828463145
68,97.51,91.53,83.6,43.73,79.0925,24.253657284349234
69,97.53,91.03,83.08,43.73,78.8425,24.14264467009915
70,97.59,90.63,83.5,43.73,78.86250000000001,24.11771323460553
71,97.42,90.68,83.62,43.23,78.73750000000001,24.33297128726097
72,97.26,90.33,83.55,43.23,78.5925,24.230336873432034
73,97.45,90.28,83.49,42.99,78.55250000000001,24.383874965504013
74,97.27,90.03,83.74,43.68,78.68,23.979256313183136
75,97.34,90.23,83.75,42.94,78.565,24.38987289839781
76,97.41,91.33,83.85,43.73,79.08000000000001,24.210375186408545
77,97.31,91.08,83.88,43.93,79.05,24.047812097292066
78,97.57,91.28,83.24,43.73,78.955,24.204584276537368
79,97.51,90.58,83.7,43.98,78.94250000000001,23.980503713086044
80,97.74,91.13,83.42,44.28,79.14250000000001,23.967047342827467
81,97.57,91.03,83.22,44.23,79.0125,23.918796478920086
82,97.43,90.78,83.7,44.08,78.9975,23.943890487276015
83,97.3,90.48,83.92,43.73,78.8575,24.0470266699787
84,97.51,91.08,83.98,44.23,79.2,23.959269604894054
85,97.32,90.78,83.9,44.53,79.1325,23.710134788032452
86,97.45,90.48,83.97,44.38,79.07,23.77266357254343
87,97.56,90.58,83.98,44.18,79.075,23.914990417448774
88,97.52,90.83,83.68,44.83,79.21499999999999,23.609642804018304
89,97.51,90.53,84.26,45.02,79.33,23.50484630879343
90,97.77,91.38,84.29,45.12,79.64,23.662751319320414
91,97.42,91.43,84.07,45.12,79.51,23.567776022923052
92,97.42,90.93,84.13,45.32,79.45,23.391384453825445
93,97.69,91.43,83.91,45.42,79.6125,23.480806878526696
94,97.44,90.98,83.76,44.73,79.2275,23.667400047322477
95,97.46,90.83,83.87,44.53,79.17249999999999,23.75218779396963
96,97.66,91.13,83.88,45.07,79.43499999999999,23.591205282195027
97,97.56,91.53,84.11,44.78,79.495,23.788056527033337
98,97.64,91.63,84.21,44.98,79.615,23.734349931410947
99,97.63,91.53,84.25,45.42,79.7075,23.50357756456096
100,97.53,91.53,83.87,45.42,79.5875,23.454313569149704
101,97.25,90.88,84.17,44.53,79.20750000000001,23.727160772695356
102,97.57,91.83,83.94,45.52,79.71499999999999,23.47142163000216
103,97.69,91.13,83.87,45.02,79.4275,23.62258294513959
104,97.61,91.03,84.18,45.57,79.5975,23.338253826425547
105,97.43,91.53,84.1,45.42,79.62,23.44322645598653
106,97.26,91.58,83.97,44.68,79.3725,23.760557478027884
107,97.59,92.48,83.74,45.52,79.8325,23.578975628017997
108,97.45,91.63,83.57,45.07,79.42999999999999,23.603033703318733
109,97.65,91.63,83.7,45.27,79.5625,23.564639292804802
110,97.79,91.88,83.87,45.62,79.79,23.483351549555273
111,97.48,91.88,84.08,45.12,79.64,23.66028458549615
112,97.55,92.23,83.94,44.83,79.6375,23.871197952064882
113,97.37,91.68,84.32,45.32,79.6725,23.516484112213714
114,97.58,92.13,83.96,46.02,79.92249999999999,23.284410199387338
115,97.64,91.93,84.28,46.32,80.0425,23.138338135368897
