epoch,local_time_s,peak_vram_mb
0,91.87,4123.86
1,96.66,4127.48
2,98.09,4129.86
3,96.49,4127.73
4,96.33,4128.11
5,96.36,4131.36
6,96.31,4127.86
7,96.39,4127.98
8,96.22,4126.36
9,96.2,4129.61
10,97.16,4131.48
11,96.08,4130.86
12,96.64,4130.11
13,97.13,4130.73
14,96.15,4132.48
15,96.58,4129.48
16,95.43,4122.61
17,96.31,4125.36
18,97.3,4127.86
19,96.0,4127.36
20,96.76,4131.11
21,97.14,4124.36
22,96.66,4127.48
23,96.12,4128.61
24,96.66,4127.86
25,93.48,4127.11
26,96.28,4128.86
27,96.68,4126.23
28,96.09,4127.11
29,96.19,4127.11
30,96.99,4128.98
31,96.49,4124.86
32,95.91,4123.98
33,98.11,4125.11
34,96.42,4125.61
35,96.67,4129.73
36,97.15,4127.11
37,96.94,4116.11
38,95.99,4121.11
39,96.8,4124.61
40,96.74,4124.73
41,96.13,4122.36
42,98.11,4124.86
43,96.87,4125.98
44,94.64,4128.61
45,97.32,4124.86
46,95.87,4129.61
47,95.55,4128.98
48,97.03,4123.61
49,96.34,4124.98
50,95.83,4125.98
51,95.69,4128.73
52,92.57,4121.73
53,95.51,4126.86
54,98.59,4125.36
55,97.54,4120.86
56,96.81,4123.36
57,97.34,4121.48
58,97.69,4125.48
59,96.87,4120.23
60,98.45,4122.48
61,97.13,4118.61
62,96.04,4127.11
63,96.88,4126.73
64,96.84,4127.73
65,96.39,4128.61
66,96.13,4125.23
67,96.98,4124.73
68,96.71,4128.36
69,95.98,4124.48
70,97.63,4124.23
71,97.22,4125.86
72,96.09,4122.98
73,96.48,4119.48
74,96.91,4122.61
75,97.05,4117.11
76,97.19,4120.23
77,96.96,4116.73
78,96.82,4124.11
79,96.1,4121.36
80,97.8,4123.86
81,96.01,4123.61
82,96.67,4128.98
83,96.65,4125.48
84,95.95,4121.86
85,96.01,4125.36
86,96.92,4131.86
87,95.59,4129.48
88,95.67,4127.61
89,97.2,4128.73
90,96.85,4124.36
91,95.98,4121.48
92,97.9,4128.48
93,96.26,4130.98
94,96.29,4132.36
95,97.82,4130.36
96,97.59,4130.36
97,96.74,4130.36
98,98.13,4123.23
99,96.52,4126.98
100,96.12,4127.98
101,97.52,4124.61
102,96.24,4123.23
103,96.91,4123.23
104,96.49,4121.61
105,97.07,4125.11
106,95.45,4125.36
107,97.21,4118.98
108,96.25,4123.73
109,95.84,4125.61
110,97.81,4124.23
111,96.08,4122.73
112,96.3,4125.36
113,96.94,4126.98
114,96.93,4128.73
115,96.09,4129.23
116,96.96,4130.36
117,96.02,4124.61
118,95.63,4126.48
119,96.1,4127.61
120,96.8,4126.36
121,97.34,4124.36
122,96.03,4125.11
123,96.17,4131.48
124,95.97,4124.61
125,95.68,4125.11
126,97.03,4129.23
127,97.04,4131.73
128,96.57,4128.73
129,96.97,4132.36
130,96.82,4129.11
131,96.57,4130.61
132,96.63,4130.48
133,95.98,4134.61
134,96.0,4131.86
135,97.18,4130.61
136,97.68,4129.73
137,95.51,4128.11
138,96.12,4132.48
139,96.98,4132.61
140,96.96,4130.73
141,96.04,4127.61
142,97.45,4124.73
143,95.68,4129.98
144,95.4,4129.48
145,96.29,4129.61
146,94.69,4126.98
147,95.77,4127.73
148,97.25,4123.36
149,96.59,4118.36
150,94.56,4126.36
151,96.2,4124.36
152,96.72,4124.23
153,96.05,4123.48
154,97.21,4128.61
155,96.64,4127.11
156,96.25,4126.73
157,97.1,4127.73
158,96.73,4126.11
159,97.26,4127.86
160,97.78,4129.61
161,96.62,4126.48
162,97.73,4128.36
163,98.2,4128.73
164,97.4,4125.98
165,95.75,4127.61
166,96.36,4128.11
167,97.97,4126.11
168,96.27,4127.73
169,97.03,4126.98
170,97.18,4126.61
171,96.1,4128.48
172,96.45,4128.23
173,96.57,4124.98
174,96.19,4124.11
175,96.73,4126.61
176,96.68,4127.98
177,96.6,4122.98
178,96.46,4124.98
179,96.83,4128.23
180,97.63,4126.98
181,96.0,4122.23
182,96.36,4123.61
183,95.43,4123.73
184,95.85,4129.48
185,96.32,4124.61
186,96.92,4125.36
187,96.32,4125.36
188,96.34,4125.48
189,96.86,4131.36
190,96.45,4128.73
191,95.97,4125.11
192,97.74,4123.61
193,96.51,4125.61
194,97.47,4126.98
195,96.78,4124.11
196,96.47,4126.36
197,97.6,4119.61
198,97.77,4122.36
199,95.88,4124.36
