epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,36.33,17.89,18.56,9.7,20.62,11.221215026309167
1,56.67,24.51,19.3,11.69,28.0425,19.797709253008712
2,62.09,37.92,21.28,13.38,33.667500000000004,21.532572806487075
3,66.59,50.82,26.35,14.18,39.485,23.636373805359117
4,70.53,55.41,31.05,15.87,43.215,24.430605805014334
5,70.08,57.65,36.41,15.97,45.027499999999996,23.84362161389638
6,72.14,59.89,41.15,16.12,47.325,24.396352869503534
7,73.97,63.08,46.73,17.01,50.1975,24.79599614857205
8,77.8,68.01,51.22,18.11,53.785,26.193865057808225
9,80.15,71.3,55.63,19.4,56.62,26.80467496538617
10,83.4,74.64,59.88,20.95,59.7175,27.607289345388473
11,84.37,74.99,61.97,21.84,60.792500000000004,27.544819688403603
12,86.34,78.38,65.93,23.63,63.57,27.920017908303713
13,88.32,80.52,67.97,24.83,65.41,28.322371605028653
14,89.25,82.51,70.4,26.77,67.2325,28.079763027252685
15,89.63,82.16,72.25,27.26,67.825,27.964561502015364
16,91.21,83.66,73.66,28.81,69.335,27.956528754478796
17,91.47,84.35,74.17,30.1,70.02250000000001,27.545600223387154
18,92.35,85.25,76.16,30.05,70.9525,28.06186068314074
19,92.51,84.7,76.35,30.95,71.1275,27.585805981820915
20,93.62,86.15,77.48,31.84,72.2725,27.750110360140912
21,93.78,87.29,78.64,32.69,73.1,27.644639022180534
22,94.26,87.05,78.62,32.39,73.08,27.869463575748995
23,94.65,87.29,79.43,33.38,73.6875,27.580943149210835
24,94.29,87.14,79.62,32.94,73.4975,27.693812034459977
25,94.49,87.49,80.17,32.99,73.785,27.818005559948634
26,94.9,87.49,80.4,33.73,74.13,27.576290540970156
27,95.36,87.84,80.53,34.08,74.4525,27.587578575631944
28,95.34,88.19,80.94,34.28,74.6875,27.572347711671803
29,95.53,88.29,81.4,34.53,74.9375,27.549169830202388
30,95.93,88.24,81.04,35.32,75.13250000000001,27.229128245318467
31,95.42,88.29,81.75,35.82,75.32000000000001,26.91855493892642
32,95.53,88.24,81.96,35.87,75.39999999999999,26.930385564760613
33,95.63,88.64,81.9,36.12,75.57249999999999,26.892377327661706
34,95.73,88.34,82.1,35.67,75.46,27.10535617425702
35,96.04,88.34,82.23,36.42,75.75750000000001,26.826798013677795
36,96.02,88.54,82.16,35.77,75.6225,27.16542210850649
37,96.43,88.99,82.69,36.87,76.245,26.84398070331597
38,96.39,88.49,82.08,36.67,75.9075,26.805057203197062
39,96.2,88.19,82.38,36.27,75.75999999999999,26.929432473287164
40,96.4,89.04,82.28,36.92,76.16000000000001,26.787957493371287
41,96.38,89.49,82.24,36.12,76.0575,27.24373490670225
42,96.54,89.19,82.99,36.47,76.29750000000001,27.12314310080354
43,96.85,89.54,82.93,37.21,76.6325,26.88954490131806
44,96.86,89.44,82.56,36.07,76.2325,27.404351692143106
45,96.93,89.09,83.04,36.67,76.4325,27.11134617953647
46,96.68,89.19,83.15,36.62,76.41,27.097804339097294
47,96.67,88.59,82.78,36.92,76.24,26.824997048772747
48,97.11,89.29,82.88,37.41,76.67249999999999,26.8139868663104
49,96.81,89.09,83.41,37.76,76.7675,26.578523128019484
50,97.04,89.79,83.29,38.31,77.1075,26.467714137542494
51,97.1,89.69,83.16,38.31,77.065,26.456825836319315
52,97.21,89.24,83.3,38.76,77.1275,26.205497355834833
53,96.97,89.09,83.41,38.51,76.995,26.25221958870018
54,97.03,89.24,83.32,38.51,77.02499999999999,26.28331853730296
55,97.34,89.84,83.37,38.51,77.265,26.459763793352355
56,97.24,89.59,82.99,38.51,77.0825,26.36600510126629
57,97.47,89.99,83.53,39.45,77.61,26.06988044979621
58,97.29,89.34,83.41,38.86,77.225,26.20117618225055
59,97.38,89.39,83.8,39.75,77.58,25.82836554384862
60,97.38,89.59,83.81,40.05,77.7075,25.71334851136014
61,97.38,90.18,83.61,39.45,77.655,26.083425771934174
62,97.2,89.59,83.5,39.7,77.4975,25.81406641736245
63,97.06,89.29,83.59,39.4,77.33500000000001,25.885561612605592
64,97.03,89.69,83.39,39.5,77.4025,25.875799987633233
65,97.42,89.99,83.5,39.6,77.6275,25.981733807940273
66,97.41,90.33,83.5,39.95,77.7975,25.86287864230636
67,97.18,90.18,84.04,39.9,77.825,25.84694630576954
68,97.58,91.43,83.62,41.69,78.58,25.248077154508223
69,97.61,90.63,83.22,40.55,78.00250000000001,25.65034031613096
70,97.6,91.08,83.76,40.95,78.3475,25.56458145559985
71,97.35,90.78,83.92,40.25,78.075,25.8059250302458
72,97.37,90.78,83.58,40.45,78.045,25.688234012221756
73,97.5,90.38,83.55,40.8,78.0575,25.482959502381192
74,97.4,89.99,83.74,40.8,77.9825,25.4093583481887
75,97.3,90.53,84.05,40.55,78.1075,25.61607356719605
76,97.44,91.08,83.99,40.8,78.3275,25.614390974606444
77,97.47,91.38,83.94,40.9,78.42249999999999,25.61955551917324
78,97.74,91.43,83.56,41.44,78.5425,25.40605226450317
79,97.42,90.73,83.9,41.39,78.36,25.257164000206622
