epoch,local_time_s,peak_vram_mb
0,70.65,1071.17
1,68.13,1074.92
2,66.4,1071.79
3,67.69,1068.79
4,68.36,1066.92
5,66.43,1070.79
6,67.68,1071.17
7,67.7,1072.29
8,67.01,1069.17
9,67.98,1067.29
10,67.28,1068.29
11,67.11,1065.79
12,66.98,1065.29
13,67.8,1066.29
14,67.52,1067.54
15,67.63,1068.42
16,66.38,1065.79
17,67.15,1067.92
18,67.21,1066.54
19,66.95,1065.42
20,66.81,1066.92
21,67.26,1068.04
22,69.14,1070.42
23,66.26,1067.67
24,67.91,1068.04
25,65.84,1067.04
26,67.7,1065.54
27,67.06,1066.29
28,67.86,1065.92
29,65.91,1064.29
30,68.25,1067.04
31,68.65,1069.54
32,66.99,1066.54
33,66.6,1067.29
34,68.21,1065.67
35,68.28,1067.29
36,68.72,1067.42
37,67.99,1069.54
38,68.07,1069.42
39,66.59,1067.92
40,67.37,1068.17
41,67.71,1067.29
42,66.2,1067.29
43,67.47,1065.79
44,66.42,1068.92
45,66.63,1065.79
46,67.91,1065.92
47,67.46,1065.79
48,68.36,1068.17
49,68.25,1065.92
50,65.85,1066.79
51,67.75,1068.79
52,65.4,1069.79
53,67.33,1069.42
54,67.17,1071.92
55,67.87,1073.04
56,68.64,1073.17
57,66.98,1070.17
58,68.11,1070.67
59,66.98,1070.67
60,66.96,1074.17
61,67.21,1071.67
62,67.73,1070.67
63,69.93,1072.79
64,68.62,1073.54
65,70.13,1069.04
66,68.84,1064.67
67,68.51,1067.29
68,68.17,1069.29
69,70.07,1070.67
70,68.99,1071.42
71,70.33,1065.42
72,69.91,1068.79
73,71.68,1068.17
74,68.69,1068.17
75,69.55,1068.29
76,68.62,1066.92
77,69.19,1065.29
78,70.26,1069.92
79,68.71,1070.92
80,71.13,1069.17
81,70.1,1068.54
82,70.62,1072.29
83,68.42,1069.54
84,68.48,1068.42
85,70.06,1069.29
86,68.5,1069.79
87,69.06,1068.67
88,68.98,1068.67
89,68.36,1070.17
90,68.77,1068.92
91,68.08,1068.17
92,68.98,1072.79
93,68.2,1069.04
94,69.0,1067.04
95,69.56,1066.79
96,68.67,1067.29
97,70.34,1067.29
98,69.78,1069.79
99,69.37,1069.54
100,70.21,1069.17
101,66.3,1067.92
102,68.24,1068.67
103,66.85,1069.79
104,70.7,1068.04
105,66.68,1067.67
106,68.95,1065.92
107,70.91,1070.29
108,71.2,1069.42
109,71.37,1070.17
110,69.75,1067.29
111,69.25,1068.54
112,69.35,1069.04
113,69.26,1067.92
114,68.9,1067.92
115,70.69,1071.17
116,69.41,1070.54
117,69.93,1066.17
118,68.33,1065.42
119,69.46,1067.54
120,69.72,1067.29
121,69.12,1066.42
122,69.48,1064.92
123,68.84,1066.67
124,67.97,1066.17
125,70.23,1067.79
126,67.03,1068.79
127,68.39,1067.29
128,67.94,1069.54
129,68.28,1069.42
130,68.52,1067.92
131,67.22,1070.04
132,68.21,1066.79
133,67.16,1071.04
134,67.9,1066.54
135,70.58,1067.92
136,66.32,1067.54
137,67.17,1067.29
138,66.27,1068.42
139,70.29,1068.79
140,69.68,1067.67
141,70.38,1067.29
142,68.95,1066.54
143,70.19,1067.17
144,69.0,1067.04
145,68.6,1070.17
146,69.12,1072.54
147,70.27,1070.54
148,69.36,1066.54
149,68.37,1066.29
150,70.7,1072.17
151,69.7,1069.04
152,67.39,1065.67
153,66.93,1068.17
154,68.93,1065.79
155,73.52,1066.04
156,68.67,1067.17
157,67.65,1067.54
158,68.4,1068.17
159,68.59,1067.17
160,65.85,1067.54
161,68.36,1071.67
162,67.26,1070.67
163,68.67,1070.67
164,66.94,1072.42
165,68.32,1070.92
166,67.28,1068.04
167,68.3,1067.54
168,67.63,1069.92
169,70.05,1071.17
170,67.71,1070.79
171,69.52,1069.92
172,70.46,1068.67
173,68.37,1069.92
174,66.54,1069.42
175,68.03,1070.92
176,66.83,1070.17
177,66.48,1068.42
178,68.64,1066.67
179,68.69,1069.17
180,67.42,1067.04
181,67.81,1069.17
182,68.37,1070.67
183,68.43,1064.92
184,66.98,1067.17
185,73.01,1069.67
186,69.26,1070.92
187,70.11,1067.17
188,67.15,1069.04
189,67.82,1070.42
190,66.76,1070.54
191,68.33,1067.29
192,69.28,1071.17
193,66.09,1071.42
194,68.28,1072.17
195,67.37,1068.04
196,69.0,1067.04
197,67.55,1067.42
198,67.72,1065.17
199,68.34,1069.42
