epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.4,20.58,17.01,10.45,20.36,9.6526438519886
1,44.79,46.34,10.61,11.04,28.195,20.06789558806138
2,51.25,22.57,18.61,13.13,26.389999999999997,17.01928318114485
3,60.38,50.42,20.97,12.99,36.190000000000005,22.785502700913433
4,60.08,58.99,20.46,13.88,38.3525,24.610536192181318
5,59.64,63.33,24.41,14.58,40.49,24.618980482546387
6,59.92,67.36,30.94,15.77,43.4975,24.259860366457183
7,63.57,71.35,35.92,18.01,47.21249999999999,24.7015065330032
8,65.48,74.29,39.97,20.2,49.985,24.61892564674584
9,68.72,77.33,42.59,22.24,52.720000000000006,25.121699783255114
10,70.59,78.77,52.57,23.78,56.4275,24.361877835394107
11,71.52,80.17,57.93,26.12,58.935,23.714564441850214
12,70.3,82.06,63.02,28.36,60.935,23.090017323510175
13,72.9,83.71,65.89,29.6,63.025,23.457931849731906
14,73.83,84.6,67.68,31.39,64.375,23.075101299885986
15,75.14,84.45,68.48,31.94,65.0025,22.99417371857489
16,78.56,87.14,70.28,34.73,67.6775,23.018314990459228
17,78.33,87.49,70.82,35.02,67.91499999999999,22.964994375498254
18,77.73,87.49,72.22,35.22,68.16499999999999,22.852869258220803
19,79.02,87.99,73.72,37.46,69.5475,22.187620234416006
20,82.14,89.44,74.47,38.36,71.10249999999999,22.667904439243312
21,82.35,89.69,74.93,38.66,71.4075,22.647993840514882
22,85.21,90.18,75.6,40.15,72.785,22.58269322586067
23,84.44,90.58,76.04,40.55,72.9025,22.37659547384275
24,81.7,89.74,76.64,39.1,71.795,22.45416887796117
25,83.83,90.33,77.69,39.9,72.9375,22.621584640927935
26,85.03,90.53,77.96,40.8,73.58,22.450818841785413
27,85.45,91.38,78.32,41.44,74.1475,22.449171291311995
28,87.67,91.98,78.42,43.78,75.4625,21.86609609265754
29,86.2,91.48,79.44,42.29,74.8525,22.260586058472647
30,86.95,91.03,78.81,44.08,75.2175,21.37082649314247
31,86.37,91.68,79.08,45.27,75.6,20.869264481528813
32,86.45,91.48,79.51,44.73,75.5425,21.11972754716942
33,86.85,91.33,79.87,44.63,75.67,21.223804245861924
34,87.84,92.43,79.31,46.17,76.43750000000001,20.897766028932374
35,87.59,91.93,79.82,45.07,76.1025,21.28621052074167
36,88.38,92.28,79.79,45.22,76.41749999999999,21.442777144452783
37,87.17,92.33,80.34,45.72,76.39000000000001,21.028103417411028
38,88.48,92.38,80.33,46.12,76.8275,21.07825953441128
39,88.73,92.23,80.14,46.87,76.9925,20.714102080466827
40,87.26,92.03,80.42,46.47,76.54500000000002,20.608393920924552
41,89.51,93.12,80.4,47.16,77.54749999999999,20.953449000104975
42,88.73,92.68,80.77,46.22,77.1,21.174171373003794
43,89.72,92.53,80.4,47.71,77.58999999999999,20.583577596391414
44,89.28,93.07,80.3,49.05,77.925,19.980935079887193
45,89.39,92.87,81.14,48.06,77.865,20.469809476397185
46,89.06,92.38,80.88,46.17,77.1225,21.193326583306042
47,89.72,93.17,80.39,48.46,77.93499999999999,20.378044557807797
48,89.24,93.12,80.4,48.41,77.79249999999999,20.298668880824017
49,90.54,92.97,80.77,47.96,78.05999999999999,20.747791850379325
50,91.06,93.12,81.06,48.81,78.5125,20.490217788008014
51,91.24,92.87,80.73,49.25,78.52250000000001,20.243005993840608
52,89.88,92.97,81.0,48.46,78.0775,20.38645690158052
53,91.46,93.57,80.84,49.7,78.8925,20.243236524824777
54,91.28,93.42,81.05,47.46,78.3025,21.258432640562503
55,90.25,93.72,81.0,48.46,78.3575,20.642038618637777
56,90.77,93.72,80.72,48.46,78.4175,20.73245503230784
57,92.96,93.97,81.67,49.25,79.4625,20.89910903204568
58,91.61,93.87,81.32,48.26,78.765,21.057366881925194
59,91.43,94.17,81.2,48.71,78.8775,20.871814128148994
60,92.17,93.92,80.72,49.15,78.99,20.736729089548653
61,92.87,93.77,80.86,49.0,79.125,20.927867386175144
62,91.5,93.87,81.58,48.91,78.965,20.73183140326328
63,91.68,93.82,80.68,49.4,78.895,20.48863994184745
64,92.1,94.07,81.28,49.25,79.175,20.727222840184513
65,92.44,93.87,81.9,50.15,79.59,20.339539490034348
66,93.27,95.02,81.0,49.45,79.68499999999999,21.09975434296175
67,92.12,94.12,81.93,49.6,79.44250000000001,20.598628392848557
68,93.3,94.87,81.95,49.95,80.0175,20.855140653245826
69,93.33,95.02,81.29,50.65,80.07249999999999,20.545517556553953
70,93.07,95.02,81.4,50.35,79.96000000000001,20.635740839620947
71,92.28,94.67,81.78,49.85,79.64500000000001,20.637297142148565
72,92.63,94.82,82.01,50.3,79.94,20.536674511711965
73,91.21,93.67,82.24,49.1,79.055,20.56524981613401
74,92.23,94.37,81.61,50.05,79.56500000000001,20.45244484163202
75,91.52,94.62,81.69,49.8,79.4075,20.493467861735848
76,91.55,94.57,81.77,50.3,79.5475,20.249208009203716
77,91.65,94.77,81.49,49.45,79.34,20.71758994992741
78,92.55,94.97,81.02,49.5,79.50999999999999,20.911985399127776
79,90.08,94.22,81.62,49.5,78.855,20.260347973319707
80,92.68,94.87,80.45,50.5,79.625,20.427018872072356
81,91.76,94.82,81.16,51.19,79.7325,19.908168131029367
82,93.48,94.62,82.19,50.35,80.16000000000001,20.65002824856825
83,93.07,94.67,81.7,50.75,80.0475,20.367271744967056
84,92.67,94.77,81.55,50.45,79.86,20.44674709254914
85,93.37,94.92,81.87,50.35,80.12750000000001,20.687497633433903
86,92.93,94.97,81.61,49.15,79.66499999999999,21.17507575744024
87,93.19,95.12,82.02,50.05,80.095,20.84576135972651
88,92.92,95.27,82.29,50.8,80.32000000000001,20.474160951469212
89,92.48,94.97,81.93,51.29,80.1675,20.064297271521873
90,93.93,95.12,81.96,50.75,80.44,20.66630913669234
91,92.86,95.17,81.94,51.0,80.2425,20.330903201776355
92,92.85,94.77,82.73,51.64,80.4975,19.95017021648353
93,93.86,95.47,81.36,50.85,80.385,20.67526460935063
94,92.95,95.27,82.15,51.44,80.4525,20.168890855308167
95,92.65,94.97,82.05,51.24,80.2275,20.12673574295312
96,92.77,94.57,82.24,50.45,80.0075,20.44160524518561
97,93.14,95.17,81.88,50.75,80.235,20.507433611579323
98,92.32,95.02,82.05,51.0,80.0975,20.187019550526355
99,93.51,95.22,82.37,52.09,80.79750000000001,19.968387307608662
100,93.16,95.07,81.99,51.04,80.315,20.35137423697312
101,93.14,94.97,82.4,51.09,80.4,20.311479512827223
102,93.66,95.47,81.58,50.4,80.27749999999999,20.850778362769418
103,92.58,95.32,81.77,50.05,79.92999999999999,20.761138375981858
104,93.24,95.22,82.6,51.34,80.6,20.27857325684756
105,92.81,95.32,82.22,51.79,80.53500000000001,19.986546308287814
106,94.05,95.67,81.36,49.85,80.2325,21.24152595742594
107,93.49,95.57,81.91,51.09,80.51500000000001,20.51649986393065
108,93.33,95.17,81.75,49.9,80.0375,20.951409459349826
109,93.41,95.27,82.15,50.95,80.44500000000001,20.499869105273167
110,93.3,95.07,82.1,49.4,79.9675,21.171999393853508
111,94.0,95.22,82.31,51.69,80.80499999999999,20.263666170430923
112,93.57,94.92,81.86,52.39,80.685,19.75386966309808
113,93.21,95.22,82.28,51.0,80.42750000000001,20.425636464991733
114,92.46,95.37,82.76,51.24,80.4575,20.210611692870653
115,93.9,95.62,81.9,51.19,80.6525,20.567915750832253
116,93.66,95.62,81.83,50.15,80.315,21.012333679690762
117,93.79,95.42,82.06,51.09,80.59,20.547342082777195
118,93.4,95.76,81.02,49.75,79.9825,21.166319747813194
119,93.01,95.67,81.7,50.6,80.245,20.670582155969065
120,92.58,95.32,81.75,51.24,80.2225,20.190433997316646
121,92.92,95.47,82.2,51.24,80.4575,20.309174240557724
122,94.56,95.52,82.08,51.14,80.82499999999999,20.715272144000423
123,94.17,95.57,82.19,51.74,80.9175,20.357392391954328
124,93.56,95.67,82.45,50.5,80.545,20.852553001171504
125,93.8,95.67,81.52,51.74,80.6825,20.290093436617454
126,93.33,95.67,82.19,51.64,80.7075,20.251100998875753
127,94.31,95.76,82.3,51.09,80.86500000000001,20.74639647424744
128,94.2,95.76,81.82,50.4,80.54499999999999,21.04203649840006
129,93.75,95.86,82.45,51.89,80.9875,20.272116112203644
130,93.54,95.62,82.86,51.94,80.99000000000001,20.157205494148574
131,93.95,95.71,81.94,52.04,80.91000000000001,20.195869214602606
132,94.7,95.76,81.32,51.74,80.88,20.50804720103794
133,93.48,95.47,82.06,51.89,80.725,20.110896714633753
134,93.69,95.62,81.57,51.84,80.68,20.207270968638984
135,93.75,95.96,81.38,51.74,80.7075,20.349560806071466
136,93.05,95.62,82.56,51.89,80.78,20.07136434492351
137,93.89,95.76,81.47,51.0,80.53,20.68289953882998
138,93.58,95.71,82.3,50.95,80.63499999999999,20.64622725826682
139,93.57,95.86,81.71,52.14,80.82,20.10056881450539
140,93.19,95.91,82.17,52.54,80.9525,19.85141199847843
141,93.4,95.81,82.27,52.09,80.89250000000001,20.08690182681242
142,94.6,95.81,82.31,51.09,80.95250000000001,20.821553536339852
143,94.48,95.81,82.07,51.44,80.95,20.623409029546984
144,94.2,95.71,82.27,50.65,80.7075,20.920622003181453
145,93.8,95.71,81.97,50.15,80.4075,21.067219995370372
146,94.56,96.01,82.26,51.0,80.9575,20.902584170384294
147,93.99,95.71,82.29,50.9,80.7225,20.756446990433275
148,93.98,96.01,81.22,50.75,80.49000000000001,20.879423682978736
149,93.62,95.86,80.77,50.3,80.1375,20.9734059783654
150,94.1,95.91,81.08,50.15,80.30999999999999,21.16398355697717
151,94.07,95.81,80.89,50.25,80.255,21.083291172553366
152,94.21,95.91,81.47,50.45,80.51,21.05053601851189
153,94.08,95.81,82.17,50.0,80.515,21.227737357837583
154,94.21,95.67,82.38,51.89,81.0375,20.3224332122575
155,94.01,95.71,82.22,50.4,80.585,20.998442005698106
156,94.12,95.62,83.06,51.44,81.06,20.525606771380318
157,94.07,95.67,82.54,51.24,80.88000000000001,20.60748569492811
158,94.49,95.76,82.74,51.49,81.12,20.604593339026778
159,94.1,95.71,81.41,50.6,80.45500000000001,20.905614078519672
160,93.33,95.62,81.74,51.29,80.495,20.39595466426288
161,93.64,95.67,82.15,51.24,80.67500000000001,20.50639006098668
162,95.02,95.81,81.8,50.95,80.895,20.972163296458792
163,94.6,95.57,82.15,51.99,81.0775,20.331613110293695
164,93.71,95.52,81.07,51.79,80.5225,20.204714590081856
165,94.09,95.71,80.07,51.09,80.24000000000001,20.663129804880313
166,93.62,95.52,80.95,51.04,80.2825,20.539714985039755
167,94.17,95.57,81.98,51.49,80.80250000000001,20.47256924928248
168,94.23,95.62,81.9,51.79,80.885,20.353202041284153
169,93.94,95.57,81.91,51.64,80.76499999999999,20.34981818100594
170,94.23,95.62,82.03,51.94,80.955,20.28393206456776
171,94.19,95.52,82.51,52.04,81.065,20.213455089782812
172,94.22,95.57,81.82,51.04,80.66250000000001,20.695182007736324
173,94.29,95.71,81.53,51.59,80.78,20.477984926907887
174,93.89,95.52,81.27,51.39,80.5175,20.4358857160633
175,94.33,95.86,81.4,50.95,80.635,20.825770093804454
176,94.19,95.71,81.12,50.25,80.3175,21.087704751031264
177,94.04,95.86,81.38,51.34,80.655,20.57705113307865
178,93.76,95.91,80.94,51.44,80.5125,20.47740441722697
179,94.26,95.91,82.01,51.24,80.855,20.694035372541528
180,94.56,95.86,82.17,52.14,81.1825,20.320994685300224
181,94.13,95.91,81.76,50.75,80.6375,20.895130812384654
182,94.24,95.62,82.18,51.49,80.88250000000001,20.503814888942006
183,94.22,95.62,81.98,51.94,80.94,20.280880980207282
184,94.45,95.86,81.59,51.19,80.7725,20.74045382820733
185,94.38,95.76,81.94,51.99,81.0175,20.325226321003168
186,95.41,95.86,82.49,50.9,81.16499999999999,21.107572890631772
187,94.26,95.81,82.24,50.95,80.815,20.813192130633556
188,94.49,95.76,81.98,51.09,80.83000000000001,20.778920408272736
189,95.14,95.81,82.15,51.34,81.11000000000001,20.81878478682173
190,94.75,95.96,81.98,51.69,81.095,20.59825639870197
191,94.33,95.91,82.54,51.49,81.06750000000001,20.600893791289735
192,94.71,95.76,82.89,51.94,81.325,20.440604198506463
193,95.02,95.76,82.69,51.94,81.3525,20.50415140892205
194,94.8,95.91,82.59,51.89,81.29749999999999,20.512713740507373
195,94.53,95.86,82.75,51.99,81.2825,20.397743952048554
196,94.09,95.91,82.72,51.0,80.93,20.789380301811146
197,94.37,95.81,82.44,51.19,80.9525,20.726743392695987
198,94.04,95.76,82.61,51.84,81.0625,20.337004654897765
199,94.23,95.52,82.7,51.99,81.11,20.250802453236265
