epoch,local_time_s,peak_vram_mb
0,53.66,4086.53
1,51.85,4091.53
2,54.35,4089.78
3,53.42,4092.65
4,51.85,4086.15
5,54.08,4092.15
6,52.59,4093.9
7,51.37,4093.28
8,53.8,4090.78
9,52.26,4093.4
10,52.02,4091.4
11,54.11,4095.15
12,52.48,4093.28
13,52.63,4092.53
14,53.71,4095.9
15,52.75,4094.15
16,52.69,4096.03
17,53.6,4090.03
18,52.26,4088.53
19,52.72,4090.4
20,53.22,4090.28
21,51.87,4084.53
22,53.27,4089.9
23,53.17,4090.53
24,51.91,4087.9
25,53.8,4090.53
26,53.26,4084.53
27,51.84,4085.53
28,54.03,4088.15
29,52.69,4086.9
30,51.53,4092.53
31,53.89,4085.28
32,52.91,4088.65
33,51.67,4093.53
34,54.13,4093.9
35,52.32,4087.78
36,51.6,4094.65
37,54.06,4085.9
38,52.12,4088.78
39,51.89,4086.15
40,53.88,4081.03
41,52.12,4084.15
42,51.95,4085.03
43,53.64,4088.65
44,52.01,4086.78
45,51.93,4086.78
46,53.42,4091.9
47,52.03,4086.28
48,52.32,4086.53
49,53.4,4090.53
50,51.81,4088.78
51,53.22,4092.4
52,54.09,4093.9
53,51.87,4096.03
54,52.87,4091.65
55,53.5,4094.28
56,52.12,4093.03
57,53.13,4093.4
58,52.79,4090.78
59,51.55,4090.78
60,54.6,4089.9
61,52.76,4092.28
62,51.79,4089.28
63,53.57,4089.78
64,52.46,4090.15
65,51.95,4092.78
66,53.09,4087.15
67,52.27,4086.28
68,51.79,4087.78
69,53.5,4088.78
70,52.44,4089.28
71,51.96,4089.9
72,53.79,4090.4
73,51.99,4090.03
74,52.69,4090.4
75,53.98,4091.4
76,51.91,4086.03
77,52.54,4089.4
78,53.29,4091.65
79,51.58,4087.9
80,52.83,4095.03
81,53.52,4094.65
82,52.14,4091.78
83,53.5,4091.65
84,53.12,4093.28
85,52.06,4086.15
86,53.31,4087.03
87,53.27,4092.78
88,52.13,4092.15
89,53.54,4090.28
90,53.28,4088.65
91,51.49,4089.15
92,53.82,4083.53
93,53.15,4089.4
94,51.63,4086.28
95,53.57,4084.65
96,52.99,4079.78
97,52.52,4083.65
98,53.89,4081.03
99,52.64,4078.28
100,52.37,4078.28
101,53.97,4083.15
102,52.6,4083.28
103,52.24,4086.65
104,53.51,4085.15
105,52.22,4082.78
106,52.31,4079.9
107,53.36,4082.53
108,51.42,4082.78
109,53.22,4081.28
110,53.41,4077.4
111,51.45,4079.65
112,53.25,4087.03
113,53.52,4087.78
114,51.94,4087.9
115,53.43,4089.15
116,53.56,4090.03
117,51.64,4089.53
118,53.77,4090.4
119,53.58,4092.53
120,51.79,4092.15
121,54.31,4091.65
122,52.89,4091.03
123,51.52,4091.03
124,54.14,4091.78
125,52.56,4088.4
126,51.57,4092.03
127,53.95,4094.78
128,52.39,4097.28
129,52.38,4095.4
130,53.65,4098.28
131,52.85,4095.65
132,52.15,4093.03
133,53.28,4087.28
134,52.24,4091.53
135,52.39,4085.53
136,53.42,4091.9
137,52.55,4088.53
138,53.07,4088.78
139,52.79,4086.53
140,52.25,4086.78
141,52.84,4092.03
142,53.09,4089.53
143,52.43,4092.53
144,53.21,4085.53
145,53.4,4084.4
146,52.72,4086.53
147,53.11,4082.03
148,53.08,4087.9
149,52.23,4085.65
150,53.65,4082.15
151,52.65,4085.28
152,51.47,4086.28
153,53.79,4084.65
154,53.33,4084.9
155,51.91,4085.78
156,53.92,4086.53
157,52.59,4080.28
158,51.75,4083.9
159,54.09,4089.53
160,52.62,4091.15
161,52.6,4090.53
162,53.56,4092.03
163,52.65,4093.53
164,51.93,4093.15
165,54.26,4092.78
166,52.85,4091.4
167,52.44,4089.15
168,53.96,4091.4
169,52.4,4087.78
170,52.94,4089.4
171,53.99,4092.65
172,52.19,4093.15
173,52.58,4093.4
174,53.62,4083.65
175,52.36,4095.53
176,53.37,4089.15
177,53.74,4094.03
178,52.42,4090.4
179,53.64,4088.9
180,53.5,4092.65
181,51.89,4090.9
182,53.74,4092.15
183,53.14,4092.53
184,51.84,4097.28
185,53.71,4092.15
186,53.08,4092.03
187,51.76,4086.4
188,54.05,4086.65
189,53.16,4083.78
190,52.47,4080.03
191,53.79,4088.53
192,52.92,4083.4
193,52.1,4085.78
194,53.13,4087.9
195,52.62,4089.78
196,52.5,4088.4
197,53.33,4090.15
198,52.93,4086.9
199,52.87,4088.9
