epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,37.06,19.13,18.03,10.5,21.18,11.259985198332487
1,32.76,20.93,17.82,10.1,20.402499999999996,9.412701967731333
2,52.55,39.56,18.9,13.13,31.034999999999997,18.288594806600095
3,52.9,35.28,19.28,11.79,29.8125,18.2452758725832
4,60.93,45.24,21.46,12.44,35.0175,22.132227444761785
5,54.75,46.14,22.42,12.79,34.025,19.67993987118186
6,56.71,55.26,24.78,13.43,37.545,21.799058848185776
7,57.05,63.03,23.1,13.28,39.115,24.613809809400355
8,58.66,62.98,27.99,14.13,40.94,23.708216578505713
9,62.2,68.51,24.36,15.32,42.5975,26.660733141957422
10,63.18,69.01,34.18,16.27,45.660000000000004,24.817570388738705
11,67.59,73.74,30.11,17.61,47.2625,27.614876878233588
12,70.04,75.78,35.44,18.01,49.817499999999995,27.69735531899511
13,69.88,79.42,36.86,18.96,51.28000000000001,28.227282311031406
14,71.3,79.47,42.55,21.54,53.714999999999996,26.661083373836604
15,72.13,83.11,42.09,19.9,54.307500000000005,28.753949728689445
16,73.89,83.66,44.36,23.48,56.347500000000004,27.55409633793132
17,75.32,86.4,43.65,24.23,57.4,28.585764522456515
18,75.17,86.15,51.45,25.17,59.485,27.07472314416776
19,72.96,84.65,56.58,26.57,60.19,25.197228683594023
20,76.9,86.65,57.26,27.21,62.005,26.219865878121244
21,78.02,87.84,57.77,27.71,62.83500000000001,26.553431040074653
22,78.82,87.89,60.81,27.91,63.857499999999995,26.476073947371173
23,78.82,88.74,62.55,28.31,64.605,26.496002843196298
24,80.37,88.34,63.2,29.0,65.2275,26.33138479077772
25,78.58,86.55,64.78,29.15,64.765,25.389426276831596
26,80.1,87.74,66.41,29.95,66.05,25.633299956631927
27,81.14,88.79,66.15,30.6,66.67,25.81982829790573
28,83.46,90.38,64.26,30.0,67.02499999999999,27.04355191168497
29,81.14,89.29,69.96,30.4,67.69749999999999,26.096993920117825
