epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,36.34,19.68,18.12,10.35,21.1225,10.93488111503733
1,33.15,20.78,17.9,10.4,20.5575,9.4667431041515
2,53.01,39.26,18.95,12.94,31.04,18.475455790498557
3,51.85,35.03,19.33,12.04,29.5625,17.685853810319703
4,60.42,45.74,21.57,12.19,34.98,22.077012177073843
5,53.98,46.09,22.18,12.89,33.785,19.412436735247844
6,56.5,54.61,24.96,13.78,37.4625,21.398103303797747
7,56.4,64.87,22.17,13.18,39.155,25.310354271193706
8,58.67,63.48,29.77,14.88,41.7,23.266475166356134
9,62.04,68.86,26.28,15.87,43.2625,26.118836593539154
10,63.58,69.46,35.74,15.37,46.0375,25.185226324176636
11,67.03,72.94,29.15,17.66,46.695,27.405416131365957
12,70.08,74.59,35.82,18.21,49.675000000000004,27.197600997146786
13,68.58,78.43,36.95,19.6,50.88999999999999,27.35431349287835
14,70.96,79.47,41.72,20.2,53.0875,27.241330578124604
15,72.13,83.81,40.28,20.2,54.105,29.143136985117668
16,74.26,83.81,43.95,24.73,56.68749999999999,27.25159613062447
17,74.13,84.6,46.32,24.43,57.37,27.26118486053018
18,75.0,84.7,53.26,24.98,59.48499999999999,26.494383681578004
19,71.49,82.76,57.21,26.47,59.4825,24.36535433082529
20,77.21,86.05,57.69,27.31,62.065,26.02371930886641
21,78.0,86.85,57.91,29.5,63.065,25.442508393107257
22,77.68,86.8,62.22,28.51,63.8025,25.622482803194544
23,78.76,88.24,61.16,29.45,64.4025,25.862168477011615
24,79.81,87.94,62.49,29.6,64.96000000000001,25.85235901550701
25,79.78,87.34,64.87,29.65,65.41,25.60267564142467
26,78.74,86.75,67.72,29.6,65.7025,25.30108347482376
27,81.23,88.74,67.38,30.65,67.0,25.797851331716238
28,81.54,89.44,64.35,31.04,66.5925,25.912963776200257
29,80.16,88.29,71.07,30.9,67.60499999999999,25.460822846090426
30,80.05,88.54,69.77,32.14,67.625,24.87035785830192
31,83.3,89.29,70.34,33.33,69.065,25.10180405203313
32,82.35,89.99,70.47,31.84,68.6625,25.82875319613137
33,82.73,89.89,69.7,32.74,68.765,25.42939047637595
34,82.19,90.23,71.69,31.09,68.8,26.261081470495462
35,82.76,89.54,72.82,31.94,69.265,25.81333182679059
36,82.2,89.09,74.49,31.29,69.26750000000001,26.01119038029594
37,85.28,89.69,73.74,33.03,70.435,25.827544082497145
38,83.24,87.79,74.23,32.59,69.4625,25.21921935746624
39,82.99,89.34,74.66,32.34,69.8325,25.70768156926382
40,83.87,90.08,73.75,31.94,69.91,26.192727998434986
41,84.62,90.38,74.61,32.49,70.525,26.180390244099364
42,84.1,89.44,74.48,32.89,70.22749999999999,25.64981530147927
43,83.51,88.39,74.85,32.44,69.7975,25.52661535861476
44,84.47,88.99,74.59,32.04,70.0225,26.025812027037055
45,85.03,90.23,74.7,32.24,70.55,26.34293959805296
46,82.99,88.49,75.94,31.69,69.7775,25.905995927584023
47,84.94,88.29,75.83,33.23,70.5725,25.445618319598108
48,85.19,90.03,75.01,32.39,70.655,26.266792089379063
49,84.0,89.69,75.3,32.64,70.4075,25.8643350001503
50,83.66,87.89,75.38,33.08,70.0025,25.15736124874785
51,86.38,89.94,75.84,33.28,71.36,26.083031521150552
52,85.17,89.44,76.9,32.64,71.03750000000001,26.12225408216782
53,85.22,88.89,76.79,32.94,70.96000000000001,25.847899979173036
54,85.16,87.14,76.44,33.88,70.655,24.953403909420185
55,85.0,88.34,76.89,33.33,70.89,25.49737372096716
56,84.35,88.24,76.53,33.38,70.625,25.30298335506441
57,85.92,88.34,76.76,35.02,71.50999999999999,24.83263712670619
58,84.83,88.29,76.96,33.18,70.815,25.53396496172631
59,85.93,89.24,77.38,33.63,71.545,25.765841082073504
60,85.86,89.14,77.57,32.84,71.35249999999999,26.132563817326965
61,86.97,89.19,77.42,33.28,71.715,26.12716912845069
62,85.28,88.99,76.48,32.79,70.885,25.932862677819944
63,83.75,88.04,77.37,32.39,70.3875,25.70818595311618
64,87.72,89.24,77.53,33.03,71.88,26.416662670872462
65,86.94,89.24,77.38,33.23,71.6975,26.154110416274275
66,86.47,89.59,77.42,32.54,71.50500000000001,26.484441344558004
67,87.87,88.59,77.65,34.33,72.11,25.677409007400524
68,85.86,89.19,77.46,31.54,71.0125,26.773857118465394
69,85.08,88.54,77.6,32.84,71.015,25.85628679193257
70,86.36,89.29,77.77,32.99,71.6025,26.20174723817733
71,85.91,88.14,77.63,33.78,71.36500000000001,25.461343902734853
72,86.04,88.74,77.6,34.08,71.615,25.469214750360873
73,85.31,87.94,76.64,32.64,70.6325,25.784353621269368
74,86.41,88.39,76.8,31.84,70.86,26.50124148035333
75,87.14,89.79,77.62,32.79,71.83500000000001,26.549345880203276
76,86.23,89.69,77.73,32.79,71.61000000000001,26.363343237659876
77,85.99,89.39,77.74,33.98,71.775,25.66708462863154
78,85.94,89.24,77.36,33.63,71.5425,25.766195392412904
79,87.05,89.79,77.4,32.79,71.75750000000001,26.516255863149308
80,86.84,89.44,77.4,33.18,71.715,26.20563997819299
81,86.91,89.44,77.69,34.03,72.0175,25.823487209644377
82,87.33,88.99,77.61,32.69,71.655,26.45714207291987
83,86.91,87.94,77.97,33.08,71.475,25.985229778985342
84,86.46,87.19,78.19,33.38,71.30499999999999,25.61064947764243
85,87.51,89.19,77.86,33.38,71.985,26.21640262634572
86,86.84,88.89,77.85,32.79,71.5925,26.30893431897233
87,88.28,88.74,78.05,33.53,72.15,26.215258915372168
88,87.63,88.99,76.82,32.64,71.52,26.48570306158903
89,87.98,88.84,77.2,33.78,71.94999999999999,25.991950035860462
90,84.99,87.64,77.1,31.54,70.3175,26.236412832804206
91,87.32,88.64,77.82,33.18,71.74,26.15458149795812
92,86.83,89.94,77.93,32.29,71.7475,26.792825376706105
93,87.11,89.49,77.31,33.23,71.785,26.238243716631136
94,86.11,89.39,77.61,31.89,71.25,26.70542017393972
95,87.59,88.74,77.41,33.68,71.85499999999999,25.9543323294333
96,85.98,88.49,77.92,31.94,71.0825,26.481712400573095
97,87.31,88.39,77.5,33.43,71.6575,25.951582321700542
