epoch,local_time_s,peak_vram_mb
0,54.5,1277.24
1,53.84,1277.49
2,54.87,1281.37
3,54.21,1282.73
4,54.26,1286.23
5,54.78,1281.74
6,53.85,1281.35
7,53.89,1284.1
8,54.12,1286.24
9,54.19,1280.73
10,54.2,1283.37
11,54.11,1285.74
12,54.26,1280.74
13,54.23,1277.6
14,54.45,1283.24
15,54.81,1282.62
16,54.47,1280.62
17,54.4,1282.74
18,54.41,1281.24
19,54.6,1284.62
20,54.23,1283.87
21,54.19,1284.23
22,54.04,1280.12
23,54.38,1282.74
24,53.85,1280.87
25,54.18,1283.85
26,54.52,1285.6
27,54.08,1279.12
28,53.91,1280.6
29,54.05,1281.85
30,54.24,1285.24
31,54.85,1283.24
32,54.75,1282.55
33,54.16,1278.6
34,54.38,1278.85
35,54.49,1282.3
36,53.97,1284.6
37,54.42,1286.12
38,54.24,1284.35
39,54.26,1281.1
40,54.06,1286.24
41,54.1,1285.12
42,54.43,1282.73
43,54.13,1280.87
44,53.79,1278.99
45,53.98,1282.48
46,53.98,1282.87
47,54.37,1279.6
48,54.33,1280.24
49,53.9,1278.74
50,54.08,1277.37
51,54.09,1278.98
52,54.06,1277.74
53,54.13,1277.24
54,54.12,1278.35
55,53.94,1284.35
56,54.15,1283.23
57,54.35,1280.99
58,53.92,1283.49
59,54.17,1279.6
60,54.03,1275.87
61,54.26,1279.35
62,54.07,1282.92
63,54.18,1287.24
64,53.75,1282.74
65,54.3,1283.74
66,53.99,1280.35
67,54.19,1281.62
68,54.21,1285.24
69,54.19,1284.6
70,53.96,1284.1
71,53.91,1285.98
72,54.09,1278.6
73,54.11,1281.98
74,54.49,1285.12
75,54.19,1283.87
76,54.67,1283.85
77,54.34,1284.1
78,54.45,1283.35
79,54.88,1284.37
80,53.94,1284.24
81,54.07,1279.12
82,54.21,1275.99
83,54.29,1281.3
84,54.15,1281.74
85,54.57,1279.37
86,54.12,1280.24
87,54.37,1282.74
88,54.78,1282.99
89,54.32,1278.49
90,54.25,1281.49
91,54.6,1277.8
92,54.06,1277.12
93,54.62,1281.49
94,54.35,1283.49
95,54.3,1282.49
96,54.49,1282.6
97,54.57,1279.49
98,54.48,1280.99
99,54.15,1279.23
100,54.73,1282.24
101,54.53,1282.73
102,54.05,1282.24
103,54.24,1282.74
104,53.82,1278.1
105,54.6,1280.35
106,54.27,1282.87
107,54.01,1277.87
108,53.78,1279.87
109,54.35,1281.98
110,54.48,1279.35
111,54.42,1277.6
112,54.25,1278.73
113,54.09,1277.74
114,54.21,1285.05
115,54.84,1287.24
116,54.53,1288.37
117,54.46,1282.99
118,54.41,1283.24
119,53.99,1284.1
120,54.13,1282.62
121,54.16,1282.6
122,54.44,1283.74
123,54.45,1279.37
124,54.04,1278.8
125,54.01,1281.85
126,54.13,1280.74
127,54.6,1282.49
128,54.14,1281.87
129,54.23,1279.6
130,54.26,1276.87
131,54.51,1282.1
132,54.11,1280.24
133,54.05,1281.49
134,54.5,1282.74
135,54.08,1284.24
136,53.93,1280.98
137,53.96,1282.24
138,54.29,1280.35
139,53.86,1281.99
140,54.4,1280.74
141,54.23,1281.17
142,54.31,1281.55
143,54.27,1281.48
144,54.21,1284.1
145,54.32,1283.85
146,54.48,1285.1
147,55.54,1281.87
148,54.99,1280.23
149,55.16,1278.74
150,54.25,1282.6
151,53.97,1279.49
152,54.16,1280.62
153,54.29,1283.55
154,54.94,1280.98
155,54.52,1283.85
156,54.14,1284.62
157,54.22,1283.05
158,53.99,1283.87
159,54.43,1281.73
160,54.29,1282.87
161,54.72,1279.48
162,54.17,1276.12
163,54.13,1278.1
164,54.39,1277.49
165,54.64,1281.35
166,54.34,1278.6
167,54.54,1281.12
168,54.63,1284.24
169,54.5,1287.87
170,54.75,1284.37
171,54.8,1282.35
172,54.62,1280.49
173,54.35,1279.62
174,54.98,1280.23
175,54.66,1279.37
176,54.79,1281.85
177,55.32,1284.24
178,54.48,1284.35
179,54.52,1280.23
180,54.58,1277.99
181,54.47,1281.23
182,54.42,1284.35
183,54.76,1281.35
184,54.93,1280.6
185,54.51,1284.1
186,54.63,1286.1
187,54.6,1285.3
188,54.26,1280.98
189,54.52,1279.85
190,54.39,1281.42
191,54.03,1278.42
192,54.51,1278.49
193,54.55,1279.98
194,54.29,1280.87
195,53.85,1280.74
196,54.31,1280.85
197,53.77,1277.35
198,55.26,1280.1
199,55.07,1278.1
