epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,30.87,20.73,16.72,10.95,19.8175,8.390817898155102
1,29.16,18.98,17.63,9.85,18.904999999999998,7.932828415304763
2,57.48,29.75,17.04,13.68,29.487499999999997,19.903653559083065
3,46.28,23.57,17.9,14.13,25.47,14.405630843527819
4,65.18,38.02,18.24,12.99,33.6075,23.646946772610345
5,54.11,28.8,19.42,13.98,29.0775,17.775496945702155
6,67.71,41.6,20.19,14.48,35.995,24.15195299211501
7,58.49,39.41,21.31,14.48,33.4225,19.746397772758453
8,66.03,48.73,22.48,15.17,38.10249999999999,23.543230272557473
9,61.55,44.1,21.74,15.92,35.8275,21.01465738478741
10,65.6,54.26,24.55,16.92,40.332499999999996,23.307039530293558
11,60.38,51.17,23.04,16.92,37.8775,21.153575544889176
12,66.7,58.74,25.38,17.96,42.195,24.113008245896378
13,61.23,56.3,23.91,17.61,39.7625,22.183909146045472
14,66.13,62.83,26.79,19.4,43.787499999999994,24.121009341788884
15,63.08,63.83,24.0,19.05,42.49,24.294425972501042
16,66.69,69.11,27.77,19.6,45.792500000000004,25.763468160685715
17,67.08,69.81,21.55,19.15,44.3975,27.807286065586
18,67.36,73.59,25.71,21.09,46.9375,27.36259170838903
19,65.94,75.88,22.12,20.65,46.1475,28.886028197036712
20,67.8,76.53,25.1,20.65,47.519999999999996,28.737384478526693
21,67.28,79.47,23.04,21.44,47.8075,29.94643147911506
22,67.86,81.07,24.62,22.84,49.097500000000004,29.793044350429625
23,67.22,81.46,24.45,22.84,48.9925,29.847768621233087
24,68.16,83.36,24.72,24.08,50.08,30.296173575772457
25,68.84,82.81,25.43,24.73,50.4525,29.848955732710873
26,68.32,84.6,28.0,25.32,51.559999999999995,29.5304949727114
27,69.47,84.3,25.98,24.53,51.06999999999999,30.422977062301662
28,69.28,86.75,27.41,25.27,52.1775,30.68765156106497
29,69.16,85.8,32.86,26.12,53.485,28.660069202056484
30,68.43,87.19,32.87,27.31,53.95,28.685792069710516
31,68.21,87.49,32.14,26.42,53.565,29.219076531152268
32,70.8,89.69,33.94,28.46,55.722500000000004,29.43265349346991
33,71.13,88.24,33.37,28.71,55.362500000000004,29.003274958758247
34,71.05,90.23,35.64,30.35,56.8175,28.682016868879124
35,71.4,89.09,39.19,28.71,57.097500000000004,28.015533042700916
36,73.47,90.38,37.19,31.09,58.0325,28.54811888140209
37,72.18,90.03,37.12,29.1,57.1075,28.83858222936766
38,73.48,90.63,39.05,32.94,59.025000000000006,27.611899005078712
39,71.95,90.53,38.78,30.05,57.82750000000001,28.303682180945998
40,76.05,91.78,38.02,33.78,59.9075,28.508159504488063
41,75.66,91.63,39.21,30.95,59.3625,28.98386605797554
42,78.09,91.63,43.78,34.63,62.0325,27.19010895528004
43,76.21,91.13,43.7,35.47,61.62749999999999,26.385961387323626
44,79.48,91.93,41.08,35.67,62.040000000000006,27.882277525338566
45,79.2,92.18,44.88,34.68,62.735,27.349517363200402
46,77.52,91.98,46.01,35.67,62.795,26.369753506621937
47,78.27,91.93,44.78,36.22,62.8,26.577525593378077
48,80.05,92.83,45.65,34.48,63.2525,27.656760927483898
49,80.01,92.73,48.46,35.67,64.2175,26.61844144573457
50,81.17,92.38,44.08,35.57,63.3,27.708871022351907
51,78.78,92.43,47.36,37.56,64.0325,25.837132677601826
52,82.01,92.78,45.2,36.27,64.065,27.5380010167768
53,82.03,92.97,50.28,38.36,65.91,25.790162207063894
54,83.26,92.73,44.13,35.37,63.8725,28.347776367821165
55,77.35,92.18,50.24,38.81,64.64500000000001,24.457749283202656
56,81.42,92.78,46.85,37.96,64.7525,26.468118400571402
57,82.46,92.87,52.75,38.71,66.69749999999999,25.240767784148986
58,80.69,93.12,42.46,37.31,63.395,27.697136434416223
59,80.36,92.23,54.58,40.4,66.8925,23.641860297644374
60,82.14,92.87,47.73,36.12,64.71499999999999,27.095503316971254
61,81.57,92.48,54.99,40.95,67.4975,23.68802703899166
62,83.73,92.87,48.97,38.51,66.02000000000001,26.34431754034761
63,82.83,93.12,52.69,40.55,67.2975,24.744480024172397
64,85.53,93.47,43.67,37.26,64.9825,28.615246955658677
65,81.84,92.92,54.9,40.5,67.53999999999999,24.080182723559222
66,81.5,92.97,48.67,37.31,65.1125,26.381339838352915
67,81.84,92.73,53.17,40.85,67.14750000000001,24.202361282872108
68,84.0,93.27,50.61,37.96,66.46,26.393813669115723
69,81.57,92.92,57.21,41.49,68.2975,23.266581721430416
70,83.0,93.57,51.71,37.26,66.385,26.32301717762106
71,83.23,92.68,53.61,41.79,67.82750000000001,24.048371219966924
72,82.3,93.57,49.87,37.66,65.85,26.388364860294015
73,84.1,93.07,51.39,40.15,67.1775,25.406846026218993
74,82.04,93.42,50.91,38.51,66.22,25.770477941499912
75,83.08,93.17,57.59,41.49,68.8325,23.58891883208441
76,84.26,93.72,54.18,36.87,67.25750000000001,26.355075886819222
77,81.73,92.78,56.55,41.54,68.15,23.335990801049498
78,84.11,93.57,51.83,37.56,66.7675,26.42816222012672
79,82.18,93.32,52.82,40.65,67.24249999999999,24.619331665718846
80,85.28,93.27,47.04,38.26,65.9625,27.35175116270742
81,82.54,93.12,60.32,41.84,69.45500000000001,22.929499921861943
82,84.64,93.62,52.81,37.81,67.22,26.286958743833413
83,81.12,92.87,57.58,41.59,68.28999999999999,23.067866539120317
84,84.85,93.02,57.74,39.3,68.7275,24.74377682704616
85,82.81,93.27,60.47,40.95,69.375,23.371991071936225
86,83.91,93.37,52.6,38.86,67.185,25.693109971352243
87,82.43,92.73,58.92,42.29,69.09250000000002,22.792353067055924
88,85.13,94.27,53.45,39.2,68.01249999999999,25.978784132441607
89,82.91,93.17,58.84,41.29,69.0525,23.443091910695852
90,85.78,93.47,57.08,39.75,69.02,25.01996935782829
91,83.78,93.32,62.19,41.69,70.245,23.064568064457657
92,83.98,93.52,53.07,39.05,67.405,25.600925113492806
93,83.71,93.37,60.13,41.94,69.7875,23.22872413629298
94,86.29,93.62,55.36,40.4,68.9175,25.2261165923995
95,86.2,93.27,61.53,42.79,70.9475,23.183808106808797
96,85.25,93.67,58.18,38.91,69.0025,25.13398678416671
97,84.09,93.62,64.49,41.39,70.8975,23.109180535016815
98,87.52,93.72,59.43,39.05,69.93,25.424375443000887
99,85.43,93.62,61.13,41.49,70.4175,23.712086053318888
100,88.25,93.27,57.07,39.75,69.585,25.535034103495274
101,85.14,93.37,66.01,41.59,71.5275,23.015152074231445
102,89.36,93.37,57.22,41.44,70.3475,25.16270702845781
103,85.11,92.68,63.45,41.59,70.70750000000001,23.026961552348443
104,87.98,93.67,60.74,40.35,70.685,24.809557969997506
105,86.6,93.32,64.45,41.69,71.515,23.398433708263465
106,89.11,93.47,63.33,41.94,71.96249999999999,24.031090105666593
107,86.97,93.37,64.21,41.39,71.485,23.645810763572197
108,88.13,93.47,63.64,41.49,71.6825,23.95470917516359
109,85.65,93.17,66.77,40.5,71.5225,23.47468334894708
110,87.64,93.77,65.31,41.29,72.0025,23.849546990806065
111,88.42,93.67,65.92,41.29,72.325,23.936396971975547
112,88.31,93.37,68.6,41.84,73.03,23.378301905827122
113,86.7,93.27,69.28,40.8,72.5125,23.439928007568625
114,90.01,93.92,66.31,41.29,72.88250000000001,24.339347259119343
115,87.81,93.52,70.55,42.29,73.5425,23.00967821736468
116,89.67,93.92,66.74,42.64,73.24249999999999,23.63766256774698
117,87.75,93.37,67.97,41.94,72.7575,23.254309098888893
118,88.79,93.52,69.77,42.69,73.6925,23.076721857028712
119,86.97,93.47,69.85,41.59,72.97,23.171022132540173
120,89.2,92.97,71.7,42.54,74.1025,22.99188606878522
121,89.07,94.07,68.62,40.75,73.1275,24.230639522444854
122,90.57,93.12,70.23,42.54,74.11500000000001,23.409619817502378
123,88.39,93.37,69.46,40.6,72.955,23.903085574879242
124,91.38,93.77,70.37,41.84,74.34,24.08247910826458
125,90.37,93.67,68.76,42.14,73.735,23.784603563369867
126,90.46,93.57,72.01,42.44,74.61999999999999,23.46893407606461
127,89.54,93.82,72.04,41.19,74.14750000000001,23.90658678412012
128,90.56,93.17,71.19,43.23,74.53750000000001,23.059747577398443
129,88.57,93.72,71.6,41.49,73.845,23.549432406465055
130,90.58,92.97,72.18,42.39,74.53,23.35335950136511
131,89.95,93.32,71.73,41.24,74.06,23.846879600204858
132,91.53,93.67,72.01,42.84,75.01249999999999,23.5585432133087
133,90.25,93.17,72.13,41.34,74.2225,23.815442294164235
134,90.92,93.67,72.16,41.89,74.66,23.84596821267696
135,89.92,93.47,73.52,42.19,74.77499999999999,23.39680391278547
136,91.85,93.82,72.28,43.03,75.245,23.575086426140622
137,90.87,93.47,72.63,42.59,74.89000000000001,23.444789044334208
138,91.65,93.57,72.16,42.74,75.03,23.59969632572984
139,88.51,93.42,72.99,43.03,74.48750000000001,22.70746481519532
140,89.81,93.27,73.89,44.03,75.25,22.459237149407663
141,90.29,93.42,73.65,42.59,74.98750000000001,23.275956657747354
142,90.8,93.17,73.7,42.94,75.1525,23.160522986323087
143,91.1,93.72,72.11,41.74,74.6675,23.97071737905786
144,91.44,93.67,72.55,42.64,75.075,23.6078525071638
145,89.86,93.37,73.08,41.94,74.5625,23.481630231594515
146,90.23,93.07,73.72,44.08,75.27499999999999,22.478583140402776
147,90.88,93.57,72.41,42.74,74.9,23.41221191315905
148,90.81,93.22,71.58,42.94,74.6375,23.24463289306444
149,90.71,92.97,73.13,43.98,75.1975,22.622306653684397
150,90.05,93.27,73.25,43.63,75.05,22.711412696410292
151,90.76,93.32,72.74,43.33,75.0375,23.036860861092453
152,90.58,93.82,73.09,42.54,75.00750000000001,23.482108614858248
153,90.92,93.22,73.22,43.83,75.2975,22.802032621384146
154,91.1,92.97,71.49,43.83,74.8475,22.846785878980878
155,90.76,92.83,72.7,44.43,75.18,22.405146730160016
156,90.83,93.32,72.06,45.02,75.30749999999999,22.310513777141033
157,91.85,93.27,73.29,43.08,75.3725,23.373566800982687
158,91.29,93.52,73.39,43.23,75.3575,23.236238041759975
159,91.4,93.52,72.62,43.93,75.3675,22.966783804732724
160,90.55,93.47,73.84,43.18,75.26,23.068961831864044
161,91.22,93.02,73.6,43.93,75.44250000000001,22.762033264480863
162,91.57,93.17,72.92,44.48,75.53500000000001,22.652194154209432
163,91.27,92.97,74.9,44.68,75.955,22.38524886318369
164,92.03,93.02,72.29,42.79,75.03250000000001,23.519958014418307
