epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.65,20.43,16.96,10.7,20.435,9.686452739092193
1,32.07,19.18,17.38,9.4,19.5075,9.391689145196407
2,63.46,34.68,17.26,12.54,31.985,23.0425136070988
3,53.24,26.71,17.92,12.89,27.69,17.965298030740637
4,70.58,43.7,19.25,12.34,36.4675,26.42316076853789
5,60.82,37.17,20.06,12.74,32.697500000000005,21.36107421612187
6,67.41,49.83,23.05,14.03,38.58,24.50588228704828
7,62.53,54.11,22.41,13.23,38.07,23.929301424543645
8,64.41,58.59,25.37,14.38,40.6875,24.562619804627243
9,62.74,62.78,21.02,14.43,40.24250000000001,26.139791347037693
10,63.89,65.97,27.96,15.27,43.27250000000001,25.553019880241163
11,64.87,69.16,20.64,16.17,42.71000000000001,28.178742578996196
12,69.21,72.7,27.9,16.97,46.695,28.401953571306795
13,67.14,74.29,24.9,17.76,46.0225,28.80931142877247
14,69.92,74.29,30.49,20.55,48.81250000000001,27.25871405012839
15,69.67,76.73,25.24,20.4,48.010000000000005,29.296069133360994
16,69.99,79.47,28.9,21.64,50.0,28.968837279624
17,71.8,81.02,27.29,22.84,50.7375,29.937236985622658
18,70.32,83.76,35.24,22.29,52.902499999999996,28.89431129132515
19,70.21,83.36,39.02,25.57,54.54,26.80965373393198
20,71.42,83.26,44.26,27.91,56.7125,25.204027951896897
21,74.28,86.8,39.83,27.41,57.07999999999999,28.029685454294107
22,71.6,85.4,47.56,28.31,58.2175,25.33785359891402
23,74.21,87.24,47.24,28.86,59.3875,26.29929197399301
24,72.4,85.75,51.4,31.24,60.197500000000005,23.928811608602718
25,74.63,87.69,52.27,31.64,61.557500000000005,24.73265233788456
26,73.08,85.7,58.37,32.19,62.335,22.99145130985283
27,77.43,90.18,52.74,31.44,62.947500000000005,26.129596724787014
28,75.37,88.89,57.75,34.33,64.085,23.58058170048681
29,78.37,89.89,58.06,34.63,65.2375,24.27992226099581
30,74.33,89.49,61.61,34.98,65.1025,23.090109534892495
31,79.41,91.53,57.61,33.08,65.4075,25.718497072470363
32,78.8,91.23,63.22,35.72,67.2425,23.936196265628062
33,78.38,91.18,59.58,35.02,66.03999999999999,24.41493531973138
34,79.18,91.38,63.46,36.12,67.535,23.85859663377822
35,80.47,91.83,63.86,36.27,68.1075,24.133352267487968
36,79.4,91.08,67.03,36.97,68.62,23.27309319077863
37,80.87,91.73,63.96,35.92,68.12,24.318307232755053
38,78.79,90.53,67.8,39.55,69.1675,21.817540917038905
39,78.95,91.83,66.4,37.01,68.5475,23.448613853843614
40,81.11,91.73,66.4,39.95,69.7975,22.445663835137513
41,82.07,92.73,65.1,36.27,69.0425,24.633266632746864
42,80.07,91.13,69.51,39.0,69.9275,22.42841111180192
43,79.67,92.08,68.86,37.71,69.58,23.26852953382888
44,80.88,91.93,68.69,39.05,70.1375,22.79504533153349
45,80.24,92.53,68.72,38.16,69.9125,23.294147154739683
