epoch,local_time_s,peak_vram_mb
0,55.54,3248.42
1,54.98,3254.17
2,55.28,3250.79
3,55.54,3251.42
4,55.31,3253.92
5,55.27,3253.67
6,55.3,3258.29
7,55.37,3253.79
8,55.42,3253.67
9,55.6,3251.04
10,54.94,3255.29
11,55.65,3257.54
12,55.02,3251.92
13,55.65,3252.79
14,55.59,3256.42
15,55.75,3256.79
16,55.8,3253.92
17,55.27,3253.29
18,55.61,3252.04
19,55.4,3253.42
20,55.66,3257.29
21,55.14,3253.04
22,55.03,3251.29
23,55.51,3248.92
24,55.44,3252.17
25,55.22,3257.67
26,55.26,3255.42
27,54.95,3246.79
28,55.85,3246.67
29,54.97,3242.92
30,55.47,3250.04
31,55.31,3244.17
32,54.98,3243.42
33,55.36,3249.29
34,55.39,3247.04
35,55.33,3248.17
36,55.46,3251.42
37,55.43,3250.79
38,55.3,3253.92
39,55.14,3248.67
40,55.68,3252.04
41,54.28,3242.92
42,54.78,3245.79
43,54.65,3246.29
44,54.88,3246.54
45,55.88,3243.42
46,55.26,3239.04
47,55.41,3246.29
48,55.36,3243.79
49,55.05,3248.67
50,55.61,3249.29
51,54.99,3251.17
52,55.53,3241.04
53,55.44,3253.42
54,55.2,3247.79
55,55.52,3248.67
56,55.58,3243.17
57,55.12,3252.54
58,55.14,3245.67
59,54.92,3244.67
60,55.32,3247.67
61,55.11,3242.42
62,55.78,3243.17
63,55.01,3250.54
64,55.4,3248.17
65,55.68,3252.54
66,54.97,3247.17
67,55.33,3249.67
68,55.15,3247.67
69,55.15,3252.17
70,55.73,3248.79
71,55.4,3248.29
72,55.35,3247.04
73,55.22,3256.04
74,55.44,3253.29
75,55.6,3243.42
76,54.95,3247.04
77,55.3,3249.29
78,55.21,3244.42
79,55.23,3243.29
80,55.15,3247.04
81,55.88,3247.54
82,55.01,3242.17
83,55.36,3244.29
84,55.26,3240.04
85,55.29,3241.67
86,55.18,3242.04
87,55.85,3242.54
88,55.45,3244.67
89,55.25,3238.42
90,55.44,3241.04
91,55.24,3246.92
92,55.96,3246.54
93,55.44,3251.79
94,55.56,3245.54
95,55.44,3246.42
96,55.52,3245.79
97,55.58,3245.54
98,55.45,3244.67
99,55.09,3242.92
100,55.15,3247.42
101,55.16,3248.42
102,55.23,3248.54
103,55.06,3249.17
104,55.5,3249.04
105,55.27,3246.92
106,55.06,3245.29
107,55.05,3247.42
108,55.01,3244.54
109,55.36,3247.79
110,55.24,3249.79
111,55.03,3245.67
112,55.29,3245.42
113,55.34,3245.04
114,55.07,3243.67
115,55.97,3245.42
116,55.47,3245.17
117,55.46,3248.29
118,54.85,3246.92
119,55.57,3247.92
120,55.28,3249.42
121,55.26,3247.92
122,55.34,3247.42
123,55.57,3248.92
124,55.69,3255.29
125,55.1,3245.04
126,55.17,3246.54
127,55.36,3246.67
128,54.82,3244.92
129,55.54,3248.79
130,55.23,3244.67
131,55.29,3242.54
132,55.3,3246.67
133,54.7,3238.79
134,56.08,3249.79
135,54.27,3248.04
136,55.36,3243.54
137,55.21,3239.17
138,55.31,3237.92
139,54.94,3239.92
140,55.44,3238.17
141,55.01,3236.67
142,55.21,3244.42
143,54.72,3240.42
144,55.23,3242.29
145,55.2,3237.92
146,55.87,3243.54
147,55.0,3239.92
148,55.12,3246.17
149,55.83,3237.79
150,55.43,3238.67
151,55.75,3236.04
152,54.95,3238.04
153,55.46,3240.42
154,55.45,3241.92
155,55.27,3242.04
156,54.84,3237.92
157,55.34,3246.04
158,55.05,3247.79
159,55.66,3244.42
160,55.14,3244.42
161,55.93,3251.42
162,55.07,3246.04
163,55.76,3249.67
164,55.16,3244.04
165,55.43,3242.42
166,55.38,3244.54
167,55.62,3241.54
168,55.19,3237.67
169,55.28,3250.67
170,55.43,3246.17
171,55.56,3245.17
172,55.39,3247.29
173,55.29,3245.92
174,55.77,3246.17
175,55.43,3244.17
176,55.78,3247.04
177,55.36,3246.67
178,55.2,3246.79
179,54.97,3247.92
180,55.45,3241.54
181,54.89,3240.04
182,55.31,3243.17
183,55.06,3237.17
184,55.72,3240.54
185,55.06,3235.04
186,55.09,3236.67
187,55.16,3241.29
188,55.31,3243.92
189,55.86,3239.17
190,54.91,3244.67
191,55.84,3238.17
192,55.29,3235.54
193,55.34,3235.92
194,55.03,3234.42
195,55.17,3239.92
196,55.58,3239.04
197,55.41,3239.29
198,55.37,3241.29
199,55.29,3236.17
