epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,37.71,19.28,18.0,10.25,21.310000000000002,11.63845064144422
1,18.76,29.6,10.92,10.85,17.5325,8.860253476434332
2,35.42,18.83,20.91,11.69,21.7125,9.9548794568292
3,48.7,33.48,23.49,12.09,29.44,15.531625800282468
4,56.76,39.51,24.45,13.73,33.6125,18.706972630546076
5,54.14,48.03,26.51,13.98,35.665,18.69288723908999
6,58.21,56.75,29.56,15.17,39.9225,21.116068723446922
7,57.87,63.78,28.58,16.47,41.675000000000004,22.78654646935336
8,60.9,65.37,32.39,17.56,44.05500000000001,22.921172890292212
9,61.83,68.96,25.39,18.01,43.5475,25.57279592978966
10,64.38,70.55,29.64,19.0,45.8925,25.410826268869467
11,67.54,71.6,30.98,19.95,47.51749999999999,25.912180372687025
12,72.85,77.58,39.03,21.34,52.7,27.05152737523952
13,75.06,78.57,35.91,22.99,53.1325,27.887072721962053
14,74.38,79.62,47.48,24.23,56.427499999999995,25.67048288729035
15,76.51,80.97,50.68,25.17,58.33250000000001,25.82756973339407
16,77.64,84.3,51.13,27.26,60.082499999999996,26.154775695208446
17,78.88,85.95,55.98,28.56,62.342499999999994,25.900718619374253
18,82.47,87.79,60.06,28.06,64.595,27.159382049916623
19,79.32,85.2,66.05,29.25,64.955,25.1147984264258
20,81.77,86.9,68.14,29.75,66.64,25.83606394170753
21,82.37,87.59,70.21,30.85,67.75500000000001,25.658211810906334
22,85.21,88.19,69.77,31.24,68.60249999999999,26.183956124568596
23,84.82,88.59,72.84,31.09,69.335,26.366046979654218
24,86.53,88.74,72.44,31.99,69.925,26.3003149537542
25,82.26,87.34,73.97,30.2,68.44250000000001,26.083716983334003
26,86.21,87.19,74.19,32.34,69.98249999999999,25.781716228107594
27,87.94,88.94,75.12,31.99,70.9975,26.75544601883263
28,85.74,88.19,74.78,32.79,70.375,25.726080800101155
29,89.0,89.49,75.43,32.14,71.515,27.046525962989527
30,86.99,88.09,75.53,33.73,71.085,25.542729559178547
31,88.5,89.29,76.53,33.33,71.91250000000001,26.37583031868381
32,89.6,89.69,76.19,33.93,72.35249999999999,26.388634390585654
33,89.26,89.89,76.94,34.08,72.5425,26.325605247869742
34,87.0,88.54,76.34,32.69,71.14250000000001,26.20268481790877
35,89.24,88.84,76.99,32.74,71.9525,26.75220785281095
36,87.97,88.59,77.42,33.43,71.8525,26.12280788251268
37,90.35,89.19,76.97,33.53,72.50999999999999,26.68220380703213
38,87.14,88.64,77.23,33.53,71.63499999999999,25.90283189151333
39,88.01,88.59,77.82,33.63,72.0125,26.061957428405105
40,89.37,88.19,77.37,34.98,72.4775,25.574976539578685
41,89.89,88.59,77.45,34.08,72.5025,26.21640119594348
42,89.49,88.59,77.77,34.58,72.60749999999999,25.90496268413963
43,88.31,88.89,78.01,33.83,72.25999999999999,26.102916822965717
44,89.62,88.59,77.64,34.53,72.595,25.949225421965878
45,89.99,89.59,78.49,34.03,73.025,26.537311468948772
46,89.16,89.44,78.77,34.63,73.0,26.057430162367634
47,90.91,89.19,78.72,35.47,73.57249999999999,25.966596972520932
48,91.15,88.74,78.36,35.12,73.3425,26.078885936072247
49,90.21,89.64,78.91,35.02,73.445,26.138669310684758
50,88.92,88.09,78.71,35.47,72.79749999999999,25.31202267039651
51,90.76,89.59,79.1,35.52,73.7425,26.015385672072334
52,91.2,89.04,79.43,36.02,73.9225,25.78101934240253
53,92.11,90.08,79.42,36.27,74.47,26.067759141642124
54,92.47,89.09,79.5,36.72,74.445,25.742994516308055
55,92.42,90.13,79.45,36.57,74.6425,26.00339384900876
56,91.91,89.89,79.39,36.37,74.39,25.93402398394819
57,92.43,90.23,79.94,36.52,74.78,26.081143891069402
58,91.84,89.74,79.78,36.42,74.44500000000001,25.89006179984899
59,91.91,90.23,79.89,37.31,74.835,25.57498973606832
60,93.31,90.33,79.95,37.66,75.3125,25.74653682213073
61,93.09,90.53,80.32,37.11,75.2625,26.02631921088087
62,91.52,89.44,80.26,36.62,74.46,25.696624940511803
63,91.88,89.99,80.58,37.66,75.0275,25.397135501206957
64,94.36,89.99,80.29,37.46,75.52499999999999,26.048946875705614
65,93.07,89.64,80.44,36.77,74.97999999999999,26.025496473010204
66,93.98,90.13,80.45,37.61,75.5425,25.920999691369932
67,93.15,89.44,80.75,37.71,75.2625,25.568646653013662
68,93.32,90.88,80.58,37.01,75.44749999999999,26.213051933467543
69,90.56,89.94,80.8,37.66,74.74000000000001,25.119463900861156
70,92.69,90.63,80.35,37.91,75.39499999999998,25.5662505398556
71,91.58,89.24,80.38,37.91,74.7775,25.047211920690895
72,91.39,90.53,80.81,38.36,75.27250000000001,25.0716418489097
73,91.46,90.08,80.97,37.86,75.0925,25.25420278554311
74,91.88,90.33,81.0,37.16,75.0925,25.740853877315985
75,91.34,90.08,81.15,37.71,75.07000000000001,25.316325431099465
76,92.24,90.38,81.04,38.11,75.44250000000001,25.366201101728524
77,92.52,89.99,81.26,38.06,75.4575,25.393991907535924
78,93.69,90.83,81.22,38.36,76.025,25.67021945108118
79,92.69,90.43,81.18,38.31,75.6525,25.38809744086127
80,94.47,90.78,81.05,38.61,76.2275,25.709251739403072
81,91.41,90.08,81.29,37.46,75.06,25.465635668484698
82,94.06,90.88,81.42,38.61,76.2425,25.656261581402177
83,91.07,90.33,81.58,37.56,75.13499999999999,25.41804411568023
84,93.64,90.33,81.42,38.26,75.9125,25.62662596467458
85,91.72,89.94,81.65,39.05,75.59,24.75206792707766
86,93.15,90.78,81.43,38.71,76.0175,25.381086626331296
87,93.29,90.88,81.48,38.71,76.09,25.435543372742533
88,93.91,91.13,81.46,38.71,76.3025,25.62339214467905
89,92.53,90.98,81.81,39.1,76.105,25.119469872325464
90,92.99,90.68,81.75,39.35,76.19250000000001,25.035303573154447
91,91.65,91.18,81.88,39.75,76.11500000000001,24.657243019716002
92,93.63,90.68,81.68,39.65,76.41,25.02819609959935
93,92.53,91.23,81.75,40.05,76.39,24.698518174173937
94,93.79,90.43,81.58,39.6,76.35000000000001,25.03541092133301
95,92.29,90.28,81.75,40.25,76.1425,24.36066689700154
96,92.61,89.94,81.66,39.45,75.915,24.752945279299592
97,91.56,90.03,81.55,39.35,75.6225,24.579188181603286
98,93.88,90.53,81.29,38.66,76.09,25.514979913768304
99,92.28,90.43,81.65,39.75,76.0275,24.62549678009901
100,93.86,90.18,81.58,39.65,76.3175,24.980710391553455
101,91.98,90.23,81.83,39.1,75.78500000000001,24.854693051145627
102,93.97,90.58,81.56,39.35,76.36500000000001,25.22631232133094
103,91.73,90.43,81.56,39.25,75.7425,24.74448541257897
104,93.08,90.38,81.79,38.86,76.0275,25.24157598751182
105,92.26,90.73,81.72,38.61,75.83000000000001,25.245299232398363
106,93.6,91.03,81.78,39.15,76.38999999999999,25.340240724981285
107,91.31,90.18,81.93,38.11,75.38250000000001,25.19762075408444
108,92.64,90.33,81.85,38.31,75.7825,25.40871159661583
109,91.76,90.58,81.81,38.76,75.72749999999999,25.041503382717792
110,92.88,90.43,81.94,38.66,75.97749999999999,25.316111306175497
111,92.11,90.33,82.16,38.71,75.8275,25.121383155922498
112,92.88,90.28,82.02,38.31,75.8725,25.466083817501268
113,90.73,89.84,82.31,38.16,75.25999999999999,25.020057287437748
114,92.91,89.79,81.65,38.51,75.715,25.253447949405512
115,92.52,89.44,81.65,38.56,75.5425,25.075771008418997
116,94.26,90.38,81.49,38.61,76.185,25.613976002695612
117,91.28,89.04,81.84,38.21,75.09249999999999,24.915961918684445
118,93.87,89.79,81.64,38.06,75.84,25.694693356151706
119,92.77,89.94,81.73,37.76,75.55,25.624708128419076
120,94.82,90.43,81.15,37.96,76.08999999999999,26.050905294570217
121,92.86,89.74,81.58,37.46,75.41,25.74310781549112
122,93.23,89.79,81.32,38.06,75.60000000000001,25.522166835909523
123,91.96,88.79,81.0,37.46,74.8025,25.317327893493548
124,93.81,89.24,81.14,37.86,75.5125,25.642557562250563
125,92.29,89.44,81.21,37.76,75.175,25.381862947125583
126,93.64,90.08,81.12,37.56,75.60000000000001,25.90124836116334
127,92.06,89.14,80.81,38.01,75.005,25.119708729733844
128,94.19,89.84,80.89,38.56,75.87,25.482149307570847
129,91.66,89.49,81.05,38.66,75.215,24.796027235560675
130,92.2,89.89,81.08,38.01,75.295,25.314228541803654
131,91.46,89.79,80.74,37.96,74.9875,25.130222674434595
132,93.46,90.08,80.81,39.0,75.8375,25.133831615308214
133,92.18,90.53,81.22,38.66,75.64750000000001,25.12595122577452
134,92.41,90.88,80.81,38.51,75.6525,25.290681254828492
135,93.12,91.18,81.1,38.76,76.03999999999999,25.405694899634874
136,92.87,90.78,80.68,38.66,75.7475,25.29142328273889
137,92.74,91.43,81.25,38.51,75.9825,25.504077288412795
138,94.2,91.43,80.76,39.25,76.41,25.441911615809587
139,92.35,90.58,81.07,39.4,75.85,24.799689514185452
140,93.39,91.03,80.49,38.71,75.905,25.422962717459452
141,93.3,91.48,81.09,39.15,76.255,25.31462620699741
142,93.65,91.13,80.75,39.45,76.24499999999999,25.157267339677414
143,93.42,91.43,81.25,39.5,76.4,25.17084159631272
144,93.54,91.58,81.16,39.2,76.36999999999999,25.368655200200635
145,93.67,90.93,81.3,38.96,76.215,25.396853479647174
146,94.05,91.63,81.38,38.26,76.33,25.967388522272827
147,93.96,91.28,81.66,39.8,76.675,25.144204766373768
148,94.19,92.33,81.4,38.31,76.55749999999999,26.115116152655087
149,94.54,91.23,82.03,39.6,76.85000000000001,25.39104435294723
150,93.96,91.63,81.72,39.2,76.62749999999998,25.509748953423014
151,94.32,90.43,81.91,39.65,76.57749999999999,25.157927014495186
152,93.68,91.38,81.73,38.76,76.3875,25.613646590570948
153,94.0,90.78,81.81,39.3,76.47250000000001,25.31272061632254
154,94.47,90.73,81.64,38.96,76.44999999999999,25.56739460067581
155,95.24,90.83,81.71,39.45,76.80749999999999,25.53432248954336
156,94.96,90.28,81.61,39.5,76.5875,25.33601833358983
157,95.52,90.78,81.8,39.2,76.825,25.72052552599447
158,95.32,91.08,81.6,39.1,76.775,25.7632574286198
159,95.31,90.48,81.83,39.3,76.73,25.56882085666056
160,94.89,90.88,81.94,39.1,76.7025,25.646091807524982
161,95.35,89.94,81.78,39.15,76.55499999999999,25.55285306966719
162,95.23,90.53,81.99,38.86,76.6525,25.78417133953827
163,95.19,89.54,82.2,39.55,76.62,25.279059845387188
164,95.49,90.63,82.06,39.9,77.02,25.361841415796288
165,95.36,89.14,81.78,39.25,76.3825,25.369633258418748
166,95.65,89.29,81.78,39.35,76.51750000000001,25.418538346385432
167,95.78,88.99,81.71,39.4,76.46999999999998,25.372353720798813
168,95.27,89.19,81.74,38.71,76.22749999999999,25.61635984418291
169,95.61,87.74,81.93,39.0,76.07,25.341172032879616
170,95.94,88.79,81.88,39.0,76.4025,25.587197808018498
171,95.65,88.94,82.03,39.1,76.43,25.50030980203966
172,95.59,89.44,82.11,39.45,76.6475,25.403144654418934
173,95.59,88.54,81.96,38.51,76.14999999999999,25.703121729989665
174,95.65,89.84,81.94,37.91,76.33500000000001,26.225629321969254
175,95.73,87.84,81.95,38.71,76.05749999999999,25.53032102553093
176,95.58,89.19,82.21,39.15,76.53249999999998,25.512773761392545
177,94.85,87.19,81.57,38.31,75.48,25.37070489100897
178,95.37,88.39,82.21,39.75,76.42999999999999,25.037278872380146
179,94.77,87.69,82.23,39.45,76.035,24.924415740393993
180,95.48,88.09,82.66,39.8,76.50750000000001,25.02934194766881
181,95.31,86.85,82.43,40.1,76.17250000000001,24.634897165065116
182,95.37,87.1,82.48,40.05,76.25,24.71537847845615
183,95.28,86.15,82.25,40.3,75.995,24.415113488711594
184,95.03,86.9,82.48,39.75,76.04,24.74535242559028
185,95.08,86.3,82.06,40.75,76.0475,24.148246830774276
186,95.05,87.29,82.68,40.3,76.33,24.556352877955366
187,94.8,85.85,82.42,40.75,75.955,24.04324783939696
188,95.36,87.74,82.78,40.45,76.5825,24.637714145864532
189,95.15,86.25,82.51,40.0,75.9775,24.563951059767785
190,94.71,85.6,82.41,40.05,75.69250000000001,24.32650457834006
191,94.12,85.45,82.27,40.6,75.61,23.871191842888784
192,94.35,85.15,82.28,40.1,75.47,24.135518777657683
193,94.63,85.0,82.62,40.35,75.65,24.099334707276327
194,94.78,84.3,81.98,39.8,75.215,24.25774034543751
195,94.84,85.2,82.25,40.25,75.635,24.194887200949434
196,95.21,85.2,82.46,39.4,75.5675,24.72655438322668
197,94.37,84.65,82.38,40.1,75.375,24.084789806016577
198,94.0,84.75,81.83,39.3,74.97,24.339253617698855
199,94.5,84.65,81.86,40.6,75.4025,23.826764187918315
