epoch,local_time_s,peak_vram_mb
0,55.64,4097.53
1,56.26,4102.28
2,56.06,4105.15
3,56.56,4110.03
4,56.3,4106.9
5,56.34,4108.65
6,56.75,4103.78
7,55.59,4109.65
8,56.69,4110.15
9,56.41,4104.15
10,56.12,4107.03
11,56.27,4097.65
12,55.99,4099.4
13,56.54,4100.9
14,56.5,4100.65
15,56.51,4103.9
16,56.65,4103.15
17,56.24,4103.28
18,56.99,4097.15
19,56.54,4100.4
20,56.48,4095.9
21,55.94,4095.4
22,56.4,4096.65
23,56.4,4094.65
24,56.11,4091.9
25,56.26,4094.53
26,56.21,4097.4
27,56.11,4099.78
28,56.07,4103.65
29,56.08,4098.53
30,57.07,4101.65
31,56.58,4104.28
32,56.29,4101.65
33,56.67,4098.4
34,56.56,4102.15
35,56.84,4102.53
36,56.11,4098.4
37,56.86,4101.28
38,56.34,4103.65
39,55.99,4101.9
40,57.08,4097.65
41,55.89,4099.15
42,56.2,4099.65
43,56.62,4099.03
44,56.0,4101.53
45,56.67,4101.28
46,55.79,4107.9
47,56.36,4107.4
48,55.95,4105.4
49,55.66,4098.9
50,56.19,4096.28
51,56.29,4098.53
52,56.55,4102.03
53,56.62,4095.4
54,56.45,4096.65
55,56.35,4100.9
56,56.52,4095.78
57,56.32,4093.28
58,56.16,4097.4
59,56.56,4101.65
60,56.49,4101.03
61,56.12,4105.15
62,56.54,4104.65
63,55.74,4105.78
64,55.99,4095.03
65,56.04,4096.65
66,56.39,4095.9
67,56.67,4099.9
68,56.1,4099.15
69,56.73,4094.15
70,56.13,4095.78
71,56.1,4095.53
72,55.96,4096.78
73,55.95,4093.53
74,56.66,4097.4
75,55.98,4091.28
76,56.08,4090.78
77,56.61,4089.53
78,56.09,4094.65
79,56.46,4086.9
80,56.49,4090.9
81,56.2,4095.9
82,56.42,4093.53
83,55.9,4095.4
84,56.67,4092.78
85,56.28,4093.9
86,56.14,4094.03
87,56.29,4100.78
88,56.39,4095.03
89,56.46,4097.9
90,56.51,4096.4
91,56.47,4091.9
92,56.7,4093.65
93,56.51,4091.65
94,56.33,4097.03
95,56.66,4091.4
96,56.05,4090.15
97,56.29,4088.9
98,55.94,4094.78
99,56.07,4095.15
100,56.37,4095.65
101,56.45,4096.03
102,56.35,4093.03
103,56.25,4098.65
104,56.13,4099.4
105,56.22,4096.4
106,56.36,4095.15
107,56.08,4090.03
108,55.97,4092.4
109,56.1,4099.03
110,56.44,4097.53
111,56.3,4094.65
112,56.63,4097.28
113,56.72,4097.9
114,57.04,4103.28
115,56.18,4095.78
116,56.55,4094.03
117,56.53,4092.53
118,56.23,4092.9
119,56.46,4088.4
120,55.69,4090.28
121,56.37,4095.03
122,56.38,4094.9
123,56.35,4092.65
124,56.1,4096.9
125,56.19,4094.78
126,56.03,4094.53
127,56.3,4102.9
128,56.29,4097.15
129,56.9,4099.03
130,55.96,4095.78
131,56.35,4090.78
132,56.18,4093.9
133,55.98,4096.03
134,56.2,4096.53
135,56.41,4096.53
136,56.08,4095.65
137,56.2,4095.65
138,56.72,4097.65
139,56.06,4104.65
140,56.85,4104.03
141,56.38,4103.65
142,56.32,4100.65
143,56.54,4101.28
144,56.0,4100.4
145,56.89,4099.65
146,56.32,4092.65
147,55.93,4098.15
148,56.46,4097.53
149,56.09,4100.03
150,56.71,4095.15
151,55.9,4103.03
152,55.91,4095.53
153,56.39,4091.15
154,56.61,4102.65
155,56.72,4101.28
156,56.5,4101.53
157,55.97,4103.03
158,56.25,4099.4
159,56.1,4093.65
160,56.11,4099.65
161,56.73,4099.53
162,56.07,4099.28
163,56.54,4101.15
164,56.16,4091.15
165,56.87,4097.28
166,55.95,4088.65
167,56.64,4084.15
168,56.77,4086.15
169,56.33,4084.65
170,56.59,4092.78
171,56.48,4090.28
172,56.84,4088.28
173,56.08,4092.9
174,56.23,4091.65
175,56.41,4096.9
176,55.88,4096.4
177,56.71,4096.78
178,56.24,4095.53
179,55.74,4093.03
180,56.23,4088.4
181,56.01,4093.53
182,56.47,4091.4
183,56.61,4091.65
184,56.06,4089.53
185,56.26,4090.03
186,56.08,4092.65
187,56.56,4100.78
188,56.67,4094.15
189,55.92,4093.78
190,56.44,4093.4
191,56.11,4095.4
192,56.41,4096.03
193,56.85,4098.15
194,56.16,4092.4
195,56.71,4091.4
196,56.9,4090.65
197,57.04,4100.9
198,56.96,4098.9
199,56.85,4092.9
