epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.2,20.43,17.02,10.8,20.3625,9.441392464391399
1,13.43,27.45,9.2,10.9,15.245,8.32020232125798
2,33.64,17.04,19.05,11.79,20.380000000000003,9.354859699642748
3,45.49,29.35,19.8,12.69,26.8325,14.188099179711614
4,54.84,39.71,19.93,13.53,32.002500000000005,18.867392285810634
5,55.06,46.04,21.72,13.83,34.1625,19.544878911537587
6,60.61,54.76,25.89,14.78,39.01,22.16491070739214
7,60.06,62.43,24.79,14.28,40.39,24.479669115410854
8,60.05,64.52,29.27,15.32,42.29,23.85016981071623
9,61.08,69.26,21.88,16.62,42.21,26.80756360930002
10,62.49,69.61,28.74,18.31,44.7875,25.087282800919937
11,64.25,72.75,22.26,20.5,44.94,27.43457793855533
12,69.97,76.88,29.1,20.9,49.2125,28.298849652709677
13,67.54,77.08,29.07,22.69,49.095,27.212759874735234
14,71.87,79.22,32.18,24.38,51.9125,27.637001013134547
15,71.1,81.46,34.37,25.22,53.0375,27.424935581814346
16,71.53,82.06,36.88,27.61,54.519999999999996,26.35089751792147
17,72.61,82.61,42.56,29.75,56.8825,24.836566288438505
18,74.94,87.0,44.26,29.7,58.974999999999994,26.544545579082722
19,72.54,84.45,53.9,30.2,60.2725,23.664368961232274
20,72.54,86.85,54.79,31.49,61.4175,23.875378356513362
21,74.72,85.9,58.03,34.08,63.182500000000005,22.529258568951327
22,73.7,87.99,57.39,34.93,63.5025,22.784329958694563
23,73.29,87.64,62.5,34.13,64.39,22.649593079494093
24,74.45,88.09,63.26,36.32,65.53,21.961306882788193
25,73.38,86.5,65.44,36.22,65.38499999999999,21.294471113413454
26,76.77,88.64,66.91,37.01,67.3325,22.080975786107523
27,77.7,89.34,66.3,37.91,67.8125,22.042709112085113
28,77.17,89.79,67.92,38.36,68.31,21.886408263273047
29,77.04,89.94,69.53,38.56,68.76750000000001,21.83104421842131
30,77.65,90.28,69.89,39.9,69.42999999999999,21.405010316901667
31,75.92,90.53,69.84,40.05,69.085,21.21482579078446
32,80.82,91.93,70.16,40.1,70.7525,22.284283512526642
33,78.32,90.33,71.17,40.85,70.1675,21.08325144911635
34,79.88,91.23,72.65,41.19,71.23750000000001,21.44170604997031
35,80.09,90.93,73.6,40.7,71.33,21.635213580333954
36,81.74,91.58,73.98,40.4,71.925,22.216374591728506
37,80.52,90.93,73.27,41.59,71.57749999999999,21.265012540164026
38,83.04,91.13,74.14,41.89,72.55,21.585644921258822
39,81.34,91.13,74.61,42.14,72.30499999999999,21.223038582320548
40,83.6,91.53,74.61,42.39,73.0325,21.566029421291255
41,82.85,91.78,74.75,42.59,72.9925,21.428495630818322
42,81.27,90.83,75.86,42.59,72.63749999999999,20.966035032881155
43,81.7,91.53,75.6,42.69,72.88,21.169548885132155
44,85.95,91.88,75.5,43.73,74.265,21.453351719486633
45,84.46,92.53,74.88,44.33,74.05,21.08590208330359
46,84.37,92.43,76.09,42.94,73.95750000000001,21.727757017234893
47,85.06,92.43,75.55,43.53,74.14250000000001,21.546311942727773
48,86.78,91.98,76.26,43.18,74.55,21.911783739957517
49,85.41,92.18,76.36,42.84,74.19749999999999,21.886523060245697
50,85.38,91.08,76.33,43.58,74.09249999999999,21.228925824607014
51,86.26,92.28,76.5,43.93,74.7425,21.54619591327744
52,87.71,92.33,77.09,43.43,75.14,22.081874920395684
53,87.32,92.73,76.97,44.23,75.3125,21.728771057440564
54,87.52,92.13,77.23,43.88,75.19,21.782792903268085
55,84.51,91.78,76.88,42.84,74.0025,21.64738995044591
56,85.79,92.08,77.96,43.08,74.72749999999999,21.874654092503192
57,86.94,92.23,77.79,43.48,75.11000000000001,21.91409439911523
58,85.05,91.48,77.02,44.03,74.39500000000001,21.089887782220814
59,86.22,92.13,77.8,44.83,75.24499999999999,21.1120352721696
60,88.28,92.92,77.64,44.68,75.88,21.761274472481308
61,87.19,92.58,77.9,44.48,75.5375,21.574500959852273
62,86.75,91.98,77.84,45.17,75.43500000000002,21.00413054615687
63,86.58,92.58,77.19,45.17,75.38000000000001,21.11239920046985
64,89.02,92.43,77.02,45.42,75.9725,21.413695578608877
65,87.6,92.97,77.91,45.57,76.0125,21.23027143020079
66,87.98,92.48,78.28,44.98,75.93,21.467261896509612
67,87.5,92.18,78.04,44.58,75.575,21.484086358667124
68,88.06,92.87,78.24,45.07,76.06,21.53840445963133
69,86.28,92.58,77.76,45.47,75.52250000000001,20.935148076858688
70,87.2,92.33,78.37,45.47,75.8425,21.053166626424634
71,86.21,92.08,78.2,46.07,75.64,20.517772783613722
72,87.56,92.33,78.18,45.92,75.9975,20.895464220734606
73,86.19,92.38,77.68,44.98,75.3075,21.097275298009457
74,88.18,93.07,77.3,45.82,76.0925,21.230681218463058
75,88.56,92.83,78.3,46.67,76.59,20.85784424782836
76,88.14,93.27,78.44,45.32,76.2925,21.544576076900032
77,87.76,92.68,78.63,46.37,76.36,20.823507549562027
78,88.57,93.02,78.77,45.22,76.39499999999998,21.618992421788143
79,87.21,92.48,78.91,45.77,76.0925,20.97253183730249
80,90.07,92.63,77.96,46.32,76.74499999999999,21.26848764408665
81,87.8,92.38,78.84,46.62,76.41,20.640752570259316
82,88.93,92.58,78.82,46.32,76.6625,21.048994235671532
83,88.48,92.87,78.16,47.46,76.74249999999999,20.472251748810308
84,89.42,93.17,79.24,46.37,77.05,21.283246932740315
85,86.67,92.58,79.12,46.47,76.21000000000001,20.57769180447603
86,89.05,92.53,79.02,46.12,76.67999999999999,21.16308578634033
87,89.03,92.38,78.71,46.97,76.77250000000001,20.70252218933722
88,89.53,93.12,79.42,46.07,77.035,21.44272759391087
89,87.77,91.98,79.92,47.81,76.87,20.00756690188323
90,88.83,92.63,79.61,47.31,77.095,20.59545176327369
91,88.17,92.68,79.57,48.41,77.20750000000001,19.953713731199684
