epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,30.85,20.88,16.72,10.8,19.8125,8.441063815262465
1,29.51,19.08,17.57,10.15,19.0775,7.975167187380254
2,59.23,30.24,17.11,12.89,29.8675,20.92275057602768
3,47.07,24.51,18.13,14.08,25.947499999999998,14.721608551151377
4,66.89,39.71,18.59,12.84,34.5075,24.48495915863451
5,56.53,30.69,19.79,14.03,30.259999999999998,18.82667965060931
6,68.52,43.05,20.61,13.93,36.5275,24.698696827970497
7,60.87,43.1,21.49,13.98,34.86,21.284963393594705
8,65.29,51.02,22.79,15.02,38.53,23.611899542391757
9,63.16,48.88,21.92,14.68,37.16,22.737387712751875
10,65.27,57.65,24.81,15.97,40.925,24.185738910909183
11,61.69,56.35,22.98,15.67,39.17249999999999,23.213996316877452
12,66.94,62.88,25.37,16.92,43.0275,25.55594043792297
13,62.43,62.88,23.4,17.01,41.43,24.64764897510511
14,67.23,66.82,26.86,19.35,45.065000000000005,25.542451592071842
15,64.76,68.31,22.08,18.71,43.464999999999996,26.713787326647143
16,68.54,72.55,26.32,19.1,46.6275,27.822601573780503
17,69.94,75.19,19.6,18.06,45.6975,31.104218765305774
18,69.07,77.48,24.17,20.45,47.792500000000004,29.66318973070833
19,68.35,79.82,21.23,19.25,47.162499999999994,31.448501156652913
20,69.48,80.92,24.85,21.04,49.0725,30.568392581226774
21,68.6,83.26,21.82,20.5,48.545,32.187377960933695
22,69.24,84.8,23.91,22.34,50.0725,31.76455191456875
23,69.01,84.5,23.74,21.94,49.7975,31.77219578499415
24,69.98,86.7,25.23,23.53,51.36,31.900396026799836
25,70.47,85.65,25.34,23.88,51.335,31.481129268182237
26,69.63,86.9,29.38,25.22,52.7825,30.305172688283214
27,71.83,87.24,26.75,24.78,52.65,31.68536675922604
28,72.33,88.29,30.43,26.87,54.480000000000004,30.5638850061092
29,72.44,87.89,34.13,27.21,55.4175,29.399826955273053
30,71.07,88.29,36.14,27.06,55.64,28.874289601650812
31,72.13,89.09,34.81,26.62,55.6625,29.81537564747424
32,75.48,90.58,36.49,28.41,57.74,30.02767945302023
33,75.49,89.49,35.54,28.46,57.245,29.84573280498682
34,76.25,90.43,38.99,29.85,58.88,29.071592090332217
35,76.16,90.33,40.67,28.61,58.94250000000001,29.072107336758375
