epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.3,21.33,17.29,10.65,20.6425,9.517952773574786
1,10.68,25.21,10.04,10.2,14.032499999999999,7.456627365415726
2,47.52,15.79,19.5,11.84,23.6625,16.209611089309536
3,68.32,35.28,18.85,13.33,33.945,24.740386011539915
4,80.78,46.34,19.87,15.12,40.5275,30.14588017734209
5,79.49,47.68,20.76,15.02,40.7375,29.498276079572285
6,83.72,57.05,22.71,15.37,44.7125,31.722186111090558
7,81.61,57.8,23.86,15.32,44.647499999999994,30.72152923168593
8,83.05,61.93,24.78,14.83,46.1475,31.87599763144677
9,82.26,62.63,24.64,16.27,46.45000000000001,31.255170238964734
10,84.01,66.82,26.31,16.52,48.415,32.205952348388436
11,81.6,67.02,26.89,16.97,48.12,31.086737793899612
12,83.79,69.91,27.46,17.66,49.705,32.10270653179677
13,80.61,71.1,29.12,18.01,49.709999999999994,30.774341043581526
14,83.08,73.34,29.15,18.31,50.970000000000006,32.011753049986716
15,80.79,73.49,32.01,18.71,51.25,30.530085707926425
16,83.74,76.28,31.66,20.2,52.96999999999999,31.718228197678382
17,83.56,77.18,32.86,21.24,53.71000000000001,31.256395612204983
18,84.15,79.47,35.17,22.09,55.220000000000006,31.222891175119155
19,84.2,80.67,37.2,23.03,56.275,30.789648152152267
20,84.78,81.81,39.79,23.98,57.589999999999996,30.39943310874947
21,84.88,83.61,43.01,24.63,59.0325,30.068805956782963
22,85.45,84.16,42.89,26.32,59.705,29.76661720787231
23,85.81,84.8,45.86,26.97,60.86000000000001,29.264074676412832
24,86.11,85.6,46.92,28.61,61.81,28.75416607496497
25,85.4,86.4,52.04,28.31,63.0375,28.12372708230544
26,85.87,87.24,53.5,29.5,64.0275,27.80222697914683
27,87.12,86.95,55.75,32.04,65.465,26.72175206331601
28,87.54,88.19,56.68,32.89,66.325,26.702557305746332
29,86.93,87.84,59.13,33.23,66.7825,26.036327666038726
30,87.15,88.29,60.42,34.98,67.71000000000001,25.33671249392865
31,86.64,88.44,62.61,36.12,68.4525,24.561559905673747
32,87.86,89.54,63.11,36.72,69.3075,24.858958646733374
33,87.97,89.19,63.46,39.1,69.93,23.725787658157945
34,87.86,90.03,65.72,38.71,70.58,23.918036429997063
35,87.86,89.44,65.61,40.4,70.8275,23.018733493975436
36,87.85,90.13,67.43,40.9,71.5775,22.856802597913816
37,88.14,90.03,67.62,41.84,71.9075,22.46743031590395
38,90.51,90.73,68.04,42.24,72.88000000000001,23.03384900532258
39,88.18,90.48,69.55,42.59,72.70000000000002,22.153204433369606
40,90.31,91.13,68.74,43.28,73.36500000000001,22.577467380849722
41,89.03,91.53,69.46,43.58,73.39999999999999,22.194216964485744
42,90.89,91.78,70.96,43.43,74.265,22.692774914790245
43,90.5,92.03,71.1,44.73,74.59,22.06869124649972
44,92.06,92.03,72.12,44.58,75.1975,22.469084501450727
45,90.4,92.13,73.07,45.22,75.205,21.763900538889317
46,92.35,92.38,73.61,45.27,75.90249999999999,22.253343381763255
47,91.7,92.18,72.94,46.42,75.81,21.544357343242645
48,92.54,92.48,73.63,46.17,76.205,21.912246956135437
49,91.03,92.78,74.02,46.52,76.08749999999999,21.450947725761054
50,92.96,92.33,73.43,47.66,76.595,21.312397800341472
51,91.73,92.58,73.75,47.26,76.33,21.23631951790768
52,93.47,93.02,74.58,45.97,76.75999999999999,22.333742782316328
53,91.76,92.48,75.7,47.71,76.9125,20.952736297040857
54,93.65,93.02,76.24,48.01,77.73,21.391033947271772
55,92.22,92.68,76.25,48.61,77.44,20.68244827545005
56,93.06,92.87,76.49,47.46,77.47,21.461349755626586
57,92.68,92.97,77.08,48.21,77.735,21.036578460703474
58,93.51,92.73,77.24,48.31,77.9475,21.131301229850155
59,93.36,92.78,77.31,49.2,78.1625,20.689679190359623
60,94.3,93.42,78.01,48.66,78.5975,21.314111718139543
61,93.6,93.17,78.4,48.86,78.5075,20.990142726210003
62,93.89,93.07,78.86,48.51,78.5825,21.2025114471533
63,92.61,93.17,78.42,48.81,78.2525,20.781068908985407
64,94.33,93.62,77.99,48.61,78.6375,21.391586157490366
65,93.87,93.42,79.18,49.15,78.905,20.97674982768621
66,94.72,93.57,78.82,48.56,78.9175,21.49420134982146
67,94.57,93.62,79.41,48.96,79.14,21.281138753992153
68,94.95,93.97,79.13,48.96,79.2525,21.452792164813108
69,94.59,93.72,78.78,50.2,79.3225,20.726785206587152
70,95.15,93.62,79.7,49.95,79.605,20.956266365934557
71,94.41,93.37,79.9,50.3,79.495,20.55468235382553
72,94.61,93.62,80.1,51.04,79.84250000000002,20.310497080738
73,94.26,93.62,80.1,50.15,79.5325,20.647923826218786
74,94.92,93.67,80.57,49.15,79.57749999999999,21.29795510528339
75,93.98,93.77,81.0,49.5,79.5625,20.940691448310233
76,94.9,93.87,80.56,49.25,79.64500000000001,21.289738529786288
77,94.76,93.87,80.02,50.45,79.77499999999999,20.681996196370086
78,95.34,93.42,80.38,49.7,79.71,21.081666600785304
79,94.87,93.47,80.0,49.85,79.54750000000001,20.90264157947507
80,95.18,93.12,80.61,51.09,80.0,20.320162400925835
81,94.64,93.17,81.15,51.09,80.01250000000002,20.206339558003407
82,95.18,93.22,81.25,50.1,79.9375,20.82272536597135
83,94.48,93.17,80.82,50.4,79.7175,20.490912416646236
