epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,35.5,18.29,18.44,9.4,20.407500000000002,10.913347714305328
1,35.5,21.28,17.89,9.8,21.1175,10.729791470480682
2,62.36,33.83,17.82,12.29,31.574999999999996,22.464138087182423
3,60.66,31.34,18.51,12.24,30.6875,21.5048697973273
4,69.72,40.11,18.94,13.28,35.5125,25.561832713376923
5,72.1,39.26,19.9,12.94,36.05,26.48774056049326
6,74.47,47.28,20.62,13.23,38.9,27.860106484601477
7,78.14,48.68,21.85,13.98,40.662499999999994,29.067216785696335
8,77.04,52.57,23.0,13.28,41.472500000000004,29.007193791655663
9,81.61,54.36,23.66,13.53,43.29,30.88668429382906
10,82.51,56.35,24.46,14.33,44.41250000000001,31.075083668431212
11,82.0,56.8,25.66,14.43,44.722500000000004,30.64034635900841
12,82.52,59.49,26.43,15.27,45.9275,30.78412618542225
13,82.1,61.78,27.08,16.12,46.769999999999996,30.553928279900987
14,82.38,65.07,27.45,15.92,47.70499999999999,31.222054704967768
15,83.1,66.02,30.75,16.57,49.11,30.752828596190408
16,85.19,69.36,30.26,17.11,50.480000000000004,32.06058743483448
17,86.41,71.85,31.02,18.06,51.835,32.50664393627862
18,85.42,73.39,34.23,18.11,52.787499999999994,31.81327225650745
19,87.08,74.74,35.11,19.4,54.0825,32.03331013700166
20,86.86,76.88,39.26,20.05,55.7625,31.415062602728224
21,87.18,78.57,42.01,21.14,57.224999999999994,31.018996867511152
22,87.89,80.82,43.58,21.89,58.54499999999999,31.224162118462043
23,89.39,81.27,45.66,22.64,59.739999999999995,31.183969172209835
24,88.85,82.66,48.16,24.08,60.9375,30.401285471725256
25,88.31,83.11,52.58,24.18,62.045,29.759754143249683
26,87.22,82.76,54.45,25.67,62.525000000000006,28.535328395984276
27,89.76,85.4,55.14,27.36,64.415,29.108062456989476
28,89.5,85.45,57.53,28.26,65.185,28.42501304602456
29,89.48,86.85,59.04,28.61,65.99499999999999,28.475056335911496
30,88.66,86.6,61.33,30.5,66.7725,27.187665555051492
31,89.69,87.19,62.48,30.4,67.44,27.578301857317705
32,90.12,88.19,62.68,31.29,68.07000000000001,27.524760973833484
33,89.81,87.74,63.73,32.94,68.555,26.53015956730503
34,89.9,88.19,65.74,33.03,69.215,26.516345273560358
35,90.46,88.09,66.16,33.23,69.485,26.53034300569821
36,90.2,88.04,68.72,33.28,70.06,26.353140230340674
37,91.11,88.69,68.53,34.23,70.64,26.299325720126998
38,92.23,88.64,68.93,35.32,71.28,26.069881728410916
39,91.72,89.04,70.6,34.93,71.57249999999999,26.170300437709923
40,92.15,89.34,70.15,35.62,71.815,26.03515635955864
41,92.64,89.94,71.46,35.97,72.5025,26.11063432779832
42,92.75,89.79,72.94,36.37,72.9625,25.90830931702543
43,92.73,90.33,72.91,36.32,73.0725,26.044905291950414
44,93.55,90.48,73.74,37.06,73.7075,25.93634435176502
45,93.34,90.68,73.84,37.06,73.73,25.92653467010198
46,93.78,91.28,74.71,36.87,74.16,26.260778104745235
47,93.81,91.38,74.66,37.61,74.36500000000001,25.939900411014175
48,93.52,91.03,74.44,37.26,74.0625,25.955454629037032
49,93.18,91.48,74.37,37.41,74.11000000000001,25.899416981855023
50,93.97,91.28,74.48,38.21,74.485,25.67497419667642
51,94.0,91.48,73.52,37.81,74.2025,25.918673287805454
52,94.27,91.63,75.71,37.71,74.82999999999998,26.069282051231607
53,93.56,91.18,77.09,38.51,75.08500000000001,25.443566966917203
54,94.74,91.33,77.32,38.21,75.39999999999999,25.91385086525479
55,94.24,91.43,78.13,38.66,75.61500000000001,25.619017025118925
56,94.4,91.33,78.11,38.86,75.67500000000001,25.540674097081567
57,94.56,91.38,78.48,38.66,75.77000000000001,25.698459097774716
58,93.99,90.58,79.61,38.56,75.685,25.499054230827202
59,95.45,91.28,78.11,38.91,75.9375,25.767456704145253
