epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.21,21.62,17.35,10.6,20.695,9.49699777122574
1,34.39,21.47,17.31,9.6,20.6925,10.371609887894293
2,66.25,33.93,17.09,12.29,32.39,24.406086672522218
3,63.12,28.8,17.83,12.09,30.46,22.85027352133886
4,75.23,41.26,17.95,13.23,36.9175,28.328834986046758
5,74.45,36.67,19.36,13.98,36.115,27.32866931752563
6,79.94,46.94,19.86,13.93,40.167500000000004,30.158025327707822
7,79.79,46.69,21.61,14.73,40.705,29.454920924468066
8,80.55,51.27,21.4,14.28,41.875,30.35748836778168
9,82.72,50.57,22.78,14.63,42.675,30.812692730972625
10,83.3,53.61,23.33,14.58,43.705000000000005,31.247822857494143
11,82.26,53.11,24.62,14.88,43.7175,30.38672558316652
12,82.92,55.26,24.81,15.52,44.627500000000005,30.65586118509803
13,82.73,55.9,25.24,15.47,44.835,30.576311637169933
14,82.57,58.74,25.0,15.82,45.5325,30.82548012602561
15,83.05,58.89,27.3,16.47,46.4275,30.330592229628486
16,83.06,61.63,26.93,16.42,47.010000000000005,30.83451204954172
17,85.27,62.23,27.27,17.41,48.045,31.39542801109741
18,83.72,63.78,29.3,17.26,48.515,30.651283279279948
19,85.73,66.27,29.86,17.51,49.8425,31.635772341870627
20,86.05,69.66,30.74,18.36,51.2025,31.897603227619886
21,85.82,71.35,33.1,18.71,52.245,31.535212593755144
22,87.15,73.84,32.64,19.05,53.17,32.49381787355866
23,87.54,74.44,34.09,19.75,53.955000000000005,32.20863083088134
24,87.29,76.78,35.01,21.09,55.0425,31.971307318698543
25,87.3,77.78,37.45,21.19,55.92999999999999,31.67479229082121
26,87.93,79.37,39.51,22.14,57.2375,31.50648544347656
27,88.31,80.62,40.49,23.58,58.25,31.20601971842399
28,88.49,81.81,43.33,23.78,59.3525,30.95941684958983
29,88.59,82.61,43.8,24.98,59.995,30.645502660803814
30,88.9,84.26,46.29,26.17,61.405,30.267113616376882
31,88.2,84.9,47.66,26.82,61.895,29.743760690269145
32,88.09,86.6,50.11,28.21,63.252500000000005,29.227323260948822
33,88.05,86.3,50.04,31.0,63.8475,28.044494854902744
34,88.35,88.24,54.26,31.09,65.48499999999999,27.9857993751593
35,87.7,88.24,53.96,31.74,65.41,27.585167512028395
36,88.13,88.69,56.9,33.48,66.8,26.723107354248057
37,87.81,88.64,57.61,34.23,67.0725,26.225748638821862
38,90.53,88.89,59.54,36.02,68.745,26.05164678096185
39,88.64,88.74,61.81,36.02,68.8025,25.26273721643533
40,90.16,89.39,61.98,37.56,69.77250000000001,25.158594787202777
41,90.58,89.64,61.99,37.41,69.905,25.400118766126532
42,91.39,89.84,65.21,38.96,71.35,24.700157894232174
