epoch,local_time_s,peak_vram_mb
0,82.45,3244.29
1,82.24,3257.17
2,82.4,3253.29
3,82.12,3260.42
4,82.51,3264.04
5,82.4,3255.92
6,82.5,3254.67
7,82.34,3261.29
8,81.97,3254.42
9,82.64,3256.42
10,82.02,3251.17
11,82.49,3251.79
12,82.51,3247.92
13,82.1,3247.79
14,83.04,3242.04
15,81.94,3241.17
16,82.48,3244.79
17,82.33,3253.04
18,81.7,3246.04
19,82.42,3239.92
20,82.23,3248.42
21,82.06,3244.04
22,82.41,3241.17
23,82.51,3242.79
24,82.79,3239.29
25,82.69,3242.17
26,82.16,3241.17
27,82.26,3240.54
28,82.3,3241.17
29,82.69,3243.79
30,81.65,3243.42
31,82.49,3241.67
32,82.83,3238.29
33,82.4,3243.04
34,82.71,3242.04
35,81.95,3246.04
36,82.27,3242.42
37,81.77,3241.29
38,81.96,3241.29
39,82.25,3245.92
40,82.23,3245.92
41,82.46,3243.42
42,81.78,3245.54
43,82.22,3239.92
44,83.18,3247.54
45,82.36,3242.92
46,81.78,3247.42
47,81.98,3242.92
48,82.07,3244.92
49,82.85,3249.67
50,82.13,3246.54
51,82.3,3247.42
52,82.59,3244.67
53,82.4,3244.79
54,82.03,3242.67
55,82.45,3248.67
56,82.8,3243.79
57,82.47,3243.79
58,82.3,3240.04
59,82.82,3246.04
60,82.19,3243.54
61,82.72,3243.79
62,81.96,3243.92
63,82.64,3239.92
64,82.35,3246.17
65,80.47,3244.17
66,81.43,3244.79
67,81.85,3242.29
68,82.76,3245.29
69,82.79,3247.04
70,82.75,3244.92
71,82.08,3246.04
72,82.06,3243.17
73,82.47,3241.42
74,81.91,3240.67
75,82.28,3241.79
76,82.78,3241.42
77,82.16,3245.04
78,82.75,3243.54
79,81.79,3241.04
80,82.67,3241.04
81,82.25,3238.42
82,81.94,3242.42
83,82.68,3241.17
84,81.47,3241.79
85,82.67,3245.92
86,81.69,3239.42
87,82.79,3245.42
88,82.74,3243.29
89,82.06,3242.92
90,82.18,3242.29
91,81.57,3242.29
92,81.47,3244.92
93,82.34,3249.92
94,82.12,3242.17
95,82.31,3241.17
96,81.5,3246.92
97,82.26,3239.54
98,82.35,3237.42
99,82.19,3239.54
100,82.36,3237.92
101,81.92,3241.04
102,82.85,3242.54
103,82.22,3238.79
104,82.39,3243.17
105,82.6,3239.17
106,82.62,3242.29
107,82.14,3242.29
108,82.07,3236.17
109,81.96,3242.17
110,81.65,3239.17
111,81.69,3244.92
112,82.0,3244.29
113,82.08,3239.17
114,82.36,3246.29
115,81.61,3243.67
116,82.29,3242.04
117,81.8,3245.04
118,82.43,3244.04
119,82.55,3238.54
120,81.9,3238.04
121,82.07,3240.67
122,82.39,3236.42
123,82.14,3242.04
124,82.56,3235.67
125,82.74,3234.29
126,82.17,3242.92
127,83.09,3240.04
128,82.03,3239.79
129,82.08,3245.67
130,82.09,3240.17
131,81.71,3237.04
132,81.92,3243.17
133,82.03,3238.42
134,82.11,3235.29
135,81.8,3232.42
136,82.43,3235.92
137,82.75,3237.42
138,81.15,3231.92
139,82.76,3234.17
140,82.21,3236.92
141,82.79,3237.42
142,82.64,3238.17
143,82.69,3240.67
144,82.65,3236.79
145,82.15,3239.04
146,82.64,3239.54
147,82.69,3236.42
148,82.17,3238.42
149,82.03,3235.17
150,81.85,3236.92
151,81.99,3240.79
152,82.37,3237.29
153,82.12,3241.04
154,82.35,3239.17
155,81.48,3236.42
156,82.78,3238.79
157,82.08,3237.54
158,82.24,3239.29
159,82.3,3241.92
160,82.12,3233.79
161,82.86,3237.92
162,82.17,3240.54
163,82.77,3235.67
164,82.6,3236.67
165,82.61,3236.79
166,83.1,3236.92
167,81.53,3234.67
168,82.31,3232.79
169,82.23,3234.67
170,81.54,3233.79
171,82.31,3234.17
172,82.17,3235.29
173,81.88,3236.79
174,82.17,3237.29
175,81.99,3229.67
176,82.63,3238.79
177,82.2,3235.04
178,82.03,3237.79
179,81.87,3237.29
180,82.23,3241.17
181,82.48,3238.04
182,82.22,3240.79
183,82.59,3241.67
184,82.16,3242.54
185,82.08,3240.67
186,82.28,3237.42
187,81.7,3241.29
188,82.48,3243.79
189,81.59,3240.29
190,82.05,3247.79
191,82.46,3237.42
192,82.19,3237.54
193,82.62,3234.67
194,81.62,3235.29
195,81.91,3233.79
196,82.61,3237.42
197,81.89,3235.04
198,82.22,3237.17
199,82.27,3241.04
