epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,35.15,18.34,18.53,9.5,20.38,10.709985994388601
1,24.51,30.04,12.31,11.99,19.7125,9.020481786837479
2,45.59,18.63,19.74,11.29,23.8125,14.994622091492227
3,62.04,34.88,19.88,13.83,32.6575,21.494263381966206
4,75.75,49.53,22.12,14.98,40.595,27.76785971826661
5,73.34,51.77,23.63,13.98,40.68,27.03859093961814
6,81.86,57.35,24.35,13.33,44.222500000000004,31.295236458605007
7,81.76,57.85,24.62,13.73,44.49,31.136993004035144
8,83.25,62.48,26.15,14.23,46.527499999999996,31.94471930799622
9,80.64,62.83,25.51,15.47,46.1125,30.741117280714874
10,81.81,64.72,27.33,16.02,47.470000000000006,30.938219082552248
11,79.0,64.92,29.25,16.22,47.347500000000004,29.47945202453171
12,81.29,67.36,31.3,17.41,49.34,29.947116722649614
13,78.73,69.91,32.87,17.91,49.855,29.125829888033522
14,81.71,72.99,34.27,18.51,51.87,30.326718692708358
15,80.08,73.34,38.34,19.35,52.7775,28.833326059729334
16,83.88,76.68,37.58,21.0,54.785,30.349894563243545
17,84.95,78.72,40.29,22.64,56.650000000000006,30.068281183555097
18,84.97,79.97,43.66,22.59,57.7975,29.829523825677583
19,84.38,81.76,49.45,24.08,59.91749999999999,28.690321684033684
20,84.92,82.26,52.18,24.83,61.0475,28.34434849607002
21,86.41,84.35,55.21,26.37,63.085,28.321150518060996
22,86.98,84.3,56.44,27.71,63.8575,27.774129899362585
23,87.75,85.9,60.03,29.6,65.82000000000001,27.26135115262387
24,88.16,85.35,60.13,31.49,66.2825,26.398016813137055
25,88.13,86.25,65.1,30.95,67.6075,26.57552555140412
26,88.97,85.7,65.46,31.99,68.03,26.180138782417995
27,91.06,87.39,66.41,33.93,69.69749999999999,26.201162028938082
28,91.87,87.29,66.79,34.13,70.02000000000001,26.29448864939825
29,91.37,88.54,68.44,34.88,70.8075,26.036181715707347
30,91.33,87.69,69.76,35.77,71.13749999999999,25.39343665201699
31,91.54,88.59,70.97,35.72,71.705,25.651451550870696
32,93.51,90.48,68.88,36.02,72.2225,26.50966663313592
33,91.64,89.64,70.82,37.91,72.5025,24.8958475453237
34,91.07,89.39,72.34,37.56,72.59,24.83890630979284
35,91.47,89.04,72.96,37.81,72.82,24.74288180467263
36,91.24,89.39,74.47,36.82,72.98,25.248639567311344
37,91.54,89.94,74.46,37.26,73.3,25.231028516491357
38,93.48,90.33,74.23,38.66,74.17500000000001,25.132882179858854
39,92.78,89.94,76.03,37.76,74.1275,25.325648889350628
40,92.47,89.69,75.76,37.91,73.95750000000001,25.11901985216249
41,92.28,90.48,76.52,37.76,74.25999999999999,25.332235063912808
42,93.32,90.43,76.75,38.16,74.66499999999999,25.387047222287723
43,93.87,90.78,77.6,38.81,75.265,25.306655909727255
44,94.61,90.38,77.53,38.76,75.32,25.432429429110126
45,93.77,90.58,78.88,39.0,75.5575,25.19828350635548
46,94.5,90.58,79.03,39.6,75.92750000000001,25.09280291903105
47,94.13,90.73,79.18,39.5,75.885,25.08637943851869
48,94.47,90.93,79.17,39.45,76.005,25.2322353349837
49,93.95,91.48,79.03,39.65,76.0275,25.115289334055728
50,94.85,90.38,79.39,40.25,76.2175,24.842653340575357
51,95.05,91.63,79.02,40.35,76.5125,25.07450016118633
52,94.67,90.93,80.47,41.24,76.82750000000001,24.47429450804796
53,94.08,90.33,80.88,40.0,76.32249999999999,24.843736132071598
54,95.2,90.88,80.89,40.9,76.96749999999999,24.78058564683248
55,95.05,91.33,81.17,40.95,77.125,24.81988651599089
56,94.74,90.68,81.28,40.7,76.85000000000001,24.750544775149226
57,95.18,90.93,81.54,40.35,77.00000000000001,25.08911716262651
58,94.9,90.18,81.66,40.9,76.91,24.623942278468196
59,95.99,91.28,80.98,41.39,77.41,24.817860504080524
60,95.73,91.08,81.35,41.34,77.375,24.759206368540976
61,95.77,91.58,81.78,41.0,77.5325,25.050638548082297
62,95.19,91.03,81.75,41.0,77.2425,24.806210747848343
63,94.8,91.18,81.88,40.65,77.1275,24.919766418113422
64,95.12,90.83,81.61,41.69,77.3125,24.408064753273663
65,95.8,91.48,81.6,41.24,77.53,24.912676826601082
66,96.17,91.28,81.34,42.29,77.77,24.44487267301673
67,95.75,91.13,82.21,41.84,77.73249999999999,24.579414659425883
68,96.03,91.53,81.81,42.19,77.89,24.52866078692435
69,95.64,91.73,81.82,42.19,77.845,24.471309050940995
70,96.27,91.58,82.19,42.69,78.18249999999999,24.375043760644477
71,95.99,91.23,82.11,43.03,78.09,24.072346513513523
