epoch,local_time_s,peak_vram_mb
0,83.45,4091.03
1,84.21,4100.78
2,84.07,4103.53
3,83.44,4093.53
4,84.0,4095.28
5,83.33,4096.78
6,83.5,4092.78
7,83.63,4093.03
8,83.01,4095.53
9,84.2,4097.53
10,83.73,4096.78
11,83.45,4098.9
12,83.91,4107.65
13,83.22,4092.65
14,84.13,4093.28
15,83.64,4098.28
16,83.77,4100.03
17,84.07,4102.03
18,83.47,4096.78
19,84.68,4097.53
20,83.77,4097.03
21,83.61,4097.4
22,84.36,4091.65
23,83.43,4092.65
24,83.88,4095.28
25,83.41,4090.78
26,79.99,4089.78
27,83.97,4089.78
28,83.61,4091.28
29,83.65,4095.78
30,84.22,4102.28
31,84.23,4100.03
32,83.73,4104.03
33,83.02,4098.4
34,83.76,4095.28
35,83.84,4101.15
36,83.64,4098.65
37,84.44,4100.9
38,83.82,4101.15
39,83.65,4096.78
40,84.37,4102.28
41,83.71,4100.65
42,83.55,4095.4
43,83.02,4094.15
44,83.44,4099.03
45,83.77,4104.65
46,83.79,4098.9
47,83.87,4098.28
48,84.21,4102.78
49,83.94,4103.4
50,83.52,4101.4
51,84.42,4099.03
52,84.32,4106.78
53,83.84,4110.4
54,84.05,4106.03
55,83.67,4107.4
56,84.93,4099.4
57,83.57,4090.9
58,84.07,4096.15
59,83.86,4097.78
60,83.36,4096.15
61,84.2,4094.03
62,83.94,4103.15
63,83.71,4103.65
64,84.13,4098.78
65,83.56,4098.4
66,83.33,4098.9
67,83.99,4094.9
68,83.72,4097.53
69,84.03,4091.9
70,83.51,4090.03
71,83.92,4094.65
72,84.02,4092.78
73,83.68,4094.03
74,84.07,4095.15
75,83.75,4092.53
76,81.57,4089.53
77,82.54,4095.4
78,83.83,4092.4
79,83.35,4096.53
80,83.51,4093.53
81,83.72,4095.28
82,84.06,4100.03
83,84.1,4094.03
84,83.78,4092.15
85,84.08,4095.03
86,83.79,4093.78
87,84.28,4090.03
88,84.31,4094.65
89,83.64,4092.53
90,84.2,4094.53
91,83.9,4096.65
92,83.93,4093.15
93,84.08,4086.03
94,84.29,4086.65
95,84.22,4088.4
96,83.46,4085.78
97,83.4,4090.78
98,83.68,4092.9
99,83.84,4097.15
100,83.32,4100.4
101,83.83,4092.03
102,83.11,4101.4
103,83.45,4096.28
104,83.53,4098.03
105,83.26,4107.03
106,83.8,4102.53
107,83.55,4100.03
108,83.81,4098.53
109,83.57,4100.4
110,83.52,4098.28
111,84.34,4098.15
112,83.35,4098.03
113,84.95,4101.53
114,84.11,4102.03
115,83.58,4091.28
116,83.55,4096.9
117,83.37,4097.53
118,84.65,4092.28
119,83.79,4100.9
120,83.54,4096.53
121,83.77,4097.9
122,83.03,4097.65
123,83.01,4096.78
124,83.79,4099.9
125,83.56,4094.03
126,83.69,4093.78
127,83.27,4097.4
128,83.8,4096.4
129,84.3,4097.78
130,83.95,4097.9
131,83.94,4096.9
132,83.73,4096.15
133,83.89,4097.28
134,83.47,4098.53
135,83.97,4097.9
136,83.35,4103.4
137,83.51,4097.03
138,83.98,4095.4
139,84.07,4092.4
140,83.77,4097.65
141,83.37,4093.65
142,83.25,4099.53
143,83.88,4100.28
144,84.03,4101.03
145,83.69,4104.28
146,83.42,4100.28
147,82.46,4102.03
148,83.48,4100.78
149,83.58,4096.78
150,83.66,4097.78
151,83.6,4093.9
152,83.3,4098.4
153,83.52,4097.53
154,83.35,4098.03
155,83.39,4100.15
156,83.39,4099.53
157,83.36,4096.53
158,83.8,4096.03
159,84.1,4093.53
160,83.97,4103.03
161,84.53,4101.4
162,83.47,4100.4
163,83.8,4099.9
164,84.1,4096.15
165,83.52,4099.53
166,83.29,4100.65
167,83.45,4098.53
168,83.17,4098.53
169,84.16,4099.78
170,82.82,4100.53
171,83.02,4099.28
172,83.36,4103.78
173,83.03,4098.78
174,84.12,4096.28
175,83.41,4097.4
176,83.03,4095.28
177,83.28,4094.9
178,82.67,4097.65
179,83.55,4092.78
180,83.35,4098.9
181,83.43,4099.15
182,83.52,4100.28
183,82.97,4099.4
184,83.3,4102.03
185,83.72,4101.03
186,83.63,4099.03
187,83.64,4100.78
188,83.44,4099.03
189,83.48,4101.53
190,83.28,4101.9
191,83.48,4099.9
192,83.57,4101.53
193,82.72,4104.4
194,83.07,4099.03
195,83.95,4098.28
196,83.12,4095.65
197,83.22,4093.53
198,83.36,4094.65
199,83.47,4097.53
