epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.53,13.15,18.86,9.15,13.1725,4.132250194103288
1,48.11,18.73,18.54,12.69,24.5175,15.97624773426685
2,49.06,23.22,19.69,13.13,26.275,15.754814079089183
3,47.23,35.68,22.25,12.59,29.4375,15.177178866091461
4,51.92,48.93,23.29,13.28,34.355,19.03986782167005
5,51.47,52.02,23.91,15.12,35.63,18.952187208868533
6,54.86,59.64,25.99,15.42,38.9775,21.624243146678378
7,55.13,64.92,26.45,15.62,40.53,23.28652399994469
8,58.19,70.0,26.67,16.52,42.845000000000006,25.347579108598648
9,58.3,72.25,29.0,18.26,44.4525,25.09502656570288
10,58.49,73.54,29.66,19.65,45.335,24.99333844580725
11,57.69,76.53,29.96,19.9,46.02,25.866496992570656
12,59.47,77.93,35.51,20.35,48.315,25.47869371324467
13,61.33,79.87,38.92,21.79,50.4775,25.41813181569409
14,63.07,79.97,43.2,23.03,52.3175,24.638475838952917
15,61.03,80.02,49.2,23.63,53.47,23.59883189199556
16,64.11,81.42,48.41,25.12,54.765,23.923698850024564
17,63.27,82.26,52.68,26.27,56.120000000000005,23.36149395907719
18,63.7,84.4,54.09,27.11,57.325,23.784502657542934
19,67.55,85.0,53.77,29.3,58.90500000000001,23.512473994314874
20,68.34,85.1,57.67,29.4,60.127500000000005,23.390093878962233
21,69.19,86.0,59.91,29.6,61.175,23.65799160255719
22,70.59,87.1,58.7,31.09,61.87,23.594127800507195
23,71.48,87.0,59.65,32.44,62.642500000000005,23.0400757738916
24,72.12,86.25,63.27,31.79,63.3575,23.07496966411874
25,76.03,88.39,64.5,32.44,65.34,24.004820349254857
26,71.36,86.75,66.71,32.04,64.215,23.09641314143822
27,75.76,89.14,66.5,34.78,66.545,23.12622969703449
28,77.71,89.44,67.38,36.07,67.64999999999999,22.901069844005104
29,76.8,88.79,69.06,34.78,67.3575,23.185519007921016
30,78.77,89.09,67.41,37.31,68.14500000000001,22.382441779216133
31,78.4,90.28,68.72,36.92,68.58,22.874276673445507
32,79.67,90.98,68.69,36.87,69.0525,23.30515876367291
33,79.16,90.08,67.93,37.46,68.6575,22.679206886485247
34,72.4,90.33,70.09,36.57,67.34750000000001,22.423937172881423
35,81.52,91.03,71.12,38.11,70.44500000000001,23.039138438752435
36,81.52,91.33,71.06,37.41,70.33,23.455457076481512
37,80.79,90.88,70.28,38.66,70.1525,22.616951422918756
38,81.31,90.33,71.87,39.55,70.765,22.132807473672806
39,81.73,90.53,72.08,38.81,70.7875,22.610732517988
40,82.37,91.48,72.15,39.4,71.35000000000001,22.716365613069947
41,84.2,91.88,72.42,38.71,71.8025,23.468410505755745
42,85.14,92.03,72.65,38.96,72.19500000000001,23.563902478155015
43,83.38,90.88,72.76,40.05,71.7675,22.413706186170998
44,82.46,90.98,73.43,40.05,71.73,22.302524520780153
45,83.37,91.23,73.89,39.85,72.08500000000001,22.629151552809045
46,83.31,90.63,73.32,40.15,71.85249999999999,22.294026666351684
47,82.31,91.13,73.37,40.85,71.915,21.942527201760512
48,84.74,91.83,73.47,39.7,72.435,23.0956741981408
49,84.57,91.68,74.15,42.04,73.11,21.92869505161369
50,84.28,91.48,73.48,41.04,72.57000000000001,22.283635251008757
51,85.73,92.03,73.54,42.09,73.3475,22.20683434590952
52,85.07,91.93,74.46,41.19,73.1625,22.493938998465048
53,86.0,92.58,74.72,40.3,73.39999999999999,23.266462272263627
54,85.05,91.98,75.07,40.75,73.2125,22.72744064634937
55,84.13,91.88,74.32,41.99,73.08,21.936789494667018
56,86.57,92.92,74.64,43.28,74.35249999999999,22.05751780383882
57,88.0,92.28,74.89,43.08,74.5625,22.25407284820766
58,85.19,92.53,74.62,42.29,73.6575,22.16616246293736
59,85.59,92.08,76.37,42.04,74.02000000000001,22.27308839534084
60,85.91,92.18,74.9,43.43,74.105,21.661419621068237
61,86.63,92.18,75.51,42.09,74.10249999999999,22.438920614266035
62,86.43,92.33,75.05,42.69,74.125,22.149867569205316
63,85.8,92.38,75.33,43.23,74.185,21.798236167176462
64,85.81,92.73,74.88,44.33,74.4375,21.374491611887912
65,85.91,92.33,75.56,44.53,74.58250000000001,21.192721038130045
66,87.53,93.57,74.53,43.03,74.66499999999999,22.536627224734996
67,86.42,92.97,75.47,43.78,74.66,21.81577563752127
68,87.14,93.17,75.9,42.79,74.75000000000001,22.476451380648744
69,87.49,93.12,75.46,44.23,75.075,21.842744790891096
70,85.52,92.87,74.95,43.18,74.13,21.90505725473762
71,85.4,92.38,75.9,43.78,74.36500000000001,21.47952435848305
72,85.74,93.17,75.19,44.13,74.5575,21.58476526781486
73,88.25,91.88,75.86,44.88,75.2175,21.35619874884105
74,87.2,93.07,75.91,44.33,75.12749999999998,21.731519926901875
75,87.28,93.32,76.36,45.27,75.55749999999999,21.37677926317869
76,84.97,93.47,75.85,44.78,74.7675,21.24693291591361
77,85.45,92.48,76.59,45.22,74.935,20.849560347083262
78,89.05,93.07,75.9,44.43,75.6125,22.04360583782366
79,86.7,92.73,75.82,43.48,74.6825,21.94707630490525
80,85.87,92.33,76.62,44.08,74.725,21.423150250760663
81,87.42,92.63,76.35,44.48,75.22,21.588365693894787
82,87.91,92.58,76.66,44.98,75.5325,21.436310899965974
83,88.92,93.82,75.35,43.98,75.51750000000001,22.429522769481
84,88.23,93.17,76.67,44.23,75.575,22.01091471671877
85,88.46,92.68,76.87,44.93,75.735,21.597028344967587
86,88.9,92.43,76.88,45.32,75.88250000000001,21.434679649266204
87,86.83,92.38,76.49,45.42,75.28,20.967404862468474
88,86.29,92.97,76.52,44.68,75.115,21.384923817181736
89,84.68,93.27,76.64,44.18,74.6925,21.445116576973884
90,88.94,92.43,77.56,43.98,75.7275,22.096798222065267
91,87.97,93.17,76.44,44.43,75.5025,21.8628930305819
92,86.8,93.12,77.32,44.88,75.53,21.440208332321152
93,88.91,93.62,77.14,44.83,76.125,21.984377028547645
94,89.5,94.02,77.12,44.63,76.3175,22.300212816622775
95,87.78,93.27,77.8,44.88,75.9325,21.669467575369726
96,87.94,92.73,77.14,45.02,75.7075,21.472263310295602
97,90.14,93.32,77.46,45.57,76.62249999999999,21.805874399650502
98,87.62,93.17,77.99,44.63,75.8525,21.739236992130152
99,86.94,93.52,77.6,44.58,75.65999999999998,21.725162063070247
100,86.64,93.27,77.37,44.28,75.38999999999999,21.74097053951364
101,84.62,92.78,77.98,43.78,74.78999999999999,21.54116369496628
102,89.65,93.87,76.9,44.83,76.3125,22.193450047254938
103,88.37,92.78,77.96,45.57,76.17,21.325229189858664
104,87.18,93.37,78.0,45.07,75.905,21.504558431489205
105,88.37,93.52,77.36,44.18,75.8575,22.16790529120873
106,88.03,93.77,77.06,43.43,75.5725,22.521776683911952
107,88.71,93.67,76.87,44.33,75.895,22.192151014867097
108,88.53,94.22,76.65,43.58,75.74499999999999,22.658244268551204
109,86.58,93.92,76.77,44.53,75.44999999999999,21.777714909206306
110,87.64,93.77,77.52,45.22,76.0375,21.609995179700217
111,89.26,94.32,76.31,44.18,76.0175,22.53927886305741
112,85.65,93.27,76.84,45.12,75.22,21.159881852222146
113,89.12,93.62,77.19,44.03,75.99000000000001,22.40606614289979
114,86.54,93.47,77.47,43.63,75.2775,22.09209719183159
115,88.91,94.32,76.4,44.83,76.115,22.16578820314465
116,87.22,93.87,77.15,44.33,75.6425,21.977454167092848
117,88.72,93.67,77.51,44.43,76.0825,22.158106680550723
118,87.93,93.67,77.7,45.07,76.0925,21.710784378583227
119,87.49,93.97,76.8,44.38,75.66,22.022284168541645
120,87.33,93.17,76.71,43.63,75.21,22.128431184037122
121,90.32,94.22,76.98,44.03,76.38749999999999,22.799645282328406
122,89.76,93.37,77.6,44.28,76.2525,22.357085938616123
123,90.57,94.22,77.3,44.23,76.58,22.759105137651318
124,89.69,93.97,78.08,44.73,76.6175,22.29313104224408
125,91.21,94.02,77.42,44.93,76.895,22.5108988418203
126,87.62,92.97,78.27,44.93,75.9475,21.552200777028162
127,89.11,93.62,77.32,44.68,76.1825,22.09742122963673
128,89.85,94.62,77.65,44.38,76.625,22.653265401114545
129,87.66,94.22,77.83,44.63,76.085,22.02514396472056
130,91.36,94.12,77.82,44.88,77.045,22.59544718153047
131,90.88,93.97,77.52,44.93,76.825,22.42965373488112
132,91.33,93.87,77.81,44.48,76.8725,22.7162737187829
133,89.22,93.67,77.88,45.02,76.44749999999999,21.980984774724416
134,88.85,94.07,77.45,45.17,76.385,21.93662006782266
135,87.52,93.82,78.0,44.38,75.92999999999999,22.015658064205116
136,87.47,93.87,77.63,43.83,75.7,22.271832734046235
137,90.72,94.12,77.22,45.77,76.9575,22.03547802219563
138,88.66,94.42,77.75,45.87,76.675,21.668940137133305
139,89.11,93.87,77.55,45.32,76.4625,21.863350421805592
140,87.63,93.97,78.05,45.42,76.2675,21.581091067568078
141,88.61,93.87,77.19,44.13,75.95,22.326755250147748
142,87.06,93.77,78.04,44.43,75.825,21.899775493521997
143,89.81,94.67,76.98,43.58,76.26,23.029194514789268
144,87.16,94.92,76.61,43.48,75.5425,22.65389793538116
145,87.98,94.92,76.56,44.03,75.8725,22.537496718432006
146,88.49,94.52,77.32,43.88,76.0525,22.601004955532396
147,87.59,94.22,77.01,44.33,75.7875,22.136883814123433
148,87.34,93.82,77.57,44.18,75.7275,22.066779518845365
149,86.06,94.07,77.78,44.18,75.5225,21.927891485503114
150,89.6,94.42,77.19,43.28,76.1225,23.06664890413574
151,88.1,94.52,77.48,43.93,76.00750000000001,22.509816192052742
152,89.62,93.72,78.06,44.08,76.36999999999999,22.524691636809003
153,89.5,93.82,78.43,43.08,76.2075,23.016381666109034
154,89.48,93.57,78.35,43.73,76.2825,22.634571456071352
155,89.71,93.92,77.2,43.53,76.09,22.838556580192773
156,90.62,94.37,77.67,44.53,76.79750000000001,22.670149793653035
157,89.28,94.27,77.74,44.13,76.355,22.57115932630252
158,92.8,94.57,78.56,43.48,77.3525,23.691572868849377
159,91.43,94.92,77.13,43.13,76.6525,23.636568243578285
160,89.13,94.42,77.48,43.33,76.09,22.957788801769798
161,89.03,93.97,78.1,43.28,76.095,22.859528283263707
162,89.73,94.07,77.14,43.48,76.105,22.904466085605808
163,89.92,93.77,77.71,44.78,76.54499999999999,22.255813472738605
164,90.0,94.72,76.34,43.73,76.1975,23.005440479735803
165,88.16,94.27,76.67,44.18,75.82000000000001,22.319574368701566
166,90.61,94.87,76.35,42.64,76.1175,23.681820559239107
167,90.37,94.62,77.15,43.83,76.49249999999999,23.01059520452843
168,89.42,93.82,77.38,44.13,76.1875,22.473016968503952
169,89.2,93.67,77.42,44.13,76.105,22.391502108314814
170,88.88,93.67,77.45,44.73,76.1825,22.044693049953466
171,90.94,94.57,77.56,44.58,76.9125,22.762307110659936
172,89.99,94.37,77.51,43.98,76.4625,22.802645131650845
173,89.54,94.22,77.54,43.63,76.2325,22.842010091058096
174,89.34,94.77,76.84,44.23,76.29500000000002,22.656558285258892
175,90.03,95.07,76.66,43.63,76.3475,23.153655398950143
176,89.19,94.47,77.43,44.23,76.33000000000001,22.554077236721525
177,89.19,94.62,78.11,45.07,76.7475,22.2078250098173
178,88.93,94.77,77.13,43.88,76.1775,22.747476599980637
179,89.49,94.97,76.84,43.38,76.16999999999999,23.140839800376014
180,90.03,95.02,77.02,43.73,76.45,23.095342964906727
181,89.57,94.77,77.1,44.08,76.37999999999998,22.774083223406965
182,89.1,94.77,76.53,43.28,75.91999999999999,23.056283308460625
183,90.2,94.72,76.95,44.13,76.5,22.859555259599137
184,91.02,94.57,76.88,44.03,76.625,23.03430846946933
185,89.53,93.82,77.2,43.38,75.9825,22.848168963836027
186,90.04,94.57,77.81,43.13,76.3875,23.274298235034568
187,90.29,94.87,78.2,44.68,77.01,22.67144312418893
188,89.4,94.87,78.03,44.78,76.77000000000001,22.45049813849721
189,91.2,94.37,78.23,44.98,77.19500000000001,22.58316555903239
190,89.53,95.07,77.25,43.93,76.44500000000001,22.92001381616803
191,87.94,95.07,77.35,44.33,76.1725,22.441931549371294
192,88.38,94.97,77.25,43.68,76.07000000000001,22.798030616700206
193,90.39,95.07,77.12,43.38,76.49,23.34591613109239
194,87.91,94.47,78.08,44.33,76.19749999999999,22.28712838538574
195,89.46,95.12,77.17,43.53,76.32,23.10848473324607
196,88.67,95.37,76.91,43.73,76.17000000000002,22.93317248005605
