epoch,local_time_s,peak_vram_mb
0,37.25,1050.09
1,36.83,1054.71
2,37.28,1055.59
3,36.74,1053.59
4,36.52,1058.71
5,37.18,1057.71
6,37.02,1056.09
7,36.8,1053.84
8,37.02,1053.34
9,36.42,1052.09
10,36.62,1053.84
11,37.24,1054.96
12,36.79,1053.46
13,37.3,1053.34
14,36.7,1053.21
15,36.92,1055.96
16,36.76,1048.84
17,37.04,1047.71
18,37.19,1046.34
19,37.56,1047.46
20,36.63,1049.09
21,36.71,1050.34
22,37.19,1050.59
23,37.27,1049.84
24,37.29,1050.46
25,37.33,1050.09
26,36.49,1050.09
27,36.99,1055.96
28,37.41,1053.59
29,36.65,1052.46
30,37.0,1054.34
31,37.02,1054.84
32,36.82,1052.84
33,36.93,1051.34
34,37.17,1050.84
35,37.22,1050.71
36,36.48,1051.46
37,36.31,1049.59
38,36.41,1047.46
39,36.88,1047.84
40,36.66,1047.84
41,37.05,1045.96
42,37.02,1050.71
43,36.08,1047.84
44,36.76,1050.34
45,37.02,1051.71
46,37.14,1051.34
47,37.28,1052.09
48,36.89,1051.59
49,36.09,1052.09
50,36.82,1053.46
51,36.61,1051.59
52,37.25,1051.59
53,36.75,1051.34
54,36.35,1054.21
55,36.2,1050.09
56,36.89,1046.09
57,36.53,1047.46
58,36.52,1049.34
59,37.02,1049.46
60,36.62,1045.21
61,36.33,1048.34
62,36.69,1052.84
63,36.47,1049.59
64,36.51,1045.09
65,37.03,1048.34
66,36.37,1048.46
67,36.38,1047.84
68,36.45,1053.34
69,36.67,1050.96
70,36.83,1044.59
71,36.96,1046.84
72,36.72,1048.59
73,36.49,1045.34
74,37.13,1046.71
75,37.17,1046.34
76,37.01,1046.84
77,36.71,1048.84
78,36.58,1048.09
79,36.38,1048.59
80,36.34,1049.59
81,36.55,1046.46
82,36.79,1047.96
83,36.35,1046.34
84,36.3,1050.09
85,36.61,1050.96
86,36.15,1051.84
87,36.38,1052.84
88,37.12,1050.71
89,36.37,1050.09
90,36.67,1048.46
91,36.77,1046.84
92,36.19,1049.21
93,36.38,1047.34
94,36.15,1046.84
95,36.78,1047.71
96,36.64,1047.71
97,37.04,1047.09
98,36.22,1046.09
99,36.26,1048.09
100,36.52,1050.84
101,36.53,1043.34
102,36.85,1047.59
103,36.57,1047.96
104,36.0,1049.34
105,36.57,1051.59
106,36.46,1052.59
107,35.83,1051.21
108,36.78,1053.59
109,37.04,1053.46
110,36.72,1052.34
111,36.7,1052.59
112,36.18,1052.96
113,36.37,1051.96
114,36.86,1051.09
115,36.85,1049.09
116,36.83,1049.34
117,36.58,1049.84
118,36.23,1050.21
119,36.12,1050.34
120,36.54,1051.46
121,36.81,1051.59
122,36.75,1049.46
123,36.5,1047.59
124,35.74,1047.46
125,36.15,1050.46
126,36.45,1050.71
127,36.42,1053.46
128,36.6,1052.96
129,36.8,1051.46
130,36.14,1048.84
131,36.88,1050.71
132,36.22,1050.59
133,36.49,1047.34
134,36.67,1051.34
135,36.32,1051.96
136,36.38,1050.21
137,36.05,1047.34
138,36.78,1048.46
139,36.31,1050.59
140,36.65,1053.34
141,36.73,1051.84
142,37.09,1052.84
143,36.9,1054.71
144,36.46,1052.21
145,37.11,1048.71
146,37.26,1049.71
147,36.53,1054.34
148,36.85,1051.71
149,37.12,1051.59
150,37.0,1052.59
151,37.2,1052.71
152,36.8,1051.59
153,36.52,1054.09
154,37.06,1055.34
155,36.81,1053.46
156,36.95,1052.34
157,36.85,1049.09
158,36.79,1052.46
159,36.51,1053.71
160,36.68,1055.46
161,36.84,1050.59
162,37.15,1051.71
163,37.06,1054.34
164,36.95,1051.34
165,37.08,1049.96
166,36.42,1048.59
167,36.92,1049.84
168,37.04,1047.34
169,37.05,1046.59
170,37.13,1047.96
171,36.47,1046.71
172,36.54,1047.46
173,36.56,1047.46
174,36.56,1050.84
175,36.91,1053.09
176,36.57,1048.71
177,37.04,1048.34
178,36.75,1051.34
179,36.66,1050.46
180,36.76,1049.96
181,36.61,1048.46
182,36.79,1050.09
183,36.58,1050.84
184,36.72,1050.09
185,36.73,1050.84
186,37.23,1048.84
187,36.64,1050.34
188,36.82,1050.09
189,36.97,1050.34
190,36.6,1050.59
191,36.83,1050.46
192,37.14,1047.09
193,36.56,1048.96
194,36.82,1047.59
195,36.47,1051.21
196,36.85,1047.46
197,37.26,1048.34
198,37.13,1048.34
199,36.53,1051.09
