epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.46,20.43,17.01,10.7,20.400000000000002,9.594210059544594
1,45.57,44.99,10.39,11.29,28.060000000000002,19.8887472372361
2,49.18,23.82,18.75,13.28,26.2575,15.87619260612149
3,59.11,50.02,20.83,13.58,35.885,22.085929910239233
4,59.31,58.25,22.2,14.03,38.4475,23.717633910939202
5,59.84,63.23,26.84,15.17,41.269999999999996,23.920154681774115
6,59.91,67.56,31.49,15.27,43.557500000000005,24.422199430026772
7,63.26,71.6,35.13,18.31,47.074999999999996,24.722042121691054
8,65.18,74.49,41.09,19.95,50.1775,24.579510945772157
9,68.89,77.58,42.5,22.29,52.815,25.23149949302789
10,70.11,78.72,52.68,24.23,56.434999999999995,24.04779199843512
11,71.18,79.82,57.78,25.82,58.65,23.69061417523826
12,71.02,82.26,62.58,28.41,61.0675,23.216188856054735
13,73.17,83.81,66.03,29.95,63.24,23.364774055544956
14,73.63,84.55,67.41,31.69,64.32000000000001,22.877893259651337
15,73.91,84.65,69.0,32.59,65.0375,22.597293901409227
16,78.88,87.59,70.27,35.02,67.94,23.05761913121127
17,77.49,87.39,70.98,35.37,67.8075,22.65304449737386
18,78.14,87.64,72.6,35.67,68.5125,22.75878932778865
19,80.22,88.39,74.18,37.96,70.1875,22.260082921378945
20,82.62,89.49,74.78,39.0,71.4725,22.467011928603235
21,82.02,89.79,75.04,39.05,71.47500000000001,22.440484991788097
22,85.13,90.23,75.71,40.45,72.88,22.441024932030174
23,84.55,90.33,76.89,40.1,72.9675,22.592545046246265
24,82.42,89.74,76.84,39.55,72.1375,22.35797005544108
25,85.2,90.28,77.85,39.85,73.295,22.8730940918218
26,85.87,90.73,78.07,40.55,73.805,22.775023600426856
27,85.94,90.93,78.16,41.19,74.055,22.531297491859334
28,87.36,91.98,78.19,43.28,75.20249999999999,22.039816053376367
29,86.74,91.18,79.38,42.99,75.0725,21.93493009638584
30,86.83,90.78,78.7,45.07,75.345,20.80044951437348
31,87.05,91.73,78.92,45.02,75.67999999999999,21.114075873691466
32,87.86,91.43,79.19,44.13,75.6525,21.634343646156683
33,87.37,91.63,79.58,44.33,75.72749999999999,21.51807050674696
34,87.61,92.33,79.49,45.07,76.125,21.371659583039715
35,87.03,91.33,80.05,45.47,75.97,20.857849042187134
36,88.5,91.88,79.82,45.17,76.3425,21.393429481969456
37,87.34,92.53,80.34,46.27,76.62,20.84072455554269
38,89.69,91.78,80.01,46.57,77.0125,20.93266088357299
39,88.76,92.18,80.26,46.32,76.88,20.980645048869846
40,88.15,92.13,80.22,45.27,76.4425,21.363188549465175
41,89.15,92.78,80.08,44.78,76.69749999999999,21.938396135542817
42,88.79,92.13,80.47,46.07,76.865,21.107296526714798
43,90.37,92.63,80.23,47.31,77.635,20.923431044326037
44,89.79,92.43,80.24,47.81,77.56750000000001,20.517752272930224
45,89.77,92.43,81.0,47.66,77.715,20.623194870501194
46,90.08,92.33,81.01,46.02,77.36,21.45862219870294
47,88.52,92.33,80.19,47.91,77.23749999999998,20.19816720233134
48,89.41,92.78,80.62,47.31,77.53,20.788565767427695
49,91.0,92.83,80.83,47.71,78.09249999999999,20.93153661344527
50,90.87,92.43,81.25,47.66,78.05250000000001,20.85608524308114
51,90.12,92.33,80.42,47.06,77.4825,20.930934642294403
52,89.79,92.87,81.23,47.21,77.775,20.963265489899232
53,90.82,92.92,80.95,48.01,78.175,20.776099248896557
54,91.31,93.27,80.65,46.97,78.05000000000001,21.449183356637768
55,89.88,93.17,81.01,47.41,77.8675,20.94438090912851
56,90.23,93.02,80.47,47.61,77.83250000000001,20.85436864704052
57,92.83,93.12,81.4,48.61,78.99000000000001,20.97581941188472
58,92.26,93.52,81.02,46.57,78.3425,21.91433377951518
59,91.12,93.52,81.1,48.06,78.45,20.961936933403837
60,91.69,93.52,80.68,47.76,78.4125,21.207277642356644
61,92.78,93.42,80.69,48.26,78.7875,21.17740836363128
62,92.19,93.42,81.17,48.31,78.77250000000001,21.041946004746485
63,91.7,93.27,80.99,48.06,78.505,21.01734601069634
64,92.39,93.72,81.12,48.31,78.885,21.152526247866152
65,92.86,93.52,81.73,49.9,79.5025,20.462835214114392
66,93.11,94.12,81.22,48.56,79.25250000000001,21.283588943910125
67,92.67,93.72,81.63,48.51,79.1325,21.134758692731744
68,93.45,94.42,81.33,49.2,79.6,21.1235082313521
69,93.22,94.42,80.57,48.91,79.28,21.193900065820827
70,93.56,94.42,81.45,48.81,79.56,21.338183302864998
71,92.54,93.92,81.75,48.51,79.18,21.158221412333635
72,91.8,93.82,81.49,48.96,79.0175,20.753095150683745
73,92.18,93.57,81.6,48.31,78.915,21.091898128586404
74,91.63,93.67,81.21,49.05,78.89,20.62816844349816
75,91.04,94.12,81.35,49.2,78.9275,20.551702889703975
76,91.98,94.27,81.76,49.15,79.28999999999999,20.816315716283707
77,91.82,94.22,81.42,48.36,78.955,21.13968385130992
78,92.51,94.27,81.28,48.51,79.1425,21.21674083516756
79,89.86,93.57,81.04,47.51,77.995,20.991792840695304
80,91.64,94.22,80.14,48.11,78.5275,21.18188435904606
81,91.24,94.37,80.28,49.85,78.935,20.30926307542119
82,93.44,94.17,81.47,49.35,79.60750000000002,20.995155592024872
83,92.7,94.32,81.25,49.2,79.36749999999999,20.93605084537196
84,93.05,94.27,80.91,48.81,79.26,21.1769465850643
85,93.28,94.27,80.7,48.21,79.115,21.50931968550687
86,92.69,94.57,81.08,47.51,78.96249999999999,21.80047304532633
87,93.89,94.57,81.27,48.91,79.66,21.392799411640045
88,92.57,94.47,81.81,49.55,79.60000000000001,20.79442553506428
89,92.0,94.07,81.68,50.15,79.475,20.28716589373686
90,93.97,94.37,81.78,50.25,80.0925,20.7352716805608
91,92.77,94.87,81.28,49.3,79.55499999999999,21.035890758415725
92,92.49,94.57,82.24,49.8,79.775,20.697343629879978
93,93.73,95.07,80.98,49.8,79.89500000000001,21.044192389667355
94,92.58,94.72,81.9,50.35,79.88750000000002,20.4745099656459
95,91.36,94.52,81.73,50.05,79.415,20.318353771897957
96,91.9,94.32,81.38,49.4,79.25,20.677578839570813
97,92.33,94.77,81.96,50.2,79.815,20.50956281022749
98,91.98,94.57,82.29,49.25,79.52250000000001,20.86224560460035
99,93.41,94.57,82.37,50.7,80.2625,20.460891761276354
100,93.09,94.72,81.65,49.35,79.70250000000001,21.054037419617803
101,92.45,94.72,81.98,49.4,79.6375,20.908018198767667
102,93.26,95.22,81.54,48.81,79.70750000000001,21.465642897430303
103,92.35,94.67,81.86,49.25,79.5325,20.943410061401174
104,93.06,94.67,82.13,50.4,80.065,20.546309482078122
105,93.04,94.97,81.54,49.2,79.6875,21.172021435532947
106,93.63,95.47,80.75,47.71,79.39,22.111957549404497
107,93.44,95.47,81.04,49.6,79.8875,21.175028335282104
108,93.2,95.02,80.69,48.36,79.3175,21.598941910812822
109,93.25,95.12,81.71,49.6,79.92,21.06525891920945
110,92.88,94.82,81.86,48.66,79.555,21.372801251434808
111,93.73,94.97,81.82,49.3,79.955,21.279161167677643
112,93.08,94.97,81.4,50.05,79.87500000000001,20.769266557424057
113,91.78,94.82,82.1,50.8,79.875,20.127827337627213
114,92.68,94.92,82.31,49.8,79.92750000000001,20.822614909436012
115,93.98,95.27,81.78,49.7,80.18249999999999,21.211148601619854
116,93.4,95.42,81.68,49.45,79.9875,21.240375663658433
117,93.46,95.02,81.26,49.7,79.86,21.02673853295687
118,93.58,95.42,80.89,49.4,79.82249999999999,21.285510525550787
119,92.41,95.22,80.87,48.61,79.2775,21.367088984385934
120,93.13,95.12,81.11,48.86,79.555,21.37873476143993
121,93.48,95.22,81.82,48.86,79.845,21.49631518811228
122,93.97,95.37,81.62,49.15,80.0275,21.49218210574875
123,94.12,95.37,81.64,49.65,80.195,21.28592101209937
124,93.65,95.27,81.9,49.25,80.01750000000001,21.359359189825895
125,93.81,95.27,80.7,49.45,79.80749999999999,21.2723080944844
126,93.43,95.17,80.86,49.15,79.6525,21.310974285564704
127,94.3,95.42,81.52,48.76,80.0,21.76016544054755
128,93.6,95.17,81.73,49.05,79.8875,21.415988380958122
129,93.22,95.47,82.37,50.3,80.34,20.827336203493076
130,93.24,95.02,82.78,49.5,80.13499999999999,21.125052268179914
131,94.14,95.17,81.44,49.95,80.175,21.095197715751958
132,93.99,95.17,81.42,50.25,80.2075,20.91853783131125
133,93.04,94.82,81.62,50.5,79.995,20.51461511540817
134,91.57,95.02,81.3,49.9,79.44749999999999,20.542186470772773
135,92.16,95.62,81.02,49.35,79.53750000000001,21.06701430356629
136,92.52,95.27,82.06,49.45,79.825,21.034470914826134
137,93.62,95.62,81.14,49.35,79.9325,21.371263221126327
138,93.19,95.32,81.75,49.6,79.965,21.102101791053894
139,93.09,95.57,81.62,49.75,80.0075,21.06703329058619
140,92.53,95.42,81.85,50.3,80.02499999999999,20.65822919161595
141,93.12,95.47,81.94,50.3,80.2075,20.793722410060848
142,93.9,95.47,81.73,50.0,80.275,21.096771474959546
143,94.04,95.62,81.83,50.45,80.485,20.950071598923
144,93.45,95.76,81.98,49.6,80.1975,21.26973181934052
145,93.48,95.62,81.28,49.0,79.845,21.511524818106228
