epoch,local_time_s,peak_vram_mb
0,53.22,4090.28
1,51.94,4102.28
2,54.09,4107.78
3,53.49,4100.65
4,52.13,4099.53
5,54.43,4102.9
6,53.23,4100.15
7,52.32,4096.4
8,53.83,4097.53
9,52.92,4097.53
10,52.44,4097.4
11,53.93,4099.53
12,52.58,4099.03
13,53.38,4098.28
14,53.87,4098.65
15,52.29,4096.9
16,53.46,4102.15
17,53.22,4093.28
18,52.23,4099.9
19,54.4,4091.9
20,53.94,4091.03
21,52.47,4095.4
22,53.95,4095.03
23,53.55,4089.78
24,52.56,4087.03
25,53.75,4085.4
26,53.04,4083.15
27,52.52,4088.03
28,53.53,4086.03
29,52.01,4087.15
30,53.45,4086.28
31,53.93,4082.4
32,52.46,4085.15
33,53.64,4087.03
34,53.51,4088.15
35,51.66,4089.9
36,53.97,4085.53
37,52.84,4086.78
38,52.12,4081.53
39,53.95,4089.15
40,52.83,4082.65
41,52.34,4084.78
42,53.84,4082.78
43,52.27,4085.03
44,53.36,4078.03
45,53.75,4078.53
46,52.39,4077.15
47,53.84,4081.28
48,54.07,4078.65
49,52.13,4080.03
50,54.3,4079.78
51,53.63,4084.03
52,52.43,4085.03
53,54.54,4084.65
54,53.17,4083.4
55,52.16,4083.9
56,54.06,4087.15
57,52.91,4084.78
58,51.66,4086.78
59,54.35,4086.9
60,52.37,4083.03
61,52.83,4087.9
62,53.17,4086.65
63,52.01,4087.9
64,53.18,4086.9
65,53.36,4080.4
66,51.58,4090.65
67,53.64,4087.78
68,53.72,4084.65
69,51.94,4088.65
70,54.36,4078.78
71,53.46,4080.78
72,52.19,4082.53
73,53.81,4084.53
74,53.72,4084.53
75,52.85,4085.03
76,54.04,4087.28
77,53.12,4086.4
78,53.18,4088.53
79,54.05,4090.15
80,52.89,4085.78
81,53.05,4086.53
82,53.48,4087.28
83,51.37,4088.4
84,53.41,4089.78
85,52.9,4084.03
86,52.03,4085.4
87,53.45,4088.53
88,53.24,4085.65
89,51.67,4089.03
90,53.55,4085.9
91,52.73,4085.03
92,52.16,4084.9
93,53.58,4084.15
94,52.7,4086.78
95,53.23,4087.28
96,53.03,4090.03
97,51.85,4090.15
98,53.26,4089.65
99,52.95,4090.03
100,51.72,4090.53
101,54.5,4092.03
102,53.23,4088.78
103,51.35,4093.65
104,54.06,4094.4
105,53.59,4091.9
106,52.39,4093.9
107,53.8,4087.9
108,52.83,4090.78
109,53.08,4089.78
110,53.74,4092.78
111,52.57,4087.9
112,53.03,4083.15
113,53.53,4085.78
114,52.66,4088.28
115,53.64,4086.4
116,53.58,4084.53
117,52.15,4086.9
118,53.97,4084.65
119,53.56,4085.15
120,51.77,4086.53
121,53.92,4081.15
122,53.55,4084.15
123,52.67,4084.28
124,53.9,4080.53
125,52.76,4080.78
126,52.23,4081.53
127,54.05,4083.78
128,52.68,4083.9
129,52.89,4085.53
130,53.62,4082.78
131,52.12,4082.78
132,53.33,4084.4
133,53.02,4088.65
134,51.99,4089.4
135,53.17,4090.28
136,53.41,4093.4
137,51.8,4093.28
138,54.01,4090.53
139,53.11,4094.4
140,52.59,4090.65
141,53.86,4097.65
142,53.24,4091.4
143,52.81,4091.53
144,53.67,4092.15
145,52.95,4094.65
146,53.66,4094.78
147,53.49,4093.28
148,52.38,4097.03
149,53.37,4092.03
150,52.95,4089.65
151,52.29,4081.9
152,54.23,4085.65
153,53.55,4085.15
154,51.71,4088.03
155,54.27,4091.65
156,53.16,4090.15
157,52.36,4092.53
158,54.1,4091.15
159,53.47,4094.9
160,52.27,4093.15
161,54.14,4089.65
162,53.17,4090.65
163,52.14,4092.65
164,53.61,4088.28
165,52.13,4089.4
166,52.67,4087.28
167,53.56,4085.9
168,52.14,4084.15
169,53.27,4085.4
170,53.68,4082.78
171,51.91,4089.53
172,53.47,4083.65
173,53.13,4090.65
174,52.02,4089.28
175,53.39,4088.9
176,53.25,4086.65
177,52.02,4089.78
178,54.24,4092.28
179,52.87,4088.28
180,52.39,4094.15
181,53.85,4089.53
182,53.05,4093.03
183,52.97,4090.15
184,54.37,4092.9
185,52.58,4093.9
186,52.47,4091.03
187,53.65,4093.4
188,52.21,4093.65
189,53.09,4095.78
190,53.31,4093.03
191,52.32,4088.65
192,53.69,4090.15
193,53.3,4091.53
194,51.5,4092.28
195,53.5,4092.15
196,52.94,4088.4
197,52.0,4085.78
198,53.75,4088.28
199,53.52,4086.78
