epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,8.48,9.47,10.34,13.33,10.405000000000001,2.0928210625851413
1,20.98,15.79,24.14,33.33,23.56,7.3670120582680365
2,24.11,17.89,36.21,36.67,28.720000000000002,9.270807228427667
3,24.55,19.47,37.93,36.67,29.654999999999998,9.082604252085412
4,24.55,17.89,34.48,43.33,30.062499999999996,11.166889674390088
5,27.23,17.89,37.93,40.0,30.762500000000003,10.245068325784851
6,28.12,21.05,34.48,36.67,30.080000000000002,7.027816161511341
7,30.36,21.05,34.48,36.67,30.639999999999997,6.907797526467221
8,32.59,22.63,34.48,36.67,31.592499999999998,6.203226982788879
9,32.14,21.58,32.76,33.33,29.952499999999997,5.602781303364726
10,32.59,25.26,41.38,40.0,34.807500000000005,7.443831338766348
11,34.38,29.47,36.21,36.67,34.182500000000005,3.2936846135192335
12,31.7,29.47,39.66,43.33,36.04,6.538322924624223
13,34.38,32.63,37.93,40.0,36.235,3.340923026151105
14,36.16,32.63,43.1,43.33,38.80499999999999,5.293055198402273
15,39.29,36.84,41.38,36.67,38.545,2.2371782822713673
16,37.5,37.37,37.93,36.67,37.36750000000001,0.5229643072587896
17,35.71,35.79,41.38,46.67,39.8875,5.243118505876696
18,39.73,41.58,48.28,46.67,44.065,4.0628274227029
19,39.73,42.11,39.66,50.0,42.875,4.884605067624882
20,37.95,36.32,41.38,43.33,39.745000000000005,3.187376141384424
21,41.96,38.95,44.83,36.67,40.6025,3.5548030887800226
22,44.2,44.21,36.21,36.67,40.322500000000005,4.487058241951699
23,43.75,43.16,39.66,40.0,41.6425,2.1112772595437734
24,43.75,48.95,37.93,36.67,41.825,5.663223463717462
25,40.62,42.63,37.93,33.33,38.6275,4.022440179791368
26,41.07,47.37,41.38,40.0,42.455,3.3295695417476003
27,44.2,45.79,43.1,33.33,41.605000000000004,5.626096930080985
28,46.88,49.47,43.1,40.0,44.8625,4.165320115749409
29,45.09,48.95,44.83,43.33,45.55,2.395718403040448
30,41.96,47.89,37.93,46.67,43.6125,4.570443997396023
31,43.75,51.58,41.38,46.67,45.845,4.393028568083753
32,43.75,48.95,41.38,46.67,45.1875,3.312485220092814
33,44.2,50.53,41.38,46.67,45.69500000000001,3.880811770751062
34,46.88,53.16,41.38,50.0,47.855,5.020634090099241
35,46.43,51.58,44.83,46.67,47.3775,2.918280029971992
36,47.77,52.63,46.55,46.67,48.405,2.8696747783212895
37,49.55,53.16,43.1,46.67,48.120000000000005,4.2719784643651915
38,46.43,48.42,44.83,40.0,44.92,3.5937260144127112
39,47.32,53.16,46.55,46.67,48.425,3.174738834403022
40,48.66,51.05,46.55,43.33,47.397499999999994,3.276048178318912
41,48.66,54.21,43.1,43.33,47.325,5.259787701672632
42,50.45,51.58,44.83,46.67,48.38250000000001,3.1649894681236046
43,48.21,52.63,43.1,46.67,47.6525,3.9487075944752696
44,51.34,52.63,43.1,46.67,48.435,4.3823319515223105
45,51.34,56.84,43.1,50.0,50.32,5.6504159138951895
46,49.55,51.58,37.93,40.0,44.765,6.80105138930739
47,52.23,53.16,44.83,50.0,50.05499999999999,3.7271660369061452
48,50.45,57.89,44.83,43.33,49.125,6.598229560521015
49,49.11,52.11,41.38,50.0,48.15,4.685388635606085
50,51.34,51.58,41.38,46.67,47.74250000000001,4.8062485370608945
51,51.34,52.63,41.38,53.33,49.67,5.5877902609171
52,50.0,52.11,46.55,56.67,51.332499999999996,4.232464805917865
53,49.11,56.84,39.66,56.67,50.57000000000001,8.117524253120532
54,50.45,57.89,44.83,56.67,52.46000000000001,6.0405849606364015
55,50.89,53.68,43.1,50.0,49.4175,4.49396910685124
56,49.55,52.11,41.38,56.67,49.927499999999995,6.414225726201617
57,50.89,55.79,46.55,56.67,52.47500000000001,4.6976980178239085
58,52.68,55.79,41.38,66.67,54.129999999999995,10.403079672225271
59,51.34,53.16,39.66,60.0,51.04,8.453212407126657
60,50.89,53.68,41.38,56.67,50.655,6.618451480520197
61,50.45,51.05,44.83,63.33,52.41499999999999,7.797305090008128
62,54.46,56.84,46.55,60.0,54.462500000000006,5.742359416360725
63,53.12,58.42,41.38,50.0,50.73,7.136843373182105
64,52.23,54.21,43.1,63.33,53.2175,8.29832663854587
65,51.34,55.79,41.38,63.33,52.959999999999994,9.169998182478915
66,51.79,58.42,39.66,63.33,53.3,10.249308919792268
67,50.45,55.26,41.38,63.33,52.605000000000004,9.178222413227227
68,53.12,60.53,44.83,63.33,55.4525,8.28882933028945
69,51.79,54.74,44.83,66.67,54.50750000000001,9.11078619000578
70,51.79,56.84,43.1,60.0,52.9325,7.375668896219968
71,52.23,54.21,46.55,66.67,54.915000000000006,8.482521244692919
72,51.79,52.63,41.38,63.33,52.2825,8.96800005575379
73,54.02,60.53,44.83,56.67,54.0125,6.679782306832063
74,53.12,52.63,43.1,66.67,53.879999999999995,9.694201015727563
75,54.02,54.74,48.28,63.33,55.0925,6.205940030862903
76,52.68,60.53,37.93,63.33,53.61750000000001,11.388471875834206
77,55.36,58.95,43.1,63.33,55.185,8.690878359905094
78,54.02,56.84,41.38,66.67,54.727500000000006,10.42020913097877
79,53.57,57.37,41.38,73.33,56.412499999999994,13.180471349690038
80,52.68,60.0,44.83,63.33,55.209999999999994,8.226457317703654
81,52.68,57.89,43.1,73.33,56.75,12.637027604095302
82,53.12,57.89,44.83,56.67,53.1275,5.890084181628195
83,54.91,63.68,44.83,63.33,56.6875,8.884024519702018
84,54.91,56.32,41.38,70.0,55.652499999999996,11.698317186672618
85,52.68,57.89,43.1,63.33,54.25,8.611685858955454
86,51.79,59.47,44.83,70.0,56.522499999999994,10.792619005598224
87,54.91,61.05,46.55,73.33,58.959999999999994,11.273502856994657
88,51.79,54.74,46.55,60.0,53.269999999999996,5.621464815034128
89,54.46,56.32,43.1,73.33,56.802499999999995,12.471793175000938
90,50.45,52.63,44.83,66.67,53.64500000000001,9.284271646176668
91,54.46,54.21,41.38,70.0,55.0125,11.710671415422771
92,56.25,57.89,41.38,73.33,57.212500000000006,13.061741525028989
93,54.46,56.84,43.1,70.0,56.1,11.0370165050766
94,51.79,52.63,44.83,70.0,54.8125,10.71150899733553
95,54.91,58.42,41.38,73.33,57.010000000000005,13.128053930419389
96,57.14,59.47,44.83,73.33,58.692499999999995,11.682466563187758
97,51.34,54.74,39.66,63.33,52.2675,9.803085823691777
98,55.8,58.95,39.66,70.0,56.1025,12.539219473316512
99,54.46,56.84,48.28,73.33,58.227500000000006,10.695130901489703
100,50.45,54.74,44.83,66.67,54.1725,9.267305883229136
101,54.46,57.89,44.83,73.33,57.6275,11.838446899826007
102,55.36,63.68,44.83,73.33,59.3,12.123390614840387
103,54.46,55.26,43.1,73.33,56.537499999999994,12.49669923086359
104,51.79,54.74,48.28,73.33,57.035,11.179655629758905
105,55.36,58.42,44.83,73.33,57.985,11.770059473086787
106,50.89,54.21,48.28,70.0,55.845,9.74369026601318
107,53.57,57.37,44.83,70.0,56.442499999999995,10.452551124007957
108,54.91,61.58,43.1,73.33,58.230000000000004,12.638193436299877
109,52.68,57.89,44.83,60.0,53.849999999999994,6.754588563833232
110,53.57,63.68,44.83,73.33,58.85249999999999,12.34825325029145
111,53.57,62.63,46.55,60.0,55.6875,7.182703181950374
112,53.57,58.42,44.83,66.67,55.8725,9.134441690656306
113,56.25,57.37,43.1,70.0,56.68,10.992418599501505
114,54.46,56.32,44.83,73.33,57.235,11.85286041426288
115,55.8,62.63,48.28,70.0,59.1775,9.295326334597762
116,54.02,57.89,46.55,66.67,56.2825,8.373065448209516
117,55.8,67.37,44.83,70.0,59.5,11.562666935731857
118,55.36,62.11,43.1,73.33,58.474999999999994,12.648822079545589
119,53.57,60.0,48.28,73.33,58.795,10.810243598858753
120,54.02,59.47,46.55,66.67,56.67750000000001,8.510320695093302
121,55.36,57.89,44.83,70.0,57.019999999999996,10.337456166775269
122,54.91,60.53,46.55,70.0,57.9975,9.84972884567557
123,53.57,55.79,46.55,70.0,56.4775,9.837673759583614
124,55.36,60.0,44.83,70.0,57.5475,10.449872008785563
125,55.36,55.26,43.1,73.33,56.7625,12.454858155220663
126,55.36,62.11,43.1,73.33,58.474999999999994,12.648822079545589
127,54.91,55.79,43.1,73.33,56.7825,12.456883973664253
128,54.02,61.05,44.83,70.0,57.474999999999994,10.669103367512506
129,54.91,60.0,46.55,70.0,57.864999999999995,9.807780924687638
130,53.12,60.53,44.83,70.0,57.120000000000005,10.717067384939472
131,55.8,67.37,46.55,70.0,59.93,10.844965037595406
132,55.36,61.58,48.28,70.0,58.805,9.2316899861293
133,53.57,61.58,44.83,66.67,56.66250000000001,9.555163961614335
134,54.02,60.0,50.0,66.67,57.6725,7.270494595738771
135,54.46,64.21,43.1,70.0,57.942499999999995,11.791133321271538
136,51.34,60.0,46.55,70.0,56.9725,10.315604280247797
137,53.12,56.32,41.38,70.0,55.205,11.770203906475027
138,54.02,58.95,48.28,70.0,57.8125,9.22100274735165
139,51.79,62.63,48.28,73.33,59.00749999999999,11.3347265075078
140,56.25,64.21,46.55,73.33,60.084999999999994,11.40685612544783
141,53.12,57.37,48.28,73.33,58.02499999999999,10.858116779626197
142,53.57,66.32,46.55,73.33,59.942499999999995,12.108749935480539
143,53.57,60.53,43.1,70.0,56.8,11.347184672860488
144,52.68,59.47,50.0,66.67,57.205,7.463334822093048
145,54.91,65.26,44.83,70.0,58.75,11.21687122151271
146,54.91,64.74,44.83,73.33,59.4525,12.315227362903212
147,55.8,63.16,44.83,70.0,58.4475,10.772085452687422
148,54.91,64.21,44.83,73.33,59.31999999999999,12.242009638944088
149,53.12,56.84,44.83,70.0,56.197500000000005,10.481934856377107
150,54.91,63.68,44.83,73.33,59.1875,12.174121118175227
151,54.46,61.05,55.17,70.0,60.17,7.1881244656261565
152,53.12,59.47,48.28,70.0,57.7175,9.383220396004774
153,54.02,63.68,51.72,66.67,59.02250000000001,7.269297879896426
154,55.36,66.84,46.55,70.0,59.6875,10.78312068311705
155,57.14,63.68,48.28,70.0,59.775,9.289382828440935
156,55.8,66.84,46.55,70.0,59.7975,10.726355003759046
157,54.46,66.32,46.55,73.33,60.16499999999999,11.959884336118527
158,54.02,62.63,46.55,70.0,58.3,10.198362613674805
159,56.25,63.68,51.72,70.0,60.4125,8.072229658939758
160,55.8,68.95,48.28,70.0,60.7575,10.532579218785873
161,54.46,59.47,43.1,70.0,56.7575,11.173290697014911
162,56.25,64.74,51.72,70.0,60.677499999999995,8.231088931605587
163,53.12,63.16,50.0,70.0,59.07,9.198920226490355
164,54.02,61.58,44.83,70.0,57.6075,10.731409894945461
165,51.79,57.37,46.55,70.0,56.427499999999995,10.069301117753904
166,53.57,69.47,50.0,70.0,60.76,10.467654942727144
167,56.25,68.95,48.28,66.67,60.03750000000001,9.591779032066992
168,54.46,66.32,51.72,73.33,61.457499999999996,10.138771704041208
169,53.12,58.42,44.83,70.0,56.5925,10.543805053205414
170,57.14,65.26,44.83,73.33,60.14,12.159860196564763
171,54.46,67.37,50.0,70.0,60.4575,9.732613129747497
172,55.8,64.74,46.55,70.0,59.272499999999994,10.310077190141046
173,56.25,67.37,46.55,70.0,60.042500000000004,10.790036685139988
174,54.46,64.21,48.28,70.0,59.2375,9.720227620791603
175,54.46,66.84,50.0,70.0,60.325,9.609972251087235
176,51.79,57.89,50.0,66.67,56.587500000000006,7.522510108556409
177,53.12,60.53,48.28,70.0,57.9825,9.463834230021854
178,55.36,61.58,44.83,70.0,57.942499999999995,10.602227360323868
179,56.25,66.84,43.1,73.33,59.879999999999995,13.217279094680064
180,54.91,66.84,46.55,66.67,58.74250000000001,9.861708354370794
181,52.68,64.74,48.28,73.33,59.75749999999999,11.414348791470028
182,53.12,56.84,51.72,70.0,57.92,8.338121291194238
183,55.36,64.74,50.0,70.0,60.025,9.018401558295498
184,53.57,62.63,48.28,73.33,59.4525,10.986508013619856
185,54.02,66.32,51.72,73.33,61.3475,10.241859775776401
186,53.12,63.68,50.0,70.0,59.2,9.279310319199375
187,53.12,64.74,50.0,70.0,59.464999999999996,9.463211223821789
188,55.36,60.0,48.28,70.0,58.41,9.106327470500938
189,54.02,70.53,48.28,66.67,59.875,10.46304767582881
190,52.68,63.16,48.28,70.0,58.53,9.870542031722472
191,55.8,65.26,51.72,70.0,60.695,8.405036188698617
192,54.91,68.42,46.55,73.33,60.802499999999995,12.285762423770588
193,53.57,61.05,50.0,70.0,58.655,8.854590146735571
194,52.23,60.53,48.28,70.0,57.76,9.62534501546135
195,54.02,65.79,50.0,73.33,60.785,10.716163803650383
196,55.8,66.32,50.0,73.33,61.3625,10.453797954172762
197,55.36,67.89,51.72,70.0,61.2425,9.05841919615853
198,54.91,62.11,48.28,70.0,58.825,9.348727186093303
199,56.7,61.05,44.83,70.0,58.144999999999996,10.46195169809789
