epoch,local_time_s,peak_vram_mb
0,61.91,2428.9
1,61.38,2428.9
2,61.75,2426.57
3,61.84,2425.46
4,61.89,2424.15
5,61.72,2424.09
6,62.05,2422.65
7,61.65,2424.15
8,61.8,2425.21
9,61.6,2423.98
10,61.39,2424.09
11,61.51,2423.84
12,61.52,2424.96
13,61.93,2424.96
14,61.93,2424.29
15,61.95,2424.6
16,61.83,2424.21
17,61.6,2424.13
18,62.25,2425.07
19,61.88,2423.77
20,61.61,2422.84
21,61.36,2423.71
22,61.71,2422.52
23,61.98,2422.34
24,61.46,2422.34
25,61.72,2423.88
26,61.98,2424.34
27,61.39,2423.84
28,61.5,2422.71
29,61.64,2425.71
30,61.94,2423.7
31,62.22,2422.84
32,61.7,2421.71
33,61.63,2421.34
34,61.95,2422.71
35,61.71,2424.59
36,61.58,2423.09
37,61.61,2421.21
38,61.59,2420.59
39,61.7,2421.46
40,61.86,2422.21
41,61.31,2422.9
42,61.73,2421.46
43,61.39,2421.96
44,61.94,2421.59
45,61.65,2422.84
46,61.42,2423.46
47,61.86,2420.59
48,61.45,2422.46
49,61.36,2423.59
50,61.61,2422.27
51,61.59,2422.9
52,62.02,2422.96
53,61.6,2422.77
54,61.54,2422.77
55,61.67,2422.4
56,61.78,2423.13
57,61.36,2423.13
58,61.37,2423.27
59,61.64,2423.09
60,61.82,2422.84
61,61.53,2423.02
62,61.56,2422.84
63,61.72,2422.71
64,61.44,2423.21
65,61.33,2422.17
66,61.38,2422.4
67,61.69,2422.4
68,61.65,2423.59
69,61.42,2423.59
70,61.96,2424.77
71,61.6,2423.71
72,61.54,2423.59
73,61.42,2423.34
74,62.64,2423.71
75,61.73,2424.4
76,61.52,2424.09
77,61.92,2423.71
78,61.62,2424.84
79,61.6,2423.27
80,61.86,2423.09
81,62.06,2421.84
82,61.75,2420.96
83,61.73,2421.84
84,61.41,2422.21
85,61.37,2422.21
86,61.24,2423.13
87,61.85,2423.38
88,61.69,2423.59
89,61.41,2422.84
90,61.58,2422.96
91,61.66,2421.34
92,61.52,2420.96
93,61.92,2422.09
94,61.54,2421.96
95,61.98,2421.21
96,61.61,2421.21
97,61.89,2422.21
98,61.67,2423.09
99,61.35,2424.71
100,61.81,2423.46
101,61.76,2422.59
102,61.75,2422.65
103,61.66,2422.96
104,61.46,2423.59
105,61.83,2423.34
106,61.43,2423.09
107,61.44,2423.09
108,61.47,2423.59
109,61.79,2423.71
110,61.79,2424.84
111,61.68,2422.77
112,61.66,2422.84
113,61.91,2421.46
114,61.89,2424.09
115,62.05,2424.09
116,61.72,2424.09
117,61.5,2424.09
118,61.39,2423.21
119,61.45,2423.88
120,61.65,2422.59
121,61.59,2422.46
122,61.72,2422.84
123,61.91,2422.71
124,61.81,2421.96
125,61.29,2422.09
126,61.43,2422.4
127,61.73,2422.88
128,61.67,2423.16
129,62.01,2423.26
130,61.29,2424.79
131,61.95,2424.96
132,61.41,2423.77
133,61.34,2424.13
134,61.6,2424.27
135,61.34,2423.65
136,61.53,2424.71
137,61.42,2424.41
138,62.01,2424.09
139,61.52,2425.34
140,61.86,2424.77
141,61.63,2425.34
142,61.35,2423.85
143,61.31,2425.84
144,61.57,2425.21
145,61.81,2426.07
146,62.12,2426.96
147,61.28,2423.91
148,61.48,2423.77
149,61.93,2424.91
150,61.77,2425.09
151,61.84,2424.34
152,61.43,2422.71
153,61.74,2422.96
154,61.74,2422.71
155,61.61,2422.46
156,61.4,2422.09
157,61.52,2422.46
158,61.78,2422.29
159,61.72,2422.16
160,61.45,2422.59
161,62.29,2422.51
162,61.73,2421.09
163,61.97,2421.84
164,61.52,2422.71
165,62.85,2422.09
166,64.11,2422.88
167,65.6,2424.34
168,66.27,2423.63
169,62.23,2422.71
170,62.17,2421.71
171,62.58,2422.09
172,61.81,2423.38
173,61.64,2423.16
174,61.93,2424.71
175,61.97,2422.84
176,61.87,2423.15
177,62.15,2423.59
178,61.81,2423.65
179,61.68,2422.91
180,61.76,2421.29
181,61.57,2423.09
182,61.74,2422.71
183,61.76,2423.34
184,61.92,2422.96
185,61.46,2422.84
186,61.58,2423.02
187,61.61,2423.46
188,61.96,2423.59
189,61.65,2422.21
190,61.89,2422.4
191,61.63,2422.34
192,61.85,2422.4
193,61.51,2423.46
194,61.67,2422.71
195,62.11,2423.09
196,62.82,2423.26
197,61.94,2424.38
198,62.96,2423.04
199,62.58,2423.16
