epoch,local_time_s,peak_vram_mb
0,107.87,2481.64
1,107.44,2481.47
2,107.85,2479.6
3,107.36,2479.97
4,107.7,2479.22
5,107.87,2479.85
6,108.25,2480.72
7,108.58,2479.72
8,108.53,2479.1
9,108.29,2481.35
10,108.54,2480.22
11,108.48,2481.1
12,108.59,2480.1
13,108.74,2480.6
14,108.98,2482.1
15,108.57,2481.6
16,108.08,2479.85
17,107.79,2480.1
18,107.6,2480.6
19,107.71,2480.22
20,107.36,2480.85
21,108.52,2480.05
22,108.16,2479.22
23,108.1,2479.72
24,108.25,2479.85
25,107.8,2480.52
26,107.66,2480.6
27,107.7,2481.47
28,107.81,2479.72
29,107.74,2480.35
30,107.88,2480.72
31,107.52,2481.22
32,107.82,2481.05
33,107.73,2480.22
34,107.7,2480.1
35,107.75,2479.47
36,107.65,2479.97
37,107.46,2479.72
38,107.5,2479.85
39,107.45,2479.22
40,107.46,2479.72
41,107.75,2479.97
42,107.53,2478.85
43,107.63,2479.22
44,107.79,2480.6
45,107.43,2479.22
46,107.57,2479.97
47,107.55,2479.97
48,107.96,2479.72
49,107.6,2481.22
50,107.58,2480.72
51,107.7,2478.72
52,107.52,2479.85
53,107.62,2478.97
54,107.76,2479.66
55,107.75,2478.97
56,107.82,2479.1
57,107.45,2479.35
58,107.47,2479.97
59,107.54,2479.85
60,107.42,2480.6
61,107.59,2479.1
62,107.52,2480.6
63,107.76,2480.35
64,107.76,2480.1
65,107.5,2480.1
66,107.72,2480.22
67,107.58,2479.85
68,107.8,2479.22
69,107.82,2480.41
70,107.59,2480.35
71,107.77,2480.72
72,107.46,2480.72
73,107.6,2480.35
74,107.54,2479.47
75,107.63,2478.85
76,107.49,2480.1
77,107.69,2481.35
78,107.71,2481.1
79,107.68,2480.1
80,107.41,2479.72
81,107.6,2480.22
82,107.58,2480.6
83,107.72,2479.35
84,107.38,2478.72
85,107.9,2480.1
86,107.66,2479.85
87,107.42,2479.72
88,107.86,2479.72
89,107.53,2479.85
90,107.77,2480.85
91,107.75,2480.1
92,107.71,2480.85
93,107.39,2480.85
94,107.76,2480.52
95,107.55,2480.6
96,107.43,2480.1
97,107.81,2480.22
98,107.39,2480.72
99,108.05,2481.85
100,107.52,2480.6
101,107.38,2479.72
102,107.34,2479.97
103,107.52,2480.6
104,107.61,2481.1
105,107.39,2480.6
106,107.8,2479.72
107,107.31,2480.6
108,107.81,2481.47
109,107.93,2481.22
110,107.84,2480.35
111,107.69,2479.72
112,107.59,2481.6
113,107.73,2481.85
114,107.46,2480.6
115,107.45,2480.22
116,107.68,2480.85
117,107.67,2479.72
118,107.52,2480.42
119,107.6,2479.97
120,107.76,2480.22
121,107.67,2480.1
122,107.46,2479.47
123,107.78,2480.1
124,107.52,2479.35
125,107.28,2480.35
126,107.48,2480.85
127,107.69,2481.22
128,107.38,2480.6
129,107.27,2481.22
130,107.66,2479.97
131,107.68,2479.6
132,107.89,2480.6
133,107.85,2479.85
134,107.29,2479.35
135,108.04,2479.35
136,107.53,2480.22
137,107.54,2480.85
138,107.6,2479.72
139,107.59,2479.1
140,107.8,2479.85
141,107.48,2481.47
142,107.61,2479.72
143,107.65,2479.42
144,107.72,2479.72
145,107.84,2479.6
146,107.83,2480.22
147,107.55,2481.22
148,107.93,2481.22
149,107.73,2480.72
150,107.69,2481.47
151,107.84,2480.85
152,107.62,2481.55
153,107.94,2480.92
154,108.22,2481.6
155,107.74,2480.85
156,107.71,2481.53
157,107.52,2479.6
158,107.71,2479.85
159,107.44,2479.22
160,107.69,2479.97
161,107.37,2481.1
162,107.66,2479.85
163,107.44,2479.47
164,107.85,2479.22
165,107.83,2479.85
166,107.82,2479.22
167,107.48,2480.1
168,107.61,2479.6
169,107.71,2479.35
170,107.95,2479.85
171,107.65,2479.97
172,107.58,2480.1
173,107.62,2480.6
174,107.44,2479.72
175,107.41,2480.6
176,107.64,2479.97
177,107.73,2480.1
178,108.0,2480.97
179,107.9,2480.1
180,107.93,2479.85
181,107.6,2480.6
182,107.47,2480.97
183,107.88,2480.1
184,107.53,2480.6
185,107.82,2480.6
186,107.57,2480.72
187,107.58,2480.1
188,107.73,2480.89
189,107.29,2481.39
190,107.74,2481.6
191,107.92,2479.72
192,107.54,2480.1
193,107.69,2479.85
194,107.66,2479.35
195,107.79,2479.6
196,107.84,2479.6
197,107.41,2479.35
198,107.61,2480.47
199,107.57,2479.72
