epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,18.3,17.37,12.07,16.67,16.1025,2.769998495787799
1,31.7,31.58,29.31,33.33,31.48,1.652250989811576
2,32.59,29.47,31.03,33.33,31.605,1.7160710940983774
3,33.93,27.89,32.76,36.67,32.8125,3.668009223906978
4,34.82,32.63,29.31,30.0,31.69,2.529888008061491
5,35.71,32.11,32.76,33.33,33.47749999999999,1.5695726594628667
6,39.73,38.95,31.03,30.0,34.9275,5.1223456540924674
7,38.39,45.26,29.31,33.33,36.572500000000005,6.880738211364631
8,42.86,48.42,29.31,36.67,39.315,8.217138593614365
9,38.39,43.16,27.59,30.0,34.785,7.25260642803675
10,40.62,44.74,29.31,30.0,36.167500000000004,7.710941900961258
11,40.62,45.79,27.59,33.33,36.832499999999996,8.00569120480341
12,41.52,51.58,29.31,36.67,39.769999999999996,9.337383644968934
13,43.3,50.0,32.76,40.0,41.515,7.167675122846087
14,43.75,56.32,34.48,43.33,44.47,8.982215762271581
15,46.43,52.63,31.03,40.0,42.5225,9.235270705290668
16,45.54,55.26,31.03,46.67,44.625,10.04898834045829
17,45.54,51.58,32.76,43.33,43.302499999999995,7.845773278226521
18,45.09,55.79,25.86,46.67,43.3525,12.579131859287164
19,45.09,55.26,24.14,46.67,42.79,13.211961751887314
20,45.98,54.74,29.31,36.67,41.675,11.06300893367924
21,44.2,56.84,29.31,43.33,43.42,11.251740606086985
22,45.54,51.58,27.59,43.33,42.010000000000005,10.226185342866941
23,46.88,55.26,25.86,43.33,42.832499999999996,12.37117988175205
24,45.54,54.21,31.03,43.33,43.5275,9.563689577424256
25,47.77,58.42,27.59,40.0,43.445,12.989807542839117
26,46.88,55.26,31.03,46.67,44.96000000000001,10.111798389340377
27,44.64,53.68,27.59,43.33,42.31,10.838582318120146
28,48.66,55.79,32.76,46.67,45.97,9.63781787197358
29,46.88,58.42,36.21,40.0,45.377500000000005,9.752348007873113
30,46.43,59.47,31.03,36.67,43.400000000000006,12.45974317552332
31,50.45,65.26,34.48,36.67,46.715,14.24154134916583
32,46.43,58.95,41.38,40.0,46.69,8.628004790602905
33,52.23,58.95,36.21,36.67,46.015,11.393090011054946
34,49.55,60.53,36.21,40.0,46.5725,10.86671485163141
35,49.55,63.16,36.21,40.0,47.23,12.011946830829157
36,50.89,61.05,36.21,33.33,45.370000000000005,12.976902558006667
37,53.57,60.53,41.38,40.0,48.87,9.879652490514701
38,48.21,53.16,43.1,36.67,45.285,7.060776633392862
39,50.0,56.84,39.66,40.0,46.625,8.329439757070501
40,49.11,56.32,34.48,36.67,44.144999999999996,10.362909823017858
41,48.66,58.42,34.48,40.0,45.39,10.465084806154225
42,48.66,60.0,32.76,40.0,45.355,11.729011041004268
43,52.23,64.21,34.48,46.67,49.397499999999994,12.347797036988688
44,52.23,65.79,36.21,40.0,48.557500000000005,13.368344138299253
45,53.57,66.32,39.66,36.67,49.05499999999999,13.66406113374302
46,53.57,63.16,34.48,40.0,47.802499999999995,13.006214860596453
