epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,8.48,11.05,17.24,13.33,12.524999999999999,3.7155932680170105
1,16.07,15.79,22.41,23.33,19.4,4.025998840867526
2,17.41,11.58,29.31,30.0,22.075,9.07483884154424
3,15.62,12.11,20.69,43.33,22.9375,14.043810914420629
4,16.07,12.63,27.59,46.67,25.740000000000002,15.35000977198386
5,16.96,14.21,27.59,50.0,27.19,16.26437210592527
6,17.86,15.79,27.59,53.33,28.6425,17.2436410984842
7,17.86,15.79,27.59,53.33,28.6425,17.2436410984842
8,19.64,16.32,25.86,56.67,29.622500000000002,18.460141521667705
9,18.75,17.37,29.31,60.0,31.3575,19.825776781755614
10,19.64,16.84,29.31,56.67,30.615000000000002,18.172940506881837
11,18.3,16.84,29.31,60.0,31.1125,20.04662128639138
12,20.09,17.37,31.03,63.33,32.955,21.093021752860984
13,21.43,16.84,34.48,63.33,34.019999999999996,20.920071701597966
14,20.09,16.84,32.76,60.0,32.4225,19.625980017993157
15,20.98,16.84,32.76,60.0,32.644999999999996,19.44376078163207
16,20.54,15.26,31.03,63.33,32.54,21.547641788990894
17,20.54,16.84,32.76,63.33,33.36749999999999,21.101528183206696
18,21.43,16.32,36.21,63.33,34.322500000000005,21.097426975818635
19,21.88,15.79,34.48,63.33,33.870000000000005,21.1258940639207
20,19.64,15.26,34.48,63.33,33.177499999999995,21.71919638629999
21,20.98,15.79,32.76,66.67,34.05,22.876341490719184
22,19.2,15.26,32.76,66.67,33.4725,23.366507904833934
23,19.2,14.21,39.66,66.67,34.935,23.850588392462495
24,19.64,13.16,37.93,66.67,34.349999999999994,23.96385472609391
25,19.2,13.16,34.48,66.67,33.3775,23.93988913229689
26,20.09,13.68,36.21,70.0,34.995,25.188056031910573
27,18.75,12.63,37.93,66.67,33.995000000000005,24.303724680248774
28,19.2,14.21,37.93,66.67,34.5025,23.751827122700828
29,19.64,14.21,34.48,70.0,34.582499999999996,25.117901153028956
30,18.3,13.16,36.21,70.0,34.417500000000004,25.69683816477558
31,19.2,13.16,34.48,70.0,34.21,25.491172328213285
32,19.2,13.16,36.21,70.0,34.6425,25.511948017873248
33,18.75,13.16,32.76,70.0,33.667500000000004,25.58621682990017
