epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,18.3,16.84,12.07,16.67,15.97,2.7009751325524394
1,32.59,31.05,31.03,33.33,32.0,1.1489705537276975
2,32.14,29.47,32.76,26.67,30.26,2.7866706539046424
3,32.14,29.47,32.76,26.67,30.26,2.7866706539046424
4,34.82,31.05,27.59,33.33,31.6975,3.146737728717367
5,36.16,32.11,31.03,33.33,33.1575,2.211204422933346
6,38.39,36.32,27.59,30.0,33.075,5.1094715969462055
7,38.84,41.05,25.86,30.0,33.9375,7.196574995556335
8,37.95,46.32,29.31,33.33,36.727500000000006,7.304630380792721
9,34.82,36.84,31.03,26.67,32.34,4.48201591548565
10,37.5,40.53,25.86,33.33,34.305,6.356815240354246
11,41.52,41.05,29.31,26.67,34.6375,7.753542738645348
12,43.75,44.74,25.86,36.67,37.755,8.706290829049992
13,45.98,50.0,29.31,46.67,42.989999999999995,9.287356997553179
14,43.3,48.42,24.14,36.67,38.1325,10.495470054583866
15,45.09,48.42,24.14,33.33,37.745000000000005,11.142903571331846
16,43.75,52.11,22.41,46.67,41.235,13.019353542579088
17,47.77,51.05,24.14,40.0,40.739999999999995,11.99756364156212
18,48.21,52.63,25.86,40.0,41.675,11.770557902382254
19,44.2,53.16,24.14,40.0,40.375,12.135384899815358
20,47.77,52.11,31.03,40.0,42.7275,9.268744521239109
21,45.98,52.63,25.86,36.67,40.285,11.63301193443326
22,46.88,51.05,24.14,36.67,39.685,11.995394949729667
23,48.21,51.05,29.31,36.67,41.31,10.132574532993411
24,50.0,54.74,31.03,43.33,44.775000000000006,10.289394216052438
25,47.32,53.68,25.86,46.67,43.3825,12.102177145731536
26,47.77,54.21,34.48,43.33,44.947500000000005,8.285434508823302
27,45.98,52.63,32.76,43.33,43.675,8.261583786821186
28,50.45,56.32,37.93,43.33,47.00750000000001,8.051883320068667
29,50.45,56.32,34.48,40.0,45.3125,9.884747088317436
30,50.0,56.84,32.76,43.33,45.7325,10.257450544197944
31,50.0,59.47,36.21,40.0,46.42,10.465489318071404
32,48.66,57.37,37.93,40.0,45.99,8.89713437012165
33,52.23,55.79,34.48,36.67,44.792500000000004,10.779364158737131
34,54.46,64.74,34.48,43.33,49.2525,13.169199861798742
35,53.57,57.89,37.93,50.0,49.847500000000004,8.57494169076385
36,53.57,61.05,36.21,46.67,49.375,10.559954229698787
37,54.91,60.0,41.38,50.0,51.5725,7.927199484475374
38,52.23,60.0,39.66,43.33,48.80499999999999,9.140847881898047
39,53.12,56.84,36.21,50.0,49.042500000000004,9.00031249457484
40,55.36,60.0,37.93,53.33,51.655,9.566387336223986
41,55.36,64.21,37.93,50.0,51.875,10.989026344494764
42,53.57,58.95,37.93,53.33,50.94500000000001,9.056288791037236
43,55.36,65.79,39.66,53.33,53.535,10.740473298075218
44,54.46,62.63,37.93,46.67,50.4225,10.574628047044177
45,54.46,58.42,36.21,46.67,48.94,9.790243442666105
46,57.59,62.11,37.93,46.67,51.075,10.899717121711614
47,55.8,63.68,39.66,56.67,53.9525,10.160345712622185
48,55.36,61.05,39.66,50.0,51.5175,9.101949882671663
49,52.23,64.21,34.48,56.67,51.897499999999994,12.62080656429427
50,54.46,57.37,36.21,43.33,47.8425,9.836026890975848
51,54.91,62.11,36.21,46.67,49.974999999999994,11.13568887256943
52,54.46,61.05,32.76,43.33,47.89999999999999,12.464089751495427
53,55.8,65.79,32.76,53.33,51.92,13.862719790863556
54,57.59,65.26,32.76,43.33,49.735,14.5132273001792
55,59.82,64.21,36.21,56.67,54.227500000000006,12.403258644404701
56,58.04,66.32,41.38,53.33,54.7675,10.415710489448136
57,58.93,65.26,37.93,53.33,53.8625,11.6863264116659
58,56.25,64.21,39.66,56.67,54.197500000000005,10.3588138799768
59,55.8,64.21,34.48,53.33,51.955,12.546384605401935
60,58.04,63.16,36.21,60.0,54.3525,12.27754420340919
61,55.8,60.0,39.66,56.67,53.0325,9.096890952407863
62,54.46,58.95,41.38,53.33,52.03,7.503416999385458
63,57.14,63.68,36.21,53.33,52.59,11.72664487396118
64,54.46,65.26,39.66,60.0,54.845,11.042021252168164
65,57.59,65.26,36.21,46.67,51.432500000000005,12.695412229095465
66,54.02,67.37,36.21,56.67,53.56750000000001,12.930868429202015
67,57.59,67.37,37.93,66.67,57.39,13.716782907567408
68,55.36,64.74,39.66,50.0,52.44,10.47375131777849
69,58.48,65.26,43.1,56.67,55.8775,9.286134376944299
70,55.8,66.32,39.66,63.33,56.27749999999999,11.929778916643844
71,56.25,63.16,39.66,63.33,55.599999999999994,11.126733572796647
72,54.91,64.21,37.93,60.0,54.262499999999996,11.53316196886179
73,57.59,66.32,37.93,63.33,56.292500000000004,12.766389139716313
74,56.25,63.68,39.66,56.67,54.065,10.190068694567277
75,58.04,63.68,43.1,56.67,55.3725,8.725974157651395
76,58.04,71.05,43.1,63.33,58.879999999999995,11.798663766150243
77,55.8,61.05,43.1,60.0,54.9875,8.2432169084648
78,56.7,68.42,43.1,60.0,57.055,10.530974946952126
79,56.7,68.95,37.93,56.67,55.0625,12.801701384321278
80,54.46,65.79,43.1,50.0,53.3375,9.526630656568287
81,57.14,64.74,39.66,50.0,52.885,10.67504722862308
82,58.48,63.16,41.38,53.33,54.08749999999999,9.374765330396272
83,55.8,67.37,37.93,50.0,52.775,12.250704741632894
84,55.36,67.37,43.1,56.67,55.625,9.932822693809987
85,58.04,74.21,41.38,60.0,58.4075,13.445270234051325
86,52.68,60.53,37.93,50.0,50.285000000000004,9.370579846875362
87,57.59,72.11,44.83,60.0,58.63249999999999,11.181962782386044
88,55.36,65.26,44.83,53.33,54.69499999999999,8.39132289928114
89,58.04,70.53,41.38,56.67,56.655,11.94096171447956
90,57.59,73.16,41.38,46.67,54.7,14.035989455681417
91,59.38,62.63,39.66,50.0,52.917500000000004,10.333919472623478
92,56.7,65.26,44.83,60.0,56.697500000000005,8.661417801568827
93,57.14,65.79,41.38,63.33,56.91,10.974282057003395
94,55.36,64.74,41.38,60.0,55.37,10.082228589619127
95,58.48,70.0,41.38,56.67,56.63249999999999,11.757883525532986
96,58.48,65.26,39.66,63.33,56.682500000000005,11.701271654539664
97,56.25,68.42,39.66,46.67,52.75,12.46479575979219
98,56.25,64.21,43.1,56.67,55.057500000000005,8.770638042164698
99,57.59,69.47,43.1,56.67,56.707499999999996,10.783099044337856
100,57.14,63.16,39.66,53.33,53.32249999999999,9.966839602735998
101,56.25,63.68,44.83,63.33,57.022499999999994,8.819687730677696
102,59.38,71.58,41.38,50.0,55.585,12.951400181704935
103,58.93,70.0,39.66,56.67,56.315,12.53837442945988
104,58.04,62.63,39.66,56.67,54.25,10.05506505863256
105,55.36,64.21,44.83,60.0,56.099999999999994,8.337517616173292
106,58.04,66.32,43.1,56.67,56.0325,9.618015647731083
107,56.25,67.37,43.1,53.33,55.0125,9.982946709263755
108,60.27,65.79,44.83,56.67,56.89,8.871798013931565
109,58.04,70.0,44.83,60.0,58.2175,10.348289311121269
110,59.38,70.0,46.55,53.33,57.315,9.948850854914518
111,56.7,63.68,43.1,60.0,55.87,8.97802502409819
112,55.36,63.68,46.55,56.67,55.565,7.032934427866271
113,59.82,67.37,44.83,56.67,57.1725,9.373510103833393
114,56.25,66.32,44.83,53.33,55.18249999999999,8.86546624079448
115,57.14,75.79,44.83,53.33,57.772499999999994,13.067446511592593
116,53.57,65.26,43.1,56.67,54.650000000000006,9.150981732397168
117,59.38,70.53,44.83,63.33,59.5175,10.825153963493237
118,56.25,63.16,43.1,63.33,56.459999999999994,9.497729553249378
119,57.14,70.0,39.66,56.67,55.86750000000001,12.44553300050531
120,58.93,71.05,44.83,56.67,57.870000000000005,10.74426358574658
