epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,17.86,16.84,12.07,16.67,15.860000000000001,2.580736329034797
1,32.59,31.05,31.03,33.33,32.0,1.1489705537276975
2,33.93,29.47,31.03,26.67,30.275000000000002,3.031671706061415
3,33.04,27.89,32.76,30.0,30.9225,2.4431724594605804
4,35.71,32.11,27.59,33.33,32.185,3.4086312013279856
5,36.61,30.53,25.86,33.33,31.5825,4.552811402492603
6,39.73,37.37,27.59,30.0,33.6725,5.7979558179298545
7,41.07,40.0,29.31,33.33,35.927499999999995,5.584767228810885
8,37.5,43.68,27.59,30.0,34.6925,7.32853498320094
9,37.5,35.79,25.86,30.0,32.287499999999994,5.353599256574963
10,38.84,36.84,27.59,26.67,32.485,6.248394460446087
11,41.52,44.21,25.86,26.67,34.565,9.652393485555798
12,41.96,45.26,25.86,33.33,36.6025,8.751488920939872
13,45.98,47.89,31.03,40.0,41.225,7.582235818015685
14,40.62,46.32,24.14,36.67,36.9375,9.406375054539696
15,45.54,47.37,25.86,36.67,38.86,9.846126141787945
16,42.41,50.53,22.41,36.67,38.004999999999995,11.84997749646246
17,46.43,54.21,24.14,40.0,41.195,12.768405016550291
18,45.54,48.42,25.86,40.0,39.955,10.02529301317423
19,43.75,51.05,24.14,40.0,39.735,11.364032441582227
20,47.77,50.0,29.31,43.33,42.602500000000006,9.285218988622008
21,45.54,51.58,27.59,40.0,41.1775,10.218448593923965
22,46.43,50.0,25.86,36.67,39.74,10.83363589321086
23,47.77,50.53,27.59,43.33,42.30500000000001,10.24855599584644
24,48.66,54.74,36.21,40.0,44.9025,8.37634118614247
25,46.88,52.63,29.31,50.0,44.705,10.52899647006621
26,46.43,53.16,34.48,36.67,42.685,8.703503126136432
27,47.77,55.26,32.76,36.67,43.114999999999995,10.294563290073715
28,48.66,50.53,36.21,43.33,44.682500000000005,6.419404827032903
29,49.55,54.74,34.48,46.67,46.36,8.595173063993537
30,50.89,56.32,34.48,40.0,45.4225,9.963113218266669
31,48.66,55.26,34.48,40.0,44.599999999999994,9.195897636083894
32,47.32,54.21,32.76,43.33,44.405,8.970263838557559
33,48.66,57.89,34.48,36.67,44.425,10.92831948044468
34,52.68,58.95,34.48,43.33,47.36,10.720164799728286
35,52.23,60.53,41.38,43.33,49.36749999999999,8.81375582068545
36,51.79,58.42,37.93,43.33,47.86750000000001,9.056932427704206
37,55.8,58.42,39.66,46.67,50.1375,8.611335068772245
38,53.12,55.79,34.48,36.67,45.015,10.991161600728711
39,52.23,57.37,39.66,50.0,49.815,7.440172489039933
40,51.79,56.32,37.93,40.0,46.51,8.946340033779176
41,54.46,61.58,37.93,50.0,50.9925,9.9286231841748
42,50.45,57.89,36.21,50.0,48.6375,9.040521279218362
43,54.91,64.74,41.38,46.67,51.925,10.197164638597663
44,53.12,60.0,34.48,53.33,50.2325,10.976907199510556
45,53.57,60.53,34.48,50.0,49.644999999999996,11.015021561485936
46,54.46,59.47,37.93,36.67,47.13250000000001,11.547814728337132
47,56.7,61.05,37.93,53.33,52.2525,10.057688186987438
48,54.02,64.74,36.21,43.33,49.575,12.48143287714462
49,51.79,58.95,34.48,56.67,50.4725,11.072080126757275
50,51.79,55.79,32.76,43.33,45.917500000000004,10.194238160189641
51,52.68,58.95,37.93,50.0,49.89,8.811382789702572
52,54.91,58.95,37.93,46.67,49.614999999999995,9.316499700352416
53,55.8,63.68,34.48,56.67,52.6575,12.621311012199433
54,55.36,66.84,36.21,43.33,50.435,13.493347743734072
55,52.68,58.42,34.48,46.67,48.0625,10.247316315341628
56,56.7,64.74,41.38,56.67,54.8725,9.763637897832956
57,56.25,62.63,36.21,56.67,52.94,11.527619008277467
58,56.7,67.37,36.21,63.33,55.9025,13.845599481423692
59,56.7,61.58,39.66,56.67,53.6525,9.609507011288354
