epoch,local_time_s,peak_vram_mb
0,61.92,2426.79
1,61.33,2429.04
2,61.77,2428.9
3,61.63,2427.96
4,61.92,2426.13
5,61.83,2424.57
6,61.91,2425.15
7,61.51,2424.73
8,61.88,2424.2
9,61.63,2423.46
10,61.36,2423.71
11,61.68,2423.65
12,61.6,2422.65
13,62.04,2421.65
14,61.89,2422.96
15,62.1,2422.09
16,62.11,2422.71
17,61.7,2423.21
18,62.46,2422.09
19,62.04,2422.21
20,61.83,2422.21
21,61.34,2422.91
22,61.6,2423.77
23,61.81,2424.77
24,61.5,2422.9
25,61.78,2421.9
26,61.97,2422.34
27,61.44,2422.52
28,61.46,2422.65
29,61.65,2423.02
30,62.04,2423.46
31,62.2,2422.34
32,61.74,2422.41
33,61.64,2421.71
34,61.97,2421.46
35,61.72,2422.96
36,61.48,2422.27
37,61.69,2421.96
38,61.76,2422.84
39,61.8,2423.84
40,61.94,2422.85
41,61.39,2423.74
42,61.64,2425.02
43,61.57,2425.77
44,61.91,2424.48
45,61.65,2425.23
46,61.59,2423.65
47,61.82,2422.46
48,61.59,2421.71
49,61.47,2422.59
50,61.61,2423.34
51,61.54,2421.2
52,62.06,2421.09
53,61.57,2423.02
54,61.52,2422.9
55,61.56,2421.96
56,61.91,2421.27
57,61.47,2422.96
58,61.6,2421.34
59,61.58,2421.46
60,61.9,2421.71
61,61.64,2423.21
62,61.65,2422.34
63,61.61,2421.71
64,61.53,2421.96
65,61.58,2421.96
66,61.47,2422.21
67,61.8,2423.95
68,61.64,2423.59
69,61.29,2423.71
70,61.9,2423.77
71,61.59,2424.59
72,61.38,2423.88
73,61.31,2423.7
74,62.49,2421.71
75,61.7,2422.4
76,61.66,2422.65
77,61.8,2421.88
78,61.68,2422.34
79,61.65,2423.27
80,61.77,2423.27
81,62.22,2422.96
82,61.75,2422.96
83,61.75,2423.09
84,61.35,2421.59
85,61.67,2422.21
86,61.46,2423.09
87,61.93,2422.96
88,61.7,2421.71
89,61.37,2422.98
90,61.66,2422.59
91,61.6,2423.09
92,61.49,2424.34
93,61.77,2425.54
94,61.56,2424.21
95,61.97,2424.04
96,61.63,2424.46
97,61.67,2424.4
98,61.53,2423.46
99,61.32,2424.09
100,61.85,2423.2
101,61.84,2423.76
102,61.84,2421.96
103,61.66,2421.59
104,61.6,2421.21
105,61.79,2421.96
106,61.39,2423.09
107,61.31,2422.96
108,61.35,2423.46
109,61.88,2423.76
110,61.79,2422.91
111,61.59,2423.91
112,61.68,2422.34
113,61.89,2422.46
114,61.59,2421.71
115,61.86,2422.21
116,61.91,2422.21
117,61.5,2422.23
118,61.41,2423.65
119,61.67,2422.09
120,61.59,2423.77
121,61.48,2424.6
122,61.57,2422.59
123,61.81,2422.59
124,61.84,2422.59
125,61.29,2423.09
126,61.42,2422.96
127,61.8,2422.13
128,61.64,2424.95
129,61.96,2425.34
130,61.37,2425.54
131,61.96,2425.27
132,61.36,2423.48
133,61.42,2423.38
134,61.68,2422.34
135,61.44,2423.21
136,61.65,2423.82
137,61.37,2425.09
138,61.86,2424.46
139,61.4,2426.15
140,61.88,2425.13
141,61.58,2423.96
142,61.44,2424.09
143,61.44,2421.59
144,61.53,2422.54
145,61.83,2422.6
146,62.18,2423.02
147,61.37,2423.02
148,61.57,2422.76
149,61.88,2422.46
150,61.93,2424.15
151,61.99,2424.4
152,61.41,2424.95
153,61.79,2426.09
154,61.56,2424.34
155,61.5,2424.45
156,61.54,2424.65
157,61.56,2423.77
158,61.79,2423.77
159,61.54,2423.71
160,61.27,2424.59
161,62.16,2424.84
162,61.62,2424.21
163,61.85,2423.59
164,61.39,2424.84
165,62.14,2424.4
166,61.34,2423.71
167,61.81,2423.71
168,61.79,2422.96
169,61.99,2422.02
170,61.97,2422.01
171,61.69,2422.04
172,61.52,2423.84
173,61.51,2423.51
174,61.76,2424.79
175,61.91,2424.23
176,61.92,2424.38
177,61.99,2425.65
178,61.72,2424.87
179,61.4,2424.18
180,61.67,2423.93
181,61.4,2424.07
182,61.71,2422.6
183,61.66,2422.38
184,61.74,2422.71
185,61.52,2423.79
186,61.67,2424.15
187,61.65,2423.15
188,62.01,2422.96
189,61.96,2424.57
190,61.86,2424.09
191,61.59,2423.13
192,61.79,2424.09
193,61.33,2423.09
194,61.44,2422.57
195,61.46,2422.76
196,61.8,2421.4
197,61.52,2423.09
198,62.15,2424.09
199,61.93,2423.21
