epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,9.82,10.0,10.34,13.33,10.8725,1.652460286966074
1,24.11,18.95,27.59,33.33,25.995,6.042391910493724
2,27.68,21.58,36.21,33.33,29.7,6.4697192108055726
3,28.12,20.0,34.48,36.67,29.8175,7.482434430050155
4,29.46,21.05,37.93,36.67,31.2775,7.77259877175367
5,32.14,24.74,37.93,40.0,33.7025,6.838568929242434
6,33.93,24.74,37.93,33.33,32.4825,5.55082801631132
7,33.48,26.84,36.21,36.67,33.3,4.530967519930669
8,33.93,31.05,36.21,33.33,33.629999999999995,2.12075458268985
9,32.59,31.58,39.66,33.33,34.29,3.6511459388343623
10,35.71,33.16,36.21,33.33,34.602500000000006,1.58226367377038
11,35.27,33.68,36.21,33.33,34.6225,1.3537940512992872
12,37.05,40.53,34.48,40.0,38.015,2.8102728218686073
13,37.05,29.47,37.93,36.67,35.28,3.909117547477947
14,37.95,36.32,41.38,36.67,38.08,2.3088669659958043
15,41.07,41.05,41.38,33.33,39.207499999999996,3.9212444878295134
16,35.71,28.42,36.21,36.67,34.2525,3.908046187035153
17,42.86,44.21,43.1,40.0,42.5425,1.7941084136695868
18,41.96,37.37,43.1,40.0,40.6075,2.509467074898575
19,45.09,45.79,34.48,46.67,43.00749999999999,5.7216336536575545
20,43.75,42.11,46.55,40.0,43.1025,2.7637580091848357
21,42.86,41.58,39.66,40.0,41.025,1.482014394891854
22,43.75,45.79,36.21,40.0,41.4375,4.230251174575807
23,43.3,45.79,37.93,36.67,40.9225,4.335276807771331
24,43.3,47.89,37.93,43.33,43.1125,4.072889023776612
25,44.64,47.89,34.48,46.67,43.42,6.108884240732238
26,49.11,48.95,44.83,40.0,45.7225,4.298661613417213
27,45.09,45.26,44.83,36.67,42.962500000000006,4.198725004887396
28,46.43,52.63,41.38,46.67,46.7775,4.601343101023149
29,45.98,50.0,41.38,46.67,46.00749999999999,3.549341488220032
30,45.54,48.42,37.93,43.33,43.80500000000001,4.436579012407345
31,48.66,49.47,41.38,46.67,46.545,3.6387589459411367
32,47.32,48.95,43.1,40.0,44.8425,4.0618417415420485
33,46.43,48.42,39.66,50.0,46.1275,4.552357447887122
34,52.23,53.16,41.38,46.67,48.36,5.464839125415005
35,49.55,52.11,37.93,46.67,46.565,6.170669871794039
36,47.32,51.58,41.38,50.0,47.57,4.485666059795355
37,54.02,54.21,44.83,53.33,51.5975,4.527481824001802
38,50.45,50.53,41.38,43.33,46.4225,4.763845610428618
39,54.02,52.11,39.66,56.67,50.614999999999995,7.538879227046952
40,50.45,52.63,36.21,46.67,46.49000000000001,7.2822157800127485
41,51.79,55.26,39.66,60.0,51.677499999999995,8.689673469124143
42,53.57,50.53,43.1,56.67,50.9675,5.813216980869256
43,52.23,51.05,37.93,50.0,47.8025,6.644403033129963
44,50.0,54.21,36.21,60.0,50.105000000000004,10.129891411066556
45,51.79,50.0,37.93,60.0,49.93,9.108044063720083
46,54.46,55.26,37.93,60.0,51.9125,9.636968316505628
47,52.23,53.68,39.66,66.67,53.06,11.04332981185174
48,54.91,54.21,43.1,63.33,53.8875,8.300210338700257
49,51.79,54.21,44.83,66.67,54.375,9.110131722428608
50,53.12,53.68,37.93,63.33,52.015,10.494597022595324
51,55.36,54.21,39.66,66.67,53.974999999999994,11.076336638678574
52,51.79,51.58,43.1,63.33,52.45,8.306411178521483
53,54.02,53.16,41.38,63.33,52.9725,8.996226523752425
54,55.36,55.79,37.93,66.67,53.9375,11.885731992603569
55,53.12,51.58,41.38,60.0,51.519999999999996,7.6875136856246735
56,54.91,56.32,41.38,70.0,55.652499999999996,11.698317186672618
57,57.59,57.89,43.1,73.33,57.977500000000006,12.344999999999999
58,54.46,55.26,36.21,73.33,54.815,15.157784578668918
59,52.68,52.11,39.66,70.0,53.6125,12.467951916814567
60,55.8,55.79,43.1,70.0,56.1725,10.990527360716893
61,56.7,56.84,37.93,70.0,55.3675,13.192425541448648
62,55.8,53.16,44.83,66.67,55.114999999999995,9.010928550007117
