epoch,local_time_s,peak_vram_mb
0,62.93,3935.91
1,62.26,4018.36
2,62.81,4017.48
3,62.81,4017.48
4,62.78,4017.48
5,62.85,4016.78
6,62.91,4016.36
7,62.58,4017.23
8,62.98,4017.23
9,62.58,4014.53
10,62.29,4014.23
11,62.63,4014.23
12,62.37,4014.11
13,62.9,4014.11
14,62.87,4012.55
15,63.39,4012.98
16,62.85,4012.42
17,62.47,4012.42
18,63.19,4012.98
19,62.89,4012.98
20,62.63,4012.98
21,62.29,4012.98
22,62.62,4012.98
23,62.87,4012.61
24,62.36,4012.98
25,62.58,4011.98
26,62.71,4011.55
27,62.21,4011.48
28,62.43,4011.86
29,62.44,4011.3
30,62.98,4010.98
31,62.78,4010.73
32,62.62,4010.11
33,62.62,4009.73
34,62.87,4010.11
35,62.78,4009.73
36,62.56,4009.86
37,62.53,4007.73
38,62.58,4008.36
39,62.84,4008.36
40,62.73,4008.23
41,62.42,4008.98
42,62.85,4008.11
43,62.23,4008.23
44,62.85,4008.98
45,62.64,4009.86
46,62.68,4009.23
47,62.77,4008.36
48,62.49,4009.23
49,62.36,4009.3
50,62.28,4008.98
51,62.3,4009.23
52,63.13,4009.86
53,62.56,4009.86
54,62.65,4008.11
55,62.51,4008.61
56,62.69,4007.86
57,62.28,4007.73
58,62.35,4009.86
59,62.52,4008.73
60,62.72,4006.73
61,62.67,4006.73
62,62.47,4006.73
63,62.83,4007.3
64,62.3,4007.17
65,62.34,4009.61
66,62.37,4009.23
67,62.48,4008.36
68,62.65,4008.36
69,62.29,4007.86
70,62.85,4007.48
71,62.61,4007.48
72,62.34,4007.17
73,62.33,4008.36
74,63.44,4008.36
75,62.66,4006.48
76,62.6,4006.05
77,62.81,4007.42
78,63.06,4008.73
79,62.61,4007.55
80,62.83,4007.73
81,62.86,4008.3
82,62.77,4008.36
83,62.66,4008.36
84,62.36,4008.36
85,62.42,4008.36
86,62.37,4008.36
87,62.94,4008.36
88,62.81,4008.73
89,62.46,4008.73
90,62.55,4006.92
91,62.67,4006.42
92,62.43,4006.61
93,62.88,4006.73
94,62.72,4006.61
95,62.83,4006.36
96,62.7,4006.36
97,62.61,4004.48
98,62.43,4005.36
99,62.36,4006.67
100,63.05,4005.73
101,62.93,4007.23
102,62.99,4006.36
103,62.5,4006.36
104,62.72,4006.36
105,62.81,4007.23
106,62.57,4006.73
107,62.58,4006.73
108,62.37,4005.73
109,62.76,4006.73
110,62.87,4007.61
111,62.69,4006.36
112,62.5,4006.23
113,63.07,4007.23
114,62.84,4006.36
115,63.02,4006.36
116,62.93,4006.36
117,62.39,4007.23
118,62.49,4003.61
119,62.69,4004.48
120,62.56,4006.61
121,62.59,4007.48
122,62.62,4007.48
123,62.77,4006.73
124,62.91,4007.61
125,62.3,4007.61
126,62.36,4007.61
127,62.69,4007.61
128,62.71,4007.61
129,62.95,4007.61
130,62.21,4007.61
131,63.0,4007.61
132,62.35,4007.61
133,62.51,4006.73
134,62.76,4006.61
135,62.3,4006.3
136,62.66,4006.61
137,62.41,4004.86
138,62.79,4005.73
139,62.29,4004.98
140,62.95,4007.61
141,62.66,4007.3
142,62.47,4005.86
143,62.26,4006.98
144,62.63,4006.11
145,62.85,4006.73
146,63.22,4006.61
147,62.27,4006.3
148,62.73,4006.61
149,62.84,4006.61
150,62.99,4005.73
151,62.78,4006.61
152,62.46,4006.61
153,62.72,4005.98
154,62.57,4006.23
155,62.53,4006.61
156,62.59,4006.61
157,62.54,4006.61
158,62.72,4006.61
159,62.68,4006.61
160,62.44,4006.61
161,63.14,4004.73
162,62.65,4005.61
163,62.88,4005.61
164,62.17,4005.48
165,63.18,4006.36
166,62.43,4006.23
167,62.81,4005.36
168,63.04,4006.36
169,62.86,4005.98
170,62.84,4005.36
171,62.61,4007.23
172,62.61,4006.86
173,62.7,4006.23
174,62.81,4006.23
175,62.85,4006.67
176,62.59,4005.98
177,63.17,4006.61
178,62.52,4006.61
179,62.3,4005.73
180,62.64,4004.86
181,62.26,4005.73
182,62.62,4005.73
183,62.65,4005.73
184,62.87,4005.61
185,62.29,4002.98
186,62.55,4002.98
187,62.63,4003.86
188,62.86,4003.86
189,62.78,4004.73
190,62.86,4004.73
191,62.41,4005.73
192,62.82,4006.36
193,62.29,4003.86
194,62.5,4004.48
195,62.3,4005.36
196,62.78,4005.36
197,62.55,4005.36
198,63.21,4005.36
199,62.68,4005.36
