epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,18.3,16.84,12.07,16.67,15.97,2.7009751325524394
1,28.12,24.74,27.59,16.67,24.28,5.286000378357912
2,31.7,31.05,29.31,30.0,30.515,1.065786094861441
3,31.25,38.95,36.21,23.33,32.435,6.855681342263997
4,36.16,33.16,31.03,33.33,33.42,2.1051840774621096
5,37.95,34.74,34.48,33.33,35.125,1.9804797398610288
6,38.39,40.0,29.31,26.67,33.5925,6.5912283882950575
7,37.95,41.05,27.59,33.33,34.980000000000004,5.859476654673749
8,40.62,48.42,25.86,33.33,37.0575,9.679464086404785
9,38.39,43.16,27.59,26.67,33.9525,8.123744518385593
10,39.73,42.63,22.41,40.0,36.192499999999995,9.280978306909963
11,40.62,47.89,22.41,30.0,35.23,11.269915705097354
12,44.2,47.89,20.69,36.67,37.3625,12.055862681699722
13,45.98,46.84,25.86,36.67,38.8375,9.800831172235682
14,43.3,48.95,24.14,40.0,39.0975,10.634442079081222
15,50.0,51.58,25.86,33.33,40.192499999999995,12.627703340935227
16,45.54,56.84,25.86,43.33,42.8925,12.804159155003765
17,46.43,51.58,18.97,40.0,39.245,14.322733677618949
18,48.21,54.74,29.31,43.33,43.897499999999994,10.790036685139984
19,46.88,53.16,24.14,40.0,41.045,12.48587869021106
20,50.89,55.26,32.76,43.33,45.56,9.85413280473393
21,46.88,53.16,24.14,43.33,41.8775,12.503979033358407
22,45.98,56.84,27.59,43.33,43.435,12.072642627030753
23,49.11,55.79,31.03,40.0,43.9825,10.790981960260458
24,49.55,55.79,37.93,43.33,46.650000000000006,7.724644544141389
25,47.77,56.84,31.03,43.33,44.74250000000001,10.732242309974184
26,49.11,56.32,31.03,40.0,44.115,10.985786271359915
27,48.66,53.16,34.48,36.67,43.24249999999999,9.086350110651324
28,52.68,58.42,34.48,43.33,47.22749999999999,10.530765641680572
29,49.55,61.05,31.03,43.33,46.239999999999995,12.518045640860501
30,50.0,59.47,31.03,43.33,45.957499999999996,11.953569550556853
31,49.55,62.11,36.21,46.67,48.635000000000005,10.656057745088784
32,48.66,59.47,37.93,40.0,46.515,9.807828505841647
33,50.45,56.84,41.38,46.67,48.83500000000001,6.505190235496577
34,53.57,65.79,36.21,43.33,49.72500000000001,12.86363738087586
35,54.46,66.32,37.93,50.0,52.1775,11.73247451875917
36,51.34,64.74,36.21,50.0,50.5725,11.660707168378195
37,55.8,68.95,36.21,50.0,52.74,13.575421417645446
38,53.57,63.68,37.93,43.33,49.6275,11.394531948848682
39,53.12,62.11,37.93,46.67,49.957499999999996,10.216866365639385
40,56.25,65.26,39.66,50.0,52.792500000000004,10.764965938945963
41,54.02,63.68,37.93,50.0,51.4075,10.662449296479679
42,54.46,62.11,36.21,46.67,49.8625,11.071300360240736
43,54.02,61.58,34.48,56.67,51.6875,11.891530249159135
44,54.91,63.16,36.21,56.67,52.7375,11.575420438728491
45,55.8,60.0,37.93,53.33,51.765,9.625537214445053
46,55.36,65.26,34.48,50.0,51.275,12.85774863652265
47,57.59,64.74,39.66,56.67,54.665000000000006,10.63377167330576
48,56.7,67.89,36.21,56.67,54.36750000000001,13.207256528136343
49,55.8,65.26,37.93,56.67,53.915000000000006,11.480018873387507
50,55.36,62.11,37.93,60.0,53.85,10.98144799195443
51,55.36,66.84,36.21,53.33,52.935,12.637395565015233
52,56.25,65.26,32.76,60.0,53.5675,14.355480660709347
53,55.36,66.32,37.93,60.0,54.902499999999996,12.174000643447766
54,56.25,67.89,34.48,66.67,56.322500000000005,15.470163487608444
55,56.7,63.68,39.66,63.33,55.8425,11.25607502640241
56,57.14,65.79,37.93,56.67,54.38250000000001,11.742405701842648
57,58.04,62.63,37.93,63.33,55.4825,11.934558712690919
58,59.38,72.11,36.21,66.67,58.5925,15.806805232768154
59,54.91,65.26,36.21,53.33,52.427499999999995,12.036855555611968
60,57.14,67.89,37.93,63.33,56.572500000000005,13.186033962745078
61,57.59,63.68,41.38,56.67,54.83,9.490841199106992
62,56.7,65.26,41.38,70.0,58.335,12.572100063235258
63,58.48,67.37,39.66,70.0,58.8775,13.727137052811369
64,56.25,66.32,43.1,63.33,57.25,10.335276161444998
65,56.7,67.37,37.93,56.67,54.667500000000004,12.242527993297248
66,56.7,72.11,37.93,66.67,58.352500000000006,15.036166122608071
67,58.04,75.79,36.21,53.33,55.8425,16.27349045738703
68,55.8,72.63,43.1,60.0,57.8825,12.176913607314455
69,54.91,64.74,41.38,63.33,56.09,10.724063284657232
70,57.14,67.37,36.21,70.0,57.68,15.350689452486057
71,58.93,69.47,39.66,63.33,57.8475,12.872415921910957
72,58.04,70.0,39.66,60.0,56.925,12.645614523093242
73,58.93,70.0,37.93,60.0,56.715,13.479180242136389
74,56.25,66.32,41.38,60.0,55.9875,10.587865302631432
75,58.93,66.32,43.1,66.67,58.754999999999995,11.030051374918127
76,58.48,70.53,39.66,66.67,58.834999999999994,13.735196880035371
77,56.25,62.63,37.93,60.0,54.2025,11.15975320814339
78,57.59,66.84,41.38,66.67,58.120000000000005,11.967308246496648
79,58.48,67.89,39.66,63.33,57.34,12.397104500648531
80,55.36,65.79,44.83,60.0,56.495000000000005,8.870221718386377
81,57.59,68.42,41.38,66.67,58.515,12.370352999544247
82,59.82,67.37,36.21,70.0,58.35,15.377726316548447
83,57.14,70.0,39.66,60.0,56.7,12.627155921531449
84,57.59,71.05,44.83,63.33,59.19999999999999,11.053934442842813
85,58.48,69.47,43.1,63.33,58.595,11.266382146308842
86,57.14,64.74,43.1,60.0,56.245,9.306934690505424
87,59.82,72.63,44.83,63.33,60.15249999999999,11.556730722829876
88,59.82,68.42,44.83,66.67,59.935,10.732034600515725
89,58.04,68.42,41.38,63.33,57.792500000000004,11.733698976310354
90,58.48,70.0,46.55,60.0,58.75749999999999,9.609676980349894
91,55.8,64.74,41.38,60.0,55.48,10.084483130036954
92,57.14,68.42,43.1,63.33,57.9975,10.950416658739519
93,60.27,71.05,43.1,56.67,57.772499999999994,11.532956761675067
94,57.14,68.95,41.38,66.67,58.535,12.52850749291391
95,59.38,71.05,39.66,60.0,57.5225,13.059485377813834
96,58.93,71.58,41.38,66.67,59.64,13.240294558656917
97,58.48,67.37,37.93,66.67,57.6125,13.728322002342459
98,60.71,72.11,43.1,60.0,58.98,11.952748637865684
99,57.14,65.26,44.83,60.0,56.807500000000005,8.664253670493883
100,61.16,71.05,46.55,56.67,58.8575,10.168878584517895
101,58.48,68.42,37.93,60.0,56.2075,12.945520138900047
102,58.48,75.79,39.66,70.0,60.9825,15.932031414731773
103,58.93,70.53,43.1,63.33,58.9725,11.61179967389494
104,60.71,65.79,43.1,66.67,59.067499999999995,10.964319024301814
105,58.04,66.84,44.83,66.67,59.095,10.359679853483248
106,59.38,70.0,41.38,56.67,56.8575,11.813501809370496
107,58.93,70.0,43.1,63.33,58.84,11.437677503176362
108,58.48,75.79,46.55,60.0,60.205,12.005122517769935
109,59.82,71.58,44.83,63.33,59.89,11.184784307263149
110,59.38,71.58,48.28,60.0,59.81,9.51656100349981
111,58.48,72.63,37.93,50.0,54.76,14.595453630040645
112,57.59,70.0,43.1,60.0,57.6725,11.101787768943643
113,60.71,70.0,43.1,66.67,60.120000000000005,11.979780187187632
114,58.48,66.32,43.1,53.33,55.30749999999999,9.73436310191889
115,58.48,74.74,44.83,63.33,60.345,12.387086017300435
116,57.59,68.42,41.38,53.33,55.18000000000001,11.179865831037509
117,58.04,71.58,44.83,56.67,57.78,10.945961203415015
118,61.61,71.58,46.55,70.0,62.435,11.458244484504014
119,57.59,71.58,44.83,60.0,58.5,10.970162563365534
120,59.38,74.74,46.55,60.0,60.167500000000004,11.524499627604952
121,58.93,66.84,46.55,63.33,58.912499999999994,8.854213215563917
122,58.93,74.21,44.83,63.33,60.32499999999999,12.163665839978778
123,59.38,67.89,43.1,63.33,58.425,10.792171545461398
124,58.48,67.37,44.83,63.33,58.5025,9.81283300921129
125,58.48,68.42,41.38,63.33,57.9025,11.73885393327077
126,59.38,68.95,39.66,63.33,57.83,12.733889167624062
127,59.82,71.58,44.83,63.33,59.89,11.184784307263149
128,59.38,68.95,43.1,56.67,57.025000000000006,10.67369508027406
129,60.27,72.63,41.38,56.67,57.7375,12.869958236140471
130,59.38,67.37,41.38,56.67,56.2,10.874045551986008
131,58.04,72.11,46.55,63.33,60.00749999999999,10.684644355335372
132,59.38,68.95,43.1,56.67,57.025000000000006,10.67369508027406
133,59.82,74.74,37.93,56.67,57.290000000000006,15.122801768631806
134,58.93,67.89,43.1,56.67,56.647499999999994,10.24920931909709
135,59.38,72.63,44.83,53.33,57.54249999999999,11.695609931365984
136,59.38,73.16,44.83,56.67,58.510000000000005,11.631958849078973
137,59.38,73.16,43.1,53.33,57.24249999999999,12.5599054534658
138,58.04,72.11,39.66,60.0,57.4525,13.39465409532226
139,58.93,70.53,43.1,56.67,57.307500000000005,11.25057739259042
140,58.48,71.58,44.83,53.33,57.05499999999999,11.200186010360126
141,58.48,71.58,48.28,66.67,61.2525,10.197697043940853
142,58.04,70.53,46.55,60.0,58.78,9.826348931995717
143,61.61,75.26,43.1,60.0,59.9925,13.179143560945075
144,58.04,69.47,44.83,63.33,58.91749999999999,10.488931864907249
145,61.61,75.79,43.1,63.33,60.957499999999996,13.47773317982912
146,58.93,68.42,44.83,63.33,58.8775,10.136058981017557
147,59.38,73.16,46.55,66.67,61.44,11.411500047466737
148,58.48,70.0,39.66,66.67,58.7025,13.586523653974186
149,58.04,71.58,43.1,70.0,60.68,13.187094701512788
150,59.82,74.74,41.38,56.67,58.1525,13.68015929488152
151,58.04,74.21,48.28,63.33,60.965,10.808763419867539
152,58.48,71.05,44.83,60.0,58.59,10.748478962160181
153,56.7,74.21,44.83,56.67,58.102500000000006,12.105506667077863
154,59.82,72.11,44.83,63.33,60.022499999999994,11.371019816474979
155,60.27,73.16,44.83,60.0,59.565,11.584911163520704
156,58.48,71.05,44.83,60.0,58.59,10.748478962160181
157,61.16,76.32,44.83,56.67,59.745000000000005,13.021081624299365
158,58.93,74.21,46.55,60.0,59.9225,11.31293470619656
159,59.82,68.95,44.83,60.0,58.400000000000006,10.000396658799758
160,58.93,74.21,43.1,56.67,58.22749999999999,12.743637301283593
161,59.82,70.53,39.66,60.0,57.5025,12.905798115575807
162,61.16,75.26,41.38,60.0,59.45,13.900930424495574
163,57.59,72.63,41.38,66.67,59.567499999999995,13.610903411113702
164,60.71,75.79,44.83,63.33,61.16499999999999,12.722907162542166
165,60.27,70.0,46.55,60.0,59.205,9.634093972277137
166,60.27,74.74,44.83,70.0,62.459999999999994,13.206854281016353
167,59.82,71.05,46.55,66.67,61.02250000000001,10.698041487425009
168,57.14,70.53,44.83,70.0,60.625,12.215112224890392
169,59.82,74.74,41.38,63.33,59.817499999999995,13.843892456001427
170,62.5,75.79,43.1,56.67,59.515,13.556451108850972
171,61.61,73.68,48.28,60.0,60.892500000000005,10.390808037234963
172,59.82,70.0,46.55,56.67,58.260000000000005,9.659423723321526
173,61.16,71.58,43.1,60.0,58.96,11.785946433500081
174,60.27,74.74,37.93,66.67,59.9025,15.799538759090405
175,59.38,69.47,46.55,63.33,59.68249999999999,9.68940099627767
176,60.27,71.58,39.66,60.0,57.8775,13.289906884549644
177,60.71,67.89,44.83,63.33,59.19,10.022468092574139
178,60.71,70.0,41.38,66.67,59.69,12.797304403662514
179,59.38,72.63,46.55,60.0,59.64,10.650280121511672
