epoch,local_time_s,peak_vram_mb
0,63.06,4729.17
1,63.02,4849.6
2,63.03,4851.1
3,63.18,4851.1
4,63.26,4850.1
5,63.28,4851.1
6,63.4,4848.79
7,63.04,4848.8
8,63.5,4847.66
9,63.13,4849.41
10,62.88,4847.6
11,62.96,4848.79
12,63.14,4847.35
13,63.48,4849.41
14,63.47,4849.35
15,63.59,4849.97
16,63.42,4849.1
17,63.36,4847.91
18,63.71,4847.1
19,63.47,4847.1
20,63.47,4846.79
21,63.01,4847.1
22,63.42,4845.97
23,63.61,4845.1
24,62.9,4843.97
25,63.32,4843.47
26,63.58,4843.91
27,63.09,4845.35
28,63.01,4846.43
29,63.19,4846.29
30,63.42,4843.66
31,63.68,4843.85
32,63.46,4843.97
33,63.25,4843.29
34,63.46,4843.66
35,63.32,4845.6
36,63.22,4845.43
37,63.1,4845.97
38,63.22,4845.6
39,63.41,4846.29
40,63.47,4845.41
41,63.13,4845.91
42,63.4,4846.72
43,62.99,4845.41
44,63.59,4844.47
45,63.29,4845.1
46,63.16,4845.1
47,63.5,4844.22
48,63.21,4845.1
49,63.09,4845.1
50,63.19,4845.72
51,63.12,4845.35
52,63.6,4845.35
53,63.15,4843.91
54,63.28,4842.72
55,63.32,4841.97
56,63.43,4843.1
57,63.04,4842.85
58,63.01,4843.72
59,63.21,4841.97
60,63.48,4841.97
61,63.29,4842.54
62,63.09,4841.97
63,63.36,4841.97
64,63.09,4841.1
65,63.04,4842.29
66,65.99,4841.41
67,65.52,4842.85
68,63.5,4843.72
69,62.93,4843.6
70,63.38,4844.22
71,63.3,4843.72
72,63.33,4844.04
73,62.92,4843.85
74,63.85,4843.16
75,63.38,4842.85
76,62.88,4845.47
77,63.31,4841.97
78,63.25,4843.72
79,63.18,4842.85
80,63.38,4841.85
81,63.38,4841.35
82,63.42,4842.85
83,63.06,4843.16
84,62.79,4842.85
85,62.92,4841.97
86,62.94,4841.41
87,63.27,4840.54
88,63.24,4843.16
89,62.83,4842.16
90,63.02,4842.85
91,63.34,4842.85
92,63.0,4841.85
93,63.33,4842.85
94,63.09,4843.72
95,63.58,4841.85
96,63.05,4843.72
97,63.51,4844.22
98,63.04,4843.72
99,62.82,4844.6
100,63.44,4842.29
101,63.51,4842.85
102,63.53,4841.97
103,63.18,4841.97
104,63.29,4840.97
105,63.47,4839.1
106,63.36,4840.22
107,63.12,4840.22
108,63.02,4840.54
109,63.26,4843.16
110,63.5,4842.85
111,63.31,4841.41
112,63.33,4841.1
113,63.49,4842.1
114,63.47,4841.97
115,63.79,4841.97
116,63.41,4843.72
117,63.16,4842.85
118,63.16,4842.85
119,63.11,4841.97
120,63.44,4843.72
121,63.06,4841.1
122,63.4,4841.97
123,63.48,4841.97
124,63.77,4842.85
125,63.22,4844.6
126,63.36,4844.04
127,63.45,4843.72
128,63.28,4842.1
129,63.39,4843.1
130,63.1,4844.6
131,63.59,4844.04
132,62.97,4843.72
133,63.01,4843.04
134,63.6,4843.16
135,62.87,4843.41
136,63.4,4843.97
137,62.96,4843.97
138,63.43,4843.72
139,63.02,4842.29
140,63.5,4842.6
141,63.24,4843.72
142,63.16,4843.72
143,63.07,4843.72
144,63.33,4841.72
145,63.63,4842.29
146,63.9,4841.41
147,63.11,4841.97
148,63.25,4841.41
149,63.43,4841.97
150,63.49,4841.16
151,63.53,4842.29
152,63.27,4841.22
153,63.51,4843.72
154,63.32,4843.72
155,63.25,4844.6
156,63.32,4843.72
157,63.24,4842.72
158,63.48,4843.16
159,63.14,4843.72
160,63.13,4841.97
161,63.86,4841.97
162,63.21,4841.97
163,63.47,4843.72
164,63.13,4841.97
165,63.65,4842.22
166,63.04,4841.1
167,63.54,4841.6
168,63.5,4843.16
169,63.62,4843.72
170,63.37,4842.85
171,63.16,4841.97
172,63.24,4842.85
173,63.22,4841.85
174,63.53,4841.97
175,63.44,4841.1
176,63.43,4841.1
177,63.77,4843.16
178,63.35,4843.72
179,63.05,4843.72
180,63.15,4842.22
181,62.84,4841.97
182,63.24,4842.97
183,63.1,4843.72
184,63.59,4842.47
185,62.98,4843.72
186,63.21,4843.16
187,63.25,4841.97
188,63.58,4842.47
189,63.38,4841.97
190,63.45,4842.35
191,63.08,4843.16
192,63.66,4842.85
193,63.1,4842.29
194,62.91,4843.22
195,62.95,4843.16
196,63.34,4843.72
197,63.21,4844.04
198,63.7,4844.6
199,63.33,4843.72
