epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,9.82,10.0,10.34,13.33,10.8725,1.652460286966074
1,25.0,17.89,31.03,33.33,26.8125,6.907997177185295
2,22.32,20.53,32.76,23.33,24.735,5.473843865755275
3,19.64,17.89,29.31,23.33,22.5425,5.04940508046905
4,29.91,21.58,36.21,30.0,29.424999999999997,6.0040569617551105
5,30.8,25.79,37.93,40.0,33.63,6.545772172428043
6,33.93,23.68,36.21,36.67,32.6225,6.080851776958006
7,35.27,30.53,37.93,36.67,35.10000000000001,3.2345839505774667
8,33.93,25.79,36.21,33.33,32.315,4.523461064273683
9,32.14,32.11,32.76,33.33,32.584999999999994,0.5800287349203764
10,36.61,34.74,37.93,36.67,36.4875,1.3143914941903716
11,37.05,36.32,36.21,33.33,35.727500000000006,1.641226675386432
12,34.38,40.0,37.93,43.33,38.91,3.750813245150975
13,34.82,30.0,41.38,36.67,35.7175,4.7069620421952285
14,39.73,40.0,41.38,43.33,41.11,1.6469972677572968
15,41.52,42.63,41.38,33.33,39.715,4.2932388705964195
16,41.96,46.84,34.48,43.33,41.6525,5.204596526148787
17,43.75,45.26,37.93,40.0,41.735,3.365219160767987
18,43.75,45.79,37.93,43.33,42.7,3.3566054281073905
19,45.54,45.79,39.66,46.67,44.415000000000006,3.206831250107601
20,45.54,45.26,41.38,46.67,44.712500000000006,2.3037559911298464
21,44.64,45.26,43.1,36.67,42.417500000000004,3.93780289840244
22,44.2,48.42,37.93,43.33,43.47,4.310707598527185
23,44.64,44.74,36.21,46.67,43.065,4.664522126291896
24,44.64,50.53,37.93,46.67,44.942499999999995,5.274816742472355
25,45.98,50.0,36.21,50.0,45.5475,6.507059627819618
26,46.43,52.63,41.38,43.33,45.942499999999995,4.919413074747841
27,46.88,48.95,37.93,40.0,43.440000000000005,5.303690538986353
28,47.77,51.05,37.93,50.0,46.6875,5.996378768334546
29,48.21,50.0,39.66,53.33,47.8,5.826622806852469
30,44.64,49.47,34.48,46.67,43.815,6.530770755941957
31,49.55,52.63,37.93,46.67,46.69500000000001,6.329852552258491
32,46.88,50.0,36.21,46.67,44.94,6.015895610796451
33,50.0,50.0,41.38,50.0,47.845,4.309999999999999
34,53.12,55.79,39.66,53.33,50.474999999999994,7.311190053609605
35,52.23,52.11,37.93,50.0,48.0675,6.835487668532996
36,53.12,51.05,43.1,50.0,49.317499999999995,4.3429511855419225
37,54.91,54.21,46.55,50.0,51.417500000000004,3.9028824817904355
38,51.79,53.68,41.38,46.67,48.379999999999995,5.526970236938134
39,52.68,50.53,36.21,53.33,48.1875,8.074149594023302
40,51.34,53.16,39.66,56.67,50.207499999999996,7.371419469817196
41,54.91,56.32,43.1,50.0,51.082499999999996,5.971411753792676
42,51.79,52.63,34.48,50.0,47.225,8.567164058193356
43,56.7,53.68,34.48,66.67,52.88249999999999,13.46546787155946
44,54.91,54.21,36.21,60.0,51.3325,10.40663370163474
45,55.36,52.63,37.93,63.33,52.3125,10.608639168149702
46,54.91,54.74,39.66,63.33,53.16,9.85288113531604
47,54.46,52.63,43.1,63.33,53.379999999999995,8.294773454812773
48,55.8,59.47,41.38,66.67,55.83,10.638900319111933
49,52.68,56.32,43.1,63.33,53.8575,8.424220537632348
50,55.36,53.68,36.21,66.67,52.980000000000004,12.580453091999509
51,56.25,58.42,39.66,63.33,54.41499999999999,10.27285257365256
52,54.02,58.42,43.1,63.33,54.7175,8.628180090069206
53,55.36,55.79,41.38,63.33,53.965,9.153543940281635
54,55.8,58.42,41.38,66.67,55.567499999999995,10.531563274272248
55,54.02,52.63,39.66,63.33,52.41,9.73737473175736
56,56.25,56.32,48.28,66.67,56.879999999999995,7.539111353468657
57,56.7,56.32,50.0,63.33,56.587500000000006,5.444895927992257
58,54.46,55.79,44.83,66.67,55.4375,8.939945469632352
59,55.8,57.89,44.83,56.67,53.7975,6.03947776439873
60,54.91,57.89,41.38,63.33,54.3775,9.339940667191984
61,54.46,59.47,48.28,63.33,56.385000000000005,6.51016896862132
62,54.46,54.21,46.55,70.0,56.305,9.840496261198755
63,55.36,60.53,46.55,63.33,56.442499999999995,7.375153670715389
64,53.57,60.53,50.0,66.67,57.692499999999995,7.412072921929465
65,54.02,57.89,48.28,66.67,56.715,7.722152117987144
66,55.36,62.11,48.28,66.67,58.105000000000004,8.030460758885507
67,55.36,62.11,44.83,70.0,58.075,10.665959872416547
68,54.91,65.79,46.55,60.0,56.8125,8.158718751536096
69,58.04,60.0,43.1,63.33,56.11749999999999,8.948841172650978
70,56.25,61.05,44.83,66.67,57.2,9.281214001052522
71,54.46,61.05,43.1,63.33,55.485,9.072891857983684
72,55.8,60.53,41.38,63.33,55.260000000000005,9.761212356396443
73,58.04,62.63,44.83,66.67,58.042500000000004,9.487695101199941
74,56.25,60.53,44.83,66.67,57.07000000000001,9.21270137726534
75,56.25,57.37,48.28,70.0,57.975,8.980261688837357
76,58.04,63.16,44.83,70.0,59.00749999999999,10.646061478312063
