epoch,local_time_s,peak_vram_mb
0,62.52,4729.17
1,62.34,4849.6
2,63.25,4851.1
3,63.41,4851.1
4,63.13,4850.1
5,63.31,4851.1
6,63.46,4848.79
7,62.74,4848.8
8,62.72,4847.66
9,62.61,4849.41
10,62.25,4847.6
11,62.44,4848.79
12,62.24,4847.35
13,62.81,4849.41
14,62.83,4849.35
15,63.03,4849.97
16,62.97,4849.1
17,62.62,4847.91
18,63.16,4847.1
19,62.79,4847.1
20,62.54,4846.79
21,62.4,4847.1
22,62.56,4845.97
23,62.67,4845.1
24,62.29,4843.97
25,62.55,4843.47
26,62.66,4843.91
27,62.4,4845.35
28,62.69,4846.43
29,62.66,4846.29
30,62.91,4843.66
31,62.9,4843.85
32,62.55,4843.97
33,62.55,4843.29
34,62.95,4843.66
35,62.81,4845.6
36,62.66,4845.43
37,62.75,4845.97
38,62.57,4845.6
39,62.47,4846.29
40,62.79,4845.41
41,62.26,4845.91
42,62.77,4846.72
43,62.58,4845.41
44,62.81,4844.47
45,62.8,4845.1
46,62.55,4845.1
47,62.75,4844.22
48,62.59,4845.1
49,62.63,4845.1
50,62.63,4845.72
51,62.52,4845.35
52,63.05,4845.35
53,62.68,4843.91
54,62.61,4842.72
55,62.69,4841.97
56,62.64,4843.1
57,62.34,4842.85
58,62.56,4843.72
59,62.83,4841.97
60,62.94,4841.97
61,62.53,4842.54
62,62.47,4841.97
63,62.52,4841.97
64,62.24,4841.1
65,62.52,4842.29
66,62.34,4841.41
67,62.63,4842.85
68,62.63,4843.72
69,62.43,4843.6
70,62.69,4844.22
71,62.6,4843.72
72,62.44,4844.04
73,62.45,4843.85
74,63.58,4843.16
75,62.62,4842.85
76,62.4,4845.47
77,62.73,4841.97
78,62.71,4843.72
79,62.45,4842.85
80,62.7,4841.85
81,62.88,4841.35
82,62.6,4842.85
83,62.72,4843.16
84,62.22,4842.85
85,62.41,4841.97
86,62.4,4841.41
87,63.0,4840.54
88,62.87,4843.16
89,62.35,4842.16
90,62.58,4842.85
91,62.74,4842.85
92,62.65,4841.85
93,62.82,4842.85
94,62.56,4843.72
95,63.0,4841.85
96,62.66,4843.72
97,62.63,4844.22
98,62.4,4843.72
99,62.54,4844.6
100,62.93,4842.29
101,62.7,4842.85
102,62.79,4841.97
103,62.56,4841.97
104,62.63,4840.97
105,62.76,4839.1
106,62.34,4840.22
107,62.4,4840.22
108,62.37,4840.54
109,62.78,4843.16
110,62.68,4842.85
111,62.62,4841.41
112,62.63,4841.1
113,62.71,4842.1
114,62.7,4841.97
115,63.2,4841.97
116,62.87,4843.72
117,62.59,4842.85
118,62.42,4842.85
119,62.58,4841.97
120,62.53,4843.72
121,62.51,4841.1
122,62.71,4841.97
123,62.89,4841.97
124,62.85,4842.85
125,62.19,4844.6
126,62.38,4844.04
127,62.71,4843.72
128,62.51,4842.1
129,62.9,4843.1
130,62.5,4844.6
131,63.28,4844.04
132,62.49,4843.72
133,62.27,4843.04
134,62.78,4843.16
135,62.45,4843.41
136,62.54,4843.97
137,62.41,4843.97
138,62.79,4843.72
139,62.41,4842.29
140,62.81,4842.6
141,62.54,4843.72
142,62.29,4843.72
143,62.38,4843.72
144,62.48,4841.72
145,63.0,4842.29
146,63.22,4841.41
147,62.51,4841.97
148,62.6,4841.41
149,62.91,4841.97
150,62.74,4841.16
151,62.79,4842.29
152,62.33,4841.22
153,62.73,4843.72
154,62.66,4843.72
155,62.51,4844.6
156,62.47,4843.72
157,62.62,4842.72
158,62.78,4843.16
159,62.65,4843.72
160,62.48,4841.97
161,63.2,4841.97
162,62.66,4841.97
163,62.81,4843.72
164,62.26,4841.97
165,62.92,4842.22
166,62.23,4841.1
167,62.9,4841.6
168,63.37,4843.16
169,62.82,4843.72
170,62.58,4842.85
171,62.57,4841.97
172,62.59,4842.85
173,62.7,4841.85
174,62.95,4841.97
175,63.02,4841.1
176,62.81,4841.1
177,63.07,4843.16
178,62.56,4843.72
179,62.27,4843.72
180,62.5,4842.22
181,62.4,4841.97
182,62.58,4842.97
183,62.69,4843.72
184,62.79,4842.47
185,62.4,4843.72
186,62.54,4843.16
187,62.52,4841.97
188,63.0,4842.47
189,62.79,4841.97
190,63.0,4842.35
191,62.37,4843.16
192,62.73,4842.85
193,62.31,4842.29
194,62.32,4843.22
195,62.31,4843.16
196,62.76,4843.72
197,62.46,4844.04
198,62.94,4844.6
199,62.64,4843.72
