epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,22.32,21.05,15.52,13.33,18.055,4.31710165118528
1,16.07,11.05,27.59,16.67,17.845,6.968220719810761
2,26.34,25.26,39.66,26.67,29.482499999999998,6.811668297854789
3,25.89,26.84,41.38,23.33,29.360000000000003,8.149286267316096
4,32.59,22.63,34.48,26.67,29.092499999999998,5.443346856484529
5,33.48,30.53,41.38,33.33,34.67999999999999,4.668154524720308
6,33.48,27.37,43.1,33.33,34.31999999999999,6.508368971306611
7,34.82,33.68,43.1,36.67,37.067499999999995,4.206165118014271
8,34.82,35.26,43.1,36.67,37.462500000000006,3.8402810227030706
9,37.5,37.89,41.38,33.33,37.525000000000006,3.296103760502696
10,39.29,39.47,44.83,36.67,40.065,3.424709233399724
11,38.39,43.68,43.1,36.67,40.459999999999994,3.463476095870544
12,38.84,42.11,43.1,43.33,41.845,2.07207625342312
13,41.96,41.58,43.1,46.67,43.3275,2.320048490872552
14,41.96,44.21,41.38,46.67,43.55500000000001,2.408796379937499
15,42.41,50.53,43.1,50.0,46.51,4.350425266568776
16,44.2,47.89,39.66,53.33,46.269999999999996,5.786334475872153
17,44.64,47.89,39.66,53.33,46.379999999999995,5.737845123970032
18,45.09,47.37,39.66,53.33,46.3625,5.6599138686025965
19,48.21,52.11,39.66,53.33,48.3275,6.177153470652969
20,48.66,53.16,39.66,53.33,48.7025,6.4044691427158895
21,47.77,55.26,39.66,53.33,49.004999999999995,6.992493594324322
22,47.77,54.74,39.66,53.33,48.875,6.8406261896603215
23,50.0,56.32,39.66,53.33,49.8275,7.253226293634212
24,48.21,60.53,41.38,53.33,50.8625,8.09326211528248
25,50.0,60.0,39.66,53.33,50.7475,8.48075222685661
26,50.89,57.37,41.38,53.33,50.74249999999999,6.789626278374971
27,51.34,58.42,41.38,53.33,51.11750000000001,7.143530289709703
28,52.68,60.0,43.1,56.67,53.1125,7.315068352380584
29,52.23,61.58,41.38,56.67,52.965,8.615832325821264
30,54.02,60.0,41.38,56.67,53.0175,8.134954927144136
31,53.12,64.21,43.1,56.67,54.27499999999999,8.768407305016494
32,54.91,63.68,43.1,60.0,55.4225,8.967468520528335
33,55.8,63.16,44.83,60.0,55.9475,8.001322286555725
34,55.36,63.16,44.83,56.67,55.004999999999995,7.592384342220828
35,56.25,65.26,44.83,56.67,55.7525,8.382181000988549
36,54.91,61.58,44.83,60.0,55.33,7.556405671128746
37,56.7,65.79,46.55,63.33,58.0925,8.59944329593492
38,55.8,66.84,44.83,66.67,58.535,10.495371995948185
39,57.59,65.79,41.38,73.33,59.52250000000001,13.696878902387457
40,56.25,67.37,41.38,73.33,59.582499999999996,14.048433779844165
41,56.7,67.37,43.1,73.33,60.125,13.272067158761164
42,56.7,66.84,43.1,70.0,59.160000000000004,12.116974319798928
43,57.59,66.32,41.38,73.33,59.655,13.780030237025361
44,58.48,65.79,41.38,70.0,58.9125,12.620199087177667
45,58.93,66.84,43.1,76.67,61.385000000000005,14.186337323871397
46,59.38,70.53,44.83,76.67,62.852500000000006,13.98494517925139
47,57.14,67.89,44.83,76.67,61.63250000000001,13.757292308687298
48,59.38,71.05,44.83,76.67,62.9825,14.082181116574237
49,58.48,68.95,48.28,73.33,62.260000000000005,11.21055752404848
50,59.82,68.42,44.83,76.67,62.435,13.604284864213433
51,59.38,68.95,46.55,76.67,62.8875,12.986244966630398
52,60.71,68.95,46.55,76.67,63.22,12.883120739944962
53,60.27,68.95,46.55,76.67,63.11,12.91353811573988
54,60.27,70.0,48.28,73.33,62.97,11.252208672078561
55,61.61,68.95,53.45,70.0,63.5025,7.670877285769427
56,59.82,68.95,46.55,73.33,62.162499999999994,11.832450788685609
57,62.05,70.53,53.45,73.33,64.83999999999999,8.980950209563945
58,61.61,70.0,51.72,73.33,64.165,9.651433399587166
59,61.61,71.05,50.0,73.33,63.9975,10.62173047734376
60,62.05,68.42,44.83,76.67,62.99250000000001,13.50674491997733
61,61.16,71.05,46.55,73.33,63.022499999999994,12.186023072903371
62,62.05,68.95,51.72,73.33,64.0125,9.418982163694759
63,62.05,71.05,50.0,70.0,63.275,9.719439284238572
64,61.61,70.0,48.28,70.0,62.472500000000004,10.255039005289058
65,61.16,69.47,48.28,70.0,62.2275,10.141299637291727
66,61.61,69.47,53.45,73.33,64.46499999999999,8.815129040462196
67,62.95,71.58,55.17,70.0,64.925,7.50789140393848
68,62.5,71.05,48.28,73.33,63.790000000000006,11.342301353781778
69,61.61,71.05,51.72,73.33,64.4275,9.874729954113512
70,61.61,71.58,51.72,73.33,64.56,9.996022542324855
71,63.84,70.53,53.45,73.33,65.2875,8.839066221421053
72,62.95,71.05,51.72,70.0,63.93,8.89913478940509
73,62.95,71.05,50.0,70.0,63.5,9.692007016093209
74,62.5,68.95,50.0,73.33,63.69499999999999,10.155939149089068
75,62.5,71.05,50.0,73.33,64.22,10.564213174676095
76,61.61,72.63,51.72,73.33,64.8225,10.252321281869127
77,63.39,71.05,53.45,73.33,65.30499999999999,8.974294772664125
78,62.95,69.47,53.45,73.33,64.8,8.695109736704495
79,62.5,71.58,48.28,70.0,63.089999999999996,10.638176535478248
80,62.5,72.11,48.28,70.0,63.222500000000004,10.781503837591488
81,62.5,71.58,53.45,66.67,63.55,7.688255111965695
82,62.5,70.0,48.28,70.0,62.695,10.239731441790843
83,62.05,70.53,50.0,70.0,63.144999999999996,9.583306666629566
84,62.5,71.05,53.45,70.0,64.25,8.144630132793015
85,62.95,72.11,51.72,70.0,64.195,9.192767084325952
86,63.84,71.05,53.45,70.0,64.585,8.075925127604059
87,62.5,71.58,51.72,70.0,63.949999999999996,9.064487483213451
88,62.5,68.42,55.17,70.0,64.02250000000001,6.726893165991761
89,62.95,71.58,55.17,70.0,64.925,7.50789140393848
90,63.84,70.0,53.45,70.0,64.3225,7.8083731767037525
91,63.39,72.63,53.45,66.67,64.035,8.026528930158205
92,64.29,71.05,50.0,70.0,63.835,9.689817679743342
93,63.84,70.53,53.45,70.0,64.455,7.940212003886712
94,63.84,72.11,53.45,73.33,65.68249999999999,9.180157496833408
95,64.73,70.0,50.0,70.0,63.682500000000005,9.45391761828573
96,63.84,72.11,53.45,70.0,64.85,8.37078650227484
97,63.84,70.53,46.55,70.0,62.730000000000004,11.205912130061822
98,61.16,71.58,48.28,70.0,62.755,10.683949020220314
99,62.5,71.05,48.28,70.0,62.9575,10.499582134542306
100,62.95,70.53,53.45,70.0,64.2325,7.97558096107529
101,62.5,69.47,50.0,70.0,62.9925,9.311474552042405
