epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,23.21,20.53,15.52,13.33,18.1475,4.524646395023594
1,15.62,11.05,25.86,16.67,17.3,6.20632473100358
2,27.23,25.26,39.66,23.33,28.87,7.36743736541637
3,32.14,24.21,37.93,26.67,30.2375,6.106059149183975
4,31.7,24.21,36.21,26.67,29.6975,5.3448129059865135
5,32.59,26.84,37.93,36.67,33.50750000000001,4.995240234463203
6,34.38,28.95,39.66,33.33,34.08,4.400977164221599
7,35.71,34.21,43.1,36.67,37.4225,3.9180384122670366
8,35.71,36.32,43.1,36.67,37.95,3.4561732209675684
9,38.39,36.84,41.38,33.33,37.485,3.350129350736577
10,38.39,38.95,43.1,36.67,39.2775,2.726748674398382
11,39.29,41.58,43.1,36.67,40.16,2.804579588221141
12,38.39,41.05,39.66,43.33,40.6075,2.1152521520297913
13,40.18,40.53,43.1,46.67,42.620000000000005,2.997476716617941
14,41.52,43.68,41.38,43.33,42.477500000000006,1.196393887201589
15,43.3,50.0,43.1,46.67,45.7675,3.26254885020899
16,43.3,47.89,39.66,53.33,46.045,5.909836433156732
17,43.75,47.37,39.66,53.33,46.0275,5.798300756830976
18,44.2,47.89,39.66,53.33,46.269999999999996,5.786334475872153
19,46.43,53.16,39.66,53.33,48.144999999999996,6.505661636861644
20,46.88,54.74,39.66,53.33,48.6525,6.902740397842006
21,46.88,54.74,39.66,53.33,48.6525,6.902740397842006
22,47.77,54.21,41.38,53.33,49.1725,5.92596757219162
23,48.21,56.84,39.66,53.33,49.510000000000005,7.461764759983617
24,47.77,60.0,41.38,53.33,50.620000000000005,7.933654055141719
25,48.66,57.37,39.66,53.33,49.754999999999995,7.613078658904469
26,50.45,56.84,41.38,53.33,50.5,6.617688418171408
27,50.0,56.32,41.38,53.33,50.25749999999999,6.456791643946188
28,49.55,60.0,41.38,56.67,51.900000000000006,8.25743705193486
29,51.34,59.47,41.38,56.67,52.215,7.971718760719044
30,51.34,55.79,41.38,56.67,51.295,7.0096338468329895
31,52.23,62.63,43.1,56.67,53.6575,8.227585206689344
32,53.57,61.05,41.38,60.0,54.0,9.039760321306458
33,55.36,61.05,43.1,60.0,54.8775,8.231688263452805
34,52.23,58.95,44.83,56.67,53.17,6.220868106623064
35,55.8,62.63,44.83,56.67,54.9825,7.41784953114221
36,55.8,61.58,44.83,56.67,54.72,7.067309719169429
37,56.7,64.21,46.55,60.0,56.864999999999995,7.532235170695792
38,56.25,65.26,44.83,60.0,56.585,8.6642964707663
39,55.8,65.79,41.38,63.33,56.575,10.98536754050587
40,56.25,66.84,43.1,66.67,58.215,11.227972509169529
41,56.7,67.89,43.1,63.33,57.754999999999995,10.796309554658016
42,56.25,64.74,44.83,60.0,56.455,8.492955904748356
43,56.25,64.21,44.83,73.33,59.655,12.098599092456944
