epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,22.77,20.0,15.52,13.33,17.904999999999998,4.26911778552275
1,16.52,11.05,25.86,16.67,17.525,6.141088394304926
2,27.68,26.32,41.38,23.33,29.6775,8.010453066670658
3,25.0,28.42,41.38,20.0,28.700000000000003,9.133104620007373
4,31.25,25.26,34.48,26.67,29.415000000000003,4.235583391537304
5,34.38,29.47,39.66,33.33,34.209999999999994,4.202118513321583
6,33.04,28.95,43.1,33.33,34.605000000000004,6.0060774775777475
7,34.82,34.21,43.1,33.33,36.364999999999995,4.531464075402858
8,35.71,36.32,43.1,36.67,37.95,3.4561732209675684
9,37.5,38.42,41.38,33.33,37.6575,3.3261827470340046
10,38.84,38.95,44.83,36.67,39.822500000000005,3.4995178239294606
11,39.29,44.21,43.1,36.67,40.817499999999995,3.476294722833494
12,38.39,42.11,43.1,43.33,41.7325,2.290332945228706
13,41.07,40.53,43.1,46.67,42.8425,2.7812152619553445
14,41.96,44.74,43.1,46.67,44.11750000000001,2.0488106305854625
15,44.2,50.0,43.1,46.67,45.99250000000001,3.0604288915117754
16,44.2,47.89,39.66,53.33,46.269999999999996,5.786334475872153
17,43.75,47.37,39.66,53.33,46.0275,5.798300756830976
18,45.98,48.95,39.66,53.33,46.980000000000004,5.738344709060272
19,47.77,53.16,39.66,53.33,48.480000000000004,6.4218740774533
20,47.77,53.16,39.66,53.33,48.480000000000004,6.4218740774533
21,47.32,54.21,39.66,53.33,48.629999999999995,6.718219010025402
22,47.32,53.68,39.66,53.33,48.4975,6.575187576538534
23,48.66,55.79,39.66,53.33,49.36,7.11069148067425
24,48.66,60.53,41.38,53.33,50.974999999999994,8.047096784969511
25,49.55,58.95,39.66,53.33,50.3725,8.118999835776163
26,51.79,55.79,41.38,53.33,50.572500000000005,6.345877270585471
27,51.34,57.89,41.38,53.33,50.985,6.96563229960736
28,50.45,60.0,41.38,60.0,52.9575,8.935317099390858
29,52.68,61.05,39.66,60.0,53.3475,9.855243528193508
30,54.02,57.89,41.38,56.67,52.489999999999995,7.580795912479551
31,54.91,63.16,41.38,56.67,54.03,9.14919668604845
32,54.91,62.11,43.1,60.0,55.03,8.50816470613179
33,56.7,62.63,43.1,60.0,55.6075,8.684098014954307
34,54.02,60.53,44.83,60.0,54.845,7.300093606705785
35,55.8,63.16,44.83,56.67,55.114999999999995,7.602422859413526
36,54.91,62.11,44.83,60.0,55.4625,7.705700811736724
37,57.14,64.74,46.55,63.33,57.94,8.279778579970198
38,56.7,64.21,44.83,63.33,57.2675,8.943632278517118
39,56.25,65.26,41.38,73.33,59.05500000000001,13.693688327108953
40,56.25,66.84,41.38,73.33,59.45,13.952674773438005
41,56.7,67.37,43.1,73.33,60.125,13.272067158761164
42,56.25,66.84,41.38,73.33,59.45,13.952674773438005
43,56.7,65.79,41.38,73.33,59.3,13.745876957594714
