epoch,local_time_s,peak_vram_mb
0,97.8,4744.5
1,97.89,4863.48
2,97.97,4864.6
3,97.75,4864.18
4,97.81,4862.74
5,98.16,4862.43
6,97.76,4862.43
7,97.67,4859.81
8,97.73,4859.73
9,97.8,4859.81
10,97.82,4860.18
11,97.79,4858.43
12,97.89,4857.56
13,97.78,4859.06
14,97.78,4859.06
15,97.9,4856.37
16,97.71,4858.06
17,97.82,4858.18
18,97.87,4856.43
19,97.86,4858.18
20,97.76,4858.49
21,98.01,4859.06
22,97.69,4859.93
23,97.75,4859.81
24,97.84,4859.93
25,97.89,4859.37
26,97.78,4858.93
27,97.85,4858.06
28,97.95,4857.56
29,97.86,4856.68
30,97.94,4859.93
31,97.78,4859.93
32,97.68,4859.06
33,97.69,4859.43
34,97.94,4858.85
35,97.81,4858.43
36,97.73,4859.06
37,97.86,4858.43
38,98.09,4860.81
39,97.75,4860.81
40,97.95,4858.49
41,97.97,4858.43
42,97.63,4858.93
43,97.67,4860.81
44,97.93,4858.18
45,97.8,4859.06
46,97.77,4857.62
47,97.8,4859.93
48,97.63,4859.93
49,97.68,4859.06
50,97.74,4859.06
51,98.15,4859.93
52,97.76,4860.43
53,97.75,4858.18
54,97.98,4859.56
55,97.82,4860.81
56,97.81,4860.43
57,97.85,4859.31
58,97.66,4860.81
59,97.7,4859.93
60,97.78,4860.81
61,97.67,4859.06
62,97.65,4859.93
63,97.92,4860.18
64,97.78,4859.93
65,97.72,4858.31
66,97.92,4859.06
67,98.02,4859.56
68,97.73,4859.93
69,97.71,4859.06
70,97.77,4859.56
71,98.0,4859.56
72,98.04,4858.68
73,97.95,4859.93
74,98.18,4859.06
75,98.06,4857.87
76,98.04,4859.06
77,97.98,4859.06
78,97.98,4859.06
79,97.82,4860.35
80,98.07,4859.37
81,97.75,4859.93
82,97.85,4859.06
83,97.88,4857.62
84,97.77,4858.18
85,97.73,4858.18
86,97.74,4859.06
87,97.97,4859.93
88,97.74,4859.81
89,97.75,4858.18
90,97.85,4858.06
91,97.67,4858.18
92,97.75,4859.06
93,97.83,4859.93
94,97.8,4859.37
95,97.91,4859.93
96,97.83,4858.68
97,98.01,4859.06
98,97.81,4858.06
99,97.93,4858.6
100,97.94,4858.81
101,97.77,4860.81
102,97.53,4859.06
103,97.71,4857.18
104,97.73,4859.06
105,97.72,4859.06
106,97.78,4857.31
107,97.88,4859.06
108,97.93,4859.06
109,97.84,4859.93
110,98.02,4858.37
111,97.77,4859.81
112,97.87,4857.68
113,97.94,4858.43
114,97.69,4858.43
115,97.66,4859.62
116,97.93,4859.18
117,97.68,4859.93
118,97.84,4860.81
119,97.79,4859.93
120,97.85,4859.31
121,97.75,4858.74
122,97.91,4857.81
123,98.01,4857.93
124,97.58,4857.31
125,97.76,4857.93
126,97.99,4857.81
127,97.67,4856.93
128,97.66,4856.24
129,97.69,4859.23
130,97.57,4858.81
131,97.62,4857.93
132,97.73,4857.93
133,97.65,4856.68
134,97.61,4853.81
135,97.73,4857.93
136,97.77,4859.68
137,97.77,4858.93
138,97.79,4857.93
139,97.83,4858.49
140,97.67,4858.81
141,97.63,4859.68
142,97.65,4859.31
143,97.65,4858.43
144,97.62,4858.66
145,97.74,4859.68
146,97.72,4859.68
147,97.7,4859.68
148,97.67,4857.81
149,97.84,4858.18
150,97.64,4858.18
151,97.64,4859.06
152,97.89,4858.18
153,97.55,4857.31
154,97.72,4857.62
155,97.81,4857.06
156,97.7,4857.93
157,97.65,4858.43
158,98.04,4857.24
159,97.71,4858.43
160,97.71,4858.18
161,97.68,4858.18
162,97.96,4857.93
163,97.78,4856.31
164,97.62,4857.06
165,97.6,4857.06
166,97.44,4857.06
167,97.67,4858.43
168,97.72,4858.43
169,97.53,4858.43
170,97.76,4857.93
171,97.67,4857.93
172,97.71,4858.81
173,97.66,4859.68
174,97.82,4858.81
175,97.56,4857.06
176,97.73,4857.06
177,97.76,4857.93
178,97.83,4857.56
179,97.84,4857.81
180,97.84,4857.81
181,97.76,4857.06
182,97.51,4857.06
183,97.75,4857.06
184,97.61,4857.93
185,97.54,4857.93
186,97.6,4858.81
187,99.96,4858.81
188,98.79,4857.81
189,98.87,4858.81
190,99.04,4858.81
191,99.0,4858.81
192,104.32,4859.68
193,102.74,4858.81
194,102.98,4857.93
195,103.32,4858.81
196,104.01,4857.93
197,105.16,4858.81
198,104.89,4857.06
199,106.27,4857.93
