epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.68,24.21,18.97,16.67,21.8825,4.989357841112087
1,33.93,32.11,22.41,23.33,27.944999999999997,5.918949794234335
2,36.16,32.11,27.59,26.67,30.6325,4.38537246612721
3,37.5,32.11,31.03,26.67,31.8275,4.45319641755597
4,39.29,34.21,31.03,26.67,32.8,5.317204779455711
5,39.73,37.89,29.31,33.33,35.065,4.685904395098133
6,42.41,42.63,29.31,30.0,36.0875,7.433493458663968
7,42.86,44.74,32.76,30.0,37.589999999999996,7.299141502030679
8,42.86,50.0,32.76,33.33,39.7375,8.262575768689407
9,43.3,50.53,32.76,33.33,39.980000000000004,8.53767727976019
10,44.2,50.0,34.48,33.33,40.5025,7.991438648120043
11,46.88,54.74,34.48,36.67,43.192499999999995,9.405549337137804
12,46.88,54.74,32.76,46.67,45.2625,9.142079905579475
13,46.88,58.42,34.48,46.67,46.6125,9.775641070197564
14,49.11,58.95,34.48,46.67,47.302499999999995,10.062270701321184
15,47.32,60.0,32.76,46.67,46.6875,11.129514439842678
16,51.34,61.58,32.76,53.33,49.7525,12.164887655324511
17,50.0,61.05,32.76,53.33,49.285,11.949394684808656
18,51.34,60.0,32.76,53.33,49.3575,11.668345712510693
19,53.12,60.53,32.76,53.33,49.935,11.956935226051868
20,53.12,60.0,32.76,56.67,50.6375,12.244934667036816
21,53.57,60.53,32.76,56.67,50.88249999999999,12.412588703946223
22,52.23,60.0,31.03,56.67,49.9825,13.02972850829978
23,53.57,63.16,34.48,56.67,51.97,12.325666986685412
24,53.12,63.16,31.03,56.67,50.995000000000005,13.944051300345485
25,53.57,64.74,34.48,60.0,53.1975,13.291436779621181
26,57.14,62.11,32.76,56.67,52.17,13.171972770495188
27,54.02,63.16,36.21,60.0,53.347500000000004,12.037262631789115
28,57.14,65.26,34.48,60.0,54.22,13.582881383074312
29,56.7,64.74,34.48,56.67,53.147499999999994,13.011403652181421
30,57.59,63.68,36.21,60.0,54.370000000000005,12.362941936826095
31,56.7,66.84,36.21,56.67,54.105000000000004,12.854629516248224
32,57.14,65.26,36.21,60.0,54.6525,12.74661098750043
33,58.48,64.74,36.21,60.0,54.8575,12.714307885213412
34,58.04,65.79,36.21,50.0,52.510000000000005,12.634996372509704
35,58.48,65.79,37.93,56.67,54.7175,11.86576412766297
36,58.93,66.32,37.93,53.33,54.1275,12.037664156028498
37,60.27,66.84,37.93,53.33,54.5925,12.40252763216703
38,58.93,67.37,36.21,50.0,53.127500000000005,13.322923540524682
39,59.38,67.37,37.93,53.33,54.5025,12.455053525912017
40,59.82,70.0,39.66,50.0,54.87,13.018965652718602
41,58.48,70.53,32.76,53.33,53.77499999999999,15.755372628619948
42,58.93,68.42,32.76,53.33,53.36,15.079670641849798
43,59.38,71.58,36.21,56.67,55.96000000000001,14.677050112335245
44,60.71,70.53,31.03,53.33,53.900000000000006,16.795781216325327
45,59.82,68.95,34.48,53.33,54.144999999999996,14.59189386840059
46,60.71,72.63,34.48,53.33,55.287499999999994,15.989055371305295
47,60.71,71.05,36.21,50.0,54.4925,14.913533842341547
48,61.16,73.68,34.48,56.67,56.4975,16.348060792236698
49,60.27,71.05,36.21,53.33,55.215,14.617837277335749
50,63.39,72.11,34.48,50.0,54.995,16.42370745802137
51,62.05,72.63,37.93,50.0,55.6525,15.002236222199228
52,61.16,72.63,32.76,53.33,54.97,16.794497114630534
53,63.84,73.16,36.21,46.67,54.97,16.637113130989203
54,60.71,73.16,36.21,46.67,54.1875,16.147260603582264
55,62.95,73.16,32.76,50.0,54.7175,17.438333970499208
56,59.82,73.16,36.21,50.0,54.7975,15.608951224644573
57,62.95,73.16,36.21,53.33,56.41250000000001,15.714753948651778
58,62.95,73.68,32.76,46.67,54.015,18.002504455399166
59,62.05,72.63,32.76,46.67,53.5275,17.47238654754028
60,62.5,72.11,34.48,56.67,56.44,15.964199531034016
61,62.95,74.21,36.21,50.0,55.8425,16.405806644803132
62,62.95,74.21,34.48,50.0,55.41,17.10384557148869
63,61.16,75.79,34.48,50.0,55.357499999999995,17.47120368873689
64,62.5,74.74,36.21,53.33,56.69500000000001,16.230408703007654
65,60.71,74.74,37.93,46.67,55.0125,16.155957363565097
66,62.95,74.74,36.21,56.67,57.6425,16.132698420702386
67,65.18,74.21,34.48,50.0,55.967499999999994,17.464083858021297
68,62.5,74.21,34.48,60.0,57.79749999999999,16.733603666475034
69,61.61,75.79,34.48,56.67,57.1375,17.14156619643219
70,61.61,74.74,34.48,53.33,56.03999999999999,16.86112491304579
71,62.05,74.21,34.48,56.67,56.85249999999999,16.621861859210195
72,60.27,74.74,36.21,60.0,57.805,15.958618361249194
73,61.16,75.26,37.93,46.67,55.25500000000001,16.42078865341126
74,61.16,74.74,39.66,53.33,57.2225,14.673782459429697
75,62.05,75.26,36.21,60.0,58.38,16.25358011844365
76,61.16,75.26,39.66,66.67,60.6875,15.171542165075598
77,62.5,74.74,36.21,53.33,56.69500000000001,16.230408703007654
78,62.05,74.21,41.38,56.67,58.5775,13.611586669696761
79,61.61,74.74,39.66,53.33,57.334999999999994,14.715697967363512
80,61.16,74.21,37.93,56.67,57.49250000000001,15.014362845844195
81,62.5,74.74,41.38,56.67,58.822500000000005,13.853578057671596
82,62.5,76.84,37.93,53.33,57.650000000000006,16.322983795862815
83,62.05,76.32,41.38,53.33,58.269999999999996,14.716958472003194
84,62.5,75.26,39.66,56.67,58.522499999999994,14.778250629444162
85,63.39,74.21,39.66,60.0,59.315,14.436699761372058
86,62.05,73.68,43.1,63.33,60.540000000000006,12.739406056275413
87,62.95,75.79,36.21,63.33,59.57000000000001,16.676730295034858
88,62.05,74.21,41.38,56.67,58.5775,13.611586669696761
89,62.5,75.26,43.1,56.67,59.38249999999999,13.345302232121487
90,63.84,74.21,43.1,63.33,61.120000000000005,13.01730898970034
91,62.05,75.26,43.1,56.67,59.269999999999996,13.31211728714357
92,64.29,74.74,39.66,56.67,58.84,14.77716481602611
93,62.05,76.84,41.38,53.33,58.39999999999999,14.930298054627043
94,65.18,76.32,43.1,53.33,59.4825,14.401417464958092
95,62.5,76.84,41.38,53.33,58.5125,14.968614665358983
96,62.5,77.89,43.1,56.67,60.03999999999999,14.410581760174244
97,62.5,76.32,43.1,60.0,60.48,13.629389812704991
98,62.5,74.21,43.1,60.0,59.95249999999999,12.829329353737341
99,62.5,77.89,41.38,60.0,60.442499999999995,14.969115705344787
100,62.5,77.37,39.66,60.0,59.8825,15.509430195851817
101,62.95,75.79,43.1,56.67,59.6275,13.591302059282867
102,62.5,75.79,43.1,60.0,60.347500000000004,13.42511421428759
103,63.84,77.89,41.38,53.33,59.11,15.522270022991698
104,62.95,76.84,43.1,60.0,60.722500000000004,13.85412182950138
105,63.39,78.42,43.1,56.67,60.394999999999996,14.68404235896914
106,61.61,77.89,43.1,56.67,59.817499999999995,14.366742555870717
107,62.05,75.26,41.38,63.33,60.504999999999995,14.069391126366012
108,63.39,78.42,41.38,63.33,61.629999999999995,15.252914475601047
109,62.05,78.42,41.38,60.0,60.4625,15.158580353493969
110,62.95,78.42,41.38,60.0,60.6875,15.19662983471445
111,63.39,77.89,41.38,56.67,59.832499999999996,15.157234521288283
112,63.39,77.37,43.1,56.67,60.13249999999999,14.25760235804043
113,64.29,78.95,41.38,60.0,61.155,15.479824503742499
114,63.39,79.47,43.1,56.67,60.6575,15.116686971687942
115,63.84,77.89,43.1,56.67,60.375,14.5021159375681
116,63.39,76.84,43.1,53.33,59.165000000000006,14.403560902313938
117,62.95,78.42,41.38,56.67,59.855000000000004,15.337406343098998
118,65.18,78.95,43.1,56.67,60.974999999999994,15.042509763998828
119,64.73,76.84,41.38,56.67,59.905,14.874090448382606
120,63.84,77.37,43.1,53.33,59.41,14.664799123524789
121,64.29,77.89,41.38,53.33,59.2225,15.569537297770497
122,65.62,78.95,43.1,53.33,60.25,15.497696603043952
123,64.29,77.89,43.1,60.0,61.32,14.342205781073798
124,64.29,77.89,43.1,56.67,60.4875,14.539652391534904
125,65.18,77.37,43.1,56.67,60.58,14.421079478781516
126,63.39,78.95,43.1,56.67,60.5275,14.90168307049017
127,64.29,79.47,43.1,53.33,60.0475,15.57321284556701
128,62.95,79.47,43.1,53.33,59.712500000000006,15.46557117169187
129,65.18,79.47,43.1,56.67,61.105000000000004,15.250443709391977
130,63.84,77.89,43.1,56.67,60.375,14.5021159375681
131,64.29,79.47,44.83,60.0,62.147499999999994,14.249758769888
