epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,22.77,20.0,15.52,13.33,17.904999999999998,4.26911778552275
1,25.0,14.74,36.21,23.33,24.82,8.824039135603755
2,29.91,23.16,32.76,26.67,28.125,4.140760799659888
3,31.7,24.21,34.48,26.67,29.264999999999997,4.6694931916286855
4,32.59,23.16,37.93,26.67,30.087500000000002,6.517588383239105
5,32.14,29.47,37.93,36.67,34.052499999999995,3.9388354878060094
6,35.27,30.53,41.38,33.33,35.1275,4.600075180545061
7,37.05,35.26,41.38,33.33,36.754999999999995,3.4372130183236167
8,37.05,38.42,41.38,36.67,38.379999999999995,2.136554859269163
9,38.39,40.0,41.38,33.33,38.275000000000006,3.5158166429247526
10,38.84,38.95,43.1,36.67,39.39,2.686918929430758
11,41.07,45.26,41.38,36.67,41.095,3.5123448957451
12,37.95,41.05,39.66,43.33,40.4975,2.274457810849286
13,40.18,40.0,43.1,46.67,42.4875,3.1294661419055707
14,40.62,43.16,41.38,40.0,41.29,1.368454115659953
15,42.86,50.0,43.1,46.67,45.6575,3.378820060316915
16,43.3,48.42,41.38,50.0,45.775,4.0942357854264655
17,41.96,46.84,41.38,53.33,45.8775,5.53896726234533
18,44.64,47.89,39.66,53.33,46.379999999999995,5.737845123970032
19,46.43,51.58,39.66,53.33,47.75,6.137203489103704
20,46.88,52.63,39.66,53.33,48.125,6.340170870462932
21,46.88,54.21,39.66,53.33,48.519999999999996,6.750343201151579
22,47.77,53.16,39.66,53.33,48.480000000000004,6.4218740774533
23,50.0,54.74,39.66,53.33,49.432500000000005,6.811359996359026
24,48.21,57.89,41.38,53.33,50.2025,7.087206196144336
25,49.11,57.37,39.66,53.33,49.86749999999999,7.594806888043084
26,50.0,55.79,41.38,53.33,50.125,6.294306951523732
27,50.0,55.26,41.38,53.33,49.99249999999999,6.138965032207517
28,49.55,59.47,41.38,56.67,51.7675,8.08662424418661
29,50.89,60.53,39.66,56.67,51.9375,9.093255284366908
30,52.23,56.32,39.66,56.67,51.22,7.965889780809174
31,51.79,62.63,43.1,60.0,54.38,8.824084466201956
32,51.79,61.58,41.38,60.0,53.6875,9.259486576839272
33,54.02,59.47,44.83,56.67,53.7475,6.347809989804883
34,50.89,59.47,44.83,56.67,52.965,6.494251304038057
35,56.25,62.11,44.83,56.67,54.965,7.264697745490403
36,53.12,60.53,44.83,56.67,53.78750000000001,6.694586743531424
37,54.91,62.63,46.55,60.0,56.022499999999994,7.08155997409234
38,55.36,64.21,44.83,60.0,56.099999999999994,8.337517616173292
39,55.8,65.26,41.38,63.33,56.442499999999995,10.839398430417313
40,55.8,66.84,43.1,60.0,56.435,9.986636070269109
41,56.7,67.37,43.1,60.0,56.792500000000004,10.1598010971344
42,55.8,63.68,41.38,60.0,55.214999999999996,9.769030999370749
43,55.8,63.68,41.38,73.33,58.5475,13.504772921699447
44,58.48,63.16,43.1,66.67,57.85249999999999,10.391468856711258
45,56.7,65.79,41.38,76.67,60.135000000000005,14.932453471103356
46,56.7,67.89,43.1,73.33,60.254999999999995,13.368880531542896
47,55.8,65.26,44.83,76.67,60.64,13.560813643239358
48,58.48,66.84,43.1,76.67,61.272499999999994,14.214052612350452
49,57.14,65.26,44.83,76.67,60.97500000000001,13.417184255026589
50,59.38,66.32,43.1,76.67,61.36749999999999,14.099000851124165
51,58.48,66.32,44.83,76.67,61.575,13.420731475345647
52,57.59,66.32,43.1,76.67,60.92,14.211073147373492
53,59.82,68.42,44.83,76.67,62.435,13.604284864213433
54,59.38,68.95,44.83,73.33,61.6225,12.619755346281481
55,59.82,66.84,50.0,73.33,62.4975,9.992611854098339
56,59.82,67.89,46.55,76.67,62.7325,12.79595867191409
57,61.16,68.95,50.0,73.33,63.36,10.230324204703063
58,61.16,67.89,48.28,76.67,63.5,11.970032024462869
59,61.61,68.42,48.28,76.67,63.745000000000005,12.008825920963298
60,60.27,67.89,46.55,76.67,62.845,12.763754672248028
61,61.61,69.47,44.83,73.33,62.30999999999999,12.632582211619813
62,60.71,67.37,50.0,76.67,63.6875,11.229711706005636
63,62.5,68.95,50.0,70.0,62.8625,9.193781866022274
64,60.71,68.42,46.55,73.33,62.2525,11.686129598802165
65,60.27,67.37,51.72,73.33,63.1725,9.316259531950935
