epoch,local_time_s,peak_vram_mb
0,99.14,3957.99
1,98.59,4040.86
2,98.76,4040.02
3,98.57,4039.74
4,98.48,4039.77
5,98.65,4039.07
6,98.71,4036.75
7,98.49,4037.63
8,98.69,4036.19
9,98.57,4036.19
10,98.64,4036.69
11,98.55,4034.94
12,98.41,4034.94
13,98.53,4034.38
14,98.44,4033.44
15,98.6,4033.61
16,98.51,4032.88
17,98.59,4032.32
18,98.42,4032.32
19,98.59,4032.32
20,98.6,4031.75
21,98.55,4033.44
22,98.61,4033.61
23,98.66,4032.57
24,98.6,4032.44
25,98.64,4033.82
26,98.59,4033.88
27,98.6,4034.75
28,98.72,4034.07
29,98.58,4034.07
30,98.75,4033.5
31,98.51,4032.94
32,99.52,4032.38
33,98.52,4032.32
34,98.58,4032.32
35,98.49,4032.63
36,98.69,4033.19
37,98.65,4032.07
38,98.58,4032.07
39,98.55,4033.82
40,98.56,4033.44
41,98.54,4034.5
42,98.51,4035.18
43,98.46,4032.32
44,98.62,4032.94
45,98.42,4032.07
46,98.46,4031.49
47,98.48,4031.94
48,98.6,4032.38
49,98.69,4031.94
50,98.67,4032.94
51,98.69,4032.38
52,98.67,4032.94
53,98.54,4030.94
54,98.69,4030.07
55,98.67,4030.07
56,98.42,4030.38
57,98.59,4030.82
58,98.55,4031.82
59,98.69,4031.25
60,98.47,4031.82
61,98.68,4031.57
62,98.53,4029.82
63,98.57,4030.32
64,98.6,4030.69
65,98.63,4030.69
66,98.6,4030.69
67,98.61,4031.07
68,98.86,4031.07
69,98.47,4031.07
70,98.82,4030.07
71,98.62,4030.69
72,98.66,4030.13
73,98.59,4029.82
74,98.55,4028.94
75,98.61,4028.94
76,98.69,4028.82
77,98.7,4028.07
78,98.59,4030.07
79,98.58,4030.94
80,98.66,4030.69
81,98.74,4030.69
82,98.69,4030.82
83,98.86,4029.82
84,98.68,4030.69
85,98.74,4030.07
86,98.72,4029.25
87,98.72,4028.32
88,98.73,4030.19
89,98.68,4029.69
90,98.68,4030.69
91,98.74,4030.69
92,98.69,4030.13
93,98.73,4030.13
94,98.76,4031.11
95,98.73,4029.82
96,98.62,4028.94
97,99.05,4028.07
98,98.68,4028.07
99,98.68,4028.07
100,98.69,4027.88
101,98.82,4028.07
102,98.72,4028.94
103,98.7,4028.94
104,98.82,4028.94
105,98.69,4030.32
106,98.6,4031.0
107,98.73,4031.88
108,98.71,4031.88
109,98.68,4032.44
110,98.65,4031.57
111,98.82,4031.57
112,98.83,4031.57
113,98.78,4032.44
114,98.64,4031.57
115,98.67,4030.86
116,98.66,4031.57
117,98.59,4030.69
118,98.67,4030.69
119,98.63,4028.94
120,98.62,4028.94
121,98.67,4028.94
122,98.72,4028.94
123,98.66,4029.82
124,98.75,4031.57
125,98.48,4029.19
126,98.63,4030.69
127,98.62,4031.57
128,98.73,4031.82
129,98.48,4031.82
130,98.65,4031.25
131,98.78,4030.44
132,98.59,4029.57
133,98.63,4030.75
134,98.6,4029.88
135,98.67,4029.63
136,98.62,4029.63
137,98.56,4028.19
138,98.69,4028.44
139,98.71,4028.75
140,98.69,4027.57
141,98.75,4028.44
142,98.57,4027.88
143,98.52,4028.44
144,98.62,4028.44
145,98.7,4027.82
146,98.65,4028.44
147,98.63,4028.44
148,98.67,4027.57
149,98.65,4028.44
150,98.76,4027.94
151,98.54,4028.82
152,98.77,4027.94
153,98.5,4027.82
154,98.68,4027.82
155,98.71,4027.82
156,98.54,4029.32
157,98.74,4029.32
158,98.62,4029.32
159,98.57,4028.57
160,98.87,4030.0
161,98.93,4030.99
162,98.72,4030.57
163,98.66,4029.69
164,98.76,4028.25
165,98.73,4028.82
166,98.66,4027.94
167,98.55,4027.94
168,98.78,4027.94
169,98.83,4028.32
170,98.65,4029.19
171,98.66,4029.32
172,98.63,4029.07
173,98.52,4027.32
174,98.8,4026.69
175,98.75,4026.69
176,98.63,4025.82
177,98.75,4026.44
178,98.52,4028.19
179,98.69,4029.32
180,98.56,4029.32
181,98.65,4028.19
182,98.62,4027.32
183,98.63,4027.32
184,98.66,4027.32
185,98.53,4027.32
186,98.65,4027.32
187,98.49,4026.44
188,98.74,4025.57
189,98.67,4025.69
190,98.61,4026.69
191,98.62,4026.69
192,98.72,4025.69
193,98.61,4027.32
194,98.59,4027.32
195,98.57,4026.13
196,98.74,4026.69
197,98.57,4026.69
198,98.56,4026.69
199,98.64,4026.69
