epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,29.02,24.74,18.97,13.33,21.514999999999997,6.836102690861218
1,23.66,28.42,22.41,13.33,21.955,6.306105507099185
2,36.61,31.58,29.31,26.67,31.0425,4.219252500937419
3,36.61,41.05,34.48,23.33,33.86749999999999,7.539311971261038
4,37.05,35.79,32.76,26.67,33.067499999999995,4.629430310524177
5,39.73,42.63,34.48,33.33,37.542500000000004,4.389072605156282
6,43.3,43.68,29.31,30.0,36.5725,7.994111895639189
7,43.3,44.74,36.21,33.33,39.394999999999996,5.499893938371297
8,44.2,50.0,34.48,33.33,40.5025,7.991438648120043
9,42.86,51.58,34.48,33.33,40.5625,8.484685714077257
10,45.98,51.58,34.48,36.67,42.177499999999995,8.00937107393583
11,48.66,54.21,34.48,43.33,45.17,8.397686189262691
12,47.77,56.32,34.48,46.67,46.31,8.989071142225988
13,48.66,58.42,34.48,46.67,47.057500000000005,9.832227197673307
14,48.21,61.05,34.48,46.67,47.60249999999999,10.86698171833682
15,48.66,60.53,32.76,46.67,47.155,11.38137220783739
16,52.23,61.58,32.76,53.33,49.974999999999994,12.211651539956964
17,51.79,60.53,32.76,53.33,49.60249999999999,11.856917460565656
18,51.34,59.47,32.76,53.33,49.224999999999994,11.509134053727356
19,52.68,61.05,32.76,56.67,50.78999999999999,12.496599537474184
20,53.12,60.53,32.76,56.67,50.769999999999996,12.382113443727341
21,53.57,61.05,32.76,56.67,51.0125,12.549279859816659
22,52.68,61.58,31.03,56.67,50.489999999999995,13.474274253801822
23,53.57,62.63,31.03,53.33,50.14,13.455274058896014
24,53.12,63.16,31.03,56.67,50.995000000000005,13.944051300345485
25,55.8,64.74,34.48,56.67,52.9225,12.937064002315209
26,57.14,63.16,32.76,56.67,52.432500000000005,13.443752886254146
27,57.14,63.68,34.48,53.33,52.1575,12.536108846049482
28,58.93,64.74,36.21,50.0,52.47,12.420050992917323
29,58.48,64.74,36.21,56.67,54.025000000000006,12.369700885631792
30,57.59,63.16,34.48,56.67,52.974999999999994,12.658995484107999
31,58.04,67.37,36.21,53.33,53.7375,13.060575217041553
32,58.48,66.84,39.66,56.67,55.412499999999994,11.397658750813697
33,58.93,65.79,36.21,56.67,54.400000000000006,12.731614194594494
34,59.38,67.89,37.93,53.33,54.63250000000001,12.635532899987506
35,59.82,68.42,39.66,53.33,55.307500000000005,12.125112714252738
36,59.38,67.89,39.66,60.0,56.7325,12.022837643418464
37,61.61,70.0,39.66,56.67,56.985,12.79369245631091
38,60.71,70.53,36.21,56.67,56.03,14.438310150429654
39,60.71,69.47,37.93,53.33,55.36,13.362140547083015
40,60.27,71.05,34.48,56.67,55.61749999999999,15.359139244545357
41,59.38,72.11,32.76,56.67,55.230000000000004,16.422864143220167
42,60.27,70.0,32.76,53.33,54.09,15.778329020104337
43,60.27,72.63,36.21,56.67,56.44500000000001,15.122727928518716
44,61.16,71.05,31.03,56.67,54.97749999999999,17.057704759628905
45,62.5,70.53,36.21,60.0,57.31,14.766522948886783
46,60.27,73.68,34.48,53.33,55.44,16.327892291005192
47,62.05,72.11,37.93,53.33,56.355000000000004,14.4831430750833
48,62.05,74.21,34.48,56.67,56.85249999999999,16.621861859210195
49,61.16,72.11,36.21,60.0,57.37,15.124970523387255
50,62.95,72.63,36.21,53.33,56.28,15.527596937925283
51,62.05,72.63,37.93,63.33,58.985,14.807343898665057
52,61.16,74.21,34.48,53.33,55.795,16.61626612690107
53,62.5,73.16,36.21,46.67,54.635000000000005,16.410928269499767
54,60.27,73.68,34.48,63.33,57.94,16.659333720170206
55,64.29,73.16,34.48,60.0,57.982499999999995,16.598984657703216
56,62.5,73.16,36.21,53.33,56.3,15.65384510804507
57,64.29,73.16,36.21,53.33,56.7475,15.913596649825374
58,63.39,73.16,32.76,56.67,56.495000000000005,17.210888995051942
59,62.05,72.11,31.03,53.33,54.629999999999995,17.50482600122987
60,62.95,72.63,31.03,63.33,57.485,18.195863082946445
61,63.39,74.21,36.21,53.33,56.785,16.15058616067334
62,62.5,75.26,34.48,56.67,57.22749999999999,17.03652815765779
63,63.84,74.74,37.93,56.67,58.295,15.47642185175027
64,62.5,74.74,39.66,60.0,59.225,14.546828978623944
65,62.05,74.21,37.93,53.33,56.879999999999995,15.261747387941305
66,63.84,74.74,36.21,63.33,59.53,16.413232466519197
67,62.95,74.74,34.48,60.0,58.0425,16.95005678456565
68,62.95,74.21,36.21,63.33,59.175,16.175672062287447
69,61.61,74.74,39.66,53.33,57.334999999999994,14.715697967363512
70,61.16,74.74,34.48,56.67,56.76249999999999,16.723704483955302
71,62.95,73.68,39.66,60.0,59.0725,14.214071373114747
72,61.61,75.26,39.66,63.33,59.965,14.835310355140313
73,62.95,75.79,36.21,56.67,57.905,16.507811282339443
74,62.5,75.26,41.38,56.67,58.9525,14.053728746018498
75,62.5,75.26,37.93,60.0,58.9225,15.50869084309397
76,61.61,75.79,39.66,66.67,60.932500000000005,15.347556537334103
77,62.5,74.21,41.38,60.0,59.522499999999994,13.588800229110243
78,63.84,74.21,41.38,56.67,59.025000000000006,13.792032724245784
79,61.61,75.26,41.38,56.67,58.730000000000004,13.985723673327264
80,61.16,74.74,41.38,60.0,59.31999999999999,13.704840993848363
81,62.5,74.74,41.38,60.0,59.655,13.780976017684665
82,62.5,76.84,41.38,56.67,59.3475,14.67339854975663
83,61.61,76.84,41.38,56.67,59.125,14.616297980907023
84,62.05,76.32,37.93,63.33,59.9075,16.007128359994283
85,63.39,75.26,41.38,63.33,60.84,14.134244467486287
86,62.95,75.26,39.66,60.0,59.4675,14.766532824826102
87,64.29,75.26,39.66,63.33,60.635000000000005,14.994035480817034
88,62.5,75.79,41.38,56.67,59.08500000000001,14.259715985951473
89,62.5,76.32,39.66,56.67,58.787499999999994,15.18240511249782
90,62.5,74.74,43.1,63.33,60.917500000000004,13.12566537995947
91,62.5,75.26,43.1,60.0,60.214999999999996,13.222993861704191
92,64.29,75.79,41.38,60.0,60.365,14.305007281834335
93,61.61,76.84,41.38,60.0,59.957499999999996,14.524403315340244
94,63.39,76.84,43.1,56.67,60.0,14.044887563333026
95,61.61,74.74,41.38,56.67,58.599999999999994,13.7817874989664
96,62.95,77.37,43.1,60.0,60.855,14.06064602593589
97,62.5,76.84,43.1,60.0,60.61,13.831813571136168
98,63.39,75.79,43.1,60.0,60.57,13.479943125498218
99,63.39,80.0,41.38,60.0,61.192499999999995,15.837805771844364
100,62.95,77.37,39.66,60.0,59.995,15.536354141174824
101,63.84,75.79,43.1,60.0,60.6825,13.513159943797998
102,64.73,74.74,43.1,63.33,61.474999999999994,13.261936761524185
103,62.95,77.37,41.38,56.67,59.5925,14.91697550890707
104,62.95,76.84,44.83,60.0,61.155,13.128606171258244
105,63.39,76.32,43.1,56.67,59.86999999999999,13.837940598224863
106,63.39,76.84,43.1,56.67,60.0,14.044887563333026
107,63.39,75.26,41.38,63.33,60.84,14.134244467486287
108,63.84,78.42,43.1,63.33,62.1725,14.512774545206717
109,63.84,76.84,41.38,63.33,61.3475,14.706704536820386
110,62.95,78.42,43.1,60.0,61.1175,14.475423712854374
111,61.61,77.89,41.38,60.0,60.22,14.934914350831297
112,64.73,77.37,43.1,60.0,61.300000000000004,14.176739164325957
113,64.29,78.42,41.38,60.0,61.0225,15.277683888600391
114,64.29,78.42,43.1,56.67,60.620000000000005,14.75196936005495
115,65.18,77.89,44.83,56.67,61.1425,13.938927206448376
116,62.95,78.42,43.1,56.67,60.285,14.655748587727162
117,61.16,78.42,41.38,60.0,60.239999999999995,15.134023479123673
118,63.84,79.47,43.1,60.0,61.6025,14.935020087030349
119,64.29,76.84,44.83,60.0,61.489999999999995,13.206541308508198
120,63.39,76.32,43.1,60.0,60.70249999999999,13.680527219372793
121,63.84,78.95,43.1,56.67,60.64,14.932164388772758
122,63.39,78.42,44.83,56.67,60.8275,14.015078487115227
123,63.84,78.42,44.83,60.0,61.772499999999994,13.803428016257412
124,64.29,78.95,43.1,60.0,61.585,14.754295419752628
125,64.73,78.42,41.38,56.67,60.3,15.482275887823038
126,63.84,79.47,41.38,56.67,60.34,15.82358366489715
127,63.84,80.53,44.83,56.67,61.4675,14.931287899351931
128,62.95,78.95,43.1,56.67,60.417500000000004,14.875109803516299
129,64.73,78.95,43.1,60.0,61.695,14.782797434856503
130,64.29,78.42,44.83,56.67,61.05250000000001,14.077017617379045
131,64.73,77.89,46.55,60.0,62.292500000000004,12.939671234875588
132,64.73,78.42,43.1,60.0,61.5625,14.577536085818252
133,65.18,77.37,46.55,63.33,63.1075,12.674310960889882
134,65.18,80.0,46.55,56.67,62.10000000000001,14.156079965866258
135,64.73,79.47,44.83,56.67,61.425,14.543602258954508
136,65.18,79.47,46.55,60.0,62.8,13.60705454289551
137,62.95,80.53,48.28,60.0,62.940000000000005,13.328758381784853
138,63.39,78.95,44.83,53.33,60.125,14.66458204882317
139,63.39,81.58,46.55,56.67,62.0475,14.746873962527335
140,64.29,78.42,44.83,56.67,61.05250000000001,14.077017617379045
141,65.62,78.42,44.83,56.67,61.385000000000005,14.19419717114474
