epoch,local_time_s,peak_vram_mb
0,99.25,4745.71
1,99.48,4864.51
2,99.66,4864.51
3,99.65,4864.51
4,99.57,4863.94
5,99.56,4862.94
6,99.35,4865.07
7,99.32,4864.51
8,99.37,4864.51
9,99.41,4863.94
10,99.4,4863.94
11,99.25,4864.51
12,99.29,4862.93
13,99.48,4864.13
14,99.36,4865.01
15,99.32,4863.51
16,99.38,4862.38
17,99.22,4864.13
18,99.52,4864.13
19,99.42,4864.13
20,99.33,4863.43
21,99.48,4862.62
22,99.49,4862.3
23,99.49,4861.87
24,99.79,4863.18
25,99.54,4861.43
26,99.7,4861.49
27,99.59,4862.05
28,99.58,4861.43
29,99.64,4861.18
30,99.6,4862.05
31,99.52,4862.05
32,99.51,4862.05
33,99.32,4862.05
34,99.44,4861.18
35,99.46,4862.05
36,99.32,4860.73
37,99.67,4863.24
38,99.52,4863.24
39,99.39,4860.3
40,99.45,4861.18
41,99.28,4862.05
42,99.48,4860.55
43,99.47,4860.3
44,99.51,4860.55
45,99.5,4861.18
46,99.47,4860.55
47,99.58,4862.05
48,99.52,4863.8
49,99.58,4862.05
50,99.41,4861.49
51,99.63,4861.3
52,99.94,4862.3
53,99.8,4862.3
54,99.92,4861.18
55,99.69,4859.93
56,99.6,4860.55
57,99.56,4862.05
58,99.49,4861.43
59,99.59,4861.94
60,99.5,4863.18
61,99.54,4862.05
62,99.55,4862.05
63,99.81,4862.93
64,99.99,4861.18
65,99.74,4859.68
66,99.62,4860.3
67,99.6,4860.3
68,99.72,4862.05
69,99.51,4862.05
70,99.75,4862.93
71,99.79,4862.93
72,99.63,4862.23
73,99.62,4862.93
74,99.62,4860.93
75,99.73,4860.05
76,99.43,4859.18
77,99.42,4860.05
78,99.42,4859.63
79,99.33,4860.93
80,99.6,4859.18
81,99.56,4860.93
82,99.56,4860.93
83,99.39,4859.18
84,99.38,4859.18
85,99.4,4860.05
86,99.4,4859.49
87,99.46,4859.18
88,99.43,4860.05
89,99.45,4861.8
90,99.36,4861.24
91,99.58,4858.55
92,99.61,4860.37
93,99.52,4860.93
94,99.67,4857.99
95,99.74,4858.3
96,99.45,4859.18
97,99.36,4859.18
98,99.35,4859.18
99,99.36,4859.18
100,99.53,4860.05
101,99.51,4860.93
102,99.38,4859.43
103,99.34,4860.93
104,99.55,4860.05
105,99.4,4860.93
106,99.47,4860.93
107,99.55,4860.05
108,99.73,4858.76
109,99.54,4858.3
110,99.44,4858.48
111,99.56,4858.48
112,99.49,4858.55
113,99.46,4858.3
114,99.25,4857.43
115,99.64,4860.93
116,99.44,4860.93
117,99.5,4858.3
118,99.31,4858.85
119,99.36,4860.93
120,99.43,4861.18
121,99.23,4861.24
122,99.38,4860.37
123,99.29,4860.05
124,99.4,4860.93
125,99.53,4860.05
126,99.63,4860.93
127,99.41,4860.93
128,99.26,4860.93
129,99.44,4861.8
130,99.3,4861.8
131,99.42,4861.8
132,99.4,4860.93
133,99.7,4861.23
134,99.24,4859.18
135,99.32,4860.05
136,99.4,4859.37
137,99.2,4860.05
138,99.31,4860.05
139,99.23,4860.3
140,99.37,4860.23
141,99.35,4859.93
142,99.33,4858.93
143,99.43,4858.93
144,99.45,4858.93
145,99.5,4858.93
146,99.34,4858.05
147,99.28,4858.3
148,99.5,4859.1
149,99.55,4858.05
150,99.7,4858.05
151,99.7,4858.76
152,99.35,4859.18
153,99.38,4859.18
154,99.43,4860.05
155,99.43,4859.8
156,99.27,4860.68
157,99.28,4858.93
158,99.42,4858.93
159,99.49,4857.18
160,99.49,4860.05
161,99.35,4859.48
162,99.33,4860.68
163,99.33,4860.68
164,99.49,4860.68
165,99.28,4860.68
166,99.45,4860.68
167,99.34,4859.8
168,99.51,4859.8
169,99.52,4860.23
170,99.45,4859.8
171,99.47,4859.8
172,99.75,4859.8
173,99.68,4859.8
174,99.56,4860.68
175,99.44,4860.68
176,99.47,4859.8
177,99.55,4860.68
178,99.32,4860.05
179,99.4,4858.93
180,99.51,4858.93
181,99.69,4858.93
182,99.52,4858.51
183,99.35,4858.3
184,99.44,4859.8
185,99.5,4858.93
186,99.72,4857.18
187,99.53,4858.05
188,99.38,4858.93
189,99.65,4858.93
190,99.37,4857.68
191,99.42,4858.93
192,99.31,4858.3
193,99.31,4858.3
194,99.32,4859.18
195,99.28,4857.18
196,99.47,4858.98
197,99.56,4860.12
198,99.39,4860.99
199,99.45,4858.93
