epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.68,24.74,22.41,16.67,22.875,4.664922293029113
1,28.57,29.47,29.31,16.67,26.005,6.235668902905818
2,30.36,36.32,39.66,36.67,35.7525,3.894931535555749
3,36.16,38.42,32.76,40.0,36.835,3.140631571303243
4,31.7,33.16,34.48,36.67,34.0025,2.109887437755864
5,34.38,39.47,31.03,36.67,35.3875,3.573722382427972
6,35.27,32.63,25.86,26.67,30.1075,4.577920743452571
7,33.93,43.16,22.41,26.67,31.5425,9.088642637930043
8,43.3,58.42,29.31,40.0,42.7575,12.028400766519214
9,35.27,38.95,25.86,40.0,35.019999999999996,6.434630266508456
10,42.41,42.11,27.59,36.67,37.195,6.925438614268412
11,42.41,47.89,24.14,26.67,35.2775,11.663056703397555
12,41.52,54.74,22.41,40.0,39.667500000000004,13.273330089569335
13,47.77,46.32,32.76,46.67,43.379999999999995,7.106902747798558
14,41.52,50.53,25.86,36.67,38.645,10.277413747306925
15,46.88,52.63,27.59,36.67,40.9425,11.081442069213438
16,42.41,57.89,20.69,23.33,36.08,17.465772241730395
17,35.71,44.74,32.76,30.0,35.8025,6.3982621338402
18,43.75,53.16,20.69,40.0,39.4,13.64654046513865
19,40.62,46.32,25.86,36.67,37.3675,8.633946085076047
20,47.77,52.11,34.48,46.67,45.25749999999999,7.559080080715291
21,46.88,57.89,31.03,46.67,45.61750000000001,11.047036933042271
22,43.3,54.21,25.86,33.33,39.175,12.30880579097745
23,48.66,61.58,31.03,43.33,46.14999999999999,12.661645496011433
24,44.2,53.68,41.38,36.67,43.9825,7.172504792609063
25,45.09,63.68,32.76,46.67,47.05,12.711503976057804
26,45.54,54.21,34.48,36.67,42.724999999999994,9.027227333646437
27,45.98,62.63,27.59,43.33,44.88249999999999,14.348276028847508
28,50.0,58.42,36.21,40.0,46.1575,10.033299141691465
29,48.66,57.89,32.76,46.67,46.495000000000005,10.379693315957526
30,48.21,56.32,25.86,36.67,41.765,13.320586823910325
31,45.98,63.16,39.66,36.67,46.36749999999999,11.848632480867428
32,47.32,50.53,34.48,36.67,42.25,7.869193097135183
33,52.68,61.05,27.59,36.67,44.4975,15.144546598253333
34,54.02,69.47,39.66,50.0,53.2875,12.368323451462613
35,51.79,68.42,36.21,46.67,50.77250000000001,13.433372311771407
36,45.54,55.79,27.59,30.0,39.73,13.33831823482006
37,53.57,65.26,46.55,36.67,50.5125,12.029869422954405
38,53.12,61.58,37.93,36.67,47.325,12.091072464150287
39,52.23,61.58,39.66,60.0,53.3675,10.010405835928932
40,52.23,64.21,39.66,50.0,51.525,10.074887923280667
41,46.88,68.42,27.59,43.33,46.55500000000001,16.815228217303506
42,51.79,53.16,43.1,46.67,48.67999999999999,4.651845511908864
43,54.46,67.89,34.48,43.33,50.03999999999999,14.437181165310632
44,44.2,50.53,39.66,40.0,43.5975,5.06189934708307
45,53.57,62.63,36.21,46.67,49.769999999999996,11.155016808593343
46,58.04,66.84,41.38,50.0,54.065,10.900071865206517
47,54.91,67.37,37.93,50.0,52.5525,12.18535835883924
48,50.45,68.95,32.76,36.67,47.207499999999996,16.3607179447195
49,50.0,62.63,29.31,50.0,47.985,13.800387675714042
50,54.91,60.53,32.76,53.33,50.38249999999999,12.14784308701206
51,51.79,62.11,39.66,53.33,51.7225,9.237472147003567
52,56.25,67.37,31.03,46.67,50.33,15.397982551836675
53,54.46,71.58,37.93,33.33,49.325,17.390987129353334
54,58.04,66.84,36.21,46.67,51.94,13.346982180752821
55,47.77,51.58,25.86,40.0,41.302499999999995,11.366953197757084
56,53.12,68.42,37.93,50.0,52.3675,12.547183947005799
57,54.91,67.89,31.03,43.33,49.28999999999999,15.774384298602591
58,55.36,71.05,39.66,43.33,52.349999999999994,14.155641984735274
59,53.12,66.32,36.21,53.33,52.245000000000005,12.344630411640518
60,53.12,58.95,32.76,60.0,51.207499999999996,12.665205288505987
61,54.46,72.63,41.38,50.0,54.6175,13.178614937339455
62,53.57,60.0,29.31,46.67,47.3875,13.223832966781353
63,52.68,62.63,34.48,60.0,52.4475,12.696570074892932
64,51.79,66.32,34.48,40.0,48.147499999999994,14.103071473973317
65,54.02,71.05,39.66,63.33,57.015,13.503413148780817
66,53.57,65.26,34.48,53.33,51.66,12.735114186112876
67,54.91,66.84,43.1,63.33,57.045,10.558795701530865
68,52.68,71.58,34.48,63.33,55.5175,16.017353870099768
69,57.14,63.68,43.1,56.67,55.147499999999994,8.645497383031238
70,53.57,66.84,39.66,46.67,51.685,11.589910842337545
71,52.68,67.89,41.38,50.0,52.9875,11.042920431963035
72,50.45,71.58,29.31,46.67,49.5025,17.359664695302538
73,48.21,65.26,31.03,33.33,44.457499999999996,15.821338702313827
74,47.77,57.37,37.93,43.33,46.599999999999994,8.230504237287045
75,55.8,67.89,44.83,56.67,56.2975,9.421179597056838
76,57.59,69.47,37.93,46.67,52.915000000000006,13.656181750401537
77,54.91,64.74,36.21,56.67,53.13249999999999,12.06618518836836
78,44.2,60.53,37.93,50.0,48.165,9.60445903387241
79,54.02,58.42,31.03,50.0,48.3675,12.058986621326575
80,54.46,71.58,46.55,46.67,54.815,11.773451773658676
81,56.7,68.95,31.03,63.33,55.0025,16.74755977249621
82,58.93,71.05,48.28,50.0,57.065,10.426710890784301
83,51.34,63.16,34.48,43.33,48.0775,12.186829981582576
84,54.91,64.21,46.55,50.0,53.9175,7.671320507796119
85,58.48,73.16,36.21,46.67,53.629999999999995,15.883339279467231
86,50.89,58.95,50.0,40.0,49.96,7.765054195990308
87,58.04,70.53,36.21,56.67,55.3625,14.209736978565084
88,50.45,56.84,39.66,43.33,47.56999999999999,7.632671004744455
89,57.59,65.26,41.38,40.0,51.057500000000005,12.386913457354906
90,50.0,61.58,46.55,56.67,53.7,6.726261963379066
91,57.14,64.74,34.48,43.33,49.9225,13.584089651745774
92,56.25,77.37,43.1,56.67,58.3475,14.160452852928117
93,54.91,70.53,39.66,56.67,55.442499999999995,12.629466536635665
94,53.57,65.79,39.66,60.0,54.755,11.233053903547338
95,59.82,71.05,41.38,50.0,55.5625,12.781153768993887
96,58.48,66.32,46.55,60.0,57.83749999999999,8.255294765583276
97,55.36,71.58,39.66,43.33,52.4825,14.389571165720449
98,57.59,67.37,44.83,63.33,58.28,9.823597440177743
99,53.12,69.47,46.55,50.0,54.785,10.151073834821615
100,50.89,57.37,44.83,33.33,46.60499999999999,10.224524438818658
101,54.46,63.16,41.38,53.33,53.082499999999996,8.952900368037163
102,59.38,74.21,39.66,53.33,56.644999999999996,14.32351097554879
103,60.71,70.0,41.38,46.67,54.69,13.065386842085209
104,54.02,60.0,44.83,43.33,50.545,7.878030633773055
105,58.48,70.0,46.55,56.67,57.925,9.61039888176691
106,55.36,69.47,44.83,43.33,53.2475,12.067080218511851
107,53.12,69.47,37.93,40.0,50.13,14.542267131824161
108,56.25,67.89,41.38,53.33,54.712500000000006,10.888484360399598
109,54.02,70.0,46.55,53.33,55.974999999999994,9.93896875938344
