epoch,local_time_s,peak_vram_mb
0,70.44,2576.6
1,82.75,2531.93
2,82.98,2530.49
3,83.1,2534.3
4,83.26,2534.75
5,83.03,2533.18
6,83.05,2532.43
7,82.65,2532.49
8,83.22,2534.43
9,83.09,2534.68
10,82.53,2531.61
11,82.87,2533.41
12,82.59,2534.86
13,83.33,2535.11
14,82.69,2531.05
15,83.0,2532.43
16,83.42,2532.61
17,82.89,2531.93
18,83.23,2534.3
19,83.11,2533.86
20,82.74,2535.3
21,82.88,2532.3
22,82.92,2531.49
23,83.02,2533.54
24,82.7,2537.61
25,82.76,2532.61
26,83.21,2531.18
27,82.72,2533.8
28,82.89,2532.93
29,82.71,2535.41
30,83.22,2534.72
31,83.59,2533.8
32,83.09,2532.93
33,82.76,2532.24
34,83.1,2528.3
35,83.3,2527.8
36,82.95,2531.63
37,82.64,2532.75
38,83.0,2531.6
39,82.93,2529.55
40,83.13,2530.93
41,82.76,2530.24
42,83.02,2534.86
43,82.76,2532.55
44,83.21,2530.99
45,83.07,2532.93
46,83.08,2532.55
47,83.32,2529.8
48,82.87,2529.3
49,82.91,2528.49
50,82.93,2529.05
51,82.85,2531.43
52,83.37,2533.49
53,82.83,2531.18
54,82.94,2531.74
55,82.92,2535.36
56,82.76,2535.91
57,82.5,2534.74
58,82.6,2533.74
59,83.23,2534.05
60,83.28,2534.36
61,82.6,2534.61
62,82.94,2533.18
63,83.17,2531.88
64,82.92,2534.74
65,82.82,2534.8
66,82.84,2534.43
67,82.79,2534.35
68,83.02,2533.79
69,82.97,2533.93
70,83.0,2532.94
71,82.79,2535.05
72,82.76,2534.18
73,82.67,2532.74
74,83.66,2527.43
75,83.1,2532.93
76,82.59,2533.43
77,83.5,2533.68
78,83.2,2533.88
79,82.97,2533.49
80,83.19,2535.05
81,83.25,2532.74
82,83.29,2532.8
83,83.2,2533.74
84,82.68,2531.43
85,82.77,2532.05
86,82.93,2533.68
87,83.39,2534.36
88,83.07,2537.13
89,82.65,2538.5
90,83.07,2533.68
91,83.19,2530.74
92,83.22,2530.55
93,83.3,2529.11
94,82.85,2533.18
95,83.15,2533.55
96,82.98,2533.6
97,83.35,2533.43
98,83.55,2532.18
99,82.62,2532.25
100,83.53,2533.3
101,83.32,2534.11
102,83.27,2533.74
103,83.0,2534.61
104,83.17,2537.88
105,83.46,2531.36
106,82.83,2531.43
107,82.92,2531.93
108,82.58,2533.43
109,83.04,2530.8
110,83.56,2531.55
111,82.92,2535.38
112,83.27,2531.68
113,83.25,2530.18
114,83.0,2536.6
115,83.35,2536.63
116,83.28,2532.55
117,82.9,2532.49
118,83.08,2533.68
119,82.97,2533.43
120,83.02,2533.88
121,82.84,2532.93
122,82.85,2533.74
123,83.03,2532.8
124,83.45,2532.3
125,82.86,2531.99
126,82.7,2532.43
127,82.97,2534.93
128,82.75,2535.8
129,83.33,2532.1
130,82.69,2532.24
131,83.21,2534.68
132,82.75,2532.93
133,83.02,2533.93
134,83.14,2532.55
135,83.09,2535.86
136,82.75,2534.99
137,82.76,2531.93
138,83.51,2533.8
139,82.71,2535.61
140,83.41,2534.36
141,82.9,2536.68
142,82.81,2535.61
143,82.97,2535.93
144,83.18,2533.5
145,83.32,2530.86
146,83.31,2529.43
147,82.72,2529.43
148,83.1,2530.8
149,83.38,2535.18
150,83.04,2532.55
151,83.17,2534.05
152,82.9,2534.86
153,83.01,2532.16
154,82.82,2530.86
155,83.14,2533.05
156,82.65,2534.24
157,83.05,2530.91
158,83.51,2530.18
159,82.73,2532.86
160,82.98,2533.8
161,83.62,2534.36
162,83.34,2533.36
163,83.1,2535.49
164,82.79,2535.18
165,83.21,2534.93
166,83.36,2533.68
167,83.44,2535.8
168,83.32,2533.54
169,83.3,2533.55
170,83.1,2532.74
171,83.1,2534.1
172,83.35,2530.11
173,83.07,2528.3
174,83.17,2534.38
175,83.43,2534.32
176,83.42,2535.05
177,83.43,2533.43
178,83.17,2536.05
179,82.73,2534.47
180,83.08,2528.11
181,82.91,2530.55
182,83.44,2531.55
183,83.13,2531.74
184,83.57,2530.11
185,82.88,2532.68
186,83.33,2533.8
187,83.25,2533.05
188,83.33,2530.49
189,83.3,2531.68
190,83.35,2533.55
191,83.09,2533.8
192,83.26,2533.68
193,82.78,2531.36
194,83.0,2533.3
195,82.87,2535.24
196,83.28,2532.36
197,82.82,2531.05
198,83.27,2531.49
199,83.33,2528.61
