epoch,local_time_s,peak_vram_mb
0,83.27,2504.06
1,82.66,2505.06
2,82.95,2504.56
3,83.1,2504.69
4,83.21,2506.44
5,83.12,2504.31
6,83.15,2504.62
7,82.95,2503.19
8,83.18,2503.69
9,82.81,2505.81
10,82.83,2504.94
11,82.93,2503.69
12,82.74,2504.69
13,83.08,2506.81
14,83.05,2508.33
15,83.15,2506.87
16,83.23,2508.12
17,82.71,2508.31
18,83.22,2508.37
19,83.2,2508.25
20,83.01,2506.5
21,83.09,2505.94
22,83.08,2505.81
23,82.94,2506.25
24,82.76,2507.87
25,83.29,2505.86
26,83.18,2509.25
27,82.7,2509.0
28,82.88,2507.25
29,82.97,2505.94
30,83.1,2505.12
31,83.36,2504.94
32,83.23,2504.94
33,82.98,2506.56
34,83.17,2503.56
35,83.12,2504.48
36,82.77,2505.44
37,82.63,2504.87
38,82.87,2503.69
39,83.22,2505.12
40,83.25,2503.5
41,82.33,2506.81
42,83.24,2506.87
43,82.95,2507.81
44,83.03,2503.75
45,82.66,2504.37
46,82.89,2504.87
47,83.26,2504.69
48,82.65,2505.19
49,82.62,2505.44
50,82.75,2503.81
51,82.64,2501.81
52,83.56,2505.19
53,82.81,2506.62
54,83.06,2506.56
55,82.84,2504.56
56,83.03,2505.81
57,82.84,2506.44
58,82.45,2506.25
59,82.51,2507.56
60,83.39,2506.12
61,83.03,2505.81
62,82.76,2504.87
63,82.8,2504.37
64,82.9,2505.31
65,82.73,2506.81
66,82.82,2506.94
67,82.49,2504.56
68,83.04,2508.0
69,82.59,2508.06
70,83.07,2506.75
71,82.72,2507.5
72,82.38,2508.87
73,82.78,2507.44
74,83.77,2506.12
75,82.89,2505.12
76,82.87,2504.31
77,83.18,2503.19
78,83.09,2505.5
79,82.63,2505.19
80,82.8,2503.86
81,82.85,2503.98
82,83.12,2504.62
83,83.21,2506.06
84,82.66,2505.81
85,82.84,2505.81
86,82.48,2506.56
87,83.0,2506.06
88,83.06,2506.31
89,82.86,2505.81
90,82.51,2506.94
91,83.28,2504.69
92,82.82,2503.69
93,83.09,2504.94
94,82.73,2503.31
95,83.12,2504.06
96,83.05,2504.56
97,83.02,2506.06
98,82.86,2506.39
99,82.63,2506.87
100,83.06,2505.81
101,83.02,2505.19
102,82.95,2505.44
103,82.83,2507.19
104,82.8,2507.19
105,83.16,2504.94
106,82.74,2506.31
107,82.51,2505.06
108,82.62,2505.19
109,83.34,2506.19
110,83.53,2507.19
111,82.64,2504.81
112,82.74,2505.19
113,83.21,2505.69
114,82.95,2505.19
115,83.12,2504.0
116,82.93,2507.5
117,82.75,2504.0
118,82.71,2504.56
119,82.85,2505.19
120,82.55,2504.31
121,82.51,2505.5
122,82.9,2504.69
123,83.08,2506.62
124,83.3,2508.06
125,82.5,2504.06
126,82.43,2505.12
127,83.05,2506.12
128,82.46,2504.75
129,82.97,2504.44
130,82.62,2505.12
131,83.25,2504.69
132,82.7,2506.06
133,82.53,2506.12
134,82.88,2505.19
135,82.86,2505.5
136,82.81,2504.94
137,82.16,2502.19
138,82.9,2504.94
139,82.6,2505.19
140,83.26,2505.12
141,83.2,2505.06
142,82.27,2506.94
143,82.52,2506.37
144,83.57,2506.25
145,84.45,2506.12
146,84.54,2505.44
147,83.91,2507.81
148,83.65,2506.94
149,84.36,2507.56
150,84.3,2504.11
151,83.68,2505.69
152,84.36,2504.94
153,85.5,2505.19
154,83.09,2504.11
155,82.56,2504.69
156,82.53,2505.44
157,82.7,2504.86
158,83.16,2507.5
159,82.57,2509.19
160,82.31,2507.06
161,83.32,2504.5
162,82.53,2504.87
163,83.41,2508.0
164,82.32,2507.5
165,82.81,2504.89
166,82.56,2505.94
167,82.81,2505.64
168,82.93,2504.06
169,82.82,2503.25
170,82.72,2504.5
171,83.02,2506.0
172,82.81,2506.75
173,82.46,2506.56
174,82.68,2506.56
175,83.01,2507.56
176,83.03,2507.0
177,83.1,2502.19
178,82.45,2505.5
179,82.65,2506.94
180,82.62,2503.44
181,82.42,2504.69
182,82.47,2506.94
183,82.87,2507.5
184,82.83,2507.44
185,82.49,2506.25
186,82.57,2506.56
187,82.77,2505.94
188,82.94,2508.12
189,82.93,2508.69
190,82.68,2504.12
191,82.3,2504.48
192,83.04,2505.81
193,82.33,2504.81
194,82.14,2504.5
195,82.31,2505.44
196,82.88,2502.62
197,82.51,2505.5
198,83.13,2505.44
199,82.68,2506.56
