epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,17.41,18.95,17.24,16.67,17.5675,0.9744870445521575
1,20.98,21.05,29.31,26.67,24.5025,4.168847762471864
2,20.98,12.11,43.1,33.33,27.38,13.621720400399749
3,20.09,15.26,36.21,30.0,25.39,9.469801124275701
4,27.23,28.42,32.76,36.67,31.27,4.313706835966796
5,33.93,39.47,41.38,33.33,37.0275,4.007329742692343
6,40.18,43.68,24.14,36.67,36.167500000000004,8.51373547079463
7,36.61,43.68,39.66,40.0,39.9875,2.89536842790919
8,40.62,39.47,39.66,43.33,40.769999999999996,1.779344448572751
9,40.62,39.47,36.21,46.67,40.74250000000001,4.370853272912892
10,38.84,41.05,36.21,53.33,42.3575,7.577815758295173
11,43.75,46.32,43.1,43.33,44.125,1.4878732024828818
12,46.88,47.37,41.38,46.67,45.575,2.8120040303432465
13,41.96,41.58,41.38,40.0,41.23,0.8545564151456984
14,43.75,48.42,41.38,40.0,43.3875,3.695162378028874
15,49.55,52.11,39.66,53.33,48.662499999999994,6.20493016345336
16,47.77,47.89,43.1,53.33,48.022499999999994,4.18257795304921
17,47.77,62.63,39.66,40.0,47.515,10.750263562660532
18,45.09,38.42,46.55,56.67,46.682500000000005,7.540395104590564
19,51.34,54.74,37.93,53.33,49.33500000000001,7.7302026709093035
20,52.68,63.68,41.38,43.33,50.2675,10.211625319539817
21,53.12,66.32,46.55,50.0,53.9975,8.64213081363618
22,49.55,52.63,39.66,53.33,48.792500000000004,6.305861691051168
23,54.91,59.47,48.28,56.67,54.832499999999996,4.754789690406926
24,55.36,67.37,39.66,56.67,54.765,11.416801945670546
25,48.21,63.16,41.38,43.33,49.019999999999996,9.854633427987059
26,41.96,58.95,32.76,43.33,44.25,10.865857843109614
27,51.79,66.84,50.0,46.67,53.825,8.932265483440732
28,54.02,66.84,53.45,46.67,55.245000000000005,8.420160331015083
29,50.89,64.74,36.21,50.0,50.46,11.653002474326803
30,54.91,61.05,46.55,50.0,53.1275,6.297832299026917
31,51.34,67.37,50.0,56.67,56.345,7.8944136366589435
32,54.02,61.58,63.79,50.0,57.3475,6.441476926916682
33,51.34,54.21,48.28,46.67,50.125,3.3418807080245503
34,56.7,62.11,50.0,46.67,53.870000000000005,6.897424640158576
35,53.12,58.42,50.0,53.33,53.7175,3.4852295476768824
36,50.0,65.79,41.38,46.67,50.96000000000001,10.504459370508636
37,55.8,65.26,46.55,43.33,52.735,9.882275379014022
38,54.91,66.32,55.17,43.33,54.93249999999999,9.387049145853377
39,52.68,56.32,50.0,50.0,52.25,2.9930363624030143
40,52.23,62.11,46.55,40.0,50.2225,9.368910911448921
41,52.68,64.21,50.0,43.33,52.55499999999999,8.707914024992817
42,58.04,68.95,46.55,43.33,54.2175,11.675990678881744
43,58.04,66.84,46.55,40.0,52.8575,11.936896232550014
44,57.14,69.47,48.28,46.67,55.39,10.454654465834823
45,58.04,66.84,46.55,50.0,55.3575,9.042832797304174
46,54.91,65.79,50.0,50.0,55.175,7.445573629121313
47,58.93,67.89,50.0,46.67,55.8725,9.538358960883505
48,54.02,61.58,51.72,46.67,53.4975,6.201453458665959
49,58.04,71.05,58.62,53.33,60.260000000000005,7.57335240607927
50,56.25,71.58,50.0,50.0,56.957499999999996,10.183838094418691
51,56.7,65.79,51.72,50.0,56.0525,7.08617139222585
52,58.93,65.79,44.83,53.33,55.72,8.869671170154321
53,52.23,60.53,46.55,53.33,53.16,5.741741895975473
54,51.34,54.21,44.83,46.67,49.2625,4.288040539298419
55,52.68,63.16,46.55,46.67,52.265,7.806802589195313
56,57.14,70.53,51.72,53.33,58.17999999999999,8.541237224977033
57,57.59,70.53,48.28,53.33,57.432500000000005,9.52484601800295
58,54.02,71.05,50.0,53.33,57.099999999999994,9.464174554603268
59,55.8,73.68,48.28,50.0,56.940000000000005,11.614450769049165
60,56.25,74.21,48.28,53.33,58.0175,11.285871329528199
61,54.91,71.58,55.17,53.33,58.7475,8.593549421901677
62,57.59,67.89,50.0,53.33,57.2025,7.772710273771949
63,58.93,67.37,43.1,53.33,55.682500000000005,10.181641567055875
64,57.14,60.53,46.55,56.67,55.2225,6.031966926301903
65,59.82,66.84,51.72,56.67,58.7625,6.333500217099548
66,62.05,65.26,53.45,53.33,58.522499999999994,6.069856533175504
67,60.71,65.26,50.0,56.67,58.16,6.473489527810074
68,60.71,61.58,51.72,50.0,56.0025,5.989960350453081
69,61.16,66.32,53.45,53.33,58.565,6.336205489092029
70,55.36,68.42,56.9,60.0,60.17,5.8286762362192235
71,57.14,67.37,53.45,60.0,59.49,5.8979827059766805
72,58.04,68.42,50.0,60.0,59.115,7.5631805478912115
73,61.16,73.16,48.28,63.33,61.4825,10.233723255329245
74,63.84,69.47,46.55,60.0,59.965,9.752334763190472
75,63.84,68.95,46.55,60.0,59.83500000000001,9.585435131837611
76,62.95,68.95,48.28,56.67,59.212500000000006,8.846311378196
77,62.05,70.53,48.28,56.67,59.38249999999999,9.345328155465346
78,58.48,65.79,48.28,56.67,57.30500000000001,7.193276953748782
79,60.71,67.37,55.17,56.67,59.980000000000004,5.453964918601269
80,60.27,72.11,58.62,60.0,62.75,6.281703590587509
81,65.18,73.16,56.9,60.0,63.81,7.107826672056656
82,60.71,71.58,56.9,60.0,62.2975,6.405634889168546
83,63.84,72.11,50.0,60.0,61.4875,9.175094459095957
84,65.62,70.0,53.45,60.0,62.2675,7.162882915884263
85,63.39,71.05,55.17,60.0,62.4025,6.67920841118167
86,63.39,70.53,50.0,60.0,60.980000000000004,8.534857936720448
87,60.27,69.47,53.45,63.33,61.629999999999995,6.661271149963294
88,60.27,68.42,50.0,60.0,59.6725,7.539678927735142
89,61.61,63.68,55.17,60.0,60.114999999999995,3.6244769737623286
90,59.38,66.32,55.17,60.0,60.2175,4.599509937663646
91,58.48,65.79,55.17,63.33,60.692499999999995,4.77263292114531
92,60.27,66.84,55.17,60.0,60.57000000000001,4.791930717362263
93,62.05,67.89,55.17,56.67,60.44500000000001,5.775820288062985
94,61.16,68.42,55.17,50.0,58.6875,7.930537497547061
95,60.71,71.05,53.45,50.0,58.802499999999995,9.305429866481182
96,58.93,68.95,53.45,50.0,57.832499999999996,8.273606126311147
97,58.93,68.42,53.45,53.33,58.5325,7.090333207967029
98,58.48,68.42,53.45,53.33,58.42,7.085492220022545
99,57.14,67.89,53.45,50.0,57.120000000000005,7.749335455379383
100,59.38,66.84,55.17,50.0,57.8475,7.117253098398755
101,61.61,65.26,56.9,50.0,58.4425,6.587019432186308
102,62.5,67.37,56.9,53.33,60.025000000000006,6.1823215704134995
103,59.82,65.79,60.34,53.33,59.82000000000001,5.100045751428775
104,59.38,64.21,56.9,53.33,58.455,4.5701677576795054
105,59.38,65.79,58.62,56.67,60.11500000000001,3.9517464493562873
106,58.93,67.37,55.17,53.33,58.7,6.232163883168244
107,58.48,68.95,53.45,53.33,58.552499999999995,7.3353771773054275
108,57.59,69.47,53.45,53.33,58.459999999999994,7.602499588950991
109,57.14,68.95,62.07,53.33,60.3725,6.745390401353111
110,58.48,69.47,55.17,46.67,57.447500000000005,9.43306374762021
111,57.59,66.84,56.9,43.33,56.165000000000006,9.682694184299466
112,58.93,67.89,53.45,50.0,57.567499999999995,7.802377308658347
113,58.48,67.37,55.17,56.67,59.4225,5.468426799973342
114,58.93,66.32,53.45,53.33,58.00749999999999,6.1264039207352265
115,59.82,67.37,58.62,53.33,59.785,5.789579719922109
116,61.16,70.0,53.45,56.67,60.32000000000001,7.186269314927367
117,59.82,71.05,55.17,60.0,61.510000000000005,6.741498349773585
118,57.14,68.95,53.45,60.0,59.885000000000005,6.611396725856547
119,58.93,72.11,55.17,53.33,59.88499999999999,8.47667190981618
120,58.93,71.05,55.17,56.67,60.455,7.230424146157215
121,57.14,72.63,55.17,56.67,60.4025,8.194841365151612
122,56.25,70.0,58.62,56.67,60.385000000000005,6.492634288176102
123,56.25,70.53,62.07,60.0,62.2125,6.04559550416665
124,58.93,68.95,58.62,56.67,60.792500000000004,5.529571261258268
125,56.7,68.42,56.9,56.67,59.6725,5.832560186859054
126,58.93,73.68,55.17,50.0,59.44500000000001,10.171596072724611
127,60.27,74.21,56.9,53.33,61.177499999999995,9.138743075500042
128,61.16,74.74,55.17,53.33,61.099999999999994,9.688326308845436
129,61.16,75.26,55.17,50.0,60.39750000000001,10.907338126234102
130,61.16,75.79,58.62,53.33,62.224999999999994,9.613540797576444
131,62.05,73.68,56.9,46.67,59.825,11.232709676060656
132,61.16,71.58,56.9,50.0,59.910000000000004,9.037322612367005
133,58.93,73.68,55.17,46.67,58.61250000000001,11.278363873659456
134,61.16,68.95,56.9,46.67,58.42,9.287292393372786
135,62.05,72.11,53.45,46.67,58.57000000000001,11.004035623352005
136,62.05,74.74,55.17,46.67,59.6575,11.860560343704956
137,64.29,75.26,55.17,50.0,61.18000000000001,11.09100235927003
138,62.05,74.21,60.34,50.0,61.65,9.922234291394922
139,62.05,72.63,62.07,50.0,61.6875,9.248669724163937
140,63.84,71.58,56.9,53.33,61.41250000000001,8.061436493165058
141,63.39,70.53,60.34,50.0,61.065000000000005,8.523530176321703
142,64.29,71.05,55.17,50.0,60.1275,9.376752725046483
143,61.61,72.63,56.9,53.33,61.11750000000001,8.390722555298797
144,60.71,72.63,58.62,53.33,61.322500000000005,8.153082750305758
145,59.82,75.26,58.62,56.67,62.5925,8.544180768218801
146,60.71,74.21,56.9,56.67,62.1225,8.26855640362935
147,60.71,75.26,51.72,56.67,61.09,10.136840401887236
148,59.82,77.37,53.45,60.0,62.66,10.268875303556863
149,61.16,75.26,55.17,56.67,62.06500000000001,9.157403198141566
150,61.16,73.68,58.62,53.33,61.697500000000005,8.628543233555325
151,61.16,77.89,58.62,53.33,62.75,10.607245951078285
152,62.5,77.37,55.17,43.33,59.5925,14.24219640130459
153,59.38,77.37,58.62,53.33,62.175,10.481286498644465
154,62.95,76.84,58.62,53.33,62.935,10.070162196641459
155,63.84,76.84,56.9,50.0,61.895,11.453923636320729
156,61.16,78.95,56.9,53.33,62.58500000000001,11.369815301929934
157,61.61,75.79,56.9,56.67,62.74250000000001,8.991289766583364
158,61.61,75.26,60.34,60.0,64.30250000000001,7.337785201725838
159,63.39,74.21,63.79,60.0,65.3475,6.148096588918121
160,62.95,73.68,65.52,60.0,65.5375,5.878199128985002
161,61.61,75.79,60.34,63.33,65.2675,7.121200156340693
162,61.61,77.89,60.34,60.0,64.96000000000001,8.647801261977905
163,63.39,76.32,62.07,63.33,66.27749999999999,6.722605521670891
164,64.73,75.79,63.79,63.33,66.91,5.948602076678747
165,61.16,74.74,65.52,63.33,66.18749999999999,5.973047100656972
166,62.05,73.68,68.97,63.33,67.00750000000001,5.368875580603451
167,62.95,71.58,63.79,60.0,64.58,4.941571949626285
168,64.29,71.58,67.24,60.0,65.7775,4.8785269293097056
169,62.5,73.68,63.79,60.0,64.9925,6.001562990866077
170,63.39,74.74,63.79,53.33,63.8125,8.745895704081237
171,65.62,77.37,60.34,56.67,65.0,9.027842119428836
172,62.95,75.26,63.79,56.67,64.6675,7.743403106300659
173,63.84,71.05,65.52,53.33,63.43499999999999,7.4074399536322035
174,63.84,68.95,65.52,56.67,63.745000000000005,5.173886353603063
175,65.18,66.32,63.79,56.67,62.989999999999995,4.338486679323408
176,64.29,65.26,65.52,56.67,62.935,4.210071258304305
177,64.73,63.68,68.97,56.67,63.5125,5.102759874159602
178,66.07,64.74,72.41,56.67,64.9725,6.468036152238686
179,61.16,70.0,72.41,56.67,65.06,7.394326654041371
180,65.62,71.58,70.69,53.33,65.30499999999999,8.40384237516784
181,62.5,70.53,72.41,56.67,65.5275,7.303306899389251
182,62.95,71.05,67.24,56.67,64.4775,6.167643391117872
183,62.5,73.16,67.24,56.67,64.8925,7.00466213793832
184,64.29,73.68,63.79,60.0,65.44,5.817679949945686
185,63.84,72.63,62.07,56.67,63.802499999999995,6.628229401582293
186,62.95,71.05,62.07,63.33,64.85,4.166885327595819
187,62.05,70.0,60.34,63.33,63.93000000000001,4.227978240246749
188,62.05,68.42,62.07,63.33,63.9675,3.028116851554225
189,62.5,71.05,62.07,60.0,63.905,4.886761026828846
190,64.29,70.53,62.07,60.0,64.2225,4.555285391718065
191,64.29,67.37,60.34,53.33,61.33250000000001,6.061443035009626
192,65.18,68.95,60.34,53.33,61.95,6.741152225942784
193,66.07,73.16,60.34,56.67,64.06,7.194919503835093
194,65.62,72.11,58.62,56.67,63.25500000000001,7.043902800767957
195,65.62,75.26,58.62,56.67,64.0425,8.407894603684488
196,66.96,75.26,60.34,56.67,64.8075,8.166302202751664
197,66.07,74.21,58.62,60.0,64.725,7.103306741699011
198,66.07,73.16,62.07,56.67,64.49249999999999,6.944400022080139
199,65.62,73.68,55.17,63.33,64.45,7.6143417312332415
