epoch,local_time_s,peak_vram_mb
0,68.41,4090.42
1,78.51,4130.57
2,78.57,4132.99
3,79.08,4130.76
4,78.61,4129.45
5,78.97,4126.01
6,78.76,4120.45
7,78.28,4119.26
8,78.68,4120.89
9,78.8,4122.01
10,78.77,4121.51
11,78.53,4123.57
12,78.54,4122.14
13,79.18,4122.14
14,79.11,4125.01
15,79.21,4125.51
16,79.06,4128.45
17,78.45,4128.7
18,78.95,4128.82
19,78.95,4128.45
20,78.37,4125.07
21,78.41,4119.57
22,78.88,4121.2
23,79.06,4117.2
24,78.44,4115.64
25,78.79,4120.57
26,78.79,4123.74
27,78.46,4126.76
28,78.92,4125.26
29,78.65,4122.45
30,78.6,4120.2
31,79.19,4119.76
32,78.78,4125.03
33,78.56,4126.26
34,78.69,4125.7
35,78.91,4125.01
36,78.88,4127.89
37,78.38,4127.89
38,78.5,4125.82
39,78.41,4123.01
40,79.45,4125.7
41,79.89,4125.7
42,78.59,4124.14
43,78.54,4123.7
44,78.74,4122.82
45,78.69,4120.76
46,78.62,4125.57
47,78.67,4125.89
48,78.61,4122.51
49,78.46,4123.7
50,78.71,4123.18
51,78.4,4120.14
52,78.88,4122.95
53,78.45,4121.7
54,78.51,4117.01
55,78.76,4118.76
56,78.63,4118.01
57,78.29,4120.76
58,78.38,4123.14
59,79.04,4123.01
60,78.82,4123.89
61,78.51,4122.14
62,78.67,4120.39
63,78.61,4120.32
64,78.79,4118.39
65,78.51,4117.7
66,78.02,4116.01
67,78.76,4116.2
68,78.87,4115.07
69,78.55,4117.7
70,78.95,4118.57
71,78.51,4116.14
72,78.52,4116.57
73,79.44,4117.14
74,79.19,4120.39
75,78.77,4120.14
76,78.8,4121.14
77,78.88,4125.2
78,78.83,4125.45
79,78.72,4123.26
80,78.99,4116.76
81,78.85,4119.51
82,78.82,4123.82
83,78.89,4123.81
84,78.4,4119.32
85,78.88,4120.7
86,78.34,4120.14
87,78.74,4121.32
88,78.45,4119.89
89,78.4,4119.89
90,78.61,4117.82
91,78.82,4117.45
92,78.55,4118.95
93,78.72,4116.82
94,78.73,4112.95
95,79.19,4111.14
96,78.95,4112.32
97,78.87,4116.51
98,78.79,4119.2
99,78.46,4120.7
100,79.38,4117.82
101,78.9,4118.7
102,78.94,4117.26
103,78.75,4114.39
104,78.81,4112.76
105,79.17,4112.95
106,78.96,4114.07
107,78.48,4114.14
108,78.49,4114.07
109,79.08,4115.76
110,78.93,4114.32
111,78.64,4116.7
112,78.58,4113.82
113,80.08,4111.2
114,81.15,4109.45
115,79.37,4111.64
116,79.22,4113.7
117,78.9,4118.95
118,78.98,4118.95
119,78.9,4119.51
120,78.69,4119.26
121,78.67,4122.26
122,78.88,4118.07
123,79.06,4117.76
124,79.29,4115.14
125,78.78,4112.7
126,78.9,4116.89
127,79.26,4117.45
128,79.53,4116.57
129,79.29,4115.45
130,79.0,4117.76
131,79.29,4119.39
132,78.35,4118.76
133,78.79,4121.45
134,78.89,4122.57
135,80.81,4124.57
136,79.0,4121.7
137,79.02,4120.2
138,79.68,4118.14
139,78.68,4122.26
140,78.89,4122.89
141,78.65,4115.76
142,78.55,4116.2
143,78.62,4116.01
144,78.84,4116.14
145,81.81,4118.14
146,80.5,4121.32
147,78.51,4122.7
148,78.83,4122.2
149,79.34,4121.01
150,78.96,4121.26
151,79.05,4123.39
152,78.71,4123.76
153,79.19,4122.01
154,78.53,4121.26
155,78.9,4119.51
156,78.69,4119.51
157,78.84,4120.95
158,79.17,4121.82
159,78.92,4124.57
160,78.69,4125.32
161,80.45,4125.07
162,80.69,4127.39
163,81.79,4122.64
164,80.71,4120.64
165,85.32,4126.01
166,83.92,4124.82
167,79.44,4123.01
168,80.03,4125.14
169,79.1,4125.45
170,79.18,4123.95
171,79.21,4125.32
172,78.76,4125.57
173,78.74,4122.45
174,78.98,4117.76
175,80.09,4113.45
176,80.42,4115.7
177,79.59,4116.07
178,78.89,4117.82
179,78.8,4116.07
180,79.05,4120.2
181,78.94,4118.39
182,79.0,4120.7
183,80.17,4118.39
184,82.95,4118.57
185,81.7,4119.45
186,82.31,4118.95
187,82.23,4120.32
188,80.89,4120.32
189,78.65,4115.95
190,79.1,4119.51
191,78.86,4120.95
192,79.61,4121.01
193,79.36,4120.51
194,78.81,4119.76
195,79.12,4120.51
196,79.29,4118.45
197,79.72,4121.95
198,79.23,4123.39
199,79.29,4119.57
