epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,27.68,24.74,22.41,16.67,22.875,4.664922293029113
1,13.84,17.89,13.79,13.33,14.712499999999999,2.130733441798857
2,23.66,28.95,37.93,33.33,30.967499999999998,6.097203593998372
3,19.2,17.89,24.14,36.67,24.475,8.563840649303716
4,26.79,33.16,17.24,23.33,25.13,6.651531152048125
5,22.32,27.37,17.24,36.67,25.9,8.285847371673382
6,31.7,37.37,18.97,30.0,29.509999999999998,7.700809481260179
7,38.84,46.32,15.52,36.67,34.3375,13.208478022341055
8,45.09,51.58,31.03,40.0,41.925,8.672617828545196
9,45.98,53.16,34.48,26.67,40.07249999999999,11.79101741439926
10,45.09,43.16,25.86,33.33,36.86,8.960725417063063
11,45.09,50.0,39.66,43.33,44.519999999999996,4.296936893493629
12,42.41,49.47,31.03,36.67,39.894999999999996,7.895034304337546
13,45.09,56.84,36.21,30.0,42.035000000000004,11.651793853308599
14,51.79,61.58,27.59,36.67,44.4075,15.18873787822192
15,51.79,64.21,34.48,40.0,47.62,13.207838581690797
16,49.11,61.58,37.93,40.0,47.155,10.773382322495877
17,49.11,57.37,32.76,40.0,44.809999999999995,10.717309985874875
18,51.79,68.95,36.21,50.0,51.737500000000004,13.421314826300241
19,55.36,67.37,32.76,60.0,53.8725,14.91843462521007
20,54.02,63.68,31.03,36.67,46.35000000000001,15.138940958116368
21,54.02,68.95,39.66,40.0,50.6575,13.909819972475082
22,56.25,58.95,46.55,53.33,53.769999999999996,5.332441592116445
23,53.12,57.89,32.76,43.33,46.77499999999999,11.136883166607554
24,55.8,61.05,34.48,53.33,51.16499999999999,11.579765397738706
25,56.25,69.47,34.48,40.0,50.05,15.906013537862549
26,55.8,71.05,32.76,50.0,52.402499999999996,15.820578107852654
27,55.36,65.79,36.21,46.67,51.00750000000001,12.586321609853561
28,54.91,66.32,36.21,40.0,49.36,13.892158459601106
29,54.02,64.74,39.66,53.33,52.9375,10.278081451970174
30,55.8,61.58,37.93,50.0,51.3275,10.105646523932382
31,53.12,63.68,39.66,60.0,54.114999999999995,10.5839422397013
32,53.57,62.11,37.93,50.0,50.9025,10.030351854911837
33,50.89,64.21,39.66,53.33,52.022499999999994,10.072382621141168
34,52.23,58.95,39.66,63.33,53.542500000000004,10.319603916817739
35,52.68,64.74,41.38,60.0,54.699999999999996,10.171764841953433
36,55.8,65.79,37.93,60.0,54.88,12.019309464357761
37,53.57,58.42,39.66,50.0,50.4125,7.955632700588099
38,54.91,62.63,48.28,56.67,55.6225,5.905428999375632
39,54.91,60.0,39.66,56.67,52.81,9.017172505835742
40,55.36,60.0,43.1,53.33,52.947500000000005,7.133897368666489
41,57.59,67.37,43.1,50.0,54.515,10.414638735933188
42,55.8,66.32,44.83,46.67,53.405,9.856031993995687
43,55.8,67.37,48.28,53.33,56.19499999999999,8.08067860186672
44,56.7,64.74,37.93,53.33,53.175,11.234009376294228
45,59.82,65.79,44.83,56.67,56.7775,8.817336616008264
46,58.93,68.95,44.83,56.67,57.345,9.90402443454175
47,56.25,63.16,51.72,53.33,56.114999999999995,5.057090731504297
48,59.82,68.42,46.55,53.33,57.03,9.328033018809487
49,61.16,66.32,44.83,46.67,54.745000000000005,10.624589403831093
50,58.04,67.37,44.83,56.67,56.727500000000006,9.247328893613913
51,56.25,67.37,46.55,50.0,55.042500000000004,9.146487030548945
52,59.38,66.84,46.55,53.33,56.52499999999999,8.6459797979562
