epoch,local_time_s,peak_vram_mb
0,68.47,4886.93
1,80.08,4964.19
2,80.14,4964.44
3,80.3,4962.62
4,81.22,4962.94
5,81.4,4958.87
6,79.57,4963.56
7,78.96,4964.12
8,79.14,4960.56
9,79.22,4958.81
10,78.78,4958.61
11,78.97,4958.19
12,78.98,4953.87
13,79.56,4957.0
14,79.27,4954.94
15,79.56,4955.25
16,79.53,4959.81
17,79.04,4960.0
18,79.34,4957.94
19,78.94,4960.19
20,78.88,4959.31
21,78.9,4957.06
22,78.76,4958.12
23,78.94,4959.25
24,78.65,4956.81
25,81.58,4960.44
26,79.22,4962.69
27,78.8,4963.56
28,78.94,4961.25
29,78.85,4960.12
30,78.99,4960.06
31,79.21,4960.0
32,79.16,4960.12
33,78.92,4960.19
34,79.49,4961.06
35,80.61,4958.44
36,81.32,4960.44
37,78.9,4963.56
38,78.84,4962.19
39,79.35,4960.51
40,79.21,4957.25
41,78.51,4957.69
42,78.87,4959.81
43,78.88,4957.69
44,79.02,4957.62
45,78.78,4959.0
46,78.54,4955.81
47,79.28,4957.0
48,79.09,4958.75
49,79.5,4956.94
50,79.71,4956.81
51,79.66,4959.56
52,79.45,4961.0
53,79.0,4958.94
54,79.18,4953.12
55,79.2,4957.06
56,79.38,4954.19
57,78.91,4952.25
58,79.0,4949.81
59,79.09,4949.56
60,79.59,4958.62
61,79.13,4956.94
62,78.93,4952.0
63,78.99,4955.87
64,78.78,4960.37
65,78.78,4961.06
66,79.05,4957.5
67,78.83,4957.0
68,79.11,4953.5
69,79.03,4957.87
70,79.34,4961.87
71,79.12,4960.37
72,79.05,4957.81
73,79.08,4951.06
74,79.83,4948.62
75,79.36,4950.75
76,78.98,4955.19
77,79.42,4958.69
78,79.12,4957.37
79,78.99,4960.44
80,78.93,4958.12
81,79.11,4952.87
82,78.96,4950.81
83,78.96,4954.12
84,78.9,4956.37
85,78.85,4962.25
86,79.09,4961.69
87,79.66,4961.81
88,79.19,4960.31
89,78.66,4961.06
90,79.01,4963.73
91,79.14,4960.06
92,79.31,4957.87
93,81.08,4957.81
94,79.54,4958.12
95,80.1,4960.37
96,79.1,4954.75
97,79.2,4961.0
98,79.11,4959.56
99,79.21,4958.12
100,79.39,4957.81
101,79.1,4955.06
102,79.31,4954.31
103,79.28,4954.62
104,79.41,4957.19
105,79.16,4958.06
106,79.3,4953.12
107,78.73,4957.06
108,78.73,4958.31
109,79.14,4958.51
110,79.21,4958.45
111,79.15,4959.25
112,79.1,4958.44
113,78.98,4960.44
114,79.25,4954.94
115,79.55,4958.44
116,79.32,4950.81
117,78.97,4951.12
118,78.87,4950.81
119,79.16,4951.56
120,78.95,4957.69
121,78.87,4958.14
122,79.09,4960.06
123,79.05,4961.37
124,79.99,4960.44
125,85.34,4959.19
126,82.5,4956.31
127,82.4,4958.31
128,82.61,4958.94
129,82.63,4959.19
130,82.46,4959.19
131,82.69,4962.19
132,82.54,4961.31
133,82.78,4962.12
134,82.54,4963.37
135,82.55,4963.86
136,82.13,4957.69
137,79.43,4960.37
138,79.46,4957.19
139,79.11,4955.5
140,79.47,4949.19
141,79.05,4949.44
142,78.78,4948.19
143,78.97,4949.81
144,79.19,4949.44
145,79.24,4953.31
146,79.54,4956.19
147,78.66,4957.87
148,79.96,4954.69
149,79.31,4955.87
150,79.56,4959.69
151,79.15,4956.44
152,78.74,4956.75
153,79.17,4955.87
154,78.88,4956.19
155,79.1,4955.12
156,79.09,4957.81
157,78.69,4959.06
158,79.3,4960.75
159,78.98,4959.31
160,78.83,4949.75
161,79.46,4950.0
162,78.91,4953.56
163,79.35,4951.56
164,78.94,4952.69
165,79.53,4956.19
166,78.69,4956.19
167,79.11,4959.06
168,79.4,4956.06
169,79.45,4957.81
170,79.0,4949.11
171,79.19,4953.19
172,79.13,4958.31
173,78.86,4958.69
174,79.27,4954.5
175,79.17,4957.81
176,79.41,4959.5
177,79.95,4955.87
178,78.94,4957.94
179,78.58,4959.5
180,79.12,4958.62
181,78.7,4960.25
182,79.11,4963.31
183,78.93,4962.12
184,79.64,4963.31
185,78.77,4963.0
186,79.43,4963.19
187,79.04,4961.5
188,79.03,4960.31
189,79.08,4957.31
190,79.39,4958.44
191,78.74,4961.0
192,79.03,4958.14
193,78.86,4959.19
194,78.87,4959.81
195,78.7,4958.69
196,79.24,4960.0
197,78.98,4962.75
198,79.49,4962.12
199,79.15,4959.44
