epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,16.96,18.42,17.24,16.67,17.3225,0.7677836066670525
1,15.18,10.53,20.69,13.33,14.932500000000001,4.287970576702535
2,21.43,22.63,37.93,30.0,27.997500000000002,7.6290382749072645
3,17.86,17.89,37.93,26.67,25.087500000000002,9.512708604808623
4,32.14,31.05,34.48,40.0,34.4175,3.987282909450996
5,30.36,33.68,41.38,36.67,35.522499999999994,4.678791688744721
6,27.68,27.89,41.38,33.33,32.57,6.429313078911828
7,32.14,32.63,37.93,36.67,34.8425,2.8908519505502173
8,33.48,26.84,41.38,33.33,33.75749999999999,5.950184170819142
9,34.82,32.11,39.66,36.67,35.815,3.174486835169845
10,37.05,37.37,39.66,43.33,39.35249999999999,2.8952187597255357
11,32.59,26.84,34.48,33.33,31.81,3.403361083791531
12,36.16,43.68,39.66,40.0,39.875,3.0736026635421405
13,33.04,34.21,43.1,50.0,40.0875,7.99051677511119
14,38.84,35.26,44.83,40.0,39.7325,3.952040612139506
15,38.39,28.95,48.28,30.0,36.405,8.97323613122193
16,29.02,27.37,48.28,53.33,39.5,13.232845498984712
17,39.73,32.63,43.1,33.33,37.197500000000005,5.068618319292415
18,38.84,43.16,48.28,43.33,43.4025,3.8587767923700027
19,46.88,46.32,39.66,50.0,45.715,4.349233648970052
20,38.39,41.05,51.72,36.67,41.957499999999996,6.753139393398203
21,45.54,48.95,39.66,40.0,43.5375,4.50385298013453
22,38.39,36.84,39.66,36.67,37.89,1.411122484643576
23,42.86,41.05,37.93,50.0,42.96,5.116007557982429
24,44.64,55.79,44.83,53.33,49.647499999999994,5.7612057476422995
25,42.86,40.0,36.21,43.33,40.599999999999994,3.2758001567047184
26,45.54,48.95,43.1,40.0,44.3975,3.7882306775943135
27,41.96,33.16,36.21,30.0,35.3325,5.094083987005581
28,50.0,53.16,37.93,50.0,47.7725,6.728632228519156
29,37.95,35.79,41.38,40.0,38.78,2.441133616444077
30,47.77,50.0,43.1,50.0,47.7175,3.252879493617923
31,44.2,54.21,46.55,40.0,46.239999999999995,5.964232278061165
32,38.39,39.47,37.93,36.67,38.114999999999995,1.1595832584740653
33,46.43,47.37,34.48,46.67,43.7375,6.184536495701734
34,50.0,52.11,43.1,46.67,47.97,3.9440841776006748
35,48.66,47.37,36.21,46.67,44.727500000000006,5.737841493105224
36,48.66,59.47,44.83,50.0,50.739999999999995,6.218654731263561
37,47.77,47.89,39.66,43.33,44.662499999999994,3.9527996407609653
38,41.96,46.32,43.1,43.33,43.677499999999995,1.8607234256242022
39,48.66,46.32,32.76,46.67,43.60249999999999,7.301426230538799
40,45.54,46.84,37.93,66.67,49.245000000000005,12.26337229313373
41,49.11,60.0,36.21,50.0,48.83,9.755008969754973
42,49.11,49.47,36.21,50.0,46.1975,6.668359993281706
43,48.21,54.74,41.38,56.67,50.25,6.9333733973201435
44,48.21,50.0,39.66,53.33,47.8,5.826622806852469
45,52.23,53.16,32.76,50.0,47.037499999999994,9.610245834524735
46,49.11,52.63,41.38,46.67,47.447500000000005,4.727271059148889
47,48.66,45.79,37.93,53.33,46.427499999999995,6.461229888083743
48,50.45,62.63,44.83,53.33,52.81,7.437580251667878
49,49.11,56.84,36.21,56.67,49.707499999999996,9.693442371005258
50,55.36,60.53,37.93,63.33,54.287499999999994,11.393765473567843
51,52.23,57.89,44.83,60.0,53.7375,6.784253213631304
52,50.45,53.16,41.38,63.33,52.08,9.034670257771815
53,49.55,55.26,43.1,50.0,49.4775,4.979560723598015
54,49.11,50.0,46.55,63.33,52.2475,7.531676993428046
55,51.34,50.53,37.93,63.33,50.7825,10.376272211155603
56,39.73,50.0,46.55,66.67,50.7375,11.44681433121606
57,50.89,53.16,41.38,66.67,53.025000000000006,10.430220515406182
58,39.29,37.89,43.1,70.0,47.57,15.114525022860184
59,53.12,54.74,43.1,50.0,50.24,5.150456290465923
60,46.88,51.05,39.66,66.67,51.065,11.417888012529582
61,52.23,50.53,48.28,63.33,53.5925,6.690213623893733
62,53.12,52.63,43.1,66.67,53.879999999999995,9.694201015727563
63,54.46,55.26,46.55,63.33,54.89999999999999,6.858342851350221
64,52.23,58.95,36.21,63.33,52.68000000000001,11.891156377745606
65,51.79,54.74,44.83,66.67,54.50750000000001,9.11078619000578
66,48.66,55.79,39.66,50.0,48.527499999999996,6.672387753520725
67,52.23,62.63,44.83,56.67,54.09,7.501004377192877
68,50.89,50.53,50.0,56.67,52.02250000000001,3.1198223774225786
69,50.89,52.11,39.66,70.0,53.165,12.544466243461033
70,50.89,54.21,44.83,56.67,51.650000000000006,5.12653229126018
71,49.55,50.53,46.55,60.0,51.6575,5.813681421153612
72,54.46,52.63,36.21,60.0,50.825,10.234746373669127
73,32.14,31.05,43.1,60.0,41.5725,13.43628265803703
74,49.11,51.58,43.1,56.67,50.114999999999995,5.637212668213491
75,49.11,56.84,44.83,70.0,55.195,11.05070887620639
76,53.57,57.37,46.55,63.33,55.205,7.030531037316219
77,53.57,51.58,41.38,66.67,53.3,10.39029354734504
78,46.43,52.11,48.28,63.33,52.537499999999994,7.573829392498002
79,51.34,55.26,31.03,66.67,51.075,14.861477046377322
80,35.27,35.26,48.28,56.67,43.870000000000005,10.509998414208571
81,46.88,51.05,44.83,63.33,51.522499999999994,8.286186798924259
82,56.25,62.11,48.28,56.67,55.8275,5.695696474824946
83,54.91,67.89,31.03,53.33,51.78999999999999,15.300257078450239
84,51.79,49.47,48.28,60.0,52.385,5.281745292356811
85,54.02,66.32,32.76,60.0,53.275,14.569579037615785
86,54.02,56.32,55.17,60.0,56.3775,2.591117841138581
87,45.54,46.84,48.28,63.33,50.9975,8.297479034823366
88,51.34,60.0,51.72,60.0,55.765,4.892616886697751
89,57.14,65.79,41.38,70.0,58.5775,12.653248265432346
90,56.7,58.95,41.38,56.67,53.425,8.100685156207467
91,50.89,64.21,50.0,56.67,55.442499999999995,6.550365765868852
92,58.48,64.74,37.93,66.67,56.955,13.156287470255428
93,54.91,63.16,41.38,66.67,56.53,11.238674299044348
94,51.79,52.11,46.55,73.33,55.94499999999999,11.866977992170822
95,49.55,51.58,58.62,66.67,56.605000000000004,7.754312778490863
96,47.77,53.68,41.38,66.67,52.375,10.772590217770283
97,52.68,51.05,36.21,50.0,47.485,7.597106905482725
98,45.98,47.37,58.62,60.0,52.9925,7.338516539464908
99,54.46,62.11,37.93,60.0,53.625,10.949369844881486
100,50.0,52.63,56.9,50.0,52.3825,3.2568735007672616
101,50.45,51.05,46.55,56.67,51.18000000000001,4.168404970729213
102,56.7,62.63,41.38,63.33,56.010000000000005,10.196728233441679
103,51.34,60.0,56.9,56.67,56.227500000000006,3.59478673451801
104,55.8,54.21,48.28,56.67,53.739999999999995,3.7798148102784075
105,50.0,57.37,53.45,60.0,55.205,4.391328576486467
106,57.59,56.84,46.55,60.0,55.245000000000005,5.951361188837393
107,51.79,52.63,43.1,53.33,50.212500000000006,4.783279035696467
108,50.0,50.0,53.45,56.67,52.53,3.2035293037523482
109,52.68,56.84,37.93,60.0,51.862500000000004,9.76007641705057
110,54.02,60.53,58.62,53.33,56.625,3.5058094643035003
111,52.68,70.0,41.38,56.67,55.182500000000005,11.811611165854272
112,53.12,62.11,44.83,60.0,55.015,7.799882477747127
113,49.11,57.37,50.0,63.33,54.9525,6.7004695109123995
114,59.38,60.53,51.72,60.0,57.9075,4.151685400733861
115,50.89,65.79,56.9,56.67,57.5625,6.14951149821404
116,47.32,60.53,41.38,53.33,50.64,8.201995692106484
117,56.7,70.53,56.9,70.0,63.5325,7.777460489559987
118,50.0,53.16,41.38,60.0,51.135,7.7273777354718876
119,53.57,64.74,44.83,56.67,54.9525,8.228431908126034
120,51.34,64.21,50.0,50.0,53.8875,6.910597538081152
121,54.46,52.63,37.93,53.33,49.587500000000006,7.808151189622291
122,55.8,66.84,48.28,60.0,57.730000000000004,7.771151780785138
123,48.21,49.47,44.83,56.67,49.795,4.98446586907765
124,54.02,62.63,50.0,63.33,57.495000000000005,6.548946480159995
125,54.46,61.05,37.93,60.0,53.36,10.685201604711693
126,54.46,57.37,48.28,60.0,55.0275,5.035337625224349
127,55.8,67.37,48.28,63.33,58.69499999999999,8.437853202483835
128,57.59,65.79,58.62,63.33,61.332499999999996,3.882579683663944
129,54.02,55.26,34.48,53.33,49.272499999999994,9.893942170169922
130,51.34,60.0,67.24,53.33,57.97749999999999,7.200464684078843
131,54.46,63.68,39.66,63.33,55.2825,11.2549141119187
132,51.34,51.58,39.66,60.0,50.644999999999996,8.35750162030097
133,56.25,57.37,44.83,53.33,52.94499999999999,5.671716377488094
134,37.95,35.79,50.0,60.0,45.935,11.269866902497117
135,58.04,65.26,44.83,60.0,57.0325,8.687421462474738
136,51.79,58.95,60.34,60.0,57.77,4.0303267030519185
137,47.77,64.21,48.28,56.67,54.2325,7.803590519754349
