epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,16.96,18.42,17.24,16.67,17.3225,0.7677836066670525
1,15.18,10.53,20.69,13.33,14.932500000000001,4.287970576702535
2,22.32,21.05,36.21,30.0,27.395000000000003,7.082958421450743
3,17.41,17.89,36.21,33.33,26.209999999999997,9.955849202018547
4,30.36,25.26,34.48,36.67,31.6925,5.023221907633917
5,32.59,25.26,37.93,40.0,33.945,6.577955609458002
6,28.57,27.37,41.38,33.33,32.662499999999994,6.35608566650891
7,32.14,32.11,39.66,33.33,34.31,3.6116385939533484
8,36.16,28.42,39.66,40.0,36.06,5.380929287771767
9,34.82,26.32,37.93,33.33,33.099999999999994,4.909467045073901
10,35.27,36.32,39.66,43.33,38.644999999999996,3.641231476666466
11,33.04,26.84,37.93,33.33,32.785,4.552512127020274
12,33.93,40.53,37.93,40.0,38.097500000000004,2.9962573876977485
13,32.59,31.05,51.72,36.67,38.0075,9.444181189141455
14,33.93,35.26,43.1,36.67,37.239999999999995,4.063701104494113
15,36.61,33.68,50.0,30.0,37.5725,8.71518741431684
16,37.95,46.84,44.83,50.0,44.905,5.101663127517012
17,38.39,32.11,44.83,43.33,39.665,5.739137565871721
18,40.62,49.47,41.38,46.67,44.535,4.250243130300508
19,43.3,37.37,36.21,46.67,40.8875,4.950059763948984
20,34.82,34.74,53.45,40.0,40.7525,8.815468885241822
21,44.2,53.16,36.21,40.0,43.3925,7.2836226105787025
22,36.16,27.89,43.1,33.33,35.120000000000005,6.330850390482046
23,42.86,45.26,34.48,46.67,42.317499999999995,5.456594634018549
24,46.43,48.42,43.1,43.33,45.31999999999999,2.5645402446962438
25,36.61,30.53,39.66,43.33,37.5325,5.416741794350793
26,42.86,47.37,43.1,40.0,43.332499999999996,3.0377774221734315
27,37.5,33.16,44.83,30.0,36.3725,6.422083644218077
28,44.64,54.21,34.48,40.0,43.332499999999996,8.356671486503066
29,38.84,33.16,44.83,46.67,40.875,6.134234535240183
30,49.55,57.37,43.1,50.0,50.004999999999995,5.8346465188561325
31,40.62,54.21,41.38,36.67,43.22,7.612012436493607
32,40.18,40.53,36.21,43.33,40.0625,2.9297710376978823
33,49.11,50.0,34.48,50.0,45.8975,7.623220557393488
34,43.75,43.68,41.38,50.0,44.7025,3.699336652248165
35,47.32,40.53,36.21,46.67,42.682500000000005,5.289394262736204
36,44.64,51.58,44.83,53.33,48.595,4.51470560132847
37,45.98,48.42,44.83,40.0,44.807500000000005,3.537300053242115
38,47.32,53.68,46.55,40.0,46.8875,5.593945387649043
39,50.89,55.26,39.66,46.67,48.120000000000005,6.641450644751242
40,45.54,43.16,37.93,63.33,47.489999999999995,11.028003748034667
41,48.66,58.95,39.66,46.67,48.485,7.973324275357176
42,42.86,42.11,34.48,43.33,40.69499999999999,4.173683425145389
43,45.54,56.32,37.93,60.0,49.9475,10.091380397811458
44,51.34,48.42,39.66,60.0,49.855000000000004,8.388951066730574
45,53.12,56.84,32.76,50.0,48.18,10.653450145375443
46,48.66,53.16,41.38,50.0,48.3,4.984161581115388
47,49.55,50.53,48.28,60.0,52.09,5.3531735135960865
48,46.88,58.95,39.66,56.67,50.540000000000006,8.945669343319148
49,50.89,51.05,37.93,53.33,48.3,7.002580476748077
50,45.09,43.68,48.28,53.33,47.595,4.280253107780736
51,53.12,60.53,37.93,63.33,53.727500000000006,11.378518869636181
52,50.45,51.05,46.55,66.67,53.68000000000001,8.886821704073961
53,48.21,60.0,41.38,56.67,51.565,8.410321040245728
54,55.8,56.84,39.66,60.0,53.075,9.119917762787122
55,50.45,48.42,41.38,56.67,49.230000000000004,6.301338482153349
56,54.46,60.53,50.0,56.67,55.415000000000006,4.3959261443598745
57,54.91,61.05,41.38,66.67,56.0025,10.86713508704111
58,38.39,30.0,34.48,66.67,42.385000000000005,16.548902279808978
59,52.23,59.47,46.55,63.33,55.394999999999996,7.479329292568063
60,55.36,54.21,34.48,66.67,52.67999999999999,13.372651195630583
61,46.43,46.84,48.28,63.33,51.22,8.112217123984456
62,54.46,50.53,37.93,60.0,50.730000000000004,9.375958617656117
63,54.02,55.26,39.66,60.0,52.235,8.770456088482517
64,52.68,59.47,43.1,60.0,53.8125,7.881046356079036
65,47.32,46.84,50.0,60.0,51.04,6.133014484465748
66,49.55,58.42,41.38,50.0,49.8375,6.959350424668479
67,51.79,58.95,39.66,63.33,53.432500000000005,10.340581463341413
68,46.88,51.58,46.55,53.33,49.584999999999994,3.392801202546355
69,50.45,51.58,43.1,66.67,52.95,9.889182642328603
70,50.89,60.0,37.93,60.0,52.205,10.440767851711547
71,58.48,62.11,48.28,63.33,58.05,6.831295631137624
72,52.23,53.68,36.21,63.33,51.3625,11.238960138731695
73,40.62,44.21,44.83,53.33,45.7475,5.384894768393034
74,47.77,44.74,41.38,60.0,48.472500000000004,8.116072017916055
75,50.45,61.05,43.1,60.0,53.65,8.497548666135033
76,55.36,64.21,39.66,70.0,57.3075,13.215786961055327
77,45.54,43.68,43.1,60.0,48.08,8.0145367926038
78,55.36,63.16,46.55,60.0,56.2675,7.227066601787109
79,55.8,63.16,39.66,63.33,55.4875,11.120243927180734
80,50.89,59.47,62.07,66.67,59.775000000000006,6.629336316706222
81,37.95,32.11,44.83,56.67,42.89,10.555630409091318
82,55.8,61.05,50.0,53.33,55.045,4.655580880334196
83,52.68,63.16,39.66,63.33,54.707499999999996,11.200152900742026
84,55.8,58.95,55.17,60.0,57.480000000000004,2.3572441536675837
85,55.8,60.53,41.38,63.33,55.260000000000005,9.761212356396443
86,51.79,57.89,48.28,56.67,53.6575,4.449504654078549
87,49.11,50.53,50.0,60.0,52.41,5.0938066970259746
88,50.89,56.84,44.83,63.33,53.9725,7.934575708043037
89,55.8,60.53,53.45,56.67,56.6125,2.9445811813114156
90,55.36,54.74,37.93,60.0,52.0075,9.674052494516797
91,47.32,54.21,50.0,56.67,52.05,4.186701167586083
92,53.57,63.16,44.83,66.67,57.057500000000005,9.854188195889098
93,54.02,72.11,39.66,63.33,57.28,13.875919188772086
94,50.45,51.58,41.38,70.0,53.3525,12.000642691122836
95,54.46,60.53,46.55,60.0,55.385000000000005,6.498258741129556
96,51.34,56.84,46.55,63.33,54.515,7.22568797185892
97,52.23,62.63,32.76,53.33,50.2375,12.550838949382364
98,57.14,58.42,46.55,60.0,55.5275,6.098236767022636
99,51.79,58.42,48.28,63.33,55.455,6.726061254553069
100,49.55,51.58,56.9,53.33,52.84,3.1163761005372894
101,54.91,52.63,48.28,60.0,53.955,4.87904703810078
102,56.7,64.74,44.83,66.67,58.235,9.924960117468148
103,53.12,62.11,50.0,53.33,54.64,5.207590613709953
104,54.02,58.42,41.38,60.0,53.455,8.438267989739758
105,46.88,48.95,56.9,60.0,53.182500000000005,6.269866426009408
106,49.55,54.21,37.93,63.33,51.254999999999995,10.567249721032747
107,53.12,55.79,44.83,60.0,53.435,6.397668846280392
108,55.8,56.84,55.17,60.0,56.9525,2.145186472081157
109,53.12,58.42,39.66,70.0,55.3,12.58552607826414
110,57.14,62.11,65.52,60.0,61.192499999999995,3.5314716007164284
111,54.46,62.11,48.28,60.0,56.2125,6.194661007674269
112,50.45,60.53,43.1,53.33,51.852500000000006,7.212379981670405
113,42.41,48.95,41.38,63.33,49.0175,10.113401587332852
114,55.36,63.16,44.83,60.0,55.8375,8.00704845745297
115,46.88,65.79,56.9,53.33,55.72500000000001,7.887857757338176
116,46.43,58.95,34.48,50.0,47.464999999999996,10.132668289580328
117,52.68,60.0,50.0,60.0,55.67,5.118163733215264
118,52.68,54.21,41.38,63.33,52.900000000000006,9.004809825865285
119,55.36,60.0,44.83,60.0,55.0475,7.154240583970695
120,49.55,56.84,55.17,53.33,53.7225,3.129317018136708
121,54.91,61.58,44.83,53.33,53.662499999999994,6.888799484186873
122,56.7,67.37,53.45,66.67,61.0475,7.028733290335227
123,50.45,46.32,43.1,56.67,49.135000000000005,5.855222739856558
124,44.2,45.26,55.17,60.0,51.1575,7.691494761531511
125,56.7,63.16,29.31,66.67,53.959999999999994,16.944165170740437
126,54.46,65.26,56.9,60.0,59.155,4.658794550811045
127,58.04,67.89,46.55,56.67,57.28750000000001,8.730301159372072
128,53.57,59.47,56.9,66.67,59.1525,5.563322598351936
129,57.59,61.05,39.66,60.0,54.575,10.048278459517332
130,46.43,48.42,53.45,56.67,51.24250000000001,4.671098193501539
131,56.25,66.84,44.83,63.33,57.8125,9.711252493885638
132,51.79,53.68,44.83,60.0,52.575,6.243740865859185
133,49.11,61.58,48.28,56.67,53.91,6.355664140486551
134,48.66,43.16,56.9,56.67,51.3475,6.668759879717769
135,50.45,60.53,44.83,56.67,53.120000000000005,6.912876873391185
136,53.57,65.79,56.9,66.67,60.7325,6.501837560772085
137,49.55,58.95,43.1,46.67,49.567499999999995,6.7886099460788
