epoch,local_time_s,peak_vram_mb
0,70.78,4886.93
1,83.71,4964.19
2,83.56,4964.44
3,83.48,4962.62
4,83.97,4962.94
5,83.6,4958.87
6,83.8,4963.56
7,83.51,4964.12
8,84.01,4960.56
9,83.55,4958.81
10,83.52,4958.61
11,83.64,4958.19
12,83.2,4953.87
13,83.8,4957.0
14,83.58,4954.94
15,83.88,4955.25
16,84.19,4959.81
17,83.62,4960.0
18,84.01,4957.94
19,83.99,4960.19
20,83.84,4959.31
21,83.7,4957.06
22,83.7,4958.12
23,83.91,4959.25
24,83.2,4956.81
25,83.73,4960.44
26,83.98,4962.69
27,83.55,4963.56
28,83.26,4961.25
29,84.07,4960.12
30,84.04,4960.06
31,84.07,4960.0
32,83.72,4960.12
33,83.59,4960.19
34,83.98,4961.06
35,83.91,4958.44
36,83.52,4960.44
37,83.6,4963.56
38,83.62,4962.19
39,83.8,4960.52
40,84.21,4957.25
41,83.86,4957.69
42,83.65,4959.81
43,83.44,4957.69
44,84.13,4957.62
45,83.78,4959.0
46,83.46,4955.81
47,83.7,4957.0
48,83.79,4958.75
49,83.74,4956.94
50,83.48,4956.81
51,83.24,4959.56
52,83.66,4961.0
53,83.67,4958.94
54,83.63,4953.12
55,83.42,4957.06
56,83.47,4954.19
57,83.63,4952.25
58,83.49,4949.81
59,83.96,4949.56
60,83.71,4958.62
61,83.63,4956.94
62,83.92,4952.0
63,83.75,4955.87
64,83.2,4960.37
65,83.56,4961.06
66,83.75,4957.5
67,84.1,4957.0
68,83.63,4953.5
69,83.37,4957.87
70,83.87,4961.87
71,83.42,4960.37
72,83.68,4957.81
73,83.47,4951.06
74,84.2,4948.62
75,84.02,4950.75
76,83.82,4955.19
77,84.22,4958.69
78,83.44,4957.37
79,83.82,4960.44
80,83.77,4958.12
81,84.23,4952.87
82,83.68,4950.81
83,83.76,4954.12
84,83.12,4956.37
85,83.86,4962.25
86,83.35,4961.69
87,84.01,4961.81
88,83.74,4960.31
89,83.67,4961.06
90,83.84,4963.73
91,83.97,4960.06
92,83.66,4957.87
93,83.72,4957.81
94,83.78,4958.12
95,84.28,4960.37
96,83.51,4954.75
97,83.58,4961.0
98,83.74,4959.56
99,83.81,4958.12
100,84.09,4957.81
101,83.94,4955.06
102,83.67,4954.31
103,83.96,4954.62
104,83.69,4957.19
105,83.85,4958.06
106,83.4,4953.12
107,83.3,4957.06
108,83.56,4958.31
109,83.85,4958.52
110,83.63,4958.45
111,83.71,4959.25
112,83.67,4958.44
113,84.17,4960.44
114,83.91,4954.94
115,83.8,4958.44
116,84.29,4950.81
117,83.72,4951.12
118,83.53,4950.81
119,83.58,4951.56
120,83.83,4957.69
121,83.56,4958.14
122,83.69,4960.06
123,83.79,4961.37
124,83.71,4960.44
125,83.15,4959.19
126,83.58,4956.31
127,83.9,4958.31
128,83.43,4958.94
129,83.93,4959.19
130,83.29,4959.19
131,84.08,4962.19
132,83.44,4961.31
133,83.53,4962.12
134,83.48,4963.37
135,83.5,4963.86
136,83.58,4957.69
137,83.35,4960.37
138,83.82,4957.19
139,83.71,4955.5
140,83.89,4949.19
141,83.6,4949.44
142,83.28,4948.19
143,83.41,4949.81
144,83.85,4949.44
145,83.65,4953.31
146,83.86,4956.19
147,83.64,4957.87
148,83.45,4954.69
149,84.11,4955.87
150,83.82,4959.69
151,83.88,4956.44
152,83.36,4956.75
153,83.68,4955.87
154,83.76,4956.19
155,84.01,4955.12
156,83.22,4957.81
157,83.66,4959.06
158,83.94,4960.75
159,83.8,4959.31
160,83.02,4949.75
161,83.83,4950.0
162,83.92,4953.56
163,83.95,4951.56
164,83.19,4952.69
165,83.73,4956.19
166,83.29,4956.19
167,84.11,4959.06
168,83.52,4956.06
169,83.6,4957.81
170,83.54,4949.11
171,83.8,4953.19
172,83.73,4958.31
173,83.73,4958.69
174,83.72,4954.5
175,83.96,4957.81
176,83.68,4959.5
177,83.9,4955.87
178,83.51,4957.94
179,83.2,4959.5
180,83.41,4958.62
181,83.54,4960.25
182,83.66,4963.31
183,83.54,4962.12
184,83.71,4963.31
185,83.63,4963.0
186,83.62,4963.19
187,83.69,4961.5
188,83.88,4960.31
189,83.85,4957.31
190,83.86,4958.44
191,83.33,4961.0
192,83.49,4958.14
193,83.42,4959.19
194,83.54,4959.81
195,83.43,4958.69
196,83.43,4960.0
197,83.55,4962.75
198,84.02,4962.12
199,84.05,4959.44
