epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,16.52,15.79,13.79,13.33,14.8575,1.5390771044146334
1,19.2,18.95,32.76,30.0,25.2275,7.193818527041115
2,20.98,11.05,39.66,33.33,26.255,12.764107228213545
3,22.77,13.68,43.1,36.67,29.055000000000003,13.305914724913379
4,20.98,15.26,37.93,36.67,27.71,11.32880399689217
5,22.32,17.89,43.1,46.67,32.495000000000005,14.494059702742593
6,27.23,33.68,41.38,36.67,34.739999999999995,5.925599828990593
7,31.7,33.68,27.59,40.0,33.2425,5.169954061691457
8,24.11,30.0,39.66,43.33,34.275,8.80518975756154
9,36.16,41.58,34.48,43.33,38.8875,4.236770586189439
10,31.25,34.74,39.66,43.33,37.245000000000005,5.32523864879938
11,39.29,44.74,41.38,53.33,44.685,6.185146185284008
12,41.96,46.84,46.55,50.0,46.337500000000006,3.3102907727267703
13,36.61,38.95,39.66,46.67,40.4725,4.332284809043223
14,43.3,44.21,43.1,46.67,44.31999999999999,1.6394511276643788
15,43.75,38.95,41.38,50.0,43.52,4.7436905463995
16,45.54,51.58,44.83,53.33,48.81999999999999,4.267559802353878
17,47.77,61.58,41.38,46.67,49.349999999999994,8.617281087056016
18,42.86,46.84,50.0,46.67,46.5925,2.921750331564968
19,45.98,52.11,55.17,50.0,50.815,3.8593825067403396
20,50.45,59.47,58.62,56.67,56.302499999999995,4.073928284428513
21,29.46,32.11,44.83,40.0,36.6,7.081256950570286
22,46.43,48.95,46.55,43.33,46.315,2.3037577997697603
23,48.66,55.79,46.55,53.33,51.082499999999996,4.227839282659644
24,51.34,60.0,43.1,53.33,51.942499999999995,6.961831057032816
25,50.45,54.74,44.83,43.33,48.33749999999999,5.254594021742627
26,43.3,50.53,46.55,53.33,48.427499999999995,4.407239309741796
27,38.39,46.32,55.17,50.0,47.47,7.058323691453469
28,42.86,51.05,55.17,60.0,52.269999999999996,7.261758281114385
29,39.73,49.47,51.72,60.0,50.23,8.336677995460784
30,48.21,56.84,53.45,50.0,52.125,3.8222898895818997
31,48.66,59.47,46.55,56.67,52.837500000000006,6.209194123770547
32,48.21,55.79,44.83,53.33,50.53999999999999,4.945691727823992
33,48.21,49.47,36.21,56.67,47.64,8.48252320951732
34,49.55,52.11,41.38,53.33,49.0925,5.377535835925842
35,48.21,47.37,36.21,53.33,46.28,7.211574030681512
36,46.88,44.74,37.93,53.33,45.72,6.348285857877961
37,47.32,49.47,43.1,53.33,48.30499999999999,4.268883538662849
38,44.64,51.05,46.55,50.0,48.06,2.9821804103709075
39,45.98,49.47,39.66,56.67,47.94499999999999,7.09351111932589
40,47.32,44.21,39.66,56.67,46.965,7.194120284417456
41,45.98,48.42,34.48,56.67,46.3875,9.161795220734128
42,48.21,48.42,41.38,53.33,47.834999999999994,4.910699203440041
43,46.43,44.74,44.83,43.33,44.832499999999996,1.2672904165975538
