epoch,local_time_s,peak_vram_mb
0,70.46,2576.6
1,82.34,2531.93
2,82.77,2530.49
3,83.2,2534.3
4,83.03,2534.75
5,82.96,2533.18
6,82.77,2532.43
7,82.35,2532.49
8,82.97,2534.43
9,83.01,2534.68
10,82.55,2531.61
11,82.66,2533.41
12,82.53,2534.86
13,83.33,2535.11
14,82.81,2531.05
15,82.93,2532.43
16,83.26,2532.61
17,82.87,2531.93
18,83.03,2534.3
19,82.8,2533.86
20,82.86,2535.3
21,82.64,2532.3
22,82.74,2531.49
23,82.99,2533.54
24,82.55,2537.61
25,82.46,2532.61
26,83.14,2531.18
27,82.55,2533.8
28,82.34,2532.93
29,82.46,2535.41
30,83.15,2534.72
31,83.06,2533.8
32,82.77,2532.93
33,82.38,2532.24
34,83.32,2528.3
35,83.04,2527.8
36,82.66,2531.63
37,82.86,2532.75
38,82.55,2531.6
39,82.97,2529.55
40,82.87,2530.93
41,82.32,2530.24
42,82.87,2534.86
43,82.38,2532.55
44,82.86,2530.99
45,82.55,2532.93
46,82.41,2532.55
47,83.16,2529.8
48,82.82,2529.3
49,82.56,2528.49
50,82.4,2529.05
51,82.88,2531.43
52,83.36,2533.49
53,82.81,2531.18
54,82.44,2531.74
55,82.66,2535.36
56,82.6,2535.91
57,82.66,2534.74
58,82.43,2533.74
59,82.64,2534.05
60,82.73,2534.36
61,82.69,2534.61
62,82.92,2533.18
63,82.38,2531.88
64,82.22,2534.74
65,82.49,2534.8
66,82.55,2534.43
67,82.49,2534.35
68,82.64,2533.79
69,82.1,2533.93
70,83.25,2532.94
71,82.87,2535.05
72,82.45,2534.18
73,82.33,2532.74
74,83.36,2527.43
75,82.9,2532.93
76,82.54,2533.43
77,82.71,2533.68
78,82.97,2533.88
79,82.77,2533.49
80,83.05,2535.05
81,82.96,2532.74
82,82.59,2532.8
83,82.97,2533.74
84,82.33,2531.43
85,82.62,2532.05
86,82.16,2533.68
87,82.87,2534.36
88,83.13,2537.13
89,82.26,2538.5
90,82.86,2533.68
91,82.65,2530.74
92,82.56,2530.55
93,82.58,2529.11
94,82.55,2533.18
95,83.0,2533.55
96,82.83,2533.6
97,82.97,2533.43
98,83.28,2532.18
99,82.67,2532.25
100,82.79,2533.3
101,83.01,2534.11
102,83.28,2533.74
103,83.14,2534.61
104,82.81,2537.88
105,82.86,2531.36
106,82.81,2531.43
107,82.28,2531.93
108,82.65,2533.43
109,83.07,2530.8
110,82.77,2531.55
111,82.89,2535.38
112,83.01,2531.68
113,82.97,2530.18
114,82.57,2536.6
115,82.94,2536.63
116,83.11,2532.55
117,82.45,2532.49
118,82.58,2533.68
119,82.69,2533.43
120,82.62,2533.88
121,82.81,2532.93
122,82.61,2533.74
123,82.83,2532.8
124,83.08,2532.3
125,82.35,2531.99
126,82.61,2532.43
127,82.67,2534.93
128,82.66,2535.8
129,82.97,2532.1
130,82.65,2532.24
131,83.24,2534.68
132,82.25,2532.93
133,82.47,2533.93
134,82.94,2532.55
135,82.41,2535.86
136,82.43,2534.99
137,82.35,2531.93
138,82.84,2533.8
139,82.94,2535.61
140,83.01,2534.36
141,82.52,2536.68
142,82.86,2535.61
143,82.75,2535.93
144,82.84,2533.5
145,82.75,2530.86
146,82.96,2529.43
147,82.48,2529.43
148,82.75,2530.8
149,83.18,2535.18
150,82.73,2532.55
151,82.96,2534.05
152,82.57,2534.86
153,83.01,2532.16
154,82.63,2530.86
155,82.61,2533.05
156,82.73,2534.24
157,83.02,2530.91
158,83.15,2530.18
159,82.42,2532.86
160,82.35,2533.8
161,83.04,2534.36
162,82.71,2533.36
163,82.79,2535.49
164,82.75,2535.18
165,83.37,2534.93
166,82.57,2533.68
167,83.06,2535.8
168,82.9,2533.54
169,82.95,2533.55
170,82.63,2532.74
171,82.81,2534.1
172,82.65,2530.11
173,82.74,2528.3
174,82.71,2534.38
175,83.17,2534.32
176,82.95,2535.05
177,83.17,2533.43
178,82.95,2536.05
179,82.74,2534.47
180,82.75,2528.11
181,82.55,2530.55
182,82.8,2531.55
183,82.94,2531.74
184,82.89,2530.11
185,82.64,2532.68
186,82.87,2533.8
187,82.77,2533.05
188,83.04,2530.49
189,82.96,2531.68
190,82.99,2533.55
191,82.38,2533.8
192,82.86,2533.68
193,82.71,2531.36
194,82.29,2533.3
195,82.65,2535.24
196,82.92,2532.36
197,82.85,2531.05
198,83.35,2531.49
199,82.58,2528.61
