epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,13.39,11.58,37.93,20.0,20.725,12.027342460687924
1,16.07,17.37,22.41,13.33,17.294999999999998,3.8030996130349606
2,24.55,23.16,37.93,33.33,29.7425,7.075701967531796
3,25.89,24.74,39.66,30.0,30.072499999999998,6.778748040752067
4,31.7,18.95,39.66,30.0,30.0775,8.530026865920957
5,33.48,24.74,41.38,40.0,34.9,7.599175393861277
6,33.48,24.74,43.1,40.0,35.33,8.11895724010582
7,36.61,33.68,46.55,36.67,38.3775,5.624229576869468
8,37.5,30.53,46.55,40.0,38.644999999999996,6.620405324953046
9,38.84,39.47,41.38,36.67,39.09,1.941425593045825
10,38.39,37.37,44.83,43.33,40.98,3.6553704782598073
11,38.39,41.58,43.1,43.33,41.599999999999994,2.2765031664082227
12,37.5,38.42,41.38,46.67,40.99250000000001,4.131161055522608
13,39.73,37.37,43.1,46.67,41.7175,4.053372052994892
14,39.29,43.16,41.38,40.0,40.957499999999996,1.7055668656881586
15,44.2,47.89,41.38,53.33,46.7,5.161569528738325
16,42.86,44.21,39.66,53.33,45.015,5.862516524496968
17,43.3,46.32,39.66,53.33,45.6525,5.797524615442929
18,43.3,43.68,39.66,53.33,44.99249999999999,5.846271603908484
19,46.88,51.05,41.38,53.33,48.16,5.250009523800883
20,43.75,43.68,41.38,53.33,45.535,5.312039783987564
21,45.54,51.05,41.38,53.33,47.825,5.399533930504248
22,46.43,44.74,41.38,53.33,46.47,5.031971118094113
23,47.32,50.0,39.66,50.0,46.745,4.889372829583226
24,48.66,53.16,43.1,56.67,50.397499999999994,5.866517280295013
25,46.88,50.53,39.66,53.33,47.599999999999994,5.915510685195884
26,48.21,45.79,43.1,53.33,47.6075,4.348596516885265
27,49.11,53.16,39.66,53.33,48.815,6.407425379979076
28,50.45,52.63,44.83,56.67,51.14500000000001,4.936027417535956
29,51.34,56.84,41.38,56.67,51.557500000000005,7.249627001899247
30,48.66,50.53,41.38,56.67,49.31,6.2972321962377515
31,51.79,62.11,43.1,53.33,52.582499999999996,7.786267291413346
32,50.0,54.21,44.83,56.67,51.42750000000001,5.189440400145923
33,54.02,57.37,48.28,53.33,53.25,3.753869115104218
34,49.11,49.47,41.38,56.67,49.1575,6.245720534894272
35,54.91,64.21,44.83,53.33,54.31999999999999,7.941460822795764
36,52.23,56.84,46.55,56.67,53.072500000000005,4.843857794499479
37,53.57,58.42,46.55,56.67,53.80250000000001,5.23439506215061
38,54.91,59.47,46.55,66.67,56.900000000000006,8.428926384777602
39,55.36,61.58,41.38,56.67,53.7475,8.668799897717482
