epoch,caltech_acc,amazon_acc,webcam_acc,dslr_acc,mean_acc,std
0,20.98,18.95,20.69,13.33,18.4875,3.5532743115798615
1,30.8,30.53,25.86,26.67,28.465,2.5641437817199986
2,34.82,35.79,32.76,16.67,30.01,8.982623967045114
3,36.61,34.21,37.93,30.0,34.6875,3.4837946265530633
4,37.5,37.37,39.66,33.33,36.965,2.6411171878581983
5,41.96,45.26,34.48,30.0,37.925,6.946392349030298
6,42.86,44.21,37.93,33.33,39.582499999999996,4.965892836808571
7,43.75,49.47,32.76,36.67,40.662499999999994,7.427298185298159
8,44.64,50.0,36.21,36.67,41.879999999999995,6.654447134560967
9,42.86,51.58,32.76,33.33,40.13249999999999,8.927714806526172
10,44.64,52.63,34.48,40.0,42.9375,7.681173412962373
11,47.32,56.84,34.48,46.67,46.3275,9.164756316091191
12,47.77,55.26,34.48,46.67,46.045,8.602939420143947
13,48.21,57.37,34.48,46.67,46.682500000000005,9.406683351036467
14,46.88,59.47,34.48,43.33,46.03999999999999,10.360955554387829
15,50.45,61.05,32.76,46.67,47.7325,11.691097396452282
16,49.55,64.74,32.76,50.0,49.262499999999996,13.0704765916677
17,49.11,59.47,32.76,46.67,47.0025,10.997567534080739
18,50.89,61.58,32.76,50.0,48.8075,11.922218403747966
19,53.12,60.0,34.48,53.33,50.2325,10.976907199510556
20,51.79,61.05,34.48,56.67,50.9975,11.643107760960273
21,53.57,61.58,31.03,46.67,48.212500000000006,12.974468197194057
22,51.34,61.05,31.03,56.67,50.02250000000001,13.269587722809375
23,53.12,66.32,36.21,53.33,52.245000000000005,12.344630411640518
24,54.46,64.21,32.76,53.33,51.19,13.2219237127835
25,54.46,64.21,31.03,50.0,49.925,13.924248633229727
26,55.8,60.53,37.93,53.33,51.897499999999994,9.779104849967949
27,54.46,64.21,36.21,53.33,52.052499999999995,11.636403725664843
28,56.25,68.95,36.21,56.67,54.519999999999996,13.553553039701436
29,57.59,62.11,36.21,56.67,53.144999999999996,11.537606626448428
30,58.04,66.32,34.48,60.0,54.709999999999994,13.941759812400537
31,54.91,70.0,39.66,50.0,53.6425,12.622103298050872
32,58.93,64.74,39.66,60.0,55.832499999999996,11.073329445112703
33,59.38,66.84,37.93,50.0,53.5375,12.479306537891707
34,56.25,67.37,37.93,46.67,52.05500000000001,12.657818400761906
35,58.93,68.95,37.93,53.33,54.785,12.961948156045064
36,59.82,66.84,39.66,60.0,56.58,11.743764302811941
37,59.38,66.32,37.93,50.0,53.4075,12.295900061944765
38,58.48,68.42,41.38,50.0,54.57,11.575427997846703
39,59.38,68.95,39.66,50.0,54.4975,12.557766189361338
40,60.27,69.47,36.21,60.0,56.487500000000004,14.216976647656141
41,58.48,73.16,34.48,50.0,54.029999999999994,16.16789823487683
42,58.93,68.95,34.48,46.67,52.25749999999999,14.949040939137204
43,57.14,72.11,34.48,46.67,52.599999999999994,15.966120380355399
44,59.38,68.42,34.48,53.33,53.9025,14.356439612011517
45,61.61,71.05,36.21,50.0,54.7175,15.044816106109991
46,59.38,73.16,34.48,66.67,58.4225,16.925082717670836
47,58.04,67.37,37.93,50.0,53.335,12.48404982367501
48,60.71,76.84,34.48,43.33,53.84,18.810162147094854
49,56.25,73.16,32.76,50.0,53.0425,16.689702164308784
50,61.61,68.95,36.21,53.33,55.025000000000006,14.072965809191276
51,61.61,74.21,34.48,53.33,55.9075,16.666146075202867
52,60.71,73.16,31.03,50.0,53.725,17.84608360397317
53,63.39,72.63,36.21,43.33,53.89,16.985617445356525
54,60.27,77.37,32.76,50.0,55.1,18.688386768257985
55,62.95,74.74,34.48,46.67,54.709999999999994,17.729382391950374
56,59.38,72.11,36.21,43.33,52.75750000000001,16.135615627135728
57,64.29,75.79,34.48,46.67,55.307500000000005,18.335841722338976
58,61.61,71.05,34.48,50.0,54.285,15.761980628503936
59,60.71,73.68,32.76,46.67,53.455,17.66356796724075
60,61.16,72.63,34.48,60.0,57.067499999999995,16.101083555669994
61,61.61,76.84,37.93,53.33,57.427499999999995,16.240694515116445
62,62.5,74.74,29.31,50.0,54.1375,19.390015256999327
63,62.95,73.68,39.66,53.33,57.405,14.45813842327797
64,60.71,75.79,37.93,40.0,53.6075,18.01348453242737
65,61.16,75.26,32.76,43.33,53.1275,18.843165648761534
66,64.73,73.68,37.93,46.67,55.75250000000001,16.35159599753696
67,62.95,75.26,36.21,53.33,56.9375,16.477332662377936
68,62.05,76.32,36.21,56.67,57.8125,16.61783454605322
69,62.95,76.84,39.66,53.33,58.19500000000001,15.67865321597065
70,60.71,74.74,34.48,53.33,55.815,16.767767690820783
71,61.61,80.53,37.93,56.67,59.185,17.50799722031811
72,60.71,73.16,39.66,66.67,60.05,14.513030926263013
73,62.05,76.84,37.93,43.33,55.037499999999994,17.83494953735502
74,61.61,72.11,43.1,50.0,56.705,12.798777285350347
75,62.05,73.68,34.48,56.67,56.72,16.43847722063493
76,62.5,78.95,41.38,56.67,59.875,15.525068974618653
77,62.05,71.05,36.21,53.33,55.66,14.848295076090947
78,62.05,75.79,41.38,60.0,59.805,14.143065438581553
79,62.95,74.21,41.38,56.67,58.802499999999995,13.695301809988218
80,60.71,76.32,39.66,56.67,58.34,15.062410165707211
81,64.29,74.21,39.66,56.67,58.707499999999996,14.58824269746017
82,65.18,78.42,36.21,53.33,58.28500000000001,17.933366480762427
83,61.61,76.32,41.38,50.0,57.3275,15.133515509182477
84,61.61,76.32,39.66,56.67,58.565,15.116239611755297
85,62.95,76.32,39.66,56.67,58.89999999999999,15.220703006103232
86,62.5,73.68,39.66,60.0,58.96,14.174879188197695
87,61.16,74.21,36.21,60.0,57.895,15.82729393589862
88,62.05,69.47,39.66,43.33,53.6275,14.411255728307186
89,62.95,77.89,41.38,63.33,61.3875,15.042686761346857
90,65.18,73.16,44.83,66.67,62.46000000000001,12.253290714470678
91,63.84,77.37,43.1,56.67,60.245000000000005,14.293603464487184
92,64.29,76.32,37.93,60.0,59.635000000000005,16.034322561305792
93,62.05,77.37,43.1,53.33,58.962500000000006,14.511061011058658
94,63.84,76.84,43.1,46.67,57.6125,15.693198898461292
95,62.5,80.0,39.66,63.33,61.3725,16.56823743391755
96,62.05,76.32,46.55,56.67,60.39750000000001,12.40838795600245
97,61.61,75.26,43.1,56.67,59.16,13.283275198534437
98,62.05,74.74,37.93,56.67,57.8475,15.287368151516466
99,62.5,76.84,43.1,56.67,59.7775,13.980182104202601
100,62.5,77.89,43.1,53.33,59.205,14.7633882741508
101,62.05,71.58,44.83,66.67,61.2825,11.638119478678675
102,63.84,74.74,41.38,50.0,57.489999999999995,14.759372163702174
103,62.5,80.53,41.38,56.67,60.269999999999996,16.17851043823256
104,61.16,73.68,43.1,53.33,57.817499999999995,12.903922853148186
105,63.84,78.42,46.55,53.33,60.535,13.88390555043261
106,64.73,76.84,43.1,56.67,60.334999999999994,14.168139139162443
107,60.71,73.16,41.38,56.67,57.980000000000004,13.104215606691865
108,66.07,78.95,43.1,63.33,62.8625,14.8309437213775
109,62.05,80.0,41.38,60.0,60.8575,15.789930071620539
110,64.29,74.74,44.83,60.0,60.965,12.410690284320744
111,62.5,73.68,44.83,53.33,58.584999999999994,12.382801244737264
112,61.16,80.0,44.83,56.67,60.665000000000006,14.614998004333312
113,66.07,77.89,41.38,63.33,62.16749999999999,15.230430886879068
114,62.5,77.89,43.1,53.33,59.205,14.7633882741508
115,64.73,77.37,44.83,56.67,60.900000000000006,13.687799920610571
116,61.16,74.21,43.1,53.33,57.95,13.121973936873976
117,64.73,77.89,41.38,56.67,60.167500000000004,15.276409645812286
118,62.05,76.32,39.66,63.33,60.34,15.219362667339258
119,63.39,76.84,43.1,60.0,60.8325,13.879426921406615
120,64.73,76.84,43.1,60.0,61.1675,13.977556713054922
121,61.16,76.32,41.38,43.33,55.5475,16.461898179331158
122,65.62,79.47,43.1,56.67,61.215,15.291166295174042
123,62.95,77.37,44.83,60.0,61.287499999999994,13.340635604547986
124,63.39,80.53,41.38,56.67,60.49250000000001,16.225454025491345
125,61.61,76.32,44.83,63.33,61.522499999999994,12.921303791284632
126,62.95,81.05,39.66,56.67,60.082499999999996,17.09368572504674
127,65.18,76.84,44.83,56.67,60.88000000000001,13.522058521788267
128,62.05,78.42,43.1,60.0,60.8925,14.444406933711978
129,66.52,78.42,44.83,50.0,59.942499999999995,15.404787946176564
130,59.82,74.74,46.55,56.67,59.44500000000001,11.662751247740244
131,63.39,71.05,43.1,60.0,59.385,11.799600275715557
132,61.61,77.37,41.38,56.67,59.25750000000001,14.831240395417597
133,62.5,72.11,53.45,63.33,62.8475,7.625843669173047
134,61.61,77.89,46.55,53.33,59.845,13.514677206652035
135,66.07,77.37,44.83,63.33,62.89999999999999,13.492462093084916
136,66.52,77.89,44.83,56.67,61.477500000000006,14.083658083040783
137,62.05,76.84,43.1,50.0,57.997499999999995,14.802680781984503
138,63.39,77.89,44.83,56.67,60.69500000000001,13.794079647926257
139,62.05,78.42,44.83,56.67,60.49250000000001,13.949270888950913
140,60.71,75.26,43.1,53.33,58.099999999999994,13.5281262560637
141,64.73,75.79,48.28,70.0,64.7,11.841950852794486
142,62.5,77.89,46.55,53.33,60.067499999999995,13.560669538534349
143,65.18,75.26,44.83,56.67,60.485,12.909646264195883
144,62.5,77.89,44.83,60.0,61.30499999999999,13.535372178111691
145,64.29,79.47,44.83,56.67,61.315,14.511902011797075
146,61.61,75.26,41.38,63.33,60.394999999999996,14.05499792481901
147,64.29,78.42,46.55,56.67,61.4825,13.42759192856262
148,62.95,71.58,44.83,60.0,59.84,11.147875731875258
149,62.95,74.74,46.55,60.0,61.06,11.581280873317366
150,66.96,77.89,48.28,60.0,63.2825,12.419780929361568
151,65.62,78.42,50.0,63.33,64.3425,11.641026229103115
152,63.39,77.37,44.83,63.33,62.22999999999999,13.348348212419397
153,63.84,78.42,50.0,56.67,62.2325,12.181881012388851
154,64.73,77.89,44.83,63.33,62.69499999999999,13.596454194629818
155,64.29,77.89,43.1,63.33,62.1525,14.336690401437378
156,60.71,79.47,44.83,56.67,60.42,14.377032609918734
157,64.29,78.42,44.83,60.0,61.885000000000005,13.827707691443294
158,62.95,74.21,44.83,56.67,59.665000000000006,12.266424363548923
159,63.84,74.21,56.9,66.67,65.405,7.162692696651633
160,64.29,76.84,41.38,63.33,61.459999999999994,14.733822767134582
161,61.16,76.32,44.83,53.33,58.91,13.385980228084405
162,64.73,75.79,50.0,60.0,62.63,10.708709850708756
163,66.52,78.42,51.72,60.0,64.16499999999999,11.269077158312477
164,63.84,76.84,44.83,66.67,63.045,13.364890571942594
165,63.84,80.53,44.83,56.67,61.4675,14.931287899351931
166,66.52,80.0,46.55,60.0,63.2675,13.912903782699953
167,64.29,77.89,55.17,63.33,65.17,9.415561587074876
168,63.84,78.42,46.55,56.67,61.370000000000005,13.398081952279588
169,61.16,73.68,46.55,60.0,60.3475,11.08914596952053
170,63.39,80.53,48.28,56.67,62.2175,13.683945276612784
171,63.84,73.16,51.72,63.33,63.0125,8.780240600348034
172,65.18,78.95,48.28,60.0,63.1025,12.712084473707161
173,65.62,77.37,58.62,66.67,67.07000000000001,7.7406933367324005
174,63.84,74.21,48.28,63.33,62.415000000000006,10.673770030624915
175,64.29,75.79,53.45,56.67,62.55000000000001,9.92823582851791
176,61.61,75.26,44.83,50.0,57.925,13.51993713003134
177,66.07,81.58,50.0,63.33,65.24499999999999,12.95620957945134
178,66.07,80.53,48.28,60.0,63.72,13.42051414812413
179,62.05,76.32,50.0,56.67,61.260000000000005,11.184563767383446
180,64.73,77.89,51.72,66.67,65.2525,10.725627798253429
181,62.95,77.37,44.83,56.67,60.455,13.550019680182512
182,64.73,76.32,48.28,60.0,62.3325,11.609069371257394
183,66.07,81.58,44.83,60.0,63.11999999999999,15.2067156217245
184,65.62,79.47,44.83,60.0,62.480000000000004,14.331696805798446
